hit_id,query_id,biosample_id,closest_ref,distance
OYMM01.161.1_3/65-438,OYMM01,SAMN06165493,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.014025363
OYMM01.161.1_2/11-266,OYMM01,SAMN06165493,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.055882418
OYMM01.4356.1_1/53-210,OYMM01,SAMN06165493,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
OYMM01.4732.1_1/11-160,OYMM01,SAMN06165493,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
UEYD01.35306.1_1/33-281,UEYD01,SAMN06115506,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
OPSF01.12557.1_1/64-428,OPSF01,SAMEA2042111,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.060568418
QWCE01.3417.1_7/64-437,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.44E-06
QWCE01.34300.1_2/44-392,QWCE01,SAMN09866716,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.287630984
QWCE01.3417.1_6/11-266,QWCE01,SAMN09866716,['Bilophila_wadsworthia__BilWads6'],1.44E-06
QWCE01.148739.1_1/3-193,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.277239377
QWCE01.143185.1_1/1-188,QWCE01,SAMN09866716,['Gordonibacter_pamelaeae__GrdPame5'],0.379795377
QWCE01.34300.1_3/4-136,QWCE01,SAMN09866716,['Thermodesulfobium_narugense__CP002690'],1.874784377
OWCY01.6912.1_3/63-436,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige2'],0.02158519
OWCY01.6912.1_2/11-266,OWCY01,SAMEA3708620,['Desulfovibrio_piger__DslPige3'],0.029603363
OWCY01.44532.1_1/11-266,OWCY01,SAMEA3708620,['Bilophila_wadsworthia__BilWads6'],1.44E-06
ORRJ01.13417.1_2/63-436,ORRJ01,SAMEA2338649,['Desulfovibrio_piger__DslPige3'],0.026343363
ORRJ01.22585.1_1/1-245,ORRJ01,SAMEA2338649,['Bilophila_wadsworthia__BilWads6'],0.132746964
UERO01.20183.1_1/64-437,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UERO01.11922.1_1/1-118,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],0.122240964
UERO01.20183.1_2/11-91,UERO01,SAMN06115397,['Bilophila_wadsworthia__BilWads6'],0.285210964
OPAP01.30399.1_1/1-90,OPAP01,SAMEA1967055,"['Bilophila_wadsworthia__BilWads6', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
OURY01.49778.1_1/1-252,OURY01,SAMEA2338638,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.165848984
OYXC01.9658.1_1/11-266,OYXC01,SAMN06165016,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.038967363
OYXC01.9658.1_2/1-228,OYXC01,SAMN06165016,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
USZA01.13236.1_3/38-305,USZA01,SAMN06112073,['Bilophila_wadsworthia__BilWads6'],0.147076964
USZA01.18536.1_1/63-204,USZA01,SAMN06112073,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4', 'Bilophila_wadsworthia__BilWads6']",NA
USZA01.41154.1_2/6-173,USZA01,SAMN06112073,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.188539796
USZA01.16685.1_1/1-148,USZA01,SAMN06112073,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
USZA01.41154.1_1/3-156,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],NA
USZA01.130730.1_2/1-109,USZA01,SAMN06112073,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.048232984
UZLQ01.611.1_10/64-437,UZLQ01,SAMN00715227,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UZLQ01.611.1_9/1-253,UZLQ01,SAMN00715227,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UPRH01.19723.1_1/11-266,UPRH01,SAMEA2737760,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UPMW01.3186.1_8/63-436,UPMW01,SAMEA2737879,['uncultured_bacterium__EF645667'],0.085633606
UPMW01.3186.1_7/11-266,UPMW01,SAMEA2737879,['uncultured_bacterium__EF645667'],0.143411722
OYQB01.459.1_1/46-393,OYQB01,SAMN06165467,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.117007984
OYQB01.459.1_2/7-240,OYQB01,SAMN06165467,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.908308796
OYQB01.5101.1_1/1-213,OYQB01,SAMN06165467,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
CAAELL01.26.1_14/62-435,CAAELL01,SAMEA5280031,['uncultured_bacterium__EF645667'],0.481725604
CAAELL01.26.1_13/11-266,CAAELL01,SAMEA5280031,['uncultured_bacterium__EF645667'],0.596044604
UPMM01.15656.1_2/63-436,UPMM01,SAMEA2737839,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.065797418
UPMM01.15656.1_1/11-112,UPMM01,SAMEA2737839,['Bilophila_wadsworthia__BilWads6'],0.126813964
ORIF01.8853.1_1/63-390,ORIF01,SAMN04329858,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
ORIF01.8035.1_2/50-394,ORIF01,SAMN04329858,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.131263984
ORIF01.7405.1_1/8-243,ORIF01,SAMN04329858,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.954816796
OYKH01.90.1_2/39-412,OYKH01,SAMN06165444,['Bilophila_wadsworthia__BilWads6'],1.44E-06
OYKH01.90.1_1/11-266,OYKH01,SAMN06165444,['Bilophila_wadsworthia__BilWads6'],1.44E-06
OYKH01.3199.1_1/23-192,OYKH01,SAMN06165444,"['Anaerobic_bacterium_sk.prop8__Bv2Prop2', 'MSW_digester_clone__Unc01cxc']",NA
OYKH01.1193.1_1/1-93,OYKH01,SAMN06165444,['Desulfitibacter_alkalitolerans__DfiAlka2'],NA
OYKH01.1882.1_2/1-127,OYKH01,SAMN06165444,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],NA
OYKH01.1882.1_1/6-125,OYKH01,SAMN06165444,['Desulfitibacter_alkalitolerans__DfiAlka2'],NA
ULQH01.22774.1_1/1-246,ULQH01,SAMEA4835653,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
UMCV01.52177.1_1/1-141,UMCV01,SAMEA4835976,"['uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige4', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige2']",NA
CABRAA01.133.1_7/53-398,CABRAA01,SAMEA5850570,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.379821984
CABRAA01.133.1_8/5-240,CABRAA01,SAMEA5850570,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.142307796
UPLS01.22663.1_4/63-190,UPLS01,SAMEA2737864,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
OXJK01.30384.1_1/2-184,OXJK01,SAMN05826969,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
UPQN01.3.1_186/62-435,UPQN01,SAMEA2737804,['uncultured_bacterium__EF645667'],0.475425604
UPQN01.3.1_187/11-266,UPQN01,SAMEA2737804,['uncultured_bacterium__EF645667'],0.607475604
UPQN01.66372.1_1/8-172,UPQN01,SAMEA2737804,['Bilophila_sp._4_1_30__BilSpec3'],0.013137865
USWG01.18375.1_1/2-243,USWG01,SAMN06111996,['Bilophila_sp._4_1_30__BilSpec3'],0.020846865
USWG01.37789.1_1/64-205,USWG01,SAMN06111996,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
UZHZ01.1361.1_5/64-437,UZHZ01,SAMN00791913,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UZHZ01.1361.1_6/11-266,UZHZ01,SAMN00791913,['Bilophila_sp._4_1_30__BilSpec3'],0.001666865
WGVM01.188.1_1/63-417,WGVM01,SAMN12905038,['Desulfovibrio_piger__DslPige3'],0.026502363
OZKV01.8779.1_1/64-430,OZKV01,SAMN06165244,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.053071363
OZZL01.7074.1_1/28-293,OZZL01,SAMN06165153,['Moorella_thermoacetica_Y72_copy_2__MooTher5'],6.869633635
CAJLMI01.293.1_1/1-341,CAJLMI01,SAMEA7847400,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.163060984
CAJLMI01.293.1_2/7-240,CAJLMI01,SAMEA7847400,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.941330796
OYGB01.157.1_1/92-465,OYGB01,SAMN06165590,['uncultured_bacterium__EF645667'],0.085633606
OYGB01.116.1_5/55-399,OYGB01,SAMN06165590,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.372917984
OYGB01.157.1_2/11-266,OYGB01,SAMN06165590,['uncultured_bacterium__EF645667'],0.143411722
OYGB01.116.1_4/5-240,OYGB01,SAMN06165590,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.302059796
OYGB01.5309.1_2/1-128,OYGB01,SAMN06165590,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667']",NA
OQPZ01.68446.1_1/2-197,OQPZ01,SAMN02712189,['Bilophila_sp._4_1_30__BilSpec3'],0.046649865
OWBQ01.8.1_53/62-435,OWBQ01,SAMEA3708561,['uncultured_bacterium__EF645667'],0.473102604
OWBQ01.8.1_52/11-266,OWBQ01,SAMEA3708561,['uncultured_bacterium__EF645667'],0.607475604
OPWH01.12327.1_1/62-157,OPWH01,SAMEA2043049,['Bilophila_wadsworthia__BilWads6'],0.130452964
OWQQ01.8304.1_2/63-436,OWQQ01,SAMEA4378285,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.057629418
OWQQ01.8304.1_3/11-266,OWQQ01,SAMEA4378285,['Desulfovibrio_piger__DslPige3'],0.020310363
OYKR01.283.1_2/97-470,OYKR01,SAMN06165504,['Bilophila_wadsworthia__BilWads6'],1.44E-06
OYKR01.283.1_1/11-266,OYKR01,SAMN06165504,['Bilophila_wadsworthia__BilWads6'],1.44E-06
ORRD01.1201.1_14/52-400,ORRD01,SAMEA2338677,['Gordonibacter_pamelaeae__GrdPame5'],0.911729377
UZNL01.14334.1_1/62-250,UZNL01,SAMN00715143,['Candidatus_Desulfovibrio_trichonymphae'],0.338026055
ULSH01.35401.1_1/2-238,ULSH01,SAMEA4835702,['uncultured_bacterium__EF645667'],NA
UYDM01.8511.1_2/63-436,UYDM01,SAMEA2151439,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.072652418
UYDM01.8511.1_3/11-266,UYDM01,SAMEA2151439,['uncultured_bacterium__EF645667'],0.158807604
OQQY01.70848.1_1/1-202,OQQY01,SAMN02711295,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
OQQY01.63187.1_2/11-158,OQQY01,SAMN02711295,['Bilophila_sp._4_1_30__BilSpec3'],0.032105865
OQQY01.71910.1_1/1-113,OQQY01,SAMN02711295,"['Bilophila_wadsworthia__BilWads6', 'Desulfovibrio_sp._6_1_46AFAA__DsvSp231']",NA
OVYG01.1315.1_12/64-437,OVYG01,SAMEA3708462,['Bilophila_wadsworthia__BilWads6'],1.44E-06
OVYG01.1315.1_13/11-266,OVYG01,SAMEA3708462,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UXRB01.19263.1_2/11-266,UXRB01,SAMEA2155512,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.074290418
UXRB01.19263.1_3/1-286,UXRB01,SAMEA2155512,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
UXRB01.66584.1_2/63-175,UXRB01,SAMEA2155512,['Desulfovibrio_piger__DslPige3'],NA
OZZQ01.3100.1_3/27-294,OZZQ01,SAMN06165154,['Moorella_thermoacetica_Y72_copy_2__MooTher5'],6.845465635
OZZQ01.2726.1_4/28-293,OZZQ01,SAMN06165154,['Moorella_thermoacetica_Y72_copy_2__MooTher5'],6.869633635
UPMR01.3615.1_10/63-436,UPMR01,SAMEA2737866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.078795418
UPMR01.3615.1_4/63-436,UPMR01,SAMEA2737866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.078795418
UPMR01.3615.1_3/11-266,UPMR01,SAMEA2737866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.001825363
UPMR01.3615.1_9/11-266,UPMR01,SAMEA2737866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.001825363
UPMR01.66066.1_2/2-136,UPMR01,SAMEA2737866,['Bilophila_sp._4_1_30__BilSpec3'],0.015748865
UPMR01.66066.1_1/11-108,UPMR01,SAMEA2737866,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
OWSK01.6388.1_2/63-436,OWSK01,SAMEA4378329,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.007944363
OWSK01.6388.1_1/11-264,OWSK01,SAMEA4378329,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.011057363
OWSK01.6388.1_6/1-82,OWSK01,SAMEA4378329,"['Bilophila_wadsworthia__BilWads6', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
CAABUQ01.5070.1_1/1-247,CAABUQ01,SAMN00691554,['Desulfovibrio_desulfuricans__DslDes17'],NA
CAABUQ01.18604.1_1/2-161,CAABUQ01,SAMN00691554,['Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358'],0.031007829
OWEA01.6517.1_3/63-436,OWEA01,SAMEA3708617,['Desulfovibrio_piger__DslPige3'],0.020301363
OWEA01.6517.1_2/11-266,OWEA01,SAMEA3708617,['uncultured_bacterium__EF645667'],0.185751604
UZIE01.3608.1_5/64-437,UZIE01,SAMN00791944,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UZIE01.3608.1_6/11-266,UZIE01,SAMN00791944,['Bilophila_wadsworthia__BilWads6'],1.44E-06
ORVI01.27023.1_1/64-438,ORVI01,SAMEA2338833,['Bilophila_wadsworthia__BilWads6'],0.187872964
ORVI01.27023.1_2/11-108,ORVI01,SAMEA2338833,['Bilophila_sp._4_1_30__BilSpec3'],0.024117865
ULXL01.46695.1_1/1-339,ULXL01,SAMEA4835837,['Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358'],0.019344829
ULXL01.61062.1_1/1-115,ULXL01,SAMEA4835837,"['Desulfovibrio_desulfuricans__DslDes17', 'Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358']",NA
ULXL01.46695.1_2/11-123,ULXL01,SAMEA4835837,"['Desulfovibrio_desulfuricans__DslDes17', 'Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358']",NA
ULXL01.82817.1_2/27-294,ULXL01,SAMEA4835837,['Moorella_thermoacetica_Y72_copy_2__MooTher5'],6.845465635
OWGR01.71931.1_2/11-87,OWGR01,SAMEA3708494,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
OYRO01.1954.1_1/43-233,OYRO01,SAMN06165543,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],NA
ULRD01.28831.1_1/1-232,ULRD01,SAMEA4835675,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
ULRD01.52017.1_1/11-152,ULRD01,SAMEA4835675,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
ULRD01.35842.1_2/63-146,ULRD01,SAMEA4835675,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4', 'uncultured_bacterium__EF645667']",NA
UEYE01.11137.1_2/64-437,UEYE01,SAMN06115512,['uncultured_bacterium__EF645667'],0.472680604
UEYE01.31469.1_1/1-298,UEYE01,SAMN06115512,['Bilophila_sp._4_1_30__BilSpec3'],0.009173865
UEYE01.14975.1_1/1-230,UEYE01,SAMN06115512,['Bilophila_wadsworthia__BilWads6'],0.197242964
UEYE01.11137.1_1/11-212,UEYE01,SAMN06115512,['uncultured_bacterium__EF645667'],0.703245604
UMHE01.11170.1_4/55-428,UMHE01,SAMEA4836090,['uncultured_bacterium__EF645667'],0.473102604
UMHE01.11170.1_3/11-266,UMHE01,SAMEA4836090,['uncultured_bacterium__EF645667'],0.607475604
OQXB01.18.1_117/53-401,OQXB01,SAMN04161035,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.296156984
OQXB01.18.1_116/4-240,OQXB01,SAMN04161035,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.280515796
ORCJ01.30263.1_1/1-206,ORCJ01,SAMN06115435,['Desulfovibrio_vulgaris__DQ826729'],0.375513894
ORWY01.1258.1_16/64-437,ORWY01,SAMEA2338866,['Bilophila_wadsworthia__BilWads6'],1.44E-06
ORWY01.1258.1_15/11-266,ORWY01,SAMEA2338866,['Bilophila_wadsworthia__BilWads6'],1.44E-06
ORWY01.341.1_49/11-266,ORWY01,SAMEA2338866,['uncultured_bacterium__EF645667'],0.195460604
ORWY01.95422.1_1/1-223,ORWY01,SAMEA2338866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
ORWY01.114984.1_1/1-122,ORWY01,SAMEA2338866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
ORWY01.1188.1_20/63-146,ORWY01,SAMEA2338866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4', 'uncultured_bacterium__EF645667']",NA
ORWY01.113268.1_2/1-119,ORWY01,SAMEA2338866,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.020244984
ORWY01.341.1_50/1-101,ORWY01,SAMEA2338866,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4', 'Desulfovibrio_piger__DslPige2']",NA
OWSN01.3025.1_6/11-266,OWSN01,SAMEA4378267,['Bilophila_wadsworthia__BilWads6'],0.009170435
OWSN01.4779.1_1/64-165,OWSN01,SAMEA4378267,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667', 'Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
OZPB01.8102.1_2/2-283,OZPB01,SAMN06164804,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
OZPB01.8102.1_1/11-266,OZPB01,SAMN06164804,['uncultured_bacterium__EF645667'],0.178438604
UZPQ01.2536.1_3/64-437,UZPQ01,SAMN00791950,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UZPQ01.2536.1_4/11-266,UZPQ01,SAMN00791950,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UMHG01.13160.1_5/64-437,UMHG01,SAMEA4836092,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UMHG01.13160.1_6/11-178,UMHG01,SAMEA4836092,['Bilophila_wadsworthia__BilWads6'],NA
UPPQ01.16932.1_2/1-246,UPPQ01,SAMEA2737763,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",NA
UPPQ01.49344.1_1/11-149,UPPQ01,SAMEA2737763,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
UZHX01.6273.1_1/64-252,UZHX01,SAMN00791942,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3']",NA
UZHX01.36896.1_2/11-126,UZHX01,SAMN00791942,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
UYDJ01.9802.1_3/63-436,UYDJ01,SAMEA2144396,['Desulfovibrio_piger__DslPige3'],0.020473363
UYDJ01.9802.1_4/11-266,UYDJ01,SAMEA2144396,"['Desulfovibrio_piger__DslPige3', 'Desulfovibrio_piger__DslPige4']",0.001825363
OQHC01.18290.1_4/11-121,OQHC01,SAMD00036207,"['Bilophila_sp._4_1_30__BilSpec3', 'Bilophila_wadsworthia__BilWads6']",NA
OQHC01.18290.1_1/17-124,OQHC01,SAMD00036207,['Bilophila_sp._4_1_30__BilSpec3'],0.040983865
OQHC01.18290.1_3/1-96,OQHC01,SAMD00036207,"['Bilophila_wadsworthia__BilWads6', 'Bilophila_sp._4_1_30__BilSpec3', 'uncultured_bacterium__EF645667']",NA
CABQGW01.433.1_2/2-344,CABQGW01,SAMEA5850071,['Desulfovibrio_vulgaris__DQ826729'],0.380084894
CABQGW01.433.1_1/11-98,CABQGW01,SAMEA5850071,['Bilophila_wadsworthia__BilWads6'],0.283905964
UZTU01.1044.1_16/64-437,UZTU01,SAMN00792072,['Bilophila_wadsworthia__BilWads6'],1.44E-06
UZTU01.1044.1_15/11-266,UZTU01,SAMN00792072,['Bilophila_wadsworthia__BilWads6'],1.44E-06
ORHZ01.1504.1_5/53-398,ORHZ01,SAMN04329852,['MSW_digester_clone__Unc01cxc'],1.6079996
ORHZ01.1504.1_4/5-240,ORHZ01,SAMN04329852,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.095720796
ORHZ01.22362.1_1/18-219,ORHZ01,SAMN04329852,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.146682984
ORHZ01.9796.1_5/7-91,ORHZ01,SAMN04329852,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],0.669649174
OQDZ01.8857.1_2/2-188,OQDZ01,SAMD00036330,"['uncultured_bacterium__EF645667', 'uncultured_bacterium__EF645664', 'Desulfovibrio_desulfuricans__DQ092635']",NA
OQDZ01.8857.1_5/11-124,OQDZ01,SAMD00036330,['Bilophila_wadsworthia__BilWads6'],NA
OQDZ01.8857.1_4/1-96,OQDZ01,SAMD00036330,['Bilophila_wadsworthia__BilWads6'],NA
OQDZ01.8857.1_6/1-56,OQDZ01,SAMD00036330,['Bilophila_wadsworthia__BilWads6'],0.175516964
ORPW01.19403.1_2/63-436,ORPW01,SAMEA2338703,['Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358'],0.019344829
ORPW01.41734.1_1/1-134,ORPW01,SAMEA2338703,"['Desulfovibrio_desulfuricans__DslDes17', 'Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358']",NA
ORPW01.19403.1_3/11-125,ORPW01,SAMEA2338703,"['Desulfovibrio_desulfuricans__DslDes17', 'Desulfovibrio_desulfuricans_subsp._desulfuricans_str._ATCC_27774__CP001358']",NA
ORPW01.3088.1_4/27-294,ORPW01,SAMEA2338703,['Moorella_thermoacetica_Y72_copy_2__MooTher5'],6.845465635
OYNT01.492.1_1/63-436,OYNT01,SAMN06165591,['uncultured_bacterium__EF645667'],0.085633606
OYNT01.275.1_5/53-397,OYNT01,SAMN06165591,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.372917984
OYNT01.492.1_2/11-266,OYNT01,SAMN06165591,['uncultured_bacterium__EF645667'],0.143411722
OYNT01.275.1_4/5-240,OYNT01,SAMN06165591,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.302059796
OYNT01.3576.1_1/6-165,OYNT01,SAMN06165591,['Desulfitibacter_alkalitolerans__DfiAlka2'],1.182267796
OYNT01.3576.1_2/1-98,OYNT01,SAMN06165591,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.048232984
ORJZ01.439.1_2/50-397,ORJZ01,SAMN04329869,['Anaerobic_bacterium_sk.prop8__Bv2Prop2'],1.131263984
ORJZ01.439.1_3/7-240,ORJZ01,SAMN04329869,['Desulfitibacter_alkalitolerans__DfiAlka2'],0.921408796
ORJZ01.5073.1_1/63-299,ORJZ01,SAMN04329869,['uncultured_bacterium__EF645667'],0.042760231
ORJZ01.3824.1_2/1-203,ORJZ01,SAMN04329869,"['uncultured_bacterium__EF645667', 'uncultured_bacterium__EF645664']",NA
ORJZ01.4803.1_1/23-242,ORJZ01,SAMN04329869,['Bilophila_wadsworthia__BilWads6'],0.136644964
ORJZ01.17253.1_1/2-182,ORJZ01,SAMN04329869,['MSW_digester_clone__Unc01cxc'],1.3790896
ORJZ01.16040.1_1/2-139,ORJZ01,SAMN04329869,['uncultured_bacterium__EF645667'],NA
