# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_2_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_2/E11_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_2/E11_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_2/E11_1.bam	RPKG
32_7	k141_14058	5834	6907	-	1074	2	0.00168338
33_1	k141_126489	2	1567	-	1566	0	0
33_2	k141_126489	1546	2136	-	591	0	0
33_3	k141_126489	2151	2702	-	552	0	0
34_1	k141_21087	2	523	-	522	4	0.00692703
34_2	k141_21087	912	1568	+	657	2	0.00275183
35_1	k141_7040	1	453	+	453	0	0
35_2	k141_7040	704	2500	+	1797	6	0.00301829
35_3	k141_7040	2506	3144	+	639	0	0
36_1	k141_84334	3	1520	-	1518	3	0.00178652
37_1	k141_105415	3	92	-	90	0	0
37_2	k141_105415	97	492	-	396	0	0
37_3	k141_105415	898	1032	+	135	0	0
38_1	k141_98383	3	302	+	300	11	0.0331458
38_2	k141_98383	385	1197	+	813	26	0.0289095
38_3	k141_98383	1244	3370	+	2127	76	0.0323001
38_4	k141_98383	3394	3768	+	375	11	0.0265167
38_5	k141_98383	3885	4160	+	276	6	0.0196517
39_1	k141_21090	3	1343	+	1341	0	0
40_1	k141_70281	1	843	-	843	0	0
40_2	k141_70281	960	2576	-	1617	3	0.00167714
41_1	k141_126493	1	1011	-	1011	5	0.00447071
42_1	k141_84336	1	1179	+	1179	19	0.0145679
43_1	k141_11	1	3357	-	3357	290	0.0780916
43_2	k141_11	3553	5280	-	1728	199	0.104104
43_3	k141_11	5287	6447	-	1161	94	0.0731903
43_4	k141_11	6469	8082	-	1614	153	0.085693
43_5	k141_11	8271	8732	+	462	24	0.0469599
44_1	k141_35158	90	242	+	153	1	0.00590835
44_2	k141_35158	229	603	+	375	12	0.0289273
44_3	k141_35158	640	1593	+	954	26	0.0246367
44_4	k141_35158	1635	1838	+	204	2	0.00886252
45_1	k141_98385	115	477	+	363	0	0
45_2	k141_98385	490	705	+	216	0	0
45_3	k141_98385	733	978	+	246	0	0
45_4	k141_98385	1245	1373	+	129	3	0.0210227
46_1	k141_119460	3	974	-	972	1	0.000930018
46_2	k141_119460	1140	2153	-	1014	3	0.00267449
47_1	k141_14066	2	691	-	690	0	0
47_2	k141_14066	830	1030	+	201	0	0
48_1	k141_28141	9	1244	-	1236	20	0.0146275
49_1	k141_77318	1	306	-	306	4	0.0118167
49_2	k141_77318	334	1146	-	813	13	0.0144547
49_3	k141_77318	1214	1588	-	375	0	0
50_1	k141_84339	105	647	-	543	0	0
50_2	k141_84339	1251	1925	+	675	2	0.00267845
50_3	k141_84339	2053	2760	-	708	0	0
51_1	k141_70287	2	856	+	855	1	0.00105728
52_1	k141_98387	2	994	+	993	1	0.00091035
52_2	k141_98387	997	1449	+	453	2	0.00399107
52_3	k141_98387	1712	2164	+	453	0	0
52_4	k141_98387	2208	2438	-	231	0	0
52_5	k141_98387	2529	2867	-	339	1	0.0026666
53_1	k141_126499	3	77	-	75	0	0
53_2	k141_126499	117	1277	-	1161	94	0.0731903
53_3	k141_126499	1292	2179	-	888	75	0.0763494
53_4	k141_126499	2176	2913	-	738	49	0.0600202
54_1	k141_70288	1	1104	+	1104	0	0
55_1	k141_21096	2	112	+	111	0	0
55_2	k141_21096	177	1352	+	1176	48	0.036897
55_3	k141_21096	1447	2943	-	1497	24	0.0144926
56_1	k141_14069	3	860	+	858	1	0.00105359
56_2	k141_14069	864	1346	-	483	0	0
56_3	k141_14069	1363	2172	-	810	10	0.0111602
56_4	k141_14069	2159	2458	-	300	2	0.00602652
57_1	k141_35168	3	218	-	216	0	0
57_2	k141_35168	494	1174	-	681	0	0
58_1	k141_24	3	938	+	936	0	0
59_1	k141_28150	3	197	+	195	2	0.00927156
59_2	k141_28150	149	556	-	408	0	0
59_3	k141_28150	581	1426	-	846	3	0.00320559
60_1	k141_56228	208	1158	-	951	1	0.000950555
60_2	k141_56228	1355	1939	-	585	2	0.00309052
60_3	k141_56228	2163	2465	-	303	1	0.00298342
60_4	k141_56228	2484	2990	-	507	4	0.00713197
60_5	k141_56228	2995	3435	-	441	3	0.00614951
60_6	k141_56228	3455	3856	-	402	7	0.0157409
60_7	k141_56228	3873	4235	-	363	2	0.00498059
60_8	k141_56228	4225	4536	-	312	0	0
60_9	k141_56228	4860	5840	-	981	12	0.0110578
60_10	k141_56228	6094	7179	-	1086	9	0.00749153
60_11	k141_56228	7799	8152	-	354	1	0.00255361
60_12	k141_56228	8112	8447	-	336	0	0
60_13	k141_56228	8454	9512	-	1059	8	0.00682891
60_14	k141_56228	9606	10205	-	600	5	0.00753315
60_15	k141_56228	10564	11178	-	615	7	0.0102892
61_1	k141_105416	2	760	-	759	0	0
61_2	k141_105416	781	2034	-	1254	0	0
61_3	k141_105416	2127	3239	-	1113	0	0
61_4	k141_105416	3275	4501	-	1227	0	0
61_5	k141_105416	4547	5569	-	1023	0	0
61_6	k141_105416	5622	6152	-	531	0	0
61_7	k141_105416	6183	8414	-	2232	0	0
61_8	k141_105416	8540	8857	-	318	0	0
62_1	k141_28151	2	1288	-	1287	2	0.00140478
63_1	k141_35169	1	954	-	954	77	0.0729625
63_2	k141_35169	1330	2913	+	1584	149	0.0850332
64_1	k141_98392	137	1282	+	1146	19	0.0149874
64_2	k141_98392	1368	1706	+	339	0	0
64_3	k141_98392	1757	2242	+	486	6	0.0111602
65_1	k141_98393	3	125	+	123	0	0
65_2	k141_98393	181	1044	-	864	0	0
66_1	k141_21105	1	603	-	603	0	0
66_2	k141_21105	596	1054	-	459	0	0
67_1	k141_126501	2	1609	-	1608	8	0.0044974
67_2	k141_126501	1625	1843	-	219	2	0.0082555
67_3	k141_126501	1857	3230	-	1374	6	0.0039475
67_4	k141_126501	3214	3381	-	168	0	0
67_5	k141_126501	3378	3641	-	264	0	0
67_6	k141_126501	3654	4829	-	1176	6	0.00461213
68_1	k141_7046	1	75	-	75	0	0
68_2	k141_7046	155	343	-	189	0	0
68_3	k141_7046	502	1770	-	1269	3	0.00213706
68_4	k141_7046	1951	2967	-	1017	7	0.00622207
68_5	k141_7046	3518	3715	-	198	0	0
68_6	k141_7046	3843	5219	-	1377	19	0.0124732
68_7	k141_7046	5222	5809	-	588	8	0.012299
68_8	k141_7046	5806	6129	-	324	0	0
68_9	k141_7046	6343	6726	-	384	1	0.00235411
68_10	k141_7046	6812	8881	-	2070	11	0.00480374
68_11	k141_7046	9066	10415	-	1350	8	0.0053569
69_1	k141_84355	2	103	+	102	0	0
69_2	k141_84355	149	1156	+	1008	0	0
70_1	k141_14080	1	1494	+	1494	4	0.00242029
71_1	k141_98396	3	485	+	483	0	0
71_2	k141_98396	583	1245	+	663	4	0.00545386
72_1	k141_119467	2	499	+	498	0	0
72_2	k141_119467	696	1004	+	309	0	0
72_3	k141_119467	1025	1357	+	333	0	0
72_4	k141_119467	1363	1644	+	282	0	0
72_5	k141_119467	1757	3046	+	1290	0	0
72_6	k141_119467	3073	3363	+	291	0	0
72_7	k141_119467	3420	4046	+	627	0	0
72_8	k141_119467	4018	4599	+	582	0	0
72_9	k141_119467	4702	5058	+	357	0	0
72_10	k141_119467	5156	5926	+	771	3	0.00351742
72_11	k141_119467	6295	6912	-	618	0	0
73_1	k141_84356	2	1021	-	1020	14	0.0124075
74_1	k141_14082	3	209	+	207	0	0
74_2	k141_14082	240	1079	-	840	16	0.0172186
75_1	k141_84357	3	710	+	708	1	0.0012768
75_2	k141_84357	845	1303	-	459	6	0.0118167
76_1	k141_28152	1	951	-	951	4	0.00380222
76_2	k141_28152	957	1469	-	513	3	0.00528642
76_3	k141_28152	1482	3338	-	1857	19	0.0092491
76_4	k141_28152	3338	4609	-	1272	11	0.00781742
76_5	k141_28152	4625	5452	-	828	4	0.00436704
77_1	k141_126502	2	1456	+	1455	6	0.00372774
77_2	k141_126502	1814	3421	+	1608	9	0.00505958
78_1	k141_119469	1	1890	-	1890	7	0.00334806
79_1	k141_7051	64	1890	+	1827	129	0.0638276
80_1	k141_126503	39	1265	+	1227	6	0.00442043
81_1	k141_21115	2	73	-	72	0	0
81_2	k141_21115	109	1416	-	1308	14	0.0096756
82_1	k141_105419	3	194	-	192	253	1.19118
82_2	k141_105419	505	1515	-	1011	1789	1.59962
82_3	k141_105419	1532	1957	-	426	311	0.659946
82_4	k141_105419	1982	3649	-	1668	2557	1.38577
82_5	k141_105419	3670	6699	-	3030	4958	1.47918
82_6	k141_105419	6734	6817	-	84	2	0.0215233
83_1	k141_28153	3	824	+	822	1	0.00109973
83_2	k141_28153	921	2036	-	1116	4	0.00324006
83_3	k141_28153	2017	2304	-	288	0	0
84_1	k141_84358	2	322	+	321	1	0.00281613
84_2	k141_84358	315	1049	+	735	4	0.00491961
84_3	k141_84358	1189	1464	+	276	0	0
84_4	k141_84358	1447	2109	-	663	3	0.0040904
84_5	k141_84358	2280	2912	+	633	4	0.00571234
85_1	k141_14085	2	484	+	483	5	0.00935794
85_2	k141_14085	641	1552	+	912	17	0.0168505
85_3	k141_14085	1574	2035	-	462	4	0.00782664
86_1	k141_21116	3	413	-	411	1	0.00219946
86_2	k141_21116	427	1299	-	873	6	0.0062129
87_1	k141_98405	3	95	+	93	0	0
87_2	k141_98405	64	531	+	468	53	0.102374
87_3	k141_98405	559	1719	-	1161	76	0.0591751
87_4	k141_98405	1773	2309	+	537	53	0.0892194
88_1	k141_119471	1	804	-	804	2	0.0022487
88_2	k141_119471	809	2356	-	1548	4	0.00233586
88_3	k141_119471	2480	2926	-	447	0	0
89_1	k141_7060	1	438	+	438	1	0.00206388
89_2	k141_7060	545	832	+	288	3	0.00941643
89_3	k141_7060	929	1045	-	117	0	0
90_1	k141_84361	215	1192	-	978	38	0.0351239
90_2	k141_84361	1195	1611	-	417	8	0.0173425
90_3	k141_84361	1760	2128	-	369	22	0.0538957
91_1	k141_105420	2	319	+	318	1	0.0028427
91_2	k141_105420	459	866	+	408	6	0.0132938
91_3	k141_105420	1350	2273	+	924	16	0.0156533
91_4	k141_105420	2278	3279	+	1002	9	0.00811956
92_1	k141_126511	1	123	+	123	0	0
92_2	k141_126511	120	803	+	684	0	0
92_3	k141_126511	999	1793	+	795	1	0.00113708
93_1	k141_98410	2	889	-	888	3	0.00305398
93_2	k141_98410	971	1111	-	141	0	0
94_1	k141_21125	2	1042	-	1041	6	0.00521024
95_1	k141_126512	2	919	-	918	0	0
96_1	k141_105421	61	423	+	363	4	0.00996118
96_2	k141_105421	756	1841	+	1086	0	0
97_1	k141_63258	142	1884	-	1743	24	0.0124472
97_2	k141_63258	1906	2295	+	390	4	0.00927156
97_3	k141_63258	2430	2732	+	303	13	0.0387845
97_4	k141_63258	2991	4109	-	1119	34	0.0274667
97_5	k141_63258	4093	5283	-	1191	21	0.0159391
97_6	k141_63258	5289	6218	-	930	13	0.0126362
97_7	k141_63258	6249	7496	-	1248	32	0.0231789
97_8	k141_63258	7552	9777	-	2226	48	0.0194928
97_9	k141_63258	9789	10535	-	747	8	0.00968115
97_10	k141_63258	10685	11896	-	1212	21	0.015663
97_11	k141_63258	12023	13501	+	1479	30	0.0183363
97_12	k141_63258	13557	14729	+	1173	40	0.0308262
97_13	k141_63258	14743	15417	+	675	15	0.0200884
97_14	k141_63258	15439	16080	+	642	15	0.021121
97_15	k141_63258	16111	16737	+	627	4	0.005767
97_16	k141_63258	16763	18031	+	1269	13	0.0092606
97_17	k141_63258	18109	19488	+	1380	22	0.0144112
97_18	k141_63258	19675	19743	+	69	6	0.0786067
98_1	k141_98416	2	613	+	612	21	0.0310188
98_2	k141_98416	606	1346	-	741	10	0.0121994
99_1	k141_119475	2	1993	+	1992	0	0
99_2	k141_119475	2480	2815	+	336	0	0
99_3	k141_119475	2816	3808	+	993	9	0.00819315
100_1	k141_28169	1	180	-	180	0	0
100_2	k141_28169	209	1198	-	990	0	0
100_3	k141_28169	1214	2203	-	990	1	0.000913109
101_1	k141_77319	75	1568	-	1494	18	0.0108913
101_2	k141_77319	1513	2877	-	1365	26	0.0172186
101_3	k141_77319	2908	5301	-	2394	40	0.0151041
101_4	k141_77319	5387	5794	-	408	1	0.00221563
101_5	k141_77319	5891	6892	-	1002	26	0.0234565
101_6	k141_77319	6925	7548	-	624	4	0.00579473
101_7	k141_77319	7545	8846	-	1302	26	0.0180518
101_8	k141_77319	8849	11665	-	2817	35	0.0112315
101_9	k141_77319	11755	12546	-	792	9	0.0102725
101_10	k141_77319	12562	13173	-	612	15	0.0221563
101_11	k141_77319	13185	13919	-	735	14	0.0172186
101_12	k141_77319	13882	14496	-	615	3	0.00440965
101_13	k141_77319	14498	15478	-	981	13	0.0119793
101_14	k141_77319	15496	16815	-	1320	26	0.0178056
101_15	k141_77319	16976	18088	+	1113	22	0.0178684
101_16	k141_77319	18135	18917	-	783	5	0.00577253
101_17	k141_77319	18910	18996	-	87	0	0
102_1	k141_98417	3	281	-	279	1	0.00324006
102_2	k141_98417	288	1121	-	834	7	0.00758734
102_3	k141_98417	1118	1444	-	327	6	0.0165867
103_1	k141_105424	3	539	+	537	2	0.00336677
103_2	k141_105424	944	2353	+	1410	4	0.00256448
104_1	k141_63261	3	926	+	924	3	0.00293499
104_2	k141_63261	1080	1871	+	792	0	0
104_3	k141_63261	1941	2201	+	261	0	0
105_1	k141_28171	1	945	-	945	5	0.00478295
105_2	k141_28171	1458	1712	+	255	1	0.00354501
106_1	k141_21128	2	826	+	825	0	0
106_2	k141_21128	816	2744	+	1929	2	0.00093725
106_3	k141_21128	3137	3445	+	309	0	0
106_4	k141_21128	3450	3626	+	177	0	0
106_5	k141_21128	3703	3930	-	228	0	0
107_1	k141_7061	1	645	-	645	6	0.00840909
107_2	k141_7061	632	754	-	123	0	0
107_3	k141_7061	824	1057	-	234	5	0.0193158
107_4	k141_7061	1320	1508	-	189	0	0
107_5	k141_7061	1617	1898	+	282	3	0.00961678
107_6	k141_7061	1845	2069	-	225	1	0.00401768
107_7	k141_7061	2220	2498	-	279	1	0.00324006
107_8	k141_7061	2498	2698	-	201	0	0
107_9	k141_7061	2922	3305	+	384	6	0.0141246
107_10	k141_7061	3318	3743	+	426	4	0.00848805
107_11	k141_7061	3752	4393	+	642	3	0.00422419
107_12	k141_7061	4410	5114	+	705	15	0.0192336
107_13	k141_7061	5104	5367	+	264	4	0.0136966
107_14	k141_7061	5645	6727	+	1083	23	0.019198
107_15	k141_7061	6762	7097	+	336	0	0
107_16	k141_7061	6943	7938	-	996	2	0.00181522
108_1	k141_28172	2	259	+	258	1	0.00350379
108_2	k141_28172	463	1065	-	603	8	0.0119931
108_3	k141_28172	1062	1202	-	141	0	0
109_1	k141_14093	3	491	+	489	0	0
109_2	k141_14093	509	1660	+	1152	0	0
109_3	k141_14093	1700	2422	+	723	3	0.00375094
109_4	k141_14093	2412	3194	+	783	0	0
109_5	k141_14093	3236	4906	+	1671	0	0
109_6	k141_14093	4915	6801	-	1887	7	0.00335339
110_1	k141_119481	1	600	+	600	1	0.00150663
110_2	k141_119481	735	1856	+	1122	3	0.00241705
111_1	k141_56229	3	749	-	747	2	0.00242029
111_2	k141_56229	774	1469	-	696	1	0.00129882
111_3	k141_56229	1545	2777	-	1233	5	0.00366576
111_4	k141_56229	2790	3539	-	750	5	0.00602652
111_5	k141_56229	3643	4458	-	816	7	0.00775471
111_6	k141_56229	4452	5372	-	921	4	0.00392607
111_7	k141_56229	5389	6228	-	840	5	0.00538082
111_8	k141_56229	6338	7213	-	876	23	0.0237346
111_9	k141_56229	7230	8558	-	1329	7	0.00476136
111_10	k141_56229	8617	9672	-	1056	3	0.00256812
111_11	k141_56229	9676	10287	-	612	8	0.0118167
111_12	k141_56229	10402	10914	-	513	2	0.00352428
111_13	k141_56229	11150	11848	+	699	5	0.00646622
111_14	k141_56229	11848	13362	+	1515	6	0.00358011
111_15	k141_56229	13605	14255	+	651	2	0.0027772
111_16	k141_56229	14269	15273	+	1005	12	0.0107938
111_17	k141_56229	15270	15995	+	726	2	0.0024903
111_18	k141_56229	15992	16600	+	609	8	0.0118749
111_19	k141_56229	16627	17748	+	1122	15	0.0120853
111_20	k141_56229	17793	17981	+	189	0	0
112_1	k141_7063	1	1263	-	1263	0	0
113_1	k141_28176	259	651	+	393	0	0
113_2	k141_28176	623	1867	+	1245	6	0.00435652
114_1	k141_21136	113	586	+	474	3	0.00572138
114_2	k141_21136	778	1173	-	396	0	0
115_1	k141_14100	1	93	+	93	0	0
115_2	k141_14100	90	356	+	267	3	0.0101571
115_3	k141_14100	455	865	+	411	3	0.00659838
115_4	k141_14100	874	1008	+	135	0	0
116_1	k141_56230	3	1709	-	1707	1601	0.847843
117_1	k141_119482	2	1975	+	1974	4	0.00183177
117_2	k141_119482	2016	2657	-	642	0	0
117_3	k141_119482	2638	2994	-	357	0	0
118_1	k141_98431	827	1420	+	594	6	0.00913109
118_2	k141_98431	1413	1562	+	150	0	0
119_1	k141_35170	1	1170	-	1170	21	0.0162252
119_2	k141_35170	1408	2973	-	1566	49	0.0282854
119_3	k141_35170	2985	4262	-	1278	44	0.0311229
119_4	k141_35170	4259	5113	-	855	29	0.0306612
119_5	k141_35170	5100	6110	-	1011	33	0.0295067
119_6	k141_35170	6114	7187	-	1074	35	0.0294592
119_7	k141_35170	7390	8523	-	1134	34	0.0271034
119_8	k141_35170	8842	10599	+	1758	37	0.0190257
119_9	k141_35170	10813	11277	+	465	4	0.00777615
119_10	k141_35170	11365	14670	-	3306	67	0.0183202
119_11	k141_35170	14708	15511	-	804	19	0.0213627
119_12	k141_35170	15629	16168	-	540	11	0.0184144
119_13	k141_35170	16328	17323	-	996	12	0.0108913
119_14	k141_35170	17337	18095	-	759	13	0.0154831
119_15	k141_35170	18354	19115	-	762	25	0.0296581
119_16	k141_35170	19289	19798	-	510	13	0.0230426
120_1	k141_84363	193	894	+	702	15	0.0193158
120_2	k141_84363	1184	2293	+	1110	26	0.0211742
120_3	k141_84363	2780	3049	+	270	4	0.0133923
120_4	k141_84363	3077	3493	+	417	10	0.0216781
120_5	k141_84363	3550	4308	+	759	12	0.0142921
120_6	k141_84363	4439	4717	+	279	4	0.0129603
120_7	k141_84363	4836	5339	+	504	19	0.0340785
120_8	k141_84363	5336	5875	+	540	14	0.0234365
120_9	k141_84363	6000	7529	+	1530	53	0.0313143
120_10	k141_84363	7550	8407	+	858	17	0.017911
120_11	k141_84363	8426	9820	+	1395	34	0.0220324
120_12	k141_84363	9836	10237	+	402	15	0.0337305
121_1	k141_21138	1	1527	+	1527	5	0.00295998
122_1	k141_7069	2	154	-	153	2	0.0118167
122_2	k141_7069	342	728	-	387	8	0.0186869
122_3	k141_7069	796	1950	-	1155	6	0.00469599
122_4	k141_7069	1982	2266	-	285	7	0.022203
123_1	k141_84366	19	1083	+	1065	1	0.000848805
124_1	k141_35174	1	1005	-	1005	40	0.0359792
125_1	k141_56232	3	644	+	642	0	0
125_2	k141_56232	663	2054	+	1392	4	0.00259764
125_3	k141_56232	2336	2566	-	231	4	0.0156533
126_1	k141_77325	3	1178	-	1176	32	0.024598
126_2	k141_77325	1257	2171	-	915	33	0.0326025
126_3	k141_77325	2389	2652	+	264	8	0.0273933
126_4	k141_77325	2775	3761	-	987	46	0.0421307
126_5	k141_77325	3935	4852	-	918	34	0.0334806
126_6	k141_77325	4872	5420	-	549	24	0.0395181
126_7	k141_77325	5495	5680	-	186	0	0
127_1	k141_14107	3	764	-	762	1	0.00118632
127_2	k141_14107	781	1188	-	408	0	0
128_1	k141_98432	2	751	+	750	536	0.646043
128_2	k141_98432	738	1913	+	1176	1025	0.787906
128_3	k141_98432	1931	2923	+	993	814	0.741025
128_4	k141_98432	2916	3239	+	324	192	0.53569
129_1	k141_84367	2	796	-	795	0	0
129_2	k141_84367	793	2241	-	1449	1	0.000623863
130_1	k141_21148	3	788	-	786	0	0
131_1	k141_56236	58	435	-	378	6	0.0143488
131_2	k141_56236	690	2267	+	1578	19	0.0108844
132_1	k141_35177	2	67	+	66	0	0
132_2	k141_35177	111	344	+	234	5	0.0193158
132_3	k141_35177	575	1930	+	1356	28	0.0186662
132_4	k141_35177	1938	2159	+	222	0	0
133_1	k141_14113	3	794	+	792	1	0.00114139
133_2	k141_14113	861	1853	+	993	7	0.00637245
133_3	k141_14113	1884	2159	+	276	0	0
134_1	k141_77327	3	770	+	768	8	0.00941643
134_2	k141_77327	829	1719	+	891	8	0.00811652
134_3	k141_77327	1723	2433	+	711	4	0.00508567
134_4	k141_77327	2494	3486	-	993	3	0.00273105
135_1	k141_84372	1	1266	+	1266	16	0.0114247
135_2	k141_84372	1280	1654	+	375	0	0
136_1	k141_28185	33	254	+	222	0	0
136_2	k141_28185	256	1761	+	1506	1	0.000600251
136_3	k141_28185	1865	2839	+	975	4	0.00370863
136_4	k141_28185	2973	3590	+	618	0	0
137_1	k141_21153	3	692	+	690	0	0
137_2	k141_21153	692	1537	+	846	0	0
138_1	k141_28187	1	615	+	615	3	0.00440965
138_2	k141_28187	635	1132	+	498	0	0
139_1	k141_84374	1	81	+	81	0	0
139_2	k141_84374	181	396	+	216	0	0
139_3	k141_84374	469	855	+	387	1	0.00233586
139_4	k141_84374	869	2089	+	1221	3	0.00222107
140_1	k141_14114	3	1793	-	1791	17	0.00858047
140_2	k141_14114	1982	2638	+	657	14	0.0192628
140_3	k141_14114	2635	3234	+	600	4	0.00602652
141_1	k141_28190	1	1242	-	1242	1	0.00072784
142_1	k141_98435	98	451	+	354	17	0.0434113
142_2	k141_98435	1001	1921	-	921	20	0.0196303
142_3	k141_98435	1935	2972	-	1038	17	0.014805
142_4	k141_98435	2993	3829	-	837	11	0.0118802
142_5	k141_98435	3856	4878	-	1023	18	0.0159058
142_6	k141_98435	4932	5906	-	975	11	0.0101987
142_7	k141_98435	5915	6718	-	804	10	0.0112435
143_1	k141_84378	63	965	+	903	2	0.00200216
144_1	k141_21154	2	493	+	492	14	0.0257229
144_2	k141_21154	493	1035	+	543	11	0.0183126
144_3	k141_21154	1156	1917	+	762	5	0.00593161
144_4	k141_21154	2328	2960	+	633	6	0.00856851
144_5	k141_21154	3010	3198	+	189	1	0.00478295
145_1	k141_126513	1	5610	-	5610	13	0.00209478
145_2	k141_126513	5887	6666	-	780	3	0.00347684
145_3	k141_126513	6638	7453	-	816	1	0.00110782
145_4	k141_126513	7564	8766	-	1203	5	0.00375718
