# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_8_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_8/A22_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_8/A22_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_8/A22_2.bam	RPKG
52_2	k141_96848	1150	2103	-	954	543	0.279736
53_1	k141_26426	137	1162	+	1026	19	0.0091013
54_1	k141_114442	44	994	+	951	15	0.0077519
54_2	k141_114442	968	1591	-	624	8	0.0063009
54_3	k141_114442	1603	2115	-	513	14	0.0134124
54_4	k141_114442	2112	2588	-	477	25	0.0257584
54_5	k141_114442	2731	3132	-	402	7	0.00855794
54_6	k141_114442	3429	3650	+	222	4	0.00885532
54_7	k141_114442	3763	4281	-	519	19	0.0179922
54_8	k141_114442	4545	6599	-	2055	77	0.0184152
54_9	k141_114442	6618	8306	-	1689	45	0.0130942
54_10	k141_114442	8322	8678	-	357	3	0.00413
54_11	k141_114442	8923	9108	+	186	2	0.00528463
54_12	k141_114442	9655	10059	-	405	20	0.0242701
54_13	k141_114442	10063	11115	-	1053	20	0.00933467
55_1	k141_8821	1	1239	+	1239	10	0.00396667
55_2	k141_8821	1204	1944	-	741	0	0
56_1	k141_167260	1	153	+	153	2	0.00642445
56_2	k141_167260	659	952	+	294	1	0.00167167
56_3	k141_167260	1074	2615	+	1542	15	0.00478084
56_4	k141_167260	2772	4304	+	1533	3	0.000961782
56_5	k141_167260	4410	5174	+	765	0	0
57_1	k141_17617	64	1011	+	948	1	0.000518429
58_1	k141_105658	1	1176	+	1176	10	0.00417917
59_1	k141_26428	1	333	+	333	43	0.0634631
59_2	k141_26428	401	1228	-	828	128	0.0759761
60_1	k141_88040	2	520	+	519	3	0.00284087
60_2	k141_88040	658	1818	+	1161	7	0.00296321
61_1	k141_96852	2	151	+	150	3	0.00982941
61_2	k141_96852	455	1078	-	624	0	0
62_1	k141_8823	43	513	+	471	3	0.00313038
62_2	k141_8823	980	1231	-	252	1	0.00195028
63_1	k141_23	443	700	-	258	10	0.0190492
63_2	k141_23	832	981	-	150	2	0.00655294
63_3	k141_23	1061	1552	-	492	12	0.0119871
64_1	k141_114448	2	535	+	534	0	0
64_2	k141_114448	696	818	-	123	0	0
64_3	k141_114448	948	1223	-	276	0	0
65_1	k141_26429	3	233	+	231	0	0
65_2	k141_26429	457	1974	-	1518	10	0.00323762
66_1	k141_167262	1	255	-	255	0	0
66_2	k141_167262	478	939	-	462	0	0
66_3	k141_167262	974	2833	-	1860	1	0.000264231
67_1	k141_123255	75	986	+	912	1	0.000538893
67_2	k141_123255	1126	1644	-	519	0	0
67_3	k141_123255	1930	2004	+	75	0	0
68_1	k141_105664	1	513	-	513	3	0.0028741
68_2	k141_105664	503	1006	-	504	0	0
69_1	k141_8825	1	537	-	537	3	0.00274564
69_2	k141_8825	603	1622	-	1020	27	0.0130095
70_1	k141_96857	1	195	-	195	0	0
70_2	k141_96857	233	1018	-	786	2	0.00125056
71_1	k141_25	191	616	+	426	6	0.00692212
71_2	k141_25	963	1274	+	312	5	0.00787613
71_3	k141_25	1949	2449	+	501	2	0.00196196
72_1	k141_26430	2	736	+	735	0	0
72_2	k141_26430	794	1798	-	1005	4	0.0019561
73_1	k141_123258	1	474	-	474	41	0.0425111
73_2	k141_123258	474	1049	-	576	20	0.0170649
74_1	k141_96859	2	1198	+	1197	10	0.00410585
75_1	k141_17623	1	792	+	792	14	0.00868761
75_2	k141_17623	914	1297	+	384	4	0.00511948
75_3	k141_17623	1487	1720	+	234	5	0.0105015
75_4	k141_17623	1846	2319	-	474	2	0.00207371
75_5	k141_17623	2319	3527	-	1209	2	0.00081302
76_1	k141_105665	2	2080	-	2079	0	0
77_1	k141_61666	3	1301	+	1299	16	0.00605352
78_1	k141_96861	2	151	+	150	8	0.0262118
78_2	k141_96861	456	1079	-	624	38	0.0299293
79_1	k141_114453	2	169	-	168	0	0
79_2	k141_114453	226	3642	+	3417	18	0.00258896
80_1	k141_123259	93	1190	-	1098	0	0
80_2	k141_123259	1183	2091	-	909	0	0
81_1	k141_61667	2	670	+	669	4	0.00293854
81_2	k141_61667	766	1110	-	345	8	0.0113964
82_1	k141_26438	2	391	-	390	0	0
82_2	k141_26438	739	1140	-	402	2	0.00244513
83_1	k141_123261	2	1108	-	1107	7	0.00310776
84_1	k141_105674	243	971	-	729	240	0.161801
85_1	k141_158462	1	405	+	405	17	0.0206296
85_2	k141_158462	452	1396	+	945	61	0.0317245
85_3	k141_158462	1793	4453	+	2661	170	0.031398
85_4	k141_158462	4552	6756	+	2205	125	0.0278611
85_5	k141_158462	6743	8083	+	1341	104	0.0381155
85_6	k141_158462	8076	8225	+	150	10	0.0327647
85_7	k141_158462	8325	9689	+	1365	117	0.042126
85_8	k141_158462	9820	10131	+	312	17	0.0267788
85_9	k141_158462	10133	10588	+	456	25	0.0269446
85_10	k141_158462	10567	11280	+	714	63	0.043365
85_11	k141_158462	11393	11620	+	228	10	0.0215557
85_12	k141_158462	11571	12245	+	675	43	0.0313085
85_13	k141_158462	12205	12621	+	417	15	0.0176788
85_14	k141_158462	12626	13087	+	462	23	0.0244671
85_15	k141_158462	13122	14126	+	1005	84	0.0410781
85_16	k141_158462	14155	14511	+	357	20	0.0275334
85_17	k141_158462	14696	15559	-	864	41	0.0233221
85_18	k141_158462	15768	15830	+	63	0	0
86_1	k141_61669	119	412	+	294	2	0.00334334
86_2	k141_61669	476	2140	-	1665	11	0.00324695
87_1	k141_123262	1	126	+	126	0	0
87_2	k141_123262	297	620	+	324	0	0
87_3	k141_123262	884	1384	-	501	1	0.000980979
87_4	k141_123262	1644	1988	+	345	0	0
88_1	k141_26444	1	813	-	813	2	0.00120903
88_2	k141_26444	1076	1216	-	141	0	0
89_1	k141_70427	210	1244	+	1035	12	0.00569821
89_2	k141_70427	1253	1789	+	537	5	0.00457607
89_3	k141_70427	2090	3091	+	1002	2	0.000980979
89_4	k141_70427	3094	5874	+	2781	37	0.0065388
89_5	k141_70427	5829	6353	+	525	8	0.00748907
89_6	k141_70427	6454	6831	+	378	2	0.00260037
89_7	k141_70427	6979	7386	-	408	17	0.0204779
89_8	k141_70427	7416	7604	-	189	10	0.0260037
89_9	k141_70427	8102	8695	+	594	12	0.00992869
89_10	k141_70427	8692	9684	+	993	37	0.0183126
89_11	k141_70427	9681	10379	+	699	23	0.0161714
89_12	k141_70427	10376	11572	+	1197	44	0.0180657
89_13	k141_70427	11930	12772	+	843	17	0.00991103
89_14	k141_70427	12776	13042	+	267	0	0
90_1	k141_167263	1	741	-	741	40	0.0265301
90_2	k141_167263	728	2452	-	1725	155	0.0441611
90_3	k141_167263	2663	5371	-	2709	293	0.0531564
90_4	k141_167263	5385	7262	-	1878	197	0.0515547
90_5	k141_167263	7259	7741	-	483	27	0.0274735
91_1	k141_79238	3	476	+	474	0	0
91_2	k141_79238	501	1532	+	1032	1	0.000476231
91_3	k141_79238	1526	2122	+	597	0	0
91_4	k141_79238	2187	3461	+	1275	2	0.000770934
91_5	k141_79238	3718	4404	+	687	0	0
91_6	k141_79238	4467	4691	+	225	0	0
91_7	k141_79238	4725	5216	+	492	0	0
91_8	k141_79238	5209	5721	+	513	0	0
91_9	k141_79238	5732	7270	+	1539	4	0.00127738
91_10	k141_79238	7237	8130	+	894	0	0
91_11	k141_79238	8154	9560	+	1407	2	0.000698607
91_12	k141_79238	9641	10069	+	429	0	0
91_13	k141_79238	10088	10990	-	903	0	0
91_14	k141_79238	11271	12656	+	1386	0	0
92_1	k141_70428	2	568	+	567	0	0
92_2	k141_70428	704	1078	+	375	0	0
93_1	k141_26446	1	654	-	654	19	0.0142782
93_2	k141_26446	811	1140	-	330	2	0.00297861
94_1	k141_123263	170	1453	+	1284	658	0.251859
94_2	k141_123263	1500	1838	-	339	70	0.101484
95_1	k141_140846	297	881	+	585	62	0.0520875
95_2	k141_140846	1063	2613	+	1551	210	0.0665434
95_3	k141_140846	2626	3207	+	582	294	0.248269
95_4	k141_140846	3277	3663	+	387	65	0.0825467
95_5	k141_140846	3675	4676	+	1002	177	0.0868166
95_6	k141_140846	4818	6251	+	1434	160	0.0548363
95_7	k141_140846	6515	7663	+	1149	185	0.0791314
95_8	k141_140846	7666	8703	+	1038	188	0.0890139
95_9	k141_140846	8696	9922	+	1227	176	0.0704962
95_10	k141_140846	9922	11631	+	1710	252	0.0724272
95_11	k141_140846	11631	12104	+	474	81	0.0839854
95_12	k141_140846	12104	12637	+	534	51	0.0469382
95_13	k141_140846	12665	12940	+	276	29	0.05164
95_14	k141_140846	13141	13968	-	828	124	0.0736018
95_15	k141_140846	14312	15322	+	1011	129	0.0627099
95_16	k141_140846	15617	18253	+	2637	537	0.100083
95_17	k141_140846	18403	19020	-	618	86	0.0683923
95_18	k141_140846	19040	19651	-	612	109	0.0875331
95_19	k141_140846	19737	20120	+	384	44	0.0563143
95_20	k141_140846	20172	21272	-	1101	142	0.0633867
95_21	k141_140846	21265	21957	-	693	64	0.0453883
95_22	k141_140846	21957	22754	-	798	136	0.0837594
95_23	k141_140846	22776	23753	-	978	98	0.0492475
95_24	k141_140846	23979	24338	-	360	47	0.0641642
95_25	k141_140846	24483	24923	-	441	85	0.0947278
95_26	k141_140846	25284	25652	+	369	31	0.0412888
96_1	k141_70430	3	248	+	246	0	0
96_2	k141_70430	804	1409	-	606	2	0.00162201
97_1	k141_167266	1	159	+	159	5	0.015455
97_2	k141_167266	486	959	+	474	7	0.007258
97_3	k141_167266	1538	1903	+	366	34	0.0456557
97_4	k141_167266	1960	2226	+	267	19	0.0349735
98_1	k141_44039	2	589	+	588	24	0.02006
98_2	k141_44039	781	2085	-	1305	73	0.0274922
98_3	k141_44039	2085	2876	-	792	21	0.0130314
98_4	k141_44039	2873	3418	-	546	19	0.0171024
98_5	k141_44039	3411	4469	-	1059	48	0.0222763
98_6	k141_44039	4456	4908	-	453	9	0.00976431
98_7	k141_44039	4927	6576	-	1650	66	0.0196588
98_8	k141_44039	6595	6858	-	264	9	0.0167547
98_9	k141_44039	6919	8778	-	1860	65	0.017175
98_10	k141_44039	8791	9207	-	417	15	0.0176788
98_11	k141_44039	9221	11368	-	2148	103	0.0235668
98_12	k141_44039	11361	11546	-	186	6	0.0158539
98_13	k141_44039	11561	11959	-	399	23	0.0283304
98_14	k141_44039	11952	12380	-	429	25	0.0286405
98_15	k141_44039	12377	12829	-	453	16	0.0173588
98_16	k141_44039	12819	13175	-	357	13	0.0178967
98_17	k141_44039	13156	13470	-	315	20	0.0312045
98_18	k141_44039	13467	14210	-	744	18	0.0118904
98_19	k141_44039	14222	14650	-	429	12	0.0137474
98_20	k141_44039	14710	15909	-	1200	20	0.00819117
98_21	k141_44039	15948	16340	-	393	2	0.00250112
99_1	k141_96871	109	609	-	501	3	0.00294294
99_2	k141_96871	632	2065	-	1434	6	0.00205636
99_3	k141_96871	2079	2939	-	861	0	0
99_4	k141_96871	2893	3027	-	135	0	0
99_5	k141_96871	3039	4415	-	1377	7	0.0024984
99_6	k141_96871	4450	4947	-	498	0	0
100_1	k141_26451	1	405	-	405	0	0
100_2	k141_26451	641	1348	+	708	1	0.000694167
101_1	k141_123268	2	535	+	534	33	0.0303718
101_2	k141_123268	801	1304	+	504	78	0.0760609
102_1	k141_35224	149	307	+	159	6	0.0185461
102_2	k141_35224	311	898	+	588	17	0.0142092
102_3	k141_35224	885	1055	+	171	8	0.0229928
102_4	k141_35224	1086	3080	+	1995	43	0.0105931
102_5	k141_35224	3195	5363	+	2169	70	0.0158612
102_6	k141_35224	5406	5834	+	429	19	0.0217668
102_7	k141_35224	5893	6321	+	429	19	0.0217668
102_8	k141_35224	6422	6895	+	474	8	0.00829486
102_9	k141_35224	6864	7430	+	567	10	0.00866791
102_10	k141_35224	7469	7966	+	498	9	0.00888199
102_11	k141_35224	7963	8805	+	843	29	0.016907
102_12	k141_35224	8806	10455	+	1650	49	0.0145952
102_13	k141_35224	10490	12985	+	2496	70	0.0137832
102_14	k141_35224	12995	14311	+	1317	30	0.0111952
102_15	k141_35224	14308	15018	+	711	20	0.0138248
102_16	k141_35224	15030	15803	+	774	10	0.00634975
102_17	k141_35224	15832	16446	+	615	23	0.0183802
102_18	k141_35224	16464	17858	+	1395	58	0.0204339
102_19	k141_35224	17871	19271	+	1401	41	0.0143828
102_20	k141_35224	19293	20264	+	972	29	0.0146632
102_21	k141_35224	20261	20782	+	522	21	0.0197718
102_22	k141_35224	20783	21655	+	873	21	0.0118223
102_23	k141_35224	21668	25156	+	3489	69	0.00971953
103_1	k141_140850	26	1231	+	1206	3	0.00122256
104_1	k141_8826	3	194	-	192	5	0.0127987
104_2	k141_8826	323	541	-	219	7	0.0157091
104_3	k141_8826	638	2326	-	1689	2	0.000581966
104_4	k141_8826	2467	2646	-	180	0	0
104_5	k141_8826	2876	4363	+	1488	0	0
104_6	k141_8826	4671	5765	+	1095	0	0
104_7	k141_8826	5794	7218	+	1425	0	0
104_8	k141_8826	7202	8596	+	1395	0	0
104_9	k141_8826	8672	9352	+	681	0	0
104_10	k141_8826	9506	10738	-	1233	0	0
104_11	k141_8826	10754	11791	-	1038	1	0.000473478
105_1	k141_27	2	355	+	354	6	0.00833001
105_2	k141_27	423	1025	-	603	17	0.0138557
105_3	k141_27	1029	1538	-	510	22	0.0212007
105_4	k141_27	1551	2774	-	1224	51	0.0204779
105_5	k141_27	2804	2935	-	132	3	0.0111698
105_6	k141_27	3545	4948	-	1404	93	0.0325547
105_7	k141_27	5079	5921	-	843	29	0.016907
105_8	k141_27	5921	6772	-	852	28	0.0161516
105_9	k141_27	6963	8282	-	1320	86	0.03202
105_10	k141_27	8448	9785	-	1338	68	0.0249776
105_11	k141_27	9727	11508	-	1782	71	0.0195816
105_12	k141_27	11505	11702	-	198	2	0.00496435
106_1	k141_70433	1	1239	-	1239	6	0.00238
107_1	k141_96873	2	1081	-	1080	0	0
107_2	k141_96873	1112	1558	-	447	3	0.00329846
108_1	k141_44043	2	439	-	438	1	0.00112208
108_2	k141_44043	451	1434	-	984	0	0
109_1	k141_88052	29	706	-	678	35	0.0253709
109_2	k141_88052	1018	2187	+	1170	129	0.0541878
109_3	k141_88052	2571	4109	-	1539	20	0.00638688
109_4	k141_88052	4106	4282	-	177	0	0
109_5	k141_88052	4248	4907	-	660	2	0.0014893
109_6	k141_88052	4941	5465	-	525	0	0
109_7	k141_88052	5472	5738	-	267	0	0
109_8	k141_88052	5754	6458	-	705	5	0.00348561
109_9	k141_88052	6451	7677	-	1227	17	0.00680929
109_10	k141_88052	7869	8033	-	165	9	0.0268075
109_11	k141_88052	8179	8472	-	294	4	0.00668667
109_12	k141_88052	8979	11096	+	2118	18	0.0041768
109_13	k141_88052	11093	12124	+	1032	5	0.00238115
109_14	k141_88052	12168	13046	-	879	2	0.00111825
109_15	k141_88052	13177	13308	-	132	1	0.00372326
109_16	k141_88052	13413	13517	-	105	3	0.014042
110_1	k141_35228	2	91	+	90	0	0
110_2	k141_35228	75	1388	+	1314	4	0.0014961
111_1	k141_61672	2	100	+	99	0	0
111_2	k141_61672	258	461	+	204	0	0
111_3	k141_61672	489	1394	+	906	5	0.00271231
111_4	k141_61672	1405	2661	+	1257	12	0.00469184
111_5	k141_61672	2724	5381	-	2658	10	0.00184902
111_6	k141_61672	5394	8030	-	2637	9	0.00167737
112_1	k141_149659	2	268	+	267	2	0.00368143
112_2	k141_149659	383	1036	-	654	19	0.0142782
112_3	k141_149659	1189	3825	+	2637	81	0.0150964
112_4	k141_149659	3919	4851	-	933	12	0.00632116
112_5	k141_149659	4864	5793	-	930	34	0.0179677
112_6	k141_149659	5844	7697	-	1854	61	0.0161703
112_7	k141_149659	7762	8463	-	702	18	0.0126018
112_8	k141_149659	8593	10566	-	1974	49	0.0121996
112_9	k141_149659	10750	12243	+	1494	45	0.0148033
112_10	k141_149659	12309	13922	+	1614	32	0.00974415
112_11	k141_149659	14033	17194	-	3162	42	0.00652807
112_12	k141_149659	17195	18358	-	1164	20	0.00844451
112_13	k141_149659	18471	19163	+	693	21	0.014893
112_14	k141_149659	19114	19263	+	150	8	0.0262118
112_15	k141_149659	19776	20777	-	1002	55	0.0269769
112_16	k141_149659	20940	21305	+	366	20	0.0268563
112_17	k141_149659	21316	21807	+	492	21	0.0209774
112_18	k141_149659	21818	22432	+	615	25	0.0199785
112_19	k141_149659	22449	23450	+	1002	56	0.0274674
112_20	k141_149659	23522	23929	+	408	22	0.0265009
113_1	k141_30	1	522	+	522	3	0.00282454
113_2	k141_30	525	1394	+	870	6	0.00338945
113_3	k141_30	1500	1808	+	309	3	0.00477156
113_4	k141_30	1796	2233	+	438	4	0.00448831
114_1	k141_140862	1	495	+	495	2	0.00198574
114_2	k141_140862	523	633	+	111	0	0
114_3	k141_140862	654	1202	-	549	1	0.00089521
115_1	k141_105677	3	119	-	117	0	0
115_2	k141_105677	186	1022	+	837	8	0.00469745
115_3	k141_105677	1184	2392	+	1209	19	0.00772369
115_4	k141_105677	2464	4380	-	1917	7	0.00179462
115_5	k141_105677	4537	5190	+	654	2	0.00150297
115_6	k141_105677	5300	6802	+	1503	5	0.00163496
115_7	k141_105677	6848	8014	+	1167	1	0.00042114
115_8	k141_105677	8094	8441	+	348	4	0.00564908
115_9	k141_105677	8533	9480	+	948	6	0.00311057
115_10	k141_105677	9450	10193	+	744	2	0.00132116
116_1	k141_158477	87	1391	+	1305	517	0.194705
116_2	k141_158477	1432	1914	-	483	196	0.199437
116_3	k141_158477	1914	2978	-	1065	432	0.199357
116_4	k141_158477	3065	4120	-	1056	332	0.154515
116_5	k141_158477	4289	5203	-	915	205	0.110111
117_1	k141_61675	6	995	+	990	0	0
118_1	k141_140863	3	290	+	288	3	0.00511948
118_2	k141_140863	290	586	+	297	2	0.00330956
118_3	k141_140863	604	1074	+	471	8	0.00834769
119_1	k141_123272	3	3638	+	3636	3	0.000405504
119_2	k141_123272	3825	4331	+	507	1	0.00096937
120_1	k141_26456	1	180	-	180	0	0
120_2	k141_26456	746	961	-	216	0	0
120_3	k141_26456	1057	1737	-	681	6	0.00433014
120_4	k141_26456	1892	2281	-	390	12	0.0151222
120_5	k141_26456	2361	2540	-	180	1	0.00273039
120_6	k141_26456	3243	3518	-	276	6	0.0106841
120_7	k141_26456	3616	3978	-	363	2	0.00270783
120_8	k141_26456	4030	4653	-	624	0	0
121_1	k141_96877	3	719	-	717	0	0
121_2	k141_96877	721	1470	-	750	0	0
121_3	k141_96877	1467	1817	-	351	0	0
121_4	k141_96877	1808	2344	-	537	0	0
121_5	k141_96877	2472	3218	-	747	0	0
