# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam
61_7	k141_24780	7318	8364	+	1047	52
61_8	k141_24780	8367	9467	+	1101	87
61_9	k141_24780	9532	10689	+	1158	55
61_10	k141_24780	10818	10958	-	141	11
62_1	k141_7085	1	195	-	195	28
62_2	k141_7085	176	1045	-	870	83
62_3	k141_7085	1075	1383	-	309	34
62_4	k141_7085	1531	1848	-	318	23
62_5	k141_7085	1845	2069	-	225	45
63_1	k141_60178	1	369	-	369	11
63_2	k141_60178	541	1443	+	903	20
63_3	k141_60178	1491	1679	+	189	16
63_4	k141_60178	1910	2929	+	1020	26
63_5	k141_60178	3044	3211	+	168	3
64_1	k141_35396	2	169	+	168	14
64_2	k141_35396	559	1035	-	477	15
65_1	k141_38949	54	779	-	726	22
65_2	k141_38949	779	1546	-	768	38
66_1	k141_63718	3	80	+	78	0
66_2	k141_63718	150	1037	-	888	49
66_3	k141_63718	1442	1912	+	471	49
66_4	k141_63718	2007	2513	+	507	43
66_5	k141_63718	2605	2724	-	120	6
67_1	k141_3564	1	540	+	540	7
67_2	k141_3564	583	1299	+	717	11
67_3	k141_3564	1416	1664	+	249	6
67_4	k141_3564	1691	2236	-	546	19
68_1	k141_53108	2	1054	+	1053	7
69_1	k141_17723	3	968	+	966	21
69_2	k141_17723	984	1286	+	303	9
70_1	k141_31	2	304	-	303	9
70_2	k141_31	474	932	+	459	23
70_3	k141_31	1209	1751	-	543	18
71_1	k141_35399	2	403	-	402	8
71_2	k141_35399	419	928	-	510	5
71_3	k141_35399	915	1943	-	1029	7
72_1	k141_67255	3	254	-	252	2
72_2	k141_67255	229	1128	-	900	14
72_3	k141_67255	1125	1499	-	375	32
72_4	k141_67255	1654	2193	-	540	6
73_1	k141_32	1	423	+	423	14
73_2	k141_32	731	1147	+	417	30
73_3	k141_32	1205	1387	+	183	3
74_1	k141_63719	213	785	+	573	87
74_2	k141_63719	797	1585	+	789	104
74_3	k141_63719	1582	1977	+	396	67
74_4	k141_63719	2036	2191	-	156	18
74_5	k141_63719	2552	2695	+	144	24
75_1	k141_60184	97	327	+	231	88
75_2	k141_60184	486	905	+	420	162
75_3	k141_60184	905	1030	+	126	2
76_1	k141_31873	1	528	-	528	12
76_2	k141_31873	471	575	-	105	0
76_3	k141_31873	572	1777	-	1206	18
76_4	k141_31873	1802	1945	-	144	6
77_1	k141_3568	44	511	+	468	22
77_2	k141_3568	1622	1822	-	201	3
78_1	k141_46032	2	289	-	288	0
78_2	k141_46032	430	1677	-	1248	22
78_3	k141_46032	1689	2213	-	525	7
78_4	k141_46032	2238	3044	-	807	19
79_1	k141_53111	1	186	+	186	5
79_2	k141_53111	347	1729	+	1383	50
80_1	k141_38950	1	600	+	600	203
80_2	k141_38950	588	881	+	294	71
80_3	k141_38950	1100	1672	+	573	168
80_4	k141_38950	1706	3049	+	1344	408
80_5	k141_38950	3046	3504	+	459	148
81_1	k141_33	2	964	+	963	21
82_1	k141_60185	2	1558	+	1557	54
82_2	k141_60185	1548	1973	+	426	5
83_1	k141_3569	1	909	+	909	27
83_2	k141_3569	974	2041	+	1068	26
84_1	k141_56655	1	339	-	339	14
84_2	k141_56655	326	1210	-	885	27
84_3	k141_56655	1429	1557	+	129	1
85_1	k141_49558	3	392	-	390	82
85_2	k141_49558	407	1117	-	711	182
85_3	k141_49558	1130	1888	-	759	217
85_4	k141_49558	1892	2947	-	1056	326
85_5	k141_49558	2958	3845	-	888	300
85_6	k141_49558	4094	5248	-	1155	403
85_7	k141_49558	5678	6034	-	357	133
85_8	k141_49558	6082	6279	-	198	37
85_9	k141_49558	6315	6809	-	495	171
86_1	k141_24795	75	401	-	327	17
87_1	k141_17724	2	511	+	510	5
87_2	k141_17724	871	2220	-	1350	31
87_3	k141_17724	2392	3261	+	870	13
87_4	k141_17724	3292	4653	+	1362	26
87_5	k141_17724	4672	5454	+	783	14
88_1	k141_42483	126	629	-	504	95
88_2	k141_42483	993	1577	+	585	86
88_3	k141_42483	1583	1789	+	207	25
88_4	k141_42483	1895	2710	+	816	145
88_5	k141_42483	2818	3462	-	645	118
88_6	k141_42483	3515	3682	+	168	6
88_7	k141_42483	3637	3741	-	105	0
88_8	k141_42483	3743	4447	-	705	125
88_9	k141_42483	4571	5047	-	477	79
88_10	k141_42483	5386	5736	-	351	67
88_11	k141_42483	5940	6410	-	471	50
88_12	k141_42483	6556	7170	-	615	37
88_13	k141_42483	7167	7511	-	345	35
88_14	k141_42483	7688	10204	-	2517	306
88_15	k141_42483	10197	11447	-	1251	145
89_1	k141_56656	2	790	+	789	22
89_2	k141_56656	920	1654	+	735	45
90_1	k141_53116	3	173	-	171	4
90_2	k141_53116	271	1233	-	963	188
90_3	k141_53116	1509	2012	-	504	87
91_1	k141_31881	2	1498	+	1497	47
92_1	k141_67265	2	475	-	474	11
92_2	k141_67265	456	1115	-	660	12
92_3	k141_67265	1454	2113	-	660	8
93_1	k141_3574	276	701	+	426	2
93_2	k141_3574	680	1054	+	375	7
94_1	k141_35402	2	151	+	150	5
94_2	k141_35402	270	626	+	357	25
94_3	k141_35402	813	950	+	138	3
94_4	k141_35402	1118	4534	+	3417	121
94_5	k141_35402	4605	4712	-	108	2
95_1	k141_24799	628	849	+	222	19
95_2	k141_24799	849	1664	+	816	40
95_3	k141_24799	1661	1870	+	210	28
95_4	k141_24799	2006	2143	+	138	15
96_1	k141_56657	162	1838	+	1677	21
97_1	k141_44	1	747	-	747	6
97_2	k141_44	928	1122	+	195	0
97_3	k141_44	1287	1694	+	408	0
98_1	k141_3575	2	262	+	261	1
98_2	k141_3575	286	1521	+	1236	42
99_1	k141_10623	256	1128	+	873	63
99_2	k141_10623	1252	1965	-	714	33
99_3	k141_10623	2135	4045	-	1911	82
99_4	k141_10623	4011	5393	-	1383	71
99_5	k141_10623	5455	6249	-	795	46
99_6	k141_10623	6262	7338	-	1077	37
99_7	k141_10623	7371	7583	-	213	3
99_8	k141_10623	7590	7931	-	342	18
99_9	k141_10623	8490	9878	+	1389	73
99_10	k141_10623	10183	11292	+	1110	61
99_11	k141_10623	11468	11677	+	210	0
99_12	k141_10623	11625	12758	+	1134	59
99_13	k141_10623	12770	13798	+	1029	39
100_1	k141_31887	1	489	+	489	7
100_2	k141_31887	486	1682	+	1197	45
100_3	k141_31887	1693	2253	+	561	25
101_1	k141_7091	3	515	-	513	11
101_2	k141_7091	570	947	-	378	16
101_3	k141_7091	1147	1926	-	780	22
101_4	k141_7091	1996	4188	-	2193	120
101_5	k141_7091	4195	5313	-	1119	53
101_6	k141_7091	5313	5717	-	405	38
101_7	k141_7091	5727	6911	-	1185	86
101_8	k141_7091	6941	8383	-	1443	106
101_9	k141_7091	8370	8702	-	333	18
101_10	k141_7091	8707	9228	-	522	46
101_11	k141_7091	9416	9625	-	210	10
101_12	k141_7091	9622	10236	-	615	42
102_1	k141_63721	110	580	+	471	52
102_2	k141_63721	887	1819	+	933	86
102_3	k141_63721	1982	2776	-	795	50
102_4	k141_63721	2779	3693	-	915	52
102_5	k141_63721	3783	4760	-	978	86
102_6	k141_63721	4987	5751	+	765	89
102_7	k141_63721	5896	6489	+	594	43
102_8	k141_63721	6698	7135	+	438	18
103_1	k141_60187	235	2385	-	2151	82
103_2	k141_60187	2483	3517	-	1035	30
103_3	k141_60187	3492	3785	-	294	12
103_4	k141_60187	4046	4600	-	555	8
103_5	k141_60187	4602	5738	-	1137	47
103_6	k141_60187	5797	6021	-	225	4
103_7	k141_60187	6032	6277	-	246	7
103_8	k141_60187	6515	6766	+	252	3
104_1	k141_49	2	1012	+	1011	19
104_2	k141_49	1059	1184	+	126	0
105_1	k141_3581	2	772	+	771	8
105_2	k141_3581	783	971	+	189	0
105_3	k141_3581	981	1232	+	252	4
106_1	k141_10627	2	1060	-	1059	25
107_1	k141_53123	377	2428	+	2052	102
107_2	k141_53123	2498	2770	-	273	3
108_1	k141_10631	68	919	+	852	16
108_2	k141_10631	916	1242	+	327	11
109_1	k141_42484	3	1223	-	1221	31
109_2	k141_42484	1318	3054	-	1737	88
109_3	k141_42484	3084	4103	-	1020	11
109_4	k141_42484	4118	5182	-	1065	22
109_5	k141_42484	5182	5577	-	396	10
109_6	k141_42484	5577	7337	-	1761	46
109_7	k141_42484	7353	7706	-	354	9
110_1	k141_7097	1	291	-	291	8
110_2	k141_7097	293	1198	-	906	19
111_1	k141_31889	3	158	+	156	4
111_2	k141_31889	424	3459	+	3036	134
112_1	k141_21254	3	305	-	303	10
112_2	k141_21254	331	636	-	306	27
112_3	k141_21254	763	1620	+	858	31
112_4	k141_21254	1744	3516	+	1773	91
112_5	k141_21254	3516	4322	+	807	29
112_6	k141_21254	4338	5210	-	873	44
112_7	k141_21254	5222	6445	-	1224	89
112_8	k141_21254	6459	7496	-	1038	68
112_9	k141_21254	7932	9143	+	1212	119
112_10	k141_21254	9183	10559	+	1377	109
112_11	k141_21254	10581	11393	-	813	46
112_12	k141_21254	11386	12144	-	759	24
112_13	k141_21254	12218	13234	-	1017	41
112_14	k141_21254	13340	14824	+	1485	96
112_15	k141_21254	14845	16050	-	1206	59
112_16	k141_21254	16091	16999	+	909	22
112_17	k141_21254	17055	17453	+	399	21
112_18	k141_21254	17464	18066	-	603	14
112_19	k141_21254	18106	18777	+	672	18
112_20	k141_21254	18746	19270	-	525	9
113_1	k141_53127	2	70	-	69	0
113_2	k141_53127	92	388	-	297	2
113_3	k141_53127	402	986	-	585	15
113_4	k141_53127	1092	1562	-	471	2
114_1	k141_46033	3	1319	-	1317	89
114_2	k141_46033	1282	2709	-	1428	103
114_3	k141_46033	2766	3824	-	1059	114
114_4	k141_46033	3850	4095	-	246	26
114_5	k141_46033	4758	5279	+	522	59
114_6	k141_46033	5344	5535	+	192	24
114_7	k141_46033	5715	7295	-	1581	138
114_8	k141_46033	7598	7816	-	219	51
114_9	k141_46033	8232	8489	+	258	31
114_10	k141_46033	8540	9328	+	789	51
114_11	k141_46033	9365	10630	+	1266	96
114_12	k141_46033	10712	11434	+	723	71
114_13	k141_46033	11779	11916	-	138	5
115_1	k141_54	1	876	+	876	22
115_2	k141_54	876	1040	+	165	2
116_1	k141_42488	2	490	+	489	9
116_2	k141_42488	491	1786	+	1296	32
117_1	k141_10635	2	1588	+	1587	35
117_2	k141_10635	1637	1762	+	126	23
117_3	k141_10635	2385	2969	+	585	22
117_4	k141_10635	3047	3367	+	321	9
118_1	k141_49567	3	446	+	444	9
118_2	k141_49567	1182	1448	-	267	42
118_3	k141_49567	1754	2692	-	939	92
118_4	k141_49567	2729	3472	-	744	48
118_5	k141_49567	3652	4419	-	768	83
118_6	k141_49567	4419	6602	-	2184	187
118_7	k141_49567	6577	7479	-	903	50
118_8	k141_49567	7472	7846	-	375	31
118_9	k141_49567	8126	8857	-	732	46
118_10	k141_49567	8953	9261	-	309	12
119_1	k141_63725	1	225	+	225	0
119_2	k141_63725	225	632	+	408	6
119_3	k141_63725	696	968	+	273	6
119_4	k141_63725	1042	1659	+	618	15
119_5	k141_63725	1674	2876	+	1203	41
119_6	k141_63725	2976	3224	+	249	12
119_7	k141_63725	3409	4767	+	1359	115
119_8	k141_63725	4846	5454	+	609	34
119_9	k141_63725	5499	5897	+	399	27
119_10	k141_63725	5890	6381	+	492	25
119_11	k141_63725	6512	7327	+	816	25
119_12	k141_63725	7356	7418	+	63	1
120_1	k141_10636	2	1858	-	1857	31
121_1	k141_7103	236	679	+	444	11
121_2	k141_7103	707	1576	+	870	38
121_3	k141_7103	1580	2413	+	834	40
121_4	k141_7103	2432	3109	+	678	11
121_5	k141_7103	3129	3650	+	522	8
122_1	k141_57	1	570	+	570	90
122_2	k141_57	575	1738	+	1164	237
122_3	k141_57	1748	2803	-	1056	293
122_4	k141_57	2908	3270	-	363	95
122_5	k141_57	3483	4325	-	843	306
123_1	k141_49570	3	581	+	579	8
123_2	k141_49570	666	1124	+	459	6
124_1	k141_60190	3	332	-	330	6
124_2	k141_60190	757	1245	+	489	23
124_3	k141_60190	1278	1832	+	555	9
124_4	k141_60190	1908	2663	-	756	26
124_5	k141_60190	3302	3625	+	324	9
124_6	k141_60190	3592	4665	+	1074	57
124_7	k141_60190	4649	5122	+	474	31
124_8	k141_60190	5170	5496	-	327	8
124_9	k141_60190	5709	6563	+	855	33
124_10	k141_60190	6583	7467	+	885	20
124_11	k141_60190	7485	7715	+	231	11
125_1	k141_67267	1	447	+	447	81
125_2	k141_67267	524	1354	-	831	208
125_3	k141_67267	1582	1929	-	348	121
125_4	k141_67267	2060	2287	-	228	63
125_5	k141_67267	2640	3212	+	573	115
125_6	k141_67267	3260	4792	-	1533	280
125_7	k141_67267	4818	5459	-	642	76
125_8	k141_67267	5462	6184	-	723	74
125_9	k141_67267	6184	7518	-	1335	316
125_10	k141_67267	7849	8736	-	888	224
125_11	k141_67267	9020	9556	-	537	137
125_12	k141_67267	9695	10654	-	960	188
125_13	k141_67267	10801	11394	-	594	118
125_14	k141_67267	11426	11821	-	396	88
125_15	k141_67267	11984	12352	-	369	119
126_1	k141_42492	179	1651	+	1473	93
126_2	k141_42492	1742	2014	+	273	6
126_3	k141_42492	2074	2787	+	714	53
126_4	k141_42492	2850	3092	+	243	3
127_1	k141_59	3	185	+	183	7
127_2	k141_59	187	936	+	750	24
127_3	k141_59	941	1126	+	186	6
128_1	k141_60191	2	853	-	852	24
128_2	k141_60191	1184	1915	+	732	20
129_1	k141_38952	576	2279	-	1704	187
129_2	k141_38952	2688	4046	-	1359	145
129_3	k141_38952	4208	7663	+	3456	444
129_4	k141_38952	7751	8740	+	990	111
129_5	k141_38952	8812	10164	+	1353	180
129_6	k141_38952	10218	10865	+	648	80
129_7	k141_38952	10888	11661	+	774	55
129_8	k141_38952	11662	12093	+	432	49
129_9	k141_38952	12095	13081	+	987	118
129_10	k141_38952	13186	13836	+	651	57
129_11	k141_38952	13949	14902	+	954	135
129_12	k141_38952	14918	15898	+	981	96
129_13	k141_38952	15944	16276	+	333	26
129_14	k141_38952	16280	17044	+	765	88
129_15	k141_38952	17031	18029	+	999	95
129_16	k141_38952	18099	18578	+	480	49
129_17	k141_38952	18594	18863	+	270	28
130_1	k141_31903	2	205	-	204	48
130_2	k141_31903	452	1009	+	558	94
130_3	k141_31903	1222	1956	+	735	79
130_4	k141_31903	1958	2800	+	843	39
131_1	k141_53143	2	184	+	183	6
131_2	k141_53143	197	442	+	246	13
131_3	k141_53143	460	912	+	453	18
131_4	k141_53143	1134	2378	+	1245	38
132_1	k141_62	3	650	+	648	36
133_1	k141_21273	3	263	-	261	5
133_2	k141_21273	450	1397	-	948	23
134_1	k141_10637	1	1185	+	1185	189
134_2	k141_10637	1201	1443	+	243	56
134_3	k141_10637	1515	2480	-	966	166
134_4	k141_10637	2587	3222	-	636	182
134_5	k141_10637	3597	4094	-	498	56
134_6	k141_10637	4209	4541	-	333	3
135_1	k141_64	517	765	+	249	7
135_2	k141_64	769	1068	+	300	3
136_1	k141_60196	1	966	+	966	36
136_2	k141_60196	1071	1520	-	450	18
137_1	k141_67273	1	1056	+	1056	19
137_2	k141_67273	1349	2179	+	831	30
137_3	k141_67273	2145	2885	+	741	27
137_4	k141_67273	2923	3681	+	759	15
138_1	k141_24802	2	202	+	201	11
138_2	k141_24802	212	1534	-	1323	83
138_3	k141_24802	1541	2257	-	717	35
138_4	k141_24802	2311	3279	+	969	108
138_5	k141_24802	3291	4574	+	1284	180
138_6	k141_24802	4697	4849	-	153	12
138_7	k141_24802	5008	5370	+	363	58
138_8	k141_24802	5730	6680	+	951	113
138_9	k141_24802	6677	7351	+	675	53
138_10	k141_24802	7333	7818	-	486	58
138_11	k141_24802	7981	8781	+	801	59
138_12	k141_24802	8781	9503	+	723	82
138_13	k141_24802	9525	9626	+	102	2
138_14	k141_24802	9637	10653	+	1017	76
138_15	k141_24802	10806	13706	+	2901	343
138_16	k141_24802	13730	14635	+	906	83
138_17	k141_24802	14638	15360	+	723	83
138_18	k141_24802	15438	15800	-	363	20
138_19	k141_24802	15970	16335	+	366	34
139_1	k141_38958	2	1168	+	1167	6
140_1	k141_21276	1	396	+	396	9
140_2	k141_21276	495	1577	-	1083	69
141_1	k141_66	296	514	-	219	36
141_2	k141_66	645	1016	-	372	14
142_1	k141_49576	2	2155	-	2154	30
142_2	k141_49576	2178	2483	-	306	0
142_3	k141_49576	2665	3435	-	771	1
142_4	k141_49576	3402	4940	-	1539	28
143_1	k141_53144	14	280	+	267	41
143_2	k141_53144	267	914	+	648	128
143_3	k141_53144	917	1108	+	192	43
143_4	k141_53144	1109	1510	+	402	107
143_5	k141_53144	1643	2233	+	591	146
143_6	k141_53144	2246	2428	+	183	31
143_7	k141_53144	2428	2769	+	342	17
143_8	k141_53144	2817	3644	-	828	55
143_9	k141_53144	3826	3978	+	153	0
144_1	k141_24803	1	120	-	120	2
144_2	k141_24803	375	644	+	270	9
144_3	k141_24803	774	1439	+	666	16
145_1	k141_31912	3	263	+	261	2
145_2	k141_31912	277	909	+	633	10
145_3	k141_31912	966	1529	+	564	3
146_1	k141_10644	3	1193	+	1191	38
147_1	k141_3584	308	535	-	228	67
147_2	k141_3584	1112	1822	-	711	172
147_3	k141_3584	1886	6196	-	4311	568
147_4	k141_3584	6177	6287	-	111	5
147_5	k141_3584	6506	6805	-	300	51
147_6	k141_3584	6899	7162	+	264	43
147_7	k141_3584	7218	7625	-	408	57
147_8	k141_3584	7622	8803	-	1182	210
147_9	k141_3584	8811	9869	-	1059	171
147_10	k141_3584	9866	10213	-	348	39
147_11	k141_3584	10228	10872	+	645	120
147_12	k141_3584	10893	12140	+	1248	163
147_13	k141_3584	12127	12783	+	657	78
147_14	k141_3584	12869	14467	-	1599	535
147_15	k141_3584	15211	15600	-	390	69
148_1	k141_7112	2	448	-	447	2
148_2	k141_7112	467	1336	-	870	22
148_3	k141_7112	1338	2420	-	1083	20
148_4	k141_7112	2386	3081	-	696	3
148_5	k141_7112	3174	4766	-	1593	27
148_6	k141_7112	4753	5625	-	873	23
149_1	k141_56661	75	1616	+	1542	489
149_2	k141_56661	1685	2698	+	1014	240
149_3	k141_56661	2691	3605	+	915	350
149_4	k141_56661	3602	4606	+	1005	257
149_5	k141_56661	4603	5490	+	888	259
149_6	k141_56661	5598	7289	+	1692	599
149_7	k141_56661	7505	7768	+	264	79
149_8	k141_56661	7856	8980	+	1125	358
149_9	k141_56661	9041	10000	+	960	232
149_10	k141_56661	9971	11179	-	1209	403
149_11	k141_56661	11649	11795	+	147	102
149_12	k141_56661	12020	15175	+	3156	1260
149_13	k141_56661	15512	17830	+	2319	785
150_1	k141_38960	2	667	+	666	12
150_2	k141_38960	700	1668	+	969	15
151_1	k141_42500	3	719	+	717	15
151_2	k141_42500	736	939	+	204	5
151_3	k141_42500	1278	1553	+	276	8
151_4	k141_42500	1541	1795	+	255	0
