# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/K21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam	RPKM
30_3	k141_2326	1926	2786	+	861	9	1.44969
30_4	k141_2326	2811	3323	+	513	10	2.70344
30_5	k141_2326	3448	4431	+	984	17	2.39601
30_6	k141_2326	4695	5078	-	384	14	5.05629
30_7	k141_2326	6197	6286	-	90	17	26.1964
31_1	k141_20846	2	403	+	402	0	0
31_2	k141_20846	428	1114	+	687	0	0
32_1	k141_11597	431	1567	+	1137	0	0
33_1	k141_39376	1	516	+	516	0	0
33_2	k141_39376	749	1219	+	471	1	0.294452
34_1	k141_9271	2	3037	+	3036	0	0
35_1	k141_4648	3	668	-	666	0	0
35_2	k141_4648	1192	2058	+	867	0	0
35_3	k141_4648	2200	3189	+	990	0	0
36_1	k141_34752	27	281	+	255	0	0
36_2	k141_34752	373	1326	+	954	0	0
36_3	k141_34752	1525	2526	+	1002	0	0
37_1	k141_11600	1	1182	+	1182	0	0
38_1	k141_23165	3	2390	-	2388	0	0
38_2	k141_23165	2496	5066	-	2571	5	0.269714
38_3	k141_23165	5293	6681	-	1389	1	0.0998464
38_4	k141_23165	7062	7946	-	885	0	0
38_5	k141_23165	7984	9297	-	1314	0	0
38_6	k141_23165	9317	9403	-	87	0	0
39_1	k141_9275	1	171	-	171	0	0
39_2	k141_9275	153	389	-	237	0	0
39_3	k141_9275	458	1270	-	813	0	0
40_1	k141_41701	761	1729	+	969	356	50.952
40_2	k141_41701	1732	1962	+	231	151	90.6567
41_1	k141_27811	1	297	+	297	0	0
41_2	k141_27811	378	1712	-	1335	3	0.311655
41_3	k141_27811	2084	3361	+	1278	2	0.217037
42_1	k141_27	1	912	-	912	0	0
43_1	k141_34757	3	803	-	801	0	0
43_2	k141_34757	959	1462	+	504	0	0
43_3	k141_34757	1468	1647	+	180	0	0
44_1	k141_16219	1	90	+	90	3	4.62289
44_2	k141_16219	129	1577	+	1449	341	32.6378
44_3	k141_16219	1673	3199	+	1527	359	32.6055
44_4	k141_16219	3345	4313	+	969	192	27.4797
44_5	k141_16219	4395	5648	+	1254	243	26.8747
44_6	k141_16219	5706	8480	+	2775	550	27.4875
45_1	k141_31	2	538	+	537	67	17.3036
45_2	k141_31	550	1107	+	558	47	11.6815
46_1	k141_23175	3	875	-	873	0	0
47_1	k141_13901	440	1810	-	1371	0	0
47_2	k141_13901	2181	3590	-	1410	0	0
47_3	k141_13901	3760	4875	+	1116	0	0
47_4	k141_13901	5179	5697	-	519	0	0
47_5	k141_13901	5783	7945	-	2163	0	0
47_6	k141_13901	8771	9688	+	918	0	0
48_1	k141_20848	1	324	-	324	0	0
48_2	k141_20848	331	1065	-	735	0	0
49_1	k141_4652	3	1235	-	1233	0	0
49_2	k141_4652	1257	1355	-	99	0	0
49_3	k141_4652	1600	3975	-	2376	4	0.233479
50_1	k141_11604	1	672	+	672	0	0
50_2	k141_11604	689	1951	+	1263	4	0.439229
50_3	k141_11604	2022	3884	+	1863	8	0.595541
51_1	k141_2328	2	304	-	303	0	0
51_2	k141_2328	285	1835	-	1551	0	0
51_3	k141_2328	1966	2865	-	900	0	0
51_4	k141_2328	3042	4037	-	996	0	0
51_5	k141_2328	4034	5170	-	1137	0	0
51_6	k141_2328	5284	5451	-	168	0	0
51_7	k141_2328	5547	6755	-	1209	0	0
51_8	k141_2328	6769	7251	-	483	0	0
52_1	k141_9282	1	1155	+	1155	0	0
53_1	k141_20849	1	792	+	792	0	0
53_2	k141_20849	834	1214	-	381	0	0
53_3	k141_20849	1207	1413	-	207	0	0
54_1	k141_16220	1	2049	+	2049	0	0
55_1	k141_13902	2	1486	-	1485	0	0
56_1	k141_37064	1	636	+	636	0	0
56_2	k141_37064	737	1783	+	1047	0	0
56_3	k141_37064	1788	2492	-	705	0	0
56_4	k141_37064	2489	3985	-	1497	0	0
56_5	k141_37064	4035	5510	-	1476	0	0
56_6	k141_37064	5783	6859	+	1077	0	0
56_7	k141_37064	6983	8065	+	1083	0	0
56_8	k141_37064	8171	9508	+	1338	0	0
57_1	k141_4659	3	569	+	567	0	0
57_2	k141_4659	644	1051	+	408	0	0
58_1	k141_20852	3	1265	+	1263	0	0
59_1	k141_16223	2	1090	-	1089	7	0.891466
60_1	k141_9283	1	234	-	234	0	0
60_2	k141_9283	231	1262	-	1032	0	0
60_3	k141_9283	1408	2286	+	879	0	0
60_4	k141_9283	2345	2419	+	75	0	0
61_1	k141_4660	654	1655	+	1002	54	7.47413
62_1	k141_13903	158	1309	+	1152	0	0
62_2	k141_13903	1510	1965	+	456	0	0
62_3	k141_13903	2017	2409	+	393	0	0
62_4	k141_13903	2500	3585	-	1086	0	0
63_1	k141_37069	450	950	-	501	1792	496.061
63_2	k141_37069	1148	1888	-	741	1943	363.655
63_3	k141_37069	2192	2629	-	438	857	271.357
64_1	k141_47	3	1070	+	1068	0	0
64_2	k141_47	1062	1787	-	726	0	0
64_3	k141_47	1756	2028	-	273	0	0
65_1	k141_16226	2	1021	+	1020	0	0
65_2	k141_16226	1014	1577	+	564	0	0
66_1	k141_9288	2	160	-	159	48	41.8677
66_2	k141_9288	204	695	-	492	56	15.7855
66_3	k141_9288	1029	1109	-	81	31	53.0776
67_1	k141_48	2	1165	+	1164	0	0
68_1	k141_4664	34	225	-	192	51	36.8387
68_2	k141_4664	650	1687	+	1038	233	31.131
69_1	k141_50	1	1017	+	1017	6	0.818211
70_1	k141_37073	2	415	-	414	0	0
70_2	k141_37073	412	738	-	327	0	0
70_3	k141_37073	750	1046	-	297	0	0
71_1	k141_9290	3	659	+	657	0	0
71_2	k141_9290	707	2080	-	1374	0	0
72_1	k141_2342	1	978	+	978	0	0
72_2	k141_2342	999	1661	-	663	0	0
72_3	k141_2342	1784	2821	-	1038	0	0
72_4	k141_2342	3204	3644	+	441	0	0
73_1	k141_37074	3	851	-	849	0	0
73_2	k141_37074	878	2245	-	1368	0	0
74_1	k141_13913	3	905	-	903	0	0
74_2	k141_13913	945	1967	-	1023	0	0
75_1	k141_9293	49	999	-	951	1	0.145832
75_2	k141_9293	1011	1685	-	675	3	0.616385
76_1	k141_34780	3	695	-	693	0	0
76_2	k141_34780	713	2392	-	1680	0	0
76_3	k141_34780	2399	3505	-	1107	0	0
77_1	k141_55	3	383	-	381	0	0
77_2	k141_55	526	996	+	471	0	0
77_3	k141_55	1038	1610	+	573	0	0
78_1	k141_25477	23	652	+	630	18	3.96248
78_2	k141_25477	1042	1197	+	156	11	9.77919
78_3	k141_25477	1465	2709	+	1245	37	4.12161
78_4	k141_25477	2787	5168	-	2382	77	4.48316
78_5	k141_25477	5211	6137	-	927	27	4.03942
78_6	k141_25477	6138	8201	-	2064	57	3.83001
78_7	k141_25477	8238	9155	-	918	28	4.2301
78_8	k141_25477	9421	10839	+	1419	33	3.22527
78_9	k141_25477	10942	12087	+	1146	30	3.63054
78_10	k141_25477	12099	12875	+	777	15	2.67735
78_11	k141_25477	12981	14219	+	1239	32	3.5819
78_12	k141_25477	14394	15137	+	744	25	4.66017
78_13	k141_25477	15172	16521	+	1350	35	3.59558
78_14	k141_25477	16518	18188	+	1671	37	3.07086
78_15	k141_25477	18306	19178	+	873	24	3.81269
78_16	k141_25477	19243	21369	+	2127	34	2.2169
78_17	k141_25477	21441	24653	+	3213	75	3.23732
78_18	k141_25477	24730	27705	+	2976	75	3.49513
79_1	k141_20853	322	1719	-	1398	325	32.2412
79_2	k141_20853	1731	3065	-	1335	205	21.2965
79_3	k141_20853	3255	4334	-	1080	227	29.1499
79_4	k141_20853	4339	5199	-	861	118	19.007
79_5	k141_20853	5190	6149	-	960	130	18.7805
79_6	k141_20853	6146	7765	-	1620	240	20.5462
79_7	k141_20853	7935	8789	-	855	163	26.4397
79_8	k141_20853	8955	9239	-	285	94	45.7423
80_1	k141_25479	3	290	+	288	52	25.0407
80_2	k141_25479	930	1088	+	159	43	37.5065
81_1	k141_34788	3	674	+	672	436	89.9812
81_2	k141_34788	671	1576	+	906	1297	198.539
81_3	k141_34788	1573	1812	+	240	95	54.8968
82_1	k141_9298	682	1515	+	834	239	39.7435
82_2	k141_9298	1520	1819	+	300	85	39.2946
82_3	k141_9298	2313	3092	+	780	204	36.2719
83_1	k141_62	547	708	+	162	106	90.7456
83_2	k141_62	866	2143	-	1278	464	50.3526
83_3	k141_62	2140	2478	-	339	110	45.0016
83_4	k141_62	2648	2806	-	159	124	108.158
83_5	k141_62	2813	2983	-	171	103	83.5364
84_1	k141_20857	2	427	+	426	0	0
84_2	k141_20857	874	3207	+	2334	0	0
84_3	k141_20857	3385	3585	+	201	1	0.689984
85_1	k141_32424	1	141	+	141	81	79.6711
85_2	k141_32424	272	502	-	231	95	57.0357
85_3	k141_32424	637	759	-	123	51	57.5042
85_4	k141_32424	843	1433	+	591	146	34.261
85_5	k141_32424	1437	2279	+	843	196	32.2451
85_6	k141_32424	2298	4052	+	1755	338	26.71
85_7	k141_32424	4163	5485	+	1323	225	23.5862
85_8	k141_32424	5500	6105	+	606	90	20.597
85_9	k141_32424	6102	7907	+	1806	288	22.1162
85_10	k141_32424	7937	8401	+	465	91	27.1408
85_11	k141_32424	8656	10329	+	1674	356	29.4937
85_12	k141_32424	10357	12921	+	2565	472	25.5205
85_13	k141_32424	13273	14394	-	1122	343	42.3971
85_14	k141_32424	14546	16585	+	2040	327	22.2307
85_15	k141_32424	16537	18114	+	1578	287	25.2238
85_16	k141_32424	18132	18929	+	798	161	27.9806
85_17	k141_32424	18923	19714	+	792	130	22.7642
85_18	k141_32424	19746	21059	+	1314	341	35.991
85_19	k141_32424	21169	22107	-	939	169	24.9607
85_20	k141_32424	22258	22866	-	609	121	27.5552
85_21	k141_32424	23077	23769	-	693	148	29.6185
85_22	k141_32424	23923	25053	-	1131	283	34.7023
85_23	k141_32424	25251	25772	-	522	102	27.0997
85_24	k141_32424	25847	27550	-	1704	314	25.5561
85_25	k141_32424	27563	28336	-	774	151	27.0564
85_26	k141_32424	28349	28987	-	639	110	23.8741
85_27	k141_32424	28984	29184	-	201	47	32.4292
85_28	k141_32424	29386	30252	-	867	167	26.7136
85_29	k141_32424	30192	31385	-	1194	229	26.599
85_30	k141_32424	31554	32510	-	957	224	32.4617
86_1	k141_34791	2	1126	+	1125	0	0
87_1	k141_9299	1	135	+	135	23	23.6281
87_2	k141_9299	311	1141	-	831	126	21.0283
87_3	k141_9299	1322	1414	+	93	21	31.3164
88_1	k141_64	23	1066	+	1044	10	1.32842
89_1	k141_11605	89	340	+	252	52	28.6179
89_2	k141_11605	613	762	+	150	21	19.4161
89_3	k141_11605	780	1832	+	1053	244	32.1363
89_4	k141_11605	2010	2558	+	549	138	34.8611
89_5	k141_11605	2635	3105	+	471	112	32.9786
89_6	k141_11605	3365	3808	+	444	184	57.4738
89_7	k141_11605	4144	8016	+	3873	1048	37.5274
89_8	k141_11605	8129	10474	-	2346	447	26.425
89_9	k141_11605	10643	13870	-	3228	832	35.7458
89_10	k141_11605	13913	14989	-	1077	214	27.5571
89_11	k141_11605	15015	16898	-	1884	534	39.3093
90_1	k141_37087	1	1884	+	1884	0	0
90_2	k141_37087	2074	2400	-	327	0	0
91_1	k141_4675	142	1908	+	1767	4	0.313948
91_2	k141_4675	1989	2996	-	1008	0	0
91_3	k141_4675	3203	4108	-	906	0	0
91_4	k141_4675	4264	5298	+	1035	0	0
91_5	k141_4675	5450	6304	-	855	0	0
92_1	k141_16227	1	228	-	228	24	14.5986
92_2	k141_16227	693	2216	-	1524	0	0
92_3	k141_16227	2235	5381	-	3147	28	1.23395
92_4	k141_16227	5749	6909	+	1161	149	17.7987
92_5	k141_16227	7500	10292	+	2793	3	0.148965
92_6	k141_16227	10321	11796	+	1476	0	0
92_7	k141_16227	11947	12198	-	252	21	11.5572
93_1	k141_37088	1	801	+	801	0	0
94_1	k141_20861	2	1237	+	1236	0	0
94_2	k141_20861	1237	1830	+	594	0	0
95_1	k141_32428	3	659	-	657	2	0.422182
95_2	k141_32428	640	1497	-	858	27	4.36427
96_1	k141_13935	1	78	+	78	4	7.11214
96_2	k141_13935	82	384	+	303	78	35.7015
96_3	k141_13935	470	874	+	405	103	35.2709
96_4	k141_13935	871	1311	+	441	107	33.6496
96_5	k141_13935	1396	2235	-	840	195	32.1951
96_6	k141_13935	2232	2870	-	639	142	30.8193
96_7	k141_13935	2939	3121	-	183	41	31.0719
97_1	k141_37090	51	842	-	792	0	0
97_2	k141_37090	844	1035	-	192	0	0
98_1	k141_16231	2	1087	-	1086	144	18.3894
99_1	k141_37091	3	1139	-	1137	27	3.29335
100_1	k141_20865	198	1262	-	1065	1	0.130222
101_1	k141_32430	3	1619	+	1617	0	0
102_1	k141_34798	1	1173	+	1173	0	0
102_2	k141_34798	1242	1553	-	312	0	0
102_3	k141_34798	1550	1846	-	297	0	0
102_4	k141_34798	1862	2179	-	318	0	0
103_1	k141_4681	3	140	-	138	3	3.01493
103_2	k141_4681	253	1533	-	1281	0	0
103_3	k141_4681	1549	2850	-	1302	0	0
103_4	k141_4681	2977	3354	-	378	20	7.33792
104_1	k141_75	2	862	+	861	0	0
104_2	k141_75	867	1493	+	627	0	0
104_3	k141_75	1498	2238	+	741	0	0
105_1	k141_32432	3	887	+	885	0	0
105_2	k141_32432	968	1354	+	387	0	0
106_1	k141_78	1	888	-	888	0	0
106_2	k141_78	1073	1237	-	165	0	0
107_1	k141_16238	3	653	+	651	0	0
107_2	k141_16238	939	1406	+	468	0	0
107_3	k141_16238	1416	1622	+	207	0	0
108_1	k141_34799	120	506	-	387	0	0
108_2	k141_34799	518	1453	-	936	0	0
108_3	k141_34799	1496	1879	-	384	1	0.361163
108_4	k141_34799	1897	2262	-	366	0	0
108_5	k141_34799	2280	2396	-	117	0	0
108_6	k141_34799	2421	2639	-	219	0	0
108_7	k141_34799	2756	3034	-	279	0	0
109_1	k141_37098	3	332	+	330	0	0
109_2	k141_37098	397	936	+	540	0	0
109_3	k141_37098	926	1414	+	489	0	0
109_4	k141_37098	1398	1892	+	495	0	0
110_1	k141_4687	1	2043	+	2043	0	0
111_1	k141_27814	1	2088	+	2088	14	0.929892
111_2	k141_27814	2165	6388	+	4224	19	0.623827
111_3	k141_27814	6798	8138	+	1341	0	0
111_4	k141_27814	8182	8499	-	318	0	0
111_5	k141_27814	8503	8808	-	306	0	0
111_6	k141_27814	8981	10513	-	1533	0	0
111_7	k141_27814	10834	11967	-	1134	3	0.366896
111_8	k141_27814	11964	12734	-	771	0	0
111_9	k141_27814	12736	12936	-	201	0	0
111_10	k141_27814	12920	13675	-	756	0	0
111_11	k141_27814	13668	14303	-	636	0	0
111_12	k141_27814	14303	16198	-	1896	2	0.146294
111_13	k141_27814	16452	16949	-	498	0	0
111_14	k141_27814	17045	17818	+	774	4	0.716727
111_15	k141_27814	17985	19049	+	1065	2	0.260444
111_16	k141_27814	19059	19730	+	672	0	0
111_17	k141_27814	19773	20363	+	591	0	0
111_18	k141_27814	20550	20822	+	273	1	0.50801
111_19	k141_27814	20829	21527	+	699	0	0
111_20	k141_27814	21531	21965	-	435	0	0
111_21	k141_27814	22218	23606	+	1389	0	0
111_22	k141_27814	23603	24937	+	1335	3	0.311655
111_23	k141_27814	24934	26226	-	1293	2	0.214519
111_24	k141_27814	26242	27828	-	1587	9	0.786503
112_1	k141_32435	146	1372	+	1227	24	2.7127
112_2	k141_32435	1502	2158	+	657	9	1.89982
113_1	k141_34802	1	1362	-	1362	0	0
114_1	k141_9301	1	2661	-	2661	320	16.6778
114_2	k141_9301	2658	4145	-	1488	235	21.9028
114_3	k141_9301	4132	7212	-	3081	435	19.5809
114_4	k141_9301	7217	8284	-	1068	120	15.5828
114_5	k141_9301	8337	9659	-	1323	174	18.24
115_1	k141_44008	1	510	+	510	45	12.2371
115_2	k141_44008	977	2083	+	1107	17	2.12979
115_3	k141_44008	2227	3051	+	825	0	0
115_4	k141_44008	3048	3965	-	918	0	0
115_5	k141_44008	4248	4616	+	369	0	0
115_6	k141_44008	4628	5995	+	1368	0	0
115_7	k141_44008	6079	7152	+	1074	0	0
115_8	k141_44008	7292	7600	+	309	0	0
115_9	k141_44008	7590	8528	+	939	0	0
115_10	k141_44008	8564	8968	+	405	0	0
115_11	k141_44008	9030	9845	-	816	0	0
115_12	k141_44008	10063	10275	+	213	0	0
115_13	k141_44008	10294	15480	+	5187	0	0
115_14	k141_44008	15486	18365	+	2880	0	0
115_15	k141_44008	18381	22526	+	4146	0	0
115_16	k141_44008	22516	27351	+	4836	0	0
115_17	k141_44008	27355	29583	+	2229	0	0
115_18	k141_44008	29656	30048	+	393	0	0
115_19	k141_44008	30358	31812	-	1455	0	0
115_20	k141_44008	32108	32413	-	306	0	0
115_21	k141_44008	32791	33924	+	1134	0	0
115_22	k141_44008	33932	34324	+	393	0	0
115_23	k141_44008	35001	36632	+	1632	0	0
115_24	k141_44008	36635	37972	+	1338	0	0
115_25	k141_44008	39044	39172	-	129	7	7.52563
116_1	k141_4690	2	1969	-	1968	0	0
117_1	k141_81	1	216	-	216	0	0
117_2	k141_81	209	778	-	570	3	0.72993
117_3	k141_81	954	2291	-	1338	20	2.07304
117_4	k141_81	2378	3418	-	1041	12	1.59869
117_5	k141_81	3444	4115	-	672	3	0.619137
118_1	k141_34805	1	726	+	726	0	0
118_2	k141_34805	745	1125	+	381	0	0
119_1	k141_44010	2	334	-	333	0	0
119_2	k141_44010	377	913	-	537	0	0
120_1	k141_27824	1	891	-	891	10	1.55653
120_2	k141_27824	1032	1184	-	153	1	0.906449
121_1	k141_9305	1	978	+	978	0	0
121_2	k141_9305	975	1595	+	621	2	0.446656
122_1	k141_82	3	110	-	108	0	0
122_2	k141_82	107	982	-	876	0	0
122_3	k141_82	991	1620	-	630	2	0.440275
123_1	k141_44011	3	803	-	801	0	0
123_2	k141_44011	923	1333	+	411	0	0
124_1	k141_34806	2	811	+	810	0	0
124_2	k141_34806	845	1348	+	504	0	0
125_1	k141_32442	3	503	+	501	0	0
125_2	k141_32442	869	2983	+	2115	0	0
125_3	k141_32442	2989	3321	-	333	0	0
126_1	k141_4693	461	724	-	264	3	1.57599
126_2	k141_4693	1106	1237	-	132	16	16.8105
126_3	k141_4693	2097	2351	-	255	4	2.17548
126_4	k141_4693	2431	2706	-	276	14	7.03483
127_1	k141_32443	217	1242	-	1026	0	0
128_1	k141_37099	3	2321	-	2319	0	0
128_2	k141_37099	2514	3131	+	618	0	0
128_3	k141_37099	3152	4048	+	897	0	0
128_4	k141_37099	4131	5153	+	1023	0	0
128_5	k141_37099	5141	5437	-	297	0	0
128_6	k141_37099	5440	6036	-	597	0	0
128_7	k141_37099	6198	6542	+	345	0	0
128_8	k141_37099	6581	6877	-	297	0	0
128_9	k141_37099	6880	7473	-	594	0	0
129_1	k141_4694	1	1473	+	1473	0	0
130_1	k141_6950	1	138	+	138	23	23.1144
130_2	k141_6950	528	698	-	171	55	44.6068
130_3	k141_6950	1256	3352	-	2097	277	18.3196
130_4	k141_6950	3441	3674	+	234	21	12.4462
130_5	k141_6950	3604	5469	-	1866	259	19.2497
130_6	k141_6950	5509	7107	-	1599	277	24.0251
130_7	k141_6950	7335	8711	+	1377	190	19.1361
130_8	k141_6950	8811	9899	-	1089	155	19.7396
130_9	k141_6950	9983	10597	+	615	76	17.1385
130_10	k141_6950	10756	11259	+	504	84	23.1144
130_11	k141_6950	11449	13224	+	1776	249	19.4442
130_12	k141_6950	13350	14228	+	879	91	14.3578
130_13	k141_6950	14206	14922	-	717	81	15.6675
130_14	k141_6950	15051	15770	-	720	65	12.5203
130_15	k141_6950	15819	17162	-	1344	182	18.7805
130_16	k141_6950	17361	18641	-	1281	202	21.8694
130_17	k141_6950	18888	19607	-	720	94	18.1063
130_18	k141_6950	19617	20204	-	588	85	20.0482
130_19	k141_6950	20210	20677	-	468	72	21.3364
130_20	k141_6950	20686	21627	-	942	114	16.7837
130_21	k141_6950	21788	24115	+	2328	278	16.5614
130_22	k141_6950	24322	25149	+	828	152	25.4594
130_23	k141_6950	25224	26147	-	924	109	16.3602
130_24	k141_6950	26299	26955	-	657	71	14.9875
130_25	k141_6950	27052	28158	-	1107	176	22.0496
130_26	k141_6950	28171	29277	-	1107	106	13.2798
130_27	k141_6950	29301	30755	-	1455	222	21.1604
130_28	k141_6950	30764	31660	-	897	92	14.2243
130_29	k141_6950	31647	32945	-	1299	199	21.2461
130_30	k141_6950	32942	33598	-	657	97	20.4758
130_31	k141_6950	34003	34377	-	375	53	19.6011
130_32	k141_6950	34456	35214	+	759	149	27.2257
130_33	k141_6950	35215	36501	+	1287	151	16.2717
130_34	k141_6950	36572	37690	+	1119	134	16.6077
130_35	k141_6950	37698	38486	+	789	85	14.9409
130_36	k141_6950	38562	39227	+	666	68	14.1602
130_37	k141_6950	39264	39704	+	441	47	14.7807
130_38	k141_6950	39733	41760	+	2028	271	18.5326
130_39	k141_6950	41764	42915	+	1152	161	19.3824
130_40	k141_6950	43030	44520	+	1491	145	13.4873
130_41	k141_6950	44555	45223	+	669	53	10.9871
130_42	k141_6950	45232	46029	+	798	92	15.9889
130_43	k141_6950	46088	46366	+	279	33	16.4038
130_44	k141_6950	46428	47522	+	1095	131	16.5917
130_45	k141_6950	47531	48214	+	684	93	18.8565
131_1	k141_23179	38	955	-	918	215	32.4811
131_2	k141_23179	1133	3712	+	2580	460	24.7271
131_3	k141_23179	3719	4939	-	1221	273	31.0086
131_4	k141_23179	4944	5915	-	972	242	34.529
131_5	k141_23179	6030	7625	-	1596	361	31.3696
131_6	k141_23179	8292	9824	-	1533	397	35.9156
131_7	k141_23179	9989	13240	+	3252	882	37.6143
131_8	k141_23179	13416	14024	+	609	183	41.6743
131_9	k141_23179	14147	16981	+	2835	836	40.8967
131_10	k141_23179	16988	17884	+	897	234	36.1791
131_11	k141_23179	17900	18784	-	885	269	42.1545
131_12	k141_23179	19194	20330	-	1137	323	39.3982
131_13	k141_23179	20361	21419	-	1059	219	28.6803
131_14	k141_23179	21427	22548	-	1122	318	39.3069
131_15	k141_23179	22551	22934	-	384	109	39.3668
131_16	k141_23179	23434	23973	+	540	219	56.2452
132_1	k141_32448	434	1201	+	768	0	0
132_2	k141_32448	1253	1900	-	648	0	0
132_3	k141_32448	1913	2038	+	126	0	0
133_1	k141_44016	40	363	-	324	29	12.4133
133_2	k141_44016	360	686	-	327	1	0.424118
133_3	k141_44016	687	1052	-	366	0	0
133_4	k141_44016	1110	1460	-	351	0	0
133_5	k141_44016	1472	2593	-	1122	1	0.123607
133_6	k141_44016	2605	3201	-	597	0	0
133_7	k141_44016	3204	3839	-	636	10	2.18061
134_1	k141_23181	2	520	+	519	2	0.534438
134_2	k141_23181	530	742	+	213	0	0
134_3	k141_23181	794	937	-	144	0	0
134_4	k141_23181	941	1324	-	384	1	0.361163
135_1	k141_20869	3	1289	-	1287	175	18.8579
