# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/M9_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/M9_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/M9_1.bam	RPKM
30_1	k141_2326	272	700	+	429	0	0
30_2	k141_2326	817	1914	+	1098	1	0.0688703
30_3	k141_2326	1926	2786	+	861	0	0
30_4	k141_2326	2811	3323	+	513	0	0
30_5	k141_2326	3448	4431	+	984	0	0
30_6	k141_2326	4695	5078	-	384	0	0
30_7	k141_2326	6197	6286	-	90	0	0
31_1	k141_20846	2	403	+	402	0	0
31_2	k141_20846	428	1114	+	687	0	0
32_1	k141_11597	431	1567	+	1137	0	0
33_1	k141_39376	1	516	+	516	14	2.05169
33_2	k141_39376	749	1219	+	471	11	1.76606
34_1	k141_9271	2	3037	+	3036	23	0.572875
35_1	k141_4648	3	668	-	666	3	0.340629
35_2	k141_4648	1192	2058	+	867	1	0.0872198
35_3	k141_4648	2200	3189	+	990	3	0.22915
36_1	k141_34752	27	281	+	255	0	0
36_2	k141_34752	373	1326	+	954	0	0
36_3	k141_34752	1525	2526	+	1002	0	0
37_1	k141_11600	1	1182	+	1182	0	0
38_1	k141_23165	3	2390	-	2388	15	0.474997
38_2	k141_23165	2496	5066	-	2571	20	0.58825
38_3	k141_23165	5293	6681	-	1389	4	0.217767
38_4	k141_23165	7062	7946	-	885	3	0.256337
38_5	k141_23165	7984	9297	-	1314	5	0.287746
38_6	k141_23165	9317	9403	-	87	0	0
39_1	k141_9275	1	171	-	171	2	0.884439
39_2	k141_9275	153	389	-	237	6	1.91442
39_3	k141_9275	458	1270	-	813	5	0.465065
40_1	k141_41701	761	1729	+	969	0	0
40_2	k141_41701	1732	1962	+	231	0	0
41_1	k141_27811	1	297	+	297	2	0.509223
41_2	k141_27811	378	1712	-	1335	8	0.453151
41_3	k141_27811	2084	3361	+	1278	6	0.355021
42_1	k141_27	1	912	-	912	0	0
43_1	k141_34757	3	803	-	801	9	0.849658
43_2	k141_34757	959	1462	+	504	8	1.20031
43_3	k141_34757	1468	1647	+	180	1	0.420109
44_1	k141_16219	1	90	+	90	5	4.20109
44_2	k141_16219	129	1577	+	1449	307	16.0215
44_3	k141_16219	1673	3199	+	1527	283	14.0146
44_4	k141_16219	3345	4313	+	969	180	14.047
44_5	k141_16219	4395	5648	+	1254	110	6.63329
44_6	k141_16219	5706	8480	+	2775	312	8.50209
45_1	k141_31	2	538	+	537	0	0
45_2	k141_31	550	1107	+	558	0	0
46_1	k141_23175	3	875	-	873	0	0
47_1	k141_13901	440	1810	-	1371	2	0.110313
47_2	k141_13901	2181	3590	-	1410	1	0.0536309
47_3	k141_13901	3760	4875	+	1116	2	0.135519
47_4	k141_13901	5179	5697	-	519	0	0
47_5	k141_13901	5783	7945	-	2163	2	0.069921
47_6	k141_13901	8771	9688	+	918	0	0
48_1	k141_20848	1	324	-	324	0	0
48_2	k141_20848	331	1065	-	735	4	0.411535
49_1	k141_4652	3	1235	-	1233	12	0.735957
49_2	k141_4652	1257	1355	-	99	0	0
49_3	k141_4652	1600	3975	-	2376	9	0.286438
50_1	k141_11604	1	672	+	672	0	0
50_2	k141_11604	689	1951	+	1263	0	0
50_3	k141_11604	2022	3884	+	1863	0	0
51_1	k141_2328	2	304	-	303	0	0
51_2	k141_2328	285	1835	-	1551	13	0.63382
51_3	k141_2328	1966	2865	-	900	14	1.1763
51_4	k141_2328	3042	4037	-	996	7	0.531463
51_5	k141_2328	4034	5170	-	1137	9	0.598572
51_6	k141_2328	5284	5451	-	168	1	0.450116
51_7	k141_2328	5547	6755	-	1209	12	0.750566
51_8	k141_2328	6769	7251	-	483	3	0.469687
52_1	k141_9282	1	1155	+	1155	0	0
53_1	k141_20849	1	792	+	792	4	0.381917
53_2	k141_20849	834	1214	-	381	2	0.396953
53_3	k141_20849	1207	1413	-	207	0	0
54_1	k141_16220	1	2049	+	2049	2	0.0738112
55_1	k141_13902	2	1486	-	1485	0	0
56_1	k141_37064	1	636	+	636	9	1.07009
56_2	k141_37064	737	1783	+	1047	21	1.51672
56_3	k141_37064	1788	2492	-	705	7	0.750832
56_4	k141_37064	2489	3985	-	1497	19	0.959767
56_5	k141_37064	4035	5510	-	1476	9	0.461095
56_6	k141_37064	5783	6859	+	1077	21	1.47448
56_7	k141_37064	6983	8065	+	1083	26	1.81543
56_8	k141_37064	8171	9508	+	1338	15	0.847753
57_1	k141_4659	3	569	+	567	0	0
57_2	k141_4659	644	1051	+	408	0	0
58_1	k141_20852	3	1265	+	1263	6	0.359238
59_1	k141_16223	2	1090	-	1089	45	3.12478
60_1	k141_9283	1	234	-	234	2	0.646321
60_2	k141_9283	231	1262	-	1032	10	0.732748
60_3	k141_9283	1408	2286	+	879	0	0
60_4	k141_9283	2345	2419	+	75	0	0
61_1	k141_4660	654	1655	+	1002	123	9.28264
62_1	k141_13903	158	1309	+	1152	29	1.90362
62_2	k141_13903	1510	1965	+	456	13	2.15582
62_3	k141_13903	2017	2409	+	393	12	2.30899
62_4	k141_13903	2500	3585	-	1086	27	1.88004
63_1	k141_37069	450	950	-	501	4628	698.538
63_2	k141_37069	1148	1888	-	741	4719	481.577
63_3	k141_37069	2192	2629	-	438	2325	401.405
64_1	k141_47	3	1070	+	1068	13	0.920463
64_2	k141_47	1062	1787	-	726	2	0.208318
64_3	k141_47	1756	2028	-	273	1	0.276995
65_1	k141_16226	2	1021	+	1020	0	0
65_2	k141_16226	1014	1577	+	564	0	0
66_1	k141_9288	2	160	-	159	11	5.23154
66_2	k141_9288	204	695	-	492	67	10.2978
66_3	k141_9288	1029	1109	-	81	21	19.6051
67_1	k141_48	2	1165	+	1164	0	0
68_1	k141_4664	34	225	-	192	28	11.0279
68_2	k141_4664	650	1687	+	1038	160	11.6562
69_1	k141_50	1	1017	+	1017	0	0
70_1	k141_37073	2	415	-	414	9	1.6439
70_2	k141_37073	412	738	-	327	2	0.462505
70_3	k141_37073	750	1046	-	297	1	0.254611
71_1	k141_9290	3	659	+	657	0	0
71_2	k141_9290	707	2080	-	1374	0	0
72_1	k141_2342	1	978	+	978	3	0.231962
72_2	k141_2342	999	1661	-	663	3	0.34217
72_3	k141_2342	1784	2821	-	1038	8	0.58281
72_4	k141_2342	3204	3644	+	441	7	1.20031
73_1	k141_37074	3	851	-	849	6	0.534414
73_2	k141_37074	878	2245	-	1368	17	0.939717
74_1	k141_13913	3	905	-	903	0	0
74_2	k141_13913	945	1967	-	1023	0	0
75_1	k141_9293	49	999	-	951	0	0
75_2	k141_9293	1011	1685	-	675	0	0
76_1	k141_34780	3	695	-	693	4	0.436477
76_2	k141_34780	713	2392	-	1680	10	0.450116
76_3	k141_34780	2399	3505	-	1107	5	0.341552
77_1	k141_55	3	383	-	381	2	0.396953
77_2	k141_55	526	996	+	471	0	0
77_3	k141_55	1038	1610	+	573	3	0.395914
78_1	k141_25477	23	652	+	630	0	0
78_2	k141_25477	1042	1197	+	156	0	0
78_3	k141_25477	1465	2709	+	1245	0	0
78_4	k141_25477	2787	5168	-	2382	0	0
78_5	k141_25477	5211	6137	-	927	0	0
78_6	k141_25477	6138	8201	-	2064	0	0
78_7	k141_25477	8238	9155	-	918	0	0
78_8	k141_25477	9421	10839	+	1419	1	0.0532907
78_9	k141_25477	10942	12087	+	1146	0	0
78_10	k141_25477	12099	12875	+	777	0	0
78_11	k141_25477	12981	14219	+	1239	0	0
78_12	k141_25477	14394	15137	+	744	0	0
78_13	k141_25477	15172	16521	+	1350	0	0
78_14	k141_25477	16518	18188	+	1671	0	0
78_15	k141_25477	18306	19178	+	873	0	0
78_16	k141_25477	19243	21369	+	2127	0	0
78_17	k141_25477	21441	24653	+	3213	0	0
78_18	k141_25477	24730	27705	+	2976	0	0
79_1	k141_20853	322	1719	-	1398	0	0
79_2	k141_20853	1731	3065	-	1335	0	0
79_3	k141_20853	3255	4334	-	1080	0	0
79_4	k141_20853	4339	5199	-	861	0	0
79_5	k141_20853	5190	6149	-	960	0	0
79_6	k141_20853	6146	7765	-	1620	0	0
79_7	k141_20853	7935	8789	-	855	0	0
79_8	k141_20853	8955	9239	-	285	0	0
80_1	k141_25479	3	290	+	288	35	9.18988
80_2	k141_25479	930	1088	+	159	18	8.5607
81_1	k141_34788	3	674	+	672	1250	140.661
81_2	k141_34788	671	1576	+	906	3324	277.439
81_3	k141_34788	1573	1812	+	240	298	93.8943
82_1	k141_9298	682	1515	+	834	0	0
82_2	k141_9298	1520	1819	+	300	0	0
82_3	k141_9298	2313	3092	+	780	0	0
83_1	k141_62	547	708	+	162	45	21.0054
83_2	k141_62	866	2143	-	1278	321	18.9936
83_3	k141_62	2140	2478	-	339	75	16.73
83_4	k141_62	2648	2806	-	159	43	20.4506
83_5	k141_62	2813	2983	-	171	64	28.3021
84_1	k141_20857	2	427	+	426	3	0.532532
84_2	k141_20857	874	3207	+	2334	36	1.16637
84_3	k141_20857	3385	3585	+	201	0	0
85_1	k141_32424	1	141	+	141	29	15.553
85_2	k141_32424	272	502	-	231	43	14.0764
85_3	k141_32424	637	759	-	123	1	0.614793
85_4	k141_32424	843	1433	+	591	56	7.16531
85_5	k141_32424	1437	2279	+	843	99	8.88059
85_6	k141_32424	2298	4052	+	1755	208	8.96232
85_7	k141_32424	4163	5485	+	1323	190	10.86
85_8	k141_32424	5500	6105	+	606	65	8.11101
85_9	k141_32424	6102	7907	+	1806	218	9.12794
85_10	k141_32424	7937	8401	+	465	67	10.8957
85_11	k141_32424	8656	10329	+	1674	208	9.39598
85_12	k141_32424	10357	12921	+	2565	339	9.99416
85_13	k141_32424	13273	14394	-	1122	205	13.8164
85_14	k141_32424	14546	16585	+	2040	302	11.1947
85_15	k141_32424	16537	18114	+	1578	201	9.63215
85_16	k141_32424	18132	18929	+	798	92	8.71804
85_17	k141_32424	18923	19714	+	792	99	9.45244
85_18	k141_32424	19746	21059	+	1314	207	11.9127
85_19	k141_32424	21169	22107	-	939	70	5.63724
85_20	k141_32424	22258	22866	-	609	55	6.82935
85_21	k141_32424	23077	23769	-	693	71	7.74746
85_22	k141_32424	23923	25053	-	1131	153	10.2297
85_23	k141_32424	25251	25772	-	522	83	12.0238
85_24	k141_32424	25847	27550	-	1704	216	9.58558
85_25	k141_32424	27563	28336	-	774	78	7.62058
85_26	k141_32424	28349	28987	-	639	80	9.46724
85_27	k141_32424	28984	29184	-	201	19	7.14812
85_28	k141_32424	29386	30252	-	867	90	7.84978
85_29	k141_32424	30192	31385	-	1194	154	9.75328
85_30	k141_32424	31554	32510	-	957	159	12.5638
86_1	k141_34791	2	1126	+	1125	0	0
87_1	k141_9299	1	135	+	135	19	10.6428
87_2	k141_9299	311	1141	-	831	215	19.5646
87_3	k141_9299	1322	1414	+	93	5	4.06557
88_1	k141_64	23	1066	+	1044	0	0
89_1	k141_11605	89	340	+	252	0	0
89_2	k141_11605	613	762	+	150	21	10.5867
89_3	k141_11605	780	1832	+	1053	116	8.33036
89_4	k141_11605	2010	2558	+	549	74	10.1928
89_5	k141_11605	2635	3105	+	471	65	10.4358
89_6	k141_11605	3365	3808	+	444	69	11.7517
89_7	k141_11605	4144	8016	+	3873	475	9.27428
89_8	k141_11605	8129	10474	-	2346	322	10.3792
89_9	k141_11605	10643	13870	-	3228	431	10.0967
89_10	k141_11605	13913	14989	-	1077	147	10.3213
89_11	k141_11605	15015	16898	-	1884	292	11.7202
90_1	k141_37087	1	1884	+	1884	1	0.0401378
90_2	k141_37087	2074	2400	-	327	0	0
91_1	k141_4675	142	1908	+	1767	92	3.93718
91_2	k141_4675	1989	2996	-	1008	2	0.150039
91_3	k141_4675	3203	4108	-	906	0	0
91_4	k141_4675	4264	5298	+	1035	4	0.29225
91_5	k141_4675	5450	6304	-	855	2	0.176888
92_1	k141_16227	1	228	-	228	29	9.61828
92_2	k141_16227	693	2216	-	1524	231	11.462
92_3	k141_16227	2235	5381	-	3147	556	13.3602
92_4	k141_16227	5749	6909	+	1161	192	12.5056
92_5	k141_16227	7500	10292	+	2793	58	1.57033
92_6	k141_16227	10321	11796	+	1476	25	1.28082
92_7	k141_16227	11947	12198	-	252	1	0.300078
93_1	k141_37088	1	801	+	801	8	0.755252
94_1	k141_20861	2	1237	+	1236	9	0.550628
94_2	k141_20861	1237	1830	+	594	2	0.254611
95_1	k141_32428	3	659	-	657	0	0
95_2	k141_32428	640	1497	-	858	0	0
96_1	k141_13935	1	78	+	78	0	0
96_2	k141_13935	82	384	+	303	6	1.49742
96_3	k141_13935	470	874	+	405	18	3.36087
96_4	k141_13935	871	1311	+	441	23	3.94388
96_5	k141_13935	1396	2235	-	840	31	2.79072
96_6	k141_13935	2232	2870	-	639	28	3.31353
96_7	k141_13935	2939	3121	-	183	3	1.23966
97_1	k141_37090	51	842	-	792	0	0
97_2	k141_37090	844	1035	-	192	0	0
98_1	k141_16231	2	1087	-	1086	148	10.3054
99_1	k141_37091	3	1139	-	1137	0	0
100_1	k141_20865	198	1262	-	1065	4	0.284017
101_1	k141_32430	3	1619	+	1617	0	0
102_1	k141_34798	1	1173	+	1173	2	0.128934
102_2	k141_34798	1242	1553	-	312	2	0.484741
102_3	k141_34798	1550	1846	-	297	1	0.254611
102_4	k141_34798	1862	2179	-	318	2	0.475595
103_1	k141_4681	3	140	-	138	16	8.76749
103_2	k141_4681	253	1533	-	1281	238	14.0495
103_3	k141_4681	1549	2850	-	1302	247	14.3456
103_4	k141_4681	2977	3354	-	378	34	6.80176
104_1	k141_75	2	862	+	861	10	0.878276
104_2	k141_75	867	1493	+	627	5	0.603027
104_3	k141_75	1498	2238	+	741	21	2.14306
105_1	k141_32432	3	887	+	885	3	0.256337
105_2	k141_32432	968	1354	+	387	4	0.781598
106_1	k141_78	1	888	-	888	194	16.5205
106_2	k141_78	1073	1237	-	165	70	32.081
107_1	k141_16238	3	653	+	651	1	0.116159
107_2	k141_16238	939	1406	+	468	1	0.16158
107_3	k141_16238	1416	1622	+	207	1	0.365312
108_1	k141_34799	120	506	-	387	0	0
108_2	k141_34799	518	1453	-	936	0	0
108_3	k141_34799	1496	1879	-	384	0	0
108_4	k141_34799	1897	2262	-	366	0	0
108_5	k141_34799	2280	2396	-	117	0	0
108_6	k141_34799	2421	2639	-	219	0	0
108_7	k141_34799	2756	3034	-	279	0	0
109_1	k141_37098	3	332	+	330	0	0
109_2	k141_37098	397	936	+	540	0	0
109_3	k141_37098	926	1414	+	489	0	0
109_4	k141_37098	1398	1892	+	495	0	0
110_1	k141_4687	1	2043	+	2043	0	0
111_1	k141_27814	1	2088	+	2088	27	0.977839
111_2	k141_27814	2165	6388	+	4224	47	0.841411
111_3	k141_27814	6798	8138	+	1341	0	0
111_4	k141_27814	8182	8499	-	318	0	0
111_5	k141_27814	8503	8808	-	306	0	0
111_6	k141_27814	8981	10513	-	1533	0	0
111_7	k141_27814	10834	11967	-	1134	3	0.200052
111_8	k141_27814	11964	12734	-	771	0	0
111_9	k141_27814	12736	12936	-	201	0	0
111_10	k141_27814	12920	13675	-	756	0	0
111_11	k141_27814	13668	14303	-	636	0	0
111_12	k141_27814	14303	16198	-	1896	6	0.239302
111_13	k141_27814	16452	16949	-	498	0	0
111_14	k141_27814	17045	17818	+	774	11	1.0747
111_15	k141_27814	17985	19049	+	1065	22	1.56209
111_16	k141_27814	19059	19730	+	672	0	0
111_17	k141_27814	19773	20363	+	591	0	0
111_18	k141_27814	20550	20822	+	273	16	4.43192
111_19	k141_27814	20829	21527	+	699	3	0.324547
111_20	k141_27814	21531	21965	-	435	0	0
111_21	k141_27814	22218	23606	+	1389	0	0
111_22	k141_27814	23603	24937	+	1335	0	0
111_23	k141_27814	24934	26226	-	1293	13	0.760289
111_24	k141_27814	26242	27828	-	1587	51	2.43012
112_1	k141_32435	146	1372	+	1227	1	0.0616296
112_2	k141_32435	1502	2158	+	657	1	0.115098
113_1	k141_34802	1	1362	-	1362	10	0.55521
114_1	k141_9301	1	2661	-	2661	529	15.033
114_2	k141_9301	2658	4145	-	1488	279	14.1787
114_3	k141_9301	4132	7212	-	3081	624	15.3154
114_4	k141_9301	7217	8284	-	1068	171	12.1076
114_5	k141_9301	8337	9659	-	1323	260	14.861
115_1	k141_44008	1	510	+	510	51	7.56196
115_2	k141_44008	977	2083	+	1107	51	3.48383
115_3	k141_44008	2227	3051	+	825	11	1.00826
115_4	k141_44008	3048	3965	-	918	8	0.658994
115_5	k141_44008	4248	4616	+	369	5	1.02466
115_6	k141_44008	4628	5995	+	1368	20	1.10555
115_7	k141_44008	6079	7152	+	1074	35	2.46432
115_8	k141_44008	7292	7600	+	309	7	1.71306
115_9	k141_44008	7590	8528	+	939	3	0.241596
115_10	k141_44008	8564	8968	+	405	2	0.37343
115_11	k141_44008	9030	9845	-	816	7	0.648697
115_12	k141_44008	10063	10275	+	213	3	1.06506
115_13	k141_44008	10294	15480	+	5187	86	1.25377
115_14	k141_44008	15486	18365	+	2880	61	1.60166
115_15	k141_44008	18381	22526	+	4146	61	1.11259
115_16	k141_44008	22516	27351	+	4836	43	0.672382
115_17	k141_44008	27355	29583	+	2229	27	0.915984
115_18	k141_44008	29656	30048	+	393	1	0.192416
115_19	k141_44008	30358	31812	-	1455	18	0.9355
115_20	k141_44008	32108	32413	-	306	2	0.494245
115_21	k141_44008	32791	33924	+	1134	5	0.33342
115_22	k141_44008	33932	34324	+	393	7	1.34691
115_23	k141_44008	35001	36632	+	1632	8	0.370684
115_24	k141_44008	36635	37972	+	1338	25	1.41292
115_25	k141_44008	39044	39172	-	129	5	2.93099
116_1	k141_4690	2	1969	-	1968	0	0
117_1	k141_81	1	216	-	216	0	0
117_2	k141_81	209	778	-	570	0	0
117_3	k141_81	954	2291	-	1338	0	0
117_4	k141_81	2378	3418	-	1041	0	0
117_5	k141_81	3444	4115	-	672	0	0
118_1	k141_34805	1	726	+	726	17	1.77071
118_2	k141_34805	745	1125	+	381	6	1.19086
119_1	k141_44010	2	334	-	333	0	0
119_2	k141_44010	377	913	-	537	0	0
120_1	k141_27824	1	891	-	891	0	0
120_2	k141_27824	1032	1184	-	153	0	0
121_1	k141_9305	1	978	+	978	17	1.31445
121_2	k141_9305	975	1595	+	621	16	1.94833
122_1	k141_82	3	110	-	108	0	0
122_2	k141_82	107	982	-	876	0	0
122_3	k141_82	991	1620	-	630	0	0
123_1	k141_44011	3	803	-	801	0	0
123_2	k141_44011	923	1333	+	411	0	0
124_1	k141_34806	2	811	+	810	3	0.280072
124_2	k141_34806	845	1348	+	504	6	0.900233
125_1	k141_32442	3	503	+	501	3	0.452812
125_2	k141_32442	869	2983	+	2115	14	0.500555
125_3	k141_32442	2989	3321	-	333	2	0.454172
126_1	k141_4693	461	724	-	264	38	10.8846
126_2	k141_4693	1106	1237	-	132	18	10.3118
126_3	k141_4693	2097	2351	-	255	32	9.48951
126_4	k141_4693	2431	2706	-	276	34	9.31545
127_1	k141_32443	217	1242	-	1026	0	0
128_1	k141_37099	3	2321	-	2319	60	1.95652
128_2	k141_37099	2514	3131	+	618	16	1.95779
128_3	k141_37099	3152	4048	+	897	17	1.43315
128_4	k141_37099	4131	5153	+	1023	27	1.99582
128_5	k141_37099	5141	5437	-	297	7	1.78228
128_6	k141_37099	5440	6036	-	597	5	0.63333
128_7	k141_37099	6198	6542	+	345	10	2.19187
128_8	k141_37099	6581	6877	-	297	7	1.78228
128_9	k141_37099	6880	7473	-	594	17	2.1642
129_1	k141_4694	1	1473	+	1473	0	0
130_1	k141_6950	1	138	+	138	44	24.1106
130_2	k141_6950	528	698	-	171	64	28.3021
130_3	k141_6950	1256	3352	-	2097	455	16.4077
130_4	k141_6950	3441	3674	+	234	13	4.20109
130_5	k141_6950	3604	5469	-	1866	354	14.3458
130_6	k141_6950	5509	7107	-	1599	330	15.6063
130_7	k141_6950	7335	8711	+	1377	244	13.3995
130_8	k141_6950	8811	9899	-	1089	145	10.0687
130_9	k141_6950	9983	10597	+	615	110	13.5254
130_10	k141_6950	10756	11259	+	504	85	12.7533
130_11	k141_6950	11449	13224	+	1776	276	11.7517
130_12	k141_6950	13350	14228	+	879	158	13.5926
130_13	k141_6950	14206	14922	-	717	115	12.1287
130_14	k141_6950	15051	15770	-	720	154	16.1742
130_15	k141_6950	15819	17162	-	1344	287	16.1479
130_16	k141_6950	17361	18641	-	1281	345	20.3659
130_17	k141_6950	18888	19607	-	720	130	13.6535
130_18	k141_6950	19617	20204	-	588	125	16.0756
130_19	k141_6950	20210	20677	-	468	82	13.2496
130_20	k141_6950	20686	21627	-	942	161	12.9244
130_21	k141_6950	21788	24115	+	2328	447	14.5197
130_22	k141_6950	24322	25149	+	828	146	13.3339
130_23	k141_6950	25224	26147	-	924	126	10.3118
130_24	k141_6950	26299	26955	-	657	146	16.8043
130_25	k141_6950	27052	28158	-	1107	221	15.0966
130_26	k141_6950	28171	29277	-	1107	198	13.5254
130_27	k141_6950	29301	30755	-	1455	283	14.7081
130_28	k141_6950	30764	31660	-	897	132	11.128
130_29	k141_6950	31647	32945	-	1299	211	12.2831
130_30	k141_6950	32942	33598	-	657	110	12.6608
130_31	k141_6950	34003	34377	-	375	89	17.947
130_32	k141_6950	34456	35214	+	759	114	11.3579
130_33	k141_6950	35215	36501	+	1287	206	12.1038
130_34	k141_6950	36572	37690	+	1119	190	12.8398
130_35	k141_6950	37698	38486	+	789	170	16.2932
130_36	k141_6950	38562	39227	+	666	115	13.0574
130_37	k141_6950	39264	39704	+	441	75	12.8605
130_38	k141_6950	39733	41760	+	2028	484	18.0473
130_39	k141_6950	41764	42915	+	1152	221	14.5069
130_40	k141_6950	43030	44520	+	1491	296	15.0123
130_41	k141_6950	44555	45223	+	669	104	11.7555
130_42	k141_6950	45232	46029	+	798	138	13.0771
130_43	k141_6950	46088	46366	+	279	42	11.3836
130_44	k141_6950	46428	47522	+	1095	158	10.9113
130_45	k141_6950	47531	48214	+	684	140	15.4777
131_1	k141_23179	38	955	-	918	116	9.55541
131_2	k141_23179	1133	3712	+	2580	5	0.14655
131_3	k141_23179	3719	4939	-	1221	129	7.98929
131_4	k141_23179	4944	5915	-	972	146	11.3585
131_5	k141_23179	6030	7625	-	1596	16	0.758091
131_6	k141_23179	8292	9824	-	1533	214	10.5562
131_7	k141_23179	9989	13240	+	3252	453	10.5337
131_8	k141_23179	13416	14024	+	609	67	8.31939
131_9	k141_23179	14147	16981	+	2835	462	12.3232
131_10	k141_23179	16988	17884	+	897	145	12.2239
131_11	k141_23179	17900	18784	-	885	138	11.7915
131_12	k141_23179	19194	20330	-	1137	136	9.04508
131_13	k141_23179	20361	21419	-	1059	51	3.64174
131_14	k141_23179	21427	22548	-	1122	143	9.63779
131_15	k141_23179	22551	22934	-	384	32	6.30163
131_16	k141_23179	23434	23973	+	540	71	9.94257
132_1	k141_32448	434	1201	+	768	19	1.8708
132_2	k141_32448	1253	1900	-	648	12	1.40036
132_3	k141_32448	1913	2038	+	126	1	0.600155
133_1	k141_44016	40	363	-	324	73	17.0377
