# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_3_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_3/K21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_3/K21_1.bam
35_3	k141_4648	2200	3189	+	990	0
36_1	k141_34752	27	281	+	255	0
36_2	k141_34752	373	1326	+	954	0
36_3	k141_34752	1525	2526	+	1002	0
37_1	k141_11600	1	1182	+	1182	0
38_1	k141_23165	3	2390	-	2388	0
38_2	k141_23165	2496	5066	-	2571	5
38_3	k141_23165	5293	6681	-	1389	1
38_4	k141_23165	7062	7946	-	885	0
38_5	k141_23165	7984	9297	-	1314	0
38_6	k141_23165	9317	9403	-	87	0
39_1	k141_9275	1	171	-	171	0
39_2	k141_9275	153	389	-	237	0
39_3	k141_9275	458	1270	-	813	0
40_1	k141_41701	761	1729	+	969	356
40_2	k141_41701	1732	1962	+	231	151
41_1	k141_27811	1	297	+	297	0
41_2	k141_27811	378	1712	-	1335	3
41_3	k141_27811	2084	3361	+	1278	2
42_1	k141_27	1	912	-	912	0
43_1	k141_34757	3	803	-	801	0
43_2	k141_34757	959	1462	+	504	0
43_3	k141_34757	1468	1647	+	180	0
44_1	k141_16219	1	90	+	90	3
44_2	k141_16219	129	1577	+	1449	341
44_3	k141_16219	1673	3199	+	1527	359
44_4	k141_16219	3345	4313	+	969	192
44_5	k141_16219	4395	5648	+	1254	243
44_6	k141_16219	5706	8480	+	2775	550
45_1	k141_31	2	538	+	537	67
45_2	k141_31	550	1107	+	558	47
46_1	k141_23175	3	875	-	873	0
47_1	k141_13901	440	1810	-	1371	0
47_2	k141_13901	2181	3590	-	1410	0
47_3	k141_13901	3760	4875	+	1116	0
47_4	k141_13901	5179	5697	-	519	0
47_5	k141_13901	5783	7945	-	2163	0
47_6	k141_13901	8771	9688	+	918	0
48_1	k141_20848	1	324	-	324	0
48_2	k141_20848	331	1065	-	735	0
49_1	k141_4652	3	1235	-	1233	0
49_2	k141_4652	1257	1355	-	99	0
49_3	k141_4652	1600	3975	-	2376	4
50_1	k141_11604	1	672	+	672	0
50_2	k141_11604	689	1951	+	1263	4
50_3	k141_11604	2022	3884	+	1863	8
51_1	k141_2328	2	304	-	303	0
51_2	k141_2328	285	1835	-	1551	0
51_3	k141_2328	1966	2865	-	900	0
51_4	k141_2328	3042	4037	-	996	0
51_5	k141_2328	4034	5170	-	1137	0
51_6	k141_2328	5284	5451	-	168	0
51_7	k141_2328	5547	6755	-	1209	0
51_8	k141_2328	6769	7251	-	483	0
52_1	k141_9282	1	1155	+	1155	0
53_1	k141_20849	1	792	+	792	0
53_2	k141_20849	834	1214	-	381	0
53_3	k141_20849	1207	1413	-	207	0
54_1	k141_16220	1	2049	+	2049	0
55_1	k141_13902	2	1486	-	1485	0
56_1	k141_37064	1	636	+	636	0
56_2	k141_37064	737	1783	+	1047	0
56_3	k141_37064	1788	2492	-	705	0
56_4	k141_37064	2489	3985	-	1497	0
56_5	k141_37064	4035	5510	-	1476	0
56_6	k141_37064	5783	6859	+	1077	0
56_7	k141_37064	6983	8065	+	1083	0
56_8	k141_37064	8171	9508	+	1338	0
57_1	k141_4659	3	569	+	567	0
57_2	k141_4659	644	1051	+	408	0
58_1	k141_20852	3	1265	+	1263	0
59_1	k141_16223	2	1090	-	1089	7
60_1	k141_9283	1	234	-	234	0
60_2	k141_9283	231	1262	-	1032	0
60_3	k141_9283	1408	2286	+	879	0
60_4	k141_9283	2345	2419	+	75	0
61_1	k141_4660	654	1655	+	1002	54
62_1	k141_13903	158	1309	+	1152	0
62_2	k141_13903	1510	1965	+	456	0
62_3	k141_13903	2017	2409	+	393	0
62_4	k141_13903	2500	3585	-	1086	0
63_1	k141_37069	450	950	-	501	1792
63_2	k141_37069	1148	1888	-	741	1943
63_3	k141_37069	2192	2629	-	438	857
64_1	k141_47	3	1070	+	1068	0
64_2	k141_47	1062	1787	-	726	0
64_3	k141_47	1756	2028	-	273	0
65_1	k141_16226	2	1021	+	1020	0
65_2	k141_16226	1014	1577	+	564	0
66_1	k141_9288	2	160	-	159	48
66_2	k141_9288	204	695	-	492	56
66_3	k141_9288	1029	1109	-	81	31
67_1	k141_48	2	1165	+	1164	0
68_1	k141_4664	34	225	-	192	51
68_2	k141_4664	650	1687	+	1038	233
69_1	k141_50	1	1017	+	1017	6
70_1	k141_37073	2	415	-	414	0
70_2	k141_37073	412	738	-	327	0
70_3	k141_37073	750	1046	-	297	0
71_1	k141_9290	3	659	+	657	0
71_2	k141_9290	707	2080	-	1374	0
72_1	k141_2342	1	978	+	978	0
72_2	k141_2342	999	1661	-	663	0
72_3	k141_2342	1784	2821	-	1038	0
72_4	k141_2342	3204	3644	+	441	0
73_1	k141_37074	3	851	-	849	0
73_2	k141_37074	878	2245	-	1368	0
74_1	k141_13913	3	905	-	903	0
74_2	k141_13913	945	1967	-	1023	0
75_1	k141_9293	49	999	-	951	1
75_2	k141_9293	1011	1685	-	675	3
76_1	k141_34780	3	695	-	693	0
76_2	k141_34780	713	2392	-	1680	0
76_3	k141_34780	2399	3505	-	1107	0
77_1	k141_55	3	383	-	381	0
77_2	k141_55	526	996	+	471	0
77_3	k141_55	1038	1610	+	573	0
78_1	k141_25477	23	652	+	630	18
78_2	k141_25477	1042	1197	+	156	11
78_3	k141_25477	1465	2709	+	1245	37
78_4	k141_25477	2787	5168	-	2382	77
78_5	k141_25477	5211	6137	-	927	27
78_6	k141_25477	6138	8201	-	2064	57
78_7	k141_25477	8238	9155	-	918	28
78_8	k141_25477	9421	10839	+	1419	33
78_9	k141_25477	10942	12087	+	1146	30
78_10	k141_25477	12099	12875	+	777	15
78_11	k141_25477	12981	14219	+	1239	32
78_12	k141_25477	14394	15137	+	744	25
78_13	k141_25477	15172	16521	+	1350	35
78_14	k141_25477	16518	18188	+	1671	37
78_15	k141_25477	18306	19178	+	873	24
78_16	k141_25477	19243	21369	+	2127	34
78_17	k141_25477	21441	24653	+	3213	75
78_18	k141_25477	24730	27705	+	2976	75
79_1	k141_20853	322	1719	-	1398	325
79_2	k141_20853	1731	3065	-	1335	205
79_3	k141_20853	3255	4334	-	1080	227
79_4	k141_20853	4339	5199	-	861	118
79_5	k141_20853	5190	6149	-	960	130
79_6	k141_20853	6146	7765	-	1620	240
79_7	k141_20853	7935	8789	-	855	163
79_8	k141_20853	8955	9239	-	285	94
80_1	k141_25479	3	290	+	288	52
80_2	k141_25479	930	1088	+	159	43
81_1	k141_34788	3	674	+	672	436
81_2	k141_34788	671	1576	+	906	1297
81_3	k141_34788	1573	1812	+	240	95
82_1	k141_9298	682	1515	+	834	239
82_2	k141_9298	1520	1819	+	300	85
82_3	k141_9298	2313	3092	+	780	204
83_1	k141_62	547	708	+	162	106
83_2	k141_62	866	2143	-	1278	464
83_3	k141_62	2140	2478	-	339	110
83_4	k141_62	2648	2806	-	159	124
83_5	k141_62	2813	2983	-	171	103
84_1	k141_20857	2	427	+	426	0
84_2	k141_20857	874	3207	+	2334	0
84_3	k141_20857	3385	3585	+	201	1
85_1	k141_32424	1	141	+	141	81
85_2	k141_32424	272	502	-	231	95
85_3	k141_32424	637	759	-	123	51
85_4	k141_32424	843	1433	+	591	146
85_5	k141_32424	1437	2279	+	843	196
85_6	k141_32424	2298	4052	+	1755	338
85_7	k141_32424	4163	5485	+	1323	225
85_8	k141_32424	5500	6105	+	606	90
85_9	k141_32424	6102	7907	+	1806	288
85_10	k141_32424	7937	8401	+	465	91
85_11	k141_32424	8656	10329	+	1674	356
85_12	k141_32424	10357	12921	+	2565	472
85_13	k141_32424	13273	14394	-	1122	343
85_14	k141_32424	14546	16585	+	2040	327
85_15	k141_32424	16537	18114	+	1578	287
85_16	k141_32424	18132	18929	+	798	161
85_17	k141_32424	18923	19714	+	792	130
85_18	k141_32424	19746	21059	+	1314	341
85_19	k141_32424	21169	22107	-	939	169
85_20	k141_32424	22258	22866	-	609	121
85_21	k141_32424	23077	23769	-	693	148
85_22	k141_32424	23923	25053	-	1131	283
85_23	k141_32424	25251	25772	-	522	102
85_24	k141_32424	25847	27550	-	1704	314
85_25	k141_32424	27563	28336	-	774	151
85_26	k141_32424	28349	28987	-	639	110
85_27	k141_32424	28984	29184	-	201	47
85_28	k141_32424	29386	30252	-	867	167
85_29	k141_32424	30192	31385	-	1194	229
85_30	k141_32424	31554	32510	-	957	224
86_1	k141_34791	2	1126	+	1125	0
87_1	k141_9299	1	135	+	135	23
87_2	k141_9299	311	1141	-	831	126
87_3	k141_9299	1322	1414	+	93	21
88_1	k141_64	23	1066	+	1044	10
89_1	k141_11605	89	340	+	252	52
89_2	k141_11605	613	762	+	150	21
89_3	k141_11605	780	1832	+	1053	244
89_4	k141_11605	2010	2558	+	549	138
89_5	k141_11605	2635	3105	+	471	112
89_6	k141_11605	3365	3808	+	444	184
89_7	k141_11605	4144	8016	+	3873	1048
89_8	k141_11605	8129	10474	-	2346	447
89_9	k141_11605	10643	13870	-	3228	832
89_10	k141_11605	13913	14989	-	1077	214
89_11	k141_11605	15015	16898	-	1884	534
90_1	k141_37087	1	1884	+	1884	0
90_2	k141_37087	2074	2400	-	327	0
91_1	k141_4675	142	1908	+	1767	4
91_2	k141_4675	1989	2996	-	1008	0
91_3	k141_4675	3203	4108	-	906	0
91_4	k141_4675	4264	5298	+	1035	0
91_5	k141_4675	5450	6304	-	855	0
92_1	k141_16227	1	228	-	228	24
92_2	k141_16227	693	2216	-	1524	0
92_3	k141_16227	2235	5381	-	3147	28
92_4	k141_16227	5749	6909	+	1161	149
92_5	k141_16227	7500	10292	+	2793	3
92_6	k141_16227	10321	11796	+	1476	0
92_7	k141_16227	11947	12198	-	252	21
93_1	k141_37088	1	801	+	801	0
94_1	k141_20861	2	1237	+	1236	0
94_2	k141_20861	1237	1830	+	594	0
95_1	k141_32428	3	659	-	657	2
95_2	k141_32428	640	1497	-	858	27
96_1	k141_13935	1	78	+	78	4
96_2	k141_13935	82	384	+	303	78
96_3	k141_13935	470	874	+	405	103
96_4	k141_13935	871	1311	+	441	107
96_5	k141_13935	1396	2235	-	840	195
96_6	k141_13935	2232	2870	-	639	142
96_7	k141_13935	2939	3121	-	183	41
97_1	k141_37090	51	842	-	792	0
97_2	k141_37090	844	1035	-	192	0
98_1	k141_16231	2	1087	-	1086	144
99_1	k141_37091	3	1139	-	1137	27
100_1	k141_20865	198	1262	-	1065	1
101_1	k141_32430	3	1619	+	1617	0
102_1	k141_34798	1	1173	+	1173	0
102_2	k141_34798	1242	1553	-	312	0
102_3	k141_34798	1550	1846	-	297	0
102_4	k141_34798	1862	2179	-	318	0
103_1	k141_4681	3	140	-	138	3
103_2	k141_4681	253	1533	-	1281	0
103_3	k141_4681	1549	2850	-	1302	0
103_4	k141_4681	2977	3354	-	378	20
104_1	k141_75	2	862	+	861	0
104_2	k141_75	867	1493	+	627	0
104_3	k141_75	1498	2238	+	741	0
105_1	k141_32432	3	887	+	885	0
105_2	k141_32432	968	1354	+	387	0
106_1	k141_78	1	888	-	888	0
106_2	k141_78	1073	1237	-	165	0
107_1	k141_16238	3	653	+	651	0
107_2	k141_16238	939	1406	+	468	0
107_3	k141_16238	1416	1622	+	207	0
108_1	k141_34799	120	506	-	387	0
108_2	k141_34799	518	1453	-	936	0
108_3	k141_34799	1496	1879	-	384	1
108_4	k141_34799	1897	2262	-	366	0
108_5	k141_34799	2280	2396	-	117	0
108_6	k141_34799	2421	2639	-	219	0
108_7	k141_34799	2756	3034	-	279	0
109_1	k141_37098	3	332	+	330	0
109_2	k141_37098	397	936	+	540	0
109_3	k141_37098	926	1414	+	489	0
109_4	k141_37098	1398	1892	+	495	0
110_1	k141_4687	1	2043	+	2043	0
111_1	k141_27814	1	2088	+	2088	14
111_2	k141_27814	2165	6388	+	4224	19
111_3	k141_27814	6798	8138	+	1341	0
111_4	k141_27814	8182	8499	-	318	0
111_5	k141_27814	8503	8808	-	306	0
111_6	k141_27814	8981	10513	-	1533	0
111_7	k141_27814	10834	11967	-	1134	3
111_8	k141_27814	11964	12734	-	771	0
111_9	k141_27814	12736	12936	-	201	0
111_10	k141_27814	12920	13675	-	756	0
111_11	k141_27814	13668	14303	-	636	0
111_12	k141_27814	14303	16198	-	1896	2
111_13	k141_27814	16452	16949	-	498	0
111_14	k141_27814	17045	17818	+	774	4
111_15	k141_27814	17985	19049	+	1065	2
111_16	k141_27814	19059	19730	+	672	0
111_17	k141_27814	19773	20363	+	591	0
111_18	k141_27814	20550	20822	+	273	1
111_19	k141_27814	20829	21527	+	699	0
111_20	k141_27814	21531	21965	-	435	0
111_21	k141_27814	22218	23606	+	1389	0
111_22	k141_27814	23603	24937	+	1335	3
111_23	k141_27814	24934	26226	-	1293	2
111_24	k141_27814	26242	27828	-	1587	9
112_1	k141_32435	146	1372	+	1227	24
112_2	k141_32435	1502	2158	+	657	9
113_1	k141_34802	1	1362	-	1362	0
114_1	k141_9301	1	2661	-	2661	320
114_2	k141_9301	2658	4145	-	1488	235
114_3	k141_9301	4132	7212	-	3081	435
114_4	k141_9301	7217	8284	-	1068	120
114_5	k141_9301	8337	9659	-	1323	174
115_1	k141_44008	1	510	+	510	45
115_2	k141_44008	977	2083	+	1107	17
115_3	k141_44008	2227	3051	+	825	0
115_4	k141_44008	3048	3965	-	918	0
115_5	k141_44008	4248	4616	+	369	0
115_6	k141_44008	4628	5995	+	1368	0
115_7	k141_44008	6079	7152	+	1074	0
115_8	k141_44008	7292	7600	+	309	0
115_9	k141_44008	7590	8528	+	939	0
115_10	k141_44008	8564	8968	+	405	0
115_11	k141_44008	9030	9845	-	816	0
115_12	k141_44008	10063	10275	+	213	0
115_13	k141_44008	10294	15480	+	5187	0
115_14	k141_44008	15486	18365	+	2880	0
115_15	k141_44008	18381	22526	+	4146	0
115_16	k141_44008	22516	27351	+	4836	0
115_17	k141_44008	27355	29583	+	2229	0
115_18	k141_44008	29656	30048	+	393	0
115_19	k141_44008	30358	31812	-	1455	0
115_20	k141_44008	32108	32413	-	306	0
115_21	k141_44008	32791	33924	+	1134	0
115_22	k141_44008	33932	34324	+	393	0
115_23	k141_44008	35001	36632	+	1632	0
115_24	k141_44008	36635	37972	+	1338	0
115_25	k141_44008	39044	39172	-	129	7
116_1	k141_4690	2	1969	-	1968	0
117_1	k141_81	1	216	-	216	0
117_2	k141_81	209	778	-	570	3
117_3	k141_81	954	2291	-	1338	20
117_4	k141_81	2378	3418	-	1041	12
117_5	k141_81	3444	4115	-	672	3
118_1	k141_34805	1	726	+	726	0
118_2	k141_34805	745	1125	+	381	0
119_1	k141_44010	2	334	-	333	0
119_2	k141_44010	377	913	-	537	0
120_1	k141_27824	1	891	-	891	10
120_2	k141_27824	1032	1184	-	153	1
121_1	k141_9305	1	978	+	978	0
121_2	k141_9305	975	1595	+	621	2
122_1	k141_82	3	110	-	108	0
122_2	k141_82	107	982	-	876	0
122_3	k141_82	991	1620	-	630	2
123_1	k141_44011	3	803	-	801	0
123_2	k141_44011	923	1333	+	411	0
124_1	k141_34806	2	811	+	810	0
124_2	k141_34806	845	1348	+	504	0
125_1	k141_32442	3	503	+	501	0
125_2	k141_32442	869	2983	+	2115	0
125_3	k141_32442	2989	3321	-	333	0
126_1	k141_4693	461	724	-	264	3
126_2	k141_4693	1106	1237	-	132	16
126_3	k141_4693	2097	2351	-	255	4
126_4	k141_4693	2431	2706	-	276	14
127_1	k141_32443	217	1242	-	1026	0
128_1	k141_37099	3	2321	-	2319	0
128_2	k141_37099	2514	3131	+	618	0
128_3	k141_37099	3152	4048	+	897	0
128_4	k141_37099	4131	5153	+	1023	0
128_5	k141_37099	5141	5437	-	297	0
128_6	k141_37099	5440	6036	-	597	0
128_7	k141_37099	6198	6542	+	345	0
128_8	k141_37099	6581	6877	-	297	0
128_9	k141_37099	6880	7473	-	594	0
129_1	k141_4694	1	1473	+	1473	0
130_1	k141_6950	1	138	+	138	23
130_2	k141_6950	528	698	-	171	55
130_3	k141_6950	1256	3352	-	2097	277
130_4	k141_6950	3441	3674	+	234	21
130_5	k141_6950	3604	5469	-	1866	259
130_6	k141_6950	5509	7107	-	1599	277
130_7	k141_6950	7335	8711	+	1377	190
130_8	k141_6950	8811	9899	-	1089	155
130_9	k141_6950	9983	10597	+	615	76
130_10	k141_6950	10756	11259	+	504	84
130_11	k141_6950	11449	13224	+	1776	249
130_12	k141_6950	13350	14228	+	879	91
130_13	k141_6950	14206	14922	-	717	81
130_14	k141_6950	15051	15770	-	720	65
130_15	k141_6950	15819	17162	-	1344	182
130_16	k141_6950	17361	18641	-	1281	202
130_17	k141_6950	18888	19607	-	720	94
130_18	k141_6950	19617	20204	-	588	85
130_19	k141_6950	20210	20677	-	468	72
130_20	k141_6950	20686	21627	-	942	114
130_21	k141_6950	21788	24115	+	2328	278
130_22	k141_6950	24322	25149	+	828	152
130_23	k141_6950	25224	26147	-	924	109
130_24	k141_6950	26299	26955	-	657	71
130_25	k141_6950	27052	28158	-	1107	176
130_26	k141_6950	28171	29277	-	1107	106
130_27	k141_6950	29301	30755	-	1455	222
130_28	k141_6950	30764	31660	-	897	92
130_29	k141_6950	31647	32945	-	1299	199
130_30	k141_6950	32942	33598	-	657	97
130_31	k141_6950	34003	34377	-	375	53
130_32	k141_6950	34456	35214	+	759	149
130_33	k141_6950	35215	36501	+	1287	151
130_34	k141_6950	36572	37690	+	1119	134
130_35	k141_6950	37698	38486	+	789	85
130_36	k141_6950	38562	39227	+	666	68
130_37	k141_6950	39264	39704	+	441	47
130_38	k141_6950	39733	41760	+	2028	271
130_39	k141_6950	41764	42915	+	1152	161
130_40	k141_6950	43030	44520	+	1491	145
130_41	k141_6950	44555	45223	+	669	53
130_42	k141_6950	45232	46029	+	798	92
130_43	k141_6950	46088	46366	+	279	33
130_44	k141_6950	46428	47522	+	1095	131
130_45	k141_6950	47531	48214	+	684	93
131_1	k141_23179	38	955	-	918	215
131_2	k141_23179	1133	3712	+	2580	460
131_3	k141_23179	3719	4939	-	1221	273
131_4	k141_23179	4944	5915	-	972	242
131_5	k141_23179	6030	7625	-	1596	361
131_6	k141_23179	8292	9824	-	1533	397
131_7	k141_23179	9989	13240	+	3252	882
131_8	k141_23179	13416	14024	+	609	183
131_9	k141_23179	14147	16981	+	2835	836
131_10	k141_23179	16988	17884	+	897	234
131_11	k141_23179	17900	18784	-	885	269
131_12	k141_23179	19194	20330	-	1137	323
131_13	k141_23179	20361	21419	-	1059	219
131_14	k141_23179	21427	22548	-	1122	318
131_15	k141_23179	22551	22934	-	384	109
131_16	k141_23179	23434	23973	+	540	219
132_1	k141_32448	434	1201	+	768	0
132_2	k141_32448	1253	1900	-	648	0
132_3	k141_32448	1913	2038	+	126	0
133_1	k141_44016	40	363	-	324	29
133_2	k141_44016	360	686	-	327	1
133_3	k141_44016	687	1052	-	366	0
133_4	k141_44016	1110	1460	-	351	0
133_5	k141_44016	1472	2593	-	1122	1
133_6	k141_44016	2605	3201	-	597	0
133_7	k141_44016	3204	3839	-	636	10
134_1	k141_23181	2	520	+	519	2
134_2	k141_23181	530	742	+	213	0
134_3	k141_23181	794	937	-	144	0
134_4	k141_23181	941	1324	-	384	1
135_1	k141_20869	3	1289	-	1287	175
135_2	k141_20869	1286	1897	-	612	85
135_3	k141_20869	2003	2302	+	300	35
135_4	k141_20869	2313	2804	+	492	89
135_5	k141_20869	3033	3884	+	852	150
135_6	k141_20869	3934	5214	+	1281	165
135_7	k141_20869	5217	6257	+	1041	140
135_8	k141_20869	6261	7379	+	1119	157
135_9	k141_20869	7469	9433	-	1965	364
135_10	k141_20869	9559	9969	+	411	41
135_11	k141_20869	10047	10598	+	552	80
135_12	k141_20869	10702	11160	-	459	45
135_13	k141_20869	11164	11460	-	297	38
135_14	k141_20869	11579	12193	-	615	69
135_15	k141_20869	12216	12443	-	228	37
135_16	k141_20869	12665	14122	+	1458	258
135_17	k141_20869	14128	14877	+	750	130
136_1	k141_88	2	376	+	375	399
136_2	k141_88	347	577	-	231	214
136_3	k141_88	891	1580	-	690	641
136_4	k141_88	1602	2165	+	564	565
136_5	k141_88	2242	2481	-	240	285
136_6	k141_88	3036	3323	+	288	519
136_7	k141_88	3747	4055	-	309	395
136_8	k141_88	4137	4640	-	504	361
136_9	k141_88	4612	5358	-	747	1045
137_1	k141_32449	1	189	+	189	0
137_2	k141_32449	306	803	+	498	0
137_3	k141_32449	892	1284	+	393	0
137_4	k141_32449	1268	2200	+	933	4
138_1	k141_13936	2	391	+	390	62
138_2	k141_13936	504	2723	-	2220	326
138_3	k141_13936	2740	5571	-	2832	471
138_4	k141_13936	5680	8118	-	2439	423
138_5	k141_13936	8201	10210	-	2010	300
138_6	k141_13936	10233	13757	-	3525	582
138_7	k141_13936	13942	14907	-	966	184
138_8	k141_13936	15063	15611	-	549	114
138_9	k141_13936	15716	17464	-	1749	329
138_10	k141_13936	17879	17986	+	108	34
139_1	k141_9306	3	749	-	747	0
139_2	k141_9306	985	1467	-	483	0
139_3	k141_9306	1464	1964	-	501	0
139_4	k141_9306	1980	2327	-	348	0
139_5	k141_9306	2447	2800	-	354	0
139_6	k141_9306	2825	6085	-	3261	0
139_7	k141_9306	6203	6583	-	381	0
139_8	k141_9306	6828	7433	-	606	0
140_1	k141_37108	1	1815	-	1815	4
141_1	k141_34818	2	1318	+	1317	10
141_2	k141_34818	1315	2688	+	1374	0
141_3	k141_34818	2794	3783	+	990	0
142_1	k141_9307	84	986	-	903	2
143_1	k141_2348	1793	2269	+	477	29
143_2	k141_2348	2344	3228	-	885	26
143_3	k141_2348	3550	4437	+	888	43
143_4	k141_2348	4725	6092	+	1368	58
143_5	k141_2348	6184	7071	+	888	19
143_6	k141_2348	7487	8467	+	981	48
143_7	k141_2348	8762	9898	+	1137	48
143_8	k141_2348	10225	13359	+	3135	106
143_9	k141_2348	13447	13896	+	450	16
143_10	k141_2348	14259	15029	+	771	44
143_11	k141_2348	15319	15924	+	606	20
143_12	k141_2348	15929	16570	+	642	11
143_13	k141_2348	16570	17337	+	768	30
143_14	k141_2348	17330	18049	+	720	15
143_15	k141_2348	18108	19256	+	1149	25
144_1	k141_23182	1	342	+	342	0
144_2	k141_23182	366	1955	+	1590	0
144_3	k141_23182	1977	2504	+	528	0
144_4	k141_23182	2506	3057	+	552	0
145_1	k141_32452	3	1085	-	1083	142
146_1	k141_37110	3	242	-	240	0
146_2	k141_37110	260	1279	-	1020	30
146_3	k141_37110	1577	2422	+	846	17
147_1	k141_25481	1	801	-	801	3
147_2	k141_25481	820	3993	-	3174	0
147_3	k141_25481	4281	4424	-	144	0
147_4	k141_25481	4814	5572	-	759	0
147_5	k141_25481	5585	7402	-	1818	0
147_6	k141_25481	7473	7751	-	279	0
147_7	k141_25481	7767	8564	-	798	0
147_8	k141_25481	9064	9306	+	243	0
147_9	k141_25481	9384	10235	+	852	0
147_10	k141_25481	10379	10783	+	405	1
147_11	k141_25481	10789	12144	+	1356	11
