# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_4_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_4/L23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_4/L23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_4/L23_1.bam	RPKG
19_2	k141_131027	680	1888	-	1209	2	0.0021572
19_3	k141_131027	1904	2266	-	363	1	0.00359235
20_1	k141_141937	2	823	+	822	16	0.0253825
20_2	k141_141937	945	1694	-	750	13	0.0226031
20_3	k141_141937	1911	3254	-	1344	22	0.0213456
21_1	k141_98271	3	320	-	318	0	0
21_2	k141_98271	414	944	+	531	0	0
21_3	k141_98271	937	1632	+	696	1	0.0018736
21_4	k141_98271	1804	2190	+	387	1	0.00336957
22_1	k141_185606	99	854	+	756	2	0.0034498
22_2	k141_185606	922	2415	+	1494	2	0.00174568
22_3	k141_185606	2428	3744	+	1317	0	0
22_4	k141_185606	3847	5181	+	1335	0	0
23_1	k141_163770	185	352	+	168	0	0
23_2	k141_163770	360	1238	+	879	16	0.0237365
23_3	k141_163770	1225	2082	+	858	5	0.00759921
23_4	k141_163770	2079	2888	+	810	13	0.0209288
23_5	k141_163770	2975	3841	+	867	21	0.0315854
23_6	k141_163770	4038	5696	+	1659	39	0.0306552
24_1	k141_196524	3	1166	-	1164	35	0.0392104
24_2	k141_196524	1220	1855	-	636	0	0
24_3	k141_196524	1874	2917	-	1044	6	0.00749439
24_4	k141_196524	3094	4350	-	1257	10	0.0103741
25_1	k141_9	2	1057	-	1056	35	0.0432205
25_2	k141_9	1130	1297	-	168	2	0.0155241
26_1	k141_10928	2	202	+	201	0	0
26_2	k141_10928	214	1152	+	939	0	0
27_1	k141_32762	122	832	-	711	7	0.0128385
27_2	k141_32762	1067	1189	-	123	0	0
27_3	k141_32762	1400	1903	-	504	9	0.0232862
28_1	k141_109192	79	660	+	582	0	0
28_2	k141_109192	751	1281	-	531	0	0
28_3	k141_109192	1686	3230	+	1545	5	0.00422014
29_1	k141_163773	3	1097	+	1095	0	0
30_1	k141_65514	3	1442	-	1440	0	0
30_2	k141_65514	1560	2384	-	825	0	0
30_3	k141_65514	2570	3799	-	1230	0	0
30_4	k141_65514	3840	4541	-	702	0	0
31_1	k141_21862	3	773	-	771	0	0
31_2	k141_21862	802	1131	-	330	0	0
32_1	k141_141939	1	999	-	999	6	0.00783198
32_2	k141_141939	1005	2117	-	1113	2	0.00234326
32_3	k141_141939	2204	3385	-	1182	4	0.00441294
33_1	k141_131033	1	990	-	990	7	0.00922038
33_2	k141_131033	1159	2217	+	1059	2	0.00246275
33_3	k141_131033	2224	3192	+	969	5	0.00672871
34_1	k141_10930	2	1501	-	1500	0	0
35_1	k141_185613	1	639	-	639	0	0
35_2	k141_185613	796	1206	-	411	0	0
36_1	k141_109194	3	116	+	114	0	0
36_2	k141_109194	500	637	+	138	0	0
36_3	k141_109194	606	1070	+	465	0	0
36_4	k141_109194	1070	1153	+	84	0	0
37_1	k141_54601	241	1776	-	1536	0	0
37_2	k141_54601	1996	3147	-	1152	0	0
37_3	k141_54601	3152	4132	-	981	0	0
38_1	k141_152853	3	3083	-	3081	0	0
38_2	k141_152853	3083	4153	-	1071	1	0.00121758
38_3	k141_152853	4510	5790	-	1281	1	0.00101797
38_4	k141_152853	5929	7182	-	1254	0	0
38_5	k141_152853	7198	7716	-	519	0	0
39_1	k141_141940	2	1006	+	1005	5	0.00648769
40_1	k141_65520	1	84	-	84	0	0
40_2	k141_65520	227	1087	-	861	1	0.00151455
41_1	k141_32770	913	1020	+	108	5	0.0603715
42_1	k141_120107	3	467	-	465	1	0.00280435
42_2	k141_120107	471	2240	-	1770	9	0.00663063
42_3	k141_120107	2310	3026	-	717	6	0.0109123
42_4	k141_120107	3100	4083	-	984	6	0.00795137
42_5	k141_120107	4133	5065	-	933	6	0.00838601
42_6	k141_120107	5062	5904	-	843	1	0.00154689
42_7	k141_120107	5914	6327	-	414	3	0.00944945
42_8	k141_120107	6408	6686	-	279	16	0.0747828
42_9	k141_120107	6701	7192	-	492	11	0.029155
42_10	k141_120107	7177	7314	-	138	0	0
43_1	k141_163778	4	513	-	510	0	0
43_2	k141_163778	766	1017	+	252	0	0
44_1	k141_196537	3	554	+	552	1	0.00236236
44_2	k141_196537	541	2019	+	1479	0	0
45_1	k141_87351	1	231	+	231	0	0
45_2	k141_87351	309	1649	+	1341	0	0
45_3	k141_87351	1989	2114	+	126	0	0
45_4	k141_87351	2153	3739	+	1587	0	0
45_5	k141_87351	3803	4579	+	777	0	0
45_6	k141_87351	4755	4979	+	225	0	0
46_1	k141_152854	1	180	-	180	0	0
46_2	k141_152854	306	506	+	201	0	0
46_3	k141_152854	531	905	-	375	5	0.017387
46_4	k141_152854	993	1445	-	453	9	0.0259078
46_5	k141_152854	1461	1826	-	366	7	0.0249404
47_1	k141_54603	2	544	+	543	0	0
47_2	k141_54603	579	1301	+	723	0	0
47_3	k141_54603	1423	2175	+	753	0	0
48_1	k141_10936	1	516	+	516	0	0
48_2	k141_10936	914	1174	+	261	1	0.00499626
48_3	k141_10936	1299	1673	-	375	1	0.0034774
49_1	k141_65521	178	714	+	537	19	0.0461387
49_2	k141_65521	733	1419	+	687	28	0.053148
50_1	k141_21865	1	825	-	825	5	0.00790318
50_2	k141_21865	832	1344	-	513	1	0.00254196
50_3	k141_21865	1485	1802	-	318	1	0.00410071
50_4	k141_21865	1821	2000	-	180	0	0
50_5	k141_21865	1997	3235	-	1239	3	0.00315744
51_1	k141_174688	1	291	+	291	0	0
51_2	k141_174688	802	1326	+	525	2	0.00496771
51_3	k141_174688	1447	2337	-	891	2	0.0029271
51_4	k141_174688	2476	3615	-	1140	5	0.00571941
51_5	k141_174688	3608	4543	-	936	8	0.0111455
51_6	k141_174688	4620	5438	+	819	6	0.00955329
51_7	k141_174688	5596	7719	+	2124	9	0.00552553
51_8	k141_174688	7725	9290	-	1566	9	0.00749439
51_9	k141_174688	9513	11543	+	2031	15	0.00963091
52_1	k141_120110	1	744	+	744	0	0
52_2	k141_120110	840	1040	+	201	0	0
52_3	k141_120110	1052	1753	+	702	0	0
53_1	k141_65522	3	587	+	585	3	0.00668731
53_2	k141_65522	687	1064	+	378	0	0
54_1	k141_98280	3	338	-	336	0	0
54_2	k141_98280	428	1834	-	1407	4	0.00370725
54_3	k141_98280	1921	2448	+	528	1	0.00246974
54_4	k141_98280	2521	2691	+	171	2	0.0152518
54_5	k141_98280	2765	3628	+	864	0	0
54_6	k141_98280	3639	4208	+	570	1	0.00228776
54_7	k141_98280	4381	5046	+	666	0	0
54_8	k141_98280	5347	5604	+	258	1	0.00505436
55_1	k141_152855	1	456	+	456	7	0.0200179
55_2	k141_152855	473	985	+	513	6	0.0152518
55_3	k141_152855	1033	1797	+	765	11	0.0187507
56_1	k141_10938	2	553	-	552	0	0
56_2	k141_10938	580	1362	-	783	1	0.00166542
57_1	k141_32775	502	1425	-	924	0	0
58_1	k141_87354	1	1074	-	1074	19	0.0230693
58_2	k141_87354	1206	1760	-	555	4	0.00939838
58_3	k141_87354	1799	2218	-	420	0	0
59_1	k141_207439	14	448	-	435	0	0
59_2	k141_207439	495	1670	-	1176	2	0.00221773
59_3	k141_207439	1697	4120	-	2424	0	0
59_4	k141_207439	4232	9862	-	5631	0	0
59_5	k141_207439	9962	10363	+	402	0	0
59_6	k141_207439	10388	10774	-	387	0	0
59_7	k141_207439	10940	12052	-	1113	0	0
59_8	k141_207439	12181	12534	-	354	0	0
59_9	k141_207439	12653	12796	-	144	0	0
59_10	k141_207439	12876	13067	-	192	0	0
60_1	k141_76434	1	345	-	345	0	0
60_2	k141_76434	482	1288	-	807	0	0
60_3	k141_76434	1285	2364	-	1080	2	0.00241486
60_4	k141_76434	2383	2826	-	444	0	0
60_5	k141_76434	2860	4041	-	1182	1	0.00110324
60_6	k141_76434	4062	4520	-	459	0	0
60_7	k141_76434	4656	6008	+	1353	0	0
60_8	k141_76434	6023	6562	-	540	0	0
60_9	k141_76434	6713	7252	-	540	0	0
60_10	k141_76434	7269	7568	-	300	0	0
60_11	k141_76434	7709	9262	-	1554	2	0.00167828
60_12	k141_76434	9385	10005	-	621	0	0
60_13	k141_76434	10009	11100	-	1092	2	0.00238832
60_14	k141_76434	11255	11491	-	237	0	0
61_1	k141_131036	2	154	+	153	0	0
61_2	k141_131036	155	1333	+	1179	0	0
61_3	k141_131036	1729	2409	+	681	1	0.00191487
61_4	k141_131036	2376	2615	+	240	0	0
61_5	k141_131036	2713	3306	-	594	0	0
61_6	k141_131036	3334	3528	-	195	0	0
61_7	k141_131036	3618	3899	-	282	8	0.0369936
61_8	k141_131036	3896	4168	-	273	21	0.10031
62_1	k141_10939	1	273	-	273	0	0
62_2	k141_10939	577	1092	-	516	0	0
63_1	k141_87355	3	1067	-	1065	105	0.128566
64_1	k141_196545	1	471	+	471	0	0
64_2	k141_196545	578	1729	-	1152	4	0.00452786
65_1	k141_131038	2	319	+	318	0	0
65_2	k141_131038	337	1134	+	798	1	0.00163412
66_1	k141_207440	2	85	+	84	0	0
66_2	k141_207440	381	1115	-	735	0	0
66_3	k141_207440	1117	1497	-	381	0	0
67_1	k141_98283	3	785	+	783	32	0.0532935
67_2	k141_98283	955	1218	-	264	2	0.00987897
67_3	k141_98283	1282	1482	-	201	3	0.0194631
68_1	k141_21872	2	1060	+	1059	1	0.00123137
68_2	k141_21872	1057	1506	+	450	0	0
68_3	k141_21872	1678	2133	+	456	1	0.0028597
69_1	k141_65530	3	653	-	651	1	0.00200311
69_2	k141_65530	657	1490	-	834	0	0
70_1	k141_174694	60	683	+	624	1	0.00208978
70_2	k141_174694	693	1685	+	993	5	0.00656609
70_3	k141_174694	1669	2226	+	558	3	0.00701089
70_4	k141_174694	2238	2771	+	534	0	0
70_5	k141_174694	2865	3854	+	990	7	0.00922038
71_1	k141_109197	1	837	+	837	1	0.00155797
71_2	k141_109197	900	1163	-	264	0	0
71_3	k141_109197	1169	1690	-	522	0	0
71_4	k141_109197	2271	2867	-	597	9	0.0196587
71_5	k141_109197	2939	4732	-	1794	5	0.00363441
71_6	k141_109197	4736	6253	-	1518	5	0.00429521
71_7	k141_109197	6344	7342	-	999	2	0.00261066
72_1	k141_87356	107	295	+	189	0	0
72_2	k141_87356	471	707	+	237	2	0.0110044
72_3	k141_87356	844	1290	-	447	1	0.00291728
72_4	k141_87356	1492	3111	+	1620	4	0.00321981
73_1	k141_131042	2	1504	+	1503	1	0.000867615
74_1	k141_54613	1	78	-	78	0	0
74_2	k141_54613	200	1324	-	1125	12	0.0139096
74_3	k141_54613	1669	3189	+	1521	17	0.0145749
74_4	k141_54613	3360	4667	-	1308	6	0.00598176
74_5	k141_54613	4821	4976	-	156	0	0
75_1	k141_196546	3	92	-	90	0	0
75_2	k141_196546	220	1068	-	849	0	0
75_3	k141_196546	1216	2388	-	1173	0	0
75_4	k141_196546	2407	3798	-	1392	1	0.000936799
76_1	k141_174698	2	694	-	693	0	0
76_2	k141_174698	946	1092	+	147	0	0
77_1	k141_32785	2	415	+	414	4	0.0125993
77_2	k141_32785	565	1143	+	579	2	0.0045044
77_3	k141_32785	1089	1673	+	585	8	0.0178328
78_1	k141_21880	1	357	-	357	0	0
78_2	k141_21880	347	1183	-	837	0	0
78_3	k141_21880	1183	1584	-	402	0	0
79_1	k141_163789	1	1539	-	1539	2	0.00169464
79_2	k141_163789	1555	2304	-	750	0	0
79_3	k141_163789	2255	2419	-	165	0	0
79_4	k141_163789	2523	3458	-	936	1	0.00139319
79_5	k141_163789	3494	3985	-	492	4	0.0106018
79_6	k141_163789	4009	4776	-	768	0	0
80_1	k141_65540	64	765	+	702	0	0
80_2	k141_65540	904	1050	-	147	0	0
81_1	k141_152870	3	560	-	558	0	0
81_2	k141_152870	695	2908	+	2214	10	0.0058899
82_1	k141_32788	3	668	+	666	2	0.00391599
82_2	k141_32788	690	1088	-	399	2	0.00653646
83_1	k141_131045	66	1478	+	1413	0	0
83_2	k141_131045	2279	2380	-	102	0	0
84_1	k141_10956	162	737	-	576	0	0
84_2	k141_10956	819	1190	-	372	0	0
85_1	k141_87359	83	373	-	291	7	0.0313683
86_1	k141_207453	3	587	+	585	0	0
86_2	k141_207453	784	2097	+	1314	2	0.00198482
86_3	k141_207453	2097	3578	+	1482	1	0.000879909
86_4	k141_207453	3659	4210	+	552	0	0
87_1	k141_65542	1	1791	-	1791	6	0.00436859
87_2	k141_65542	1983	2444	-	462	1	0.00282256
88_1	k141_10959	3	683	-	681	0	0
88_2	k141_10959	664	1527	-	864	0	0
89_1	k141_109200	3	263	+	261	0	0
89_2	k141_109200	282	1112	+	831	0	0
89_3	k141_109200	1132	2379	+	1248	0	0
89_4	k141_109200	2376	3764	+	1389	1	0.000938823
89_5	k141_109200	3809	4189	-	381	0	0
89_6	k141_109200	4494	5435	-	942	1	0.00138431
89_7	k141_109200	5780	6553	-	774	0	0
90_1	k141_21894	97	1539	+	1443	0	0
90_2	k141_21894	1703	1990	+	288	0	0
91_1	k141_54620	2	439	-	438	1	0.00297723
91_2	k141_54620	704	2410	+	1707	14	0.010695
91_3	k141_54620	2448	4628	+	2181	1	0.000597902
92_1	k141_196554	3	599	+	597	1	0.0021843
92_2	k141_196554	640	1641	+	1002	9	0.0117128
92_3	k141_196554	1799	2371	+	573	6	0.0136547
92_4	k141_196554	2375	3193	+	819	1	0.00159222
92_5	k141_196554	3347	4108	+	762	1	0.00171132
93_1	k141_87366	1	693	+	693	13	0.0244622
93_2	k141_87366	712	1380	+	669	2	0.00389843
93_3	k141_87366	1615	1989	+	375	0	0
94_1	k141_163790	3	185	-	183	30	0.213775
94_2	k141_163790	512	1348	-	837	212	0.330291
94_3	k141_163790	1332	2210	-	879	169	0.250717
94_4	k141_163790	2429	3718	-	1290	363	0.366946
94_5	k141_163790	3942	4058	+	117	1	0.0111455
94_6	k141_163790	4046	4555	-	510	42	0.10739
94_7	k141_163790	4563	5501	-	939	148	0.205533
95_1	k141_98288	254	1012	+	759	0	0
95_2	k141_98288	1032	1937	+	906	0	0
95_3	k141_98288	1941	2579	+	639	0	0
95_4	k141_98288	2598	3884	+	1287	6	0.00607937
95_5	k141_98288	3902	4777	+	876	0	0
95_6	k141_98288	4831	5238	-	408	2	0.00639228
95_7	k141_98288	5395	6327	+	933	13	0.0181697
95_8	k141_98288	6344	6787	+	444	0	0
95_9	k141_98288	6845	8029	+	1185	6	0.00660266
95_10	k141_98288	8052	8975	+	924	0	0
96_1	k141_120120	1	189	-	189	0	0
96_2	k141_120120	237	854	-	618	3	0.00633022
96_3	k141_120120	865	1188	-	324	2	0.00804954
96_4	k141_120120	1188	1607	-	420	4	0.0124193
96_5	k141_120120	1630	2700	-	1071	18	0.0219164
96_6	k141_120120	2719	3126	-	408	1	0.00319614
96_7	k141_120120	3126	4346	-	1221	19	0.0202919
96_8	k141_120120	4333	4791	-	459	5	0.0142051
96_9	k141_120120	4791	5984	-	1194	20	0.021843
96_10	k141_120120	6066	6332	-	267	1	0.00488399
96_11	k141_120120	6348	8270	-	1923	28	0.0189874
96_12	k141_120120	8254	8829	-	576	8	0.0181115
96_13	k141_120120	9074	9712	-	639	3	0.00612218
96_14	k141_120120	9952	10449	-	498	3	0.00785557
97_1	k141_10962	1	510	-	510	1	0.00255691
98_1	k141_109201	5	1750	-	1746	3	0.00224059
98_2	k141_109201	1924	2343	+	420	0	0
99_1	k141_32789	1	1707	+	1707	14	0.010695
99_2	k141_32789	1731	2927	+	1197	6	0.00653646
99_3	k141_32789	2924	4369	+	1446	15	0.0135272
99_4	k141_32789	4381	5685	+	1305	8	0.00799402
100_1	k141_87369	3	998	-	996	0	0
100_2	k141_87369	995	1156	-	162	0	0
101_1	k141_196558	144	1691	-	1548	53	0.0446468
102_1	k141_131056	3	1472	+	1470	21	0.0186289
102_2	k141_131056	1502	1753	+	252	2	0.0103494
102_3	k141_131056	1743	2369	+	627	6	0.0124787
103_1	k141_174700	1	267	-	267	0	0
103_2	k141_174700	279	995	-	717	4	0.00727489
103_3	k141_174700	1014	1316	-	303	0	0
103_4	k141_174700	1323	2918	-	1596	7	0.00571941
103_5	k141_174700	3069	4109	-	1041	8	0.0100213
103_6	k141_174700	4555	4806	-	252	2	0.0103494
103_7	k141_174700	4819	5133	-	315	0	0
103_8	k141_174700	5336	6223	+	888	5	0.00734248
103_9	k141_174700	6510	7871	+	1362	2	0.00191487
103_10	k141_174700	7868	8407	-	540	0	0
104_1	k141_21899	3	338	-	336	0	0
104_2	k141_21899	708	1217	-	510	0	0
104_3	k141_21899	1325	1603	-	279	0	0
104_4	k141_21899	1620	2069	-	450	0	0
105_1	k141_65543	2	4222	-	4221	0	0
105_2	k141_65543	4608	4820	+	213	0	0
105_3	k141_65543	4821	4940	+	120	0	0
106_1	k141_174702	2	817	-	816	7	0.0111865
106_2	k141_174702	822	1271	-	450	0	0
107_1	k141_131060	1	1089	+	1089	4	0.00478981
108_1	k141_98291	1	366	-	366	0	0
108_2	k141_98291	345	1703	-	1359	2	0.00191909
108_3	k141_98291	1890	2522	-	633	1	0.00206007
109_1	k141_120131	2	955	+	954	0	0
109_2	k141_120131	1107	1181	-	75	0	0
110_1	k141_87371	3	716	-	714	5	0.00913183
110_2	k141_87371	874	2238	-	1365	9	0.00859797
111_1	k141_174704	3	1406	-	1404	6	0.00557276
112_1	k141_21902	3	2009	+	2007	0	0
113_1	k141_10963	267	1586	-	1320	2	0.00197579
113_2	k141_10963	1807	2088	-	282	0	0
113_3	k141_10963	2222	2950	-	729	0	0
113_4	k141_10963	2983	3726	-	744	1	0.00175272
113_5	k141_10963	3796	4053	-	258	0	0
113_6	k141_10963	4083	5135	-	1053	3	0.00371517
114_1	k141_141945	3	1439	-	1437	2	0.00181493
114_2	k141_141945	1441	3342	-	1902	0	0
114_3	k141_141945	3389	3523	-	135	0	0
114_4	k141_141945	3612	5276	+	1665	1	0.000783198
114_5	k141_141945	5318	5407	+	90	0	0
114_6	k141_141945	5367	5999	-	633	0	0
114_7	k141_141945	6052	8808	-	2757	2	0.000945974
114_8	k141_141945	8945	9454	+	510	0	0
114_9	k141_141945	9457	10494	+	1038	0	0
114_10	k141_141945	10496	11242	+	747	0	0
114_11	k141_141945	11251	11784	+	534	0	0
114_12	k141_141945	12069	12248	-	180	0	0
114_13	k141_141945	12381	13514	+	1134	0	0
114_14	k141_141945	13511	14527	+	1017	0	0
114_15	k141_141945	14524	15279	+	756	0	0
114_16	k141_141945	15380	15553	-	174	0	0
114_17	k141_141945	15783	17468	+	1686	1	0.000773443
114_18	k141_141945	17957	20020	+	2064	0	0
114_19	k141_141945	20017	21174	+	1158	0	0
114_20	k141_141945	21209	21457	+	249	0	0
115_1	k141_109203	3	776	-	774	9	0.0151631
115_2	k141_109203	1803	2498	-	696	7	0.0131152
115_3	k141_109203	2498	3844	-	1347	25	0.0242024
115_4	k141_109203	4145	4453	-	309	2	0.00844029
115_5	k141_109203	5001	5270	-	270	9	0.0434675
116_1	k141_141947	1	918	-	918	2	0.00284101
116_2	k141_141947	1008	1124	-	117	0	0
117_1	k141_87377	1	1785	+	1785	4	0.00292218
117_2	k141_87377	1871	2149	+	279	0	0
118_1	k141_98303	2	493	+	492	1	0.00265046
118_2	k141_98303	562	888	+	327	2	0.00797569
118_3	k141_98303	977	1036	+	60	0	0
119_1	k141_185620	2	943	+	942	6	0.00830589
119_2	k141_185620	1007	1663	+	657	15	0.0297723
119_3	k141_185620	1734	2174	+	441	6	0.0177418
119_4	k141_185620	2188	2421	+	234	0	0
119_5	k141_185620	2432	3106	+	675	3	0.00579567
119_6	k141_185620	3601	4974	+	1374	26	0.0246759
119_7	k141_185620	4971	5105	+	135	2	0.0193189
119_8	k141_185620	5434	6915	+	1482	18	0.0158384
119_9	k141_185620	6899	7750	+	852	16	0.0244887
119_10	k141_185620	7754	8608	+	855	15	0.0228776
119_11	k141_185620	8703	9962	+	1260	27	0.0279434
119_12	k141_185620	9968	11176	+	1209	24	0.0258863
119_13	k141_185620	11222	11488	+	267	2	0.00976798
119_14	k141_185620	11807	12229	+	423	13	0.0400764
119_15	k141_185620	12232	13491	+	1260	25	0.0258735
119_16	k141_185620	13870	14256	+	387	3	0.0101087
119_17	k141_185620	14454	14744	+	291	3	0.0134436
119_18	k141_185620	14741	14878	+	138	0	0
119_19	k141_185620	15038	15505	+	468	8	0.022291
119_20	k141_185620	15565	17697	+	2133	28	0.017118
119_21	k141_185620	17694	19025	+	1332	16	0.015664
119_22	k141_185620	19118	20347	-	1230	16	0.0169629
119_23	k141_185620	20529	21902	+	1374	29	0.0275231
119_24	k141_185620	22046	22870	+	825	16	0.0252902
120_1	k141_21908	1	345	+	345	0	0
120_2	k141_21908	360	578	+	219	0	0
120_3	k141_21908	660	893	+	234	0	0
120_4	k141_21908	890	1069	+	180	0	0
120_5	k141_21908	1069	1824	+	756	0	0
120_6	k141_21908	1868	1990	-	123	0	0
121_1	k141_109210	1	156	-	156	0	0
121_2	k141_109210	341	679	-	339	0	0
121_3	k141_109210	903	1022	+	120	0	0
122_1	k141_32794	215	1042	-	828	2	0.00314982
122_2	k141_32794	1158	4334	-	3177	4	0.00164183
122_3	k141_32794	4844	5149	+	306	0	0
122_4	k141_32794	5139	5879	+	741	4	0.00703927
122_5	k141_32794	5906	6745	+	840	1	0.00155241
122_6	k141_32794	6831	7283	-	453	0	0
122_7	k141_32794	7300	7644	-	345	0	0
123_1	k141_174711	1	264	+	264	1	0.00493949
123_2	k141_174711	269	1312	+	1044	13	0.0162379
123_3	k141_174711	1315	2547	+	1233	25	0.0264401
124_1	k141_65555	2	778	+	777	52	0.0872706
124_2	k141_65555	950	1210	+	261	8	0.0399701
124_3	k141_65555	1722	2108	+	387	12	0.0404349
124_4	k141_65555	2121	3419	+	1299	35	0.0351354
124_5	k141_65555	3828	4307	+	480	34	0.0923684
125_1	k141_76436	2	334	+	333	2	0.00783198
125_2	k141_76436	630	2105	+	1476	0	0
125_3	k141_76436	2102	3484	+	1383	0	0
125_4	k141_76436	3503	4594	+	1092	0	0
125_5	k141_76436	4607	5455	+	849	0	0
125_6	k141_76436	5505	5834	+	330	0	0
125_7	k141_76436	5840	6601	+	762	2	0.00342264
125_8	k141_76436	6632	9064	+	2433	4	0.0021439
125_9	k141_76436	9074	10099	+	1026	0	0
125_10	k141_76436	10142	10519	+	378	0	0
125_11	k141_76436	10566	11267	+	702	0	0
125_12	k141_76436	11282	11557	+	276	0	0
125_13	k141_76436	11520	12575	+	1056	0	0
125_14	k141_76436	12587	13546	+	960	0	0
125_15	k141_76436	13559	14311	+	753	1	0.00173177
125_16	k141_76436	14327	18760	+	4434	7	0.00205868
125_17	k141_76436	18774	19487	+	714	0	0
125_18	k141_76436	19653	20132	+	480	0	0
125_19	k141_76436	20200	21132	+	933	0	0
125_20	k141_76436	21129	21269	+	141	1	0.0092484
125_21	k141_76436	21298	21474	+	177	0	0
126_1	k141_87382	1	237	+	237	0	0
126_2	k141_87382	425	1150	+	726	0	0
127_1	k141_131076	1	363	-	363	0	0
127_2	k141_131076	373	1068	-	696	0	0
127_3	k141_131076	1233	1439	-	207	0	0
128_1	k141_98306	1	678	+	678	1	0.00192334
128_2	k141_98306	698	1087	+	390	0	0
129_1	k141_10973	1	759	-	759	4	0.00687233
129_2	k141_10973	818	1582	-	765	6	0.0102276
129_3	k141_10973	1668	2216	-	549	1	0.00237527
129_4	k141_10973	2233	2709	-	477	2	0.00546761
130_1	k141_11	1	204	-	204	0	0
130_2	k141_11	240	671	-	432	8	0.0241486
130_3	k141_11	975	4019	-	3045	28	0.011991
130_4	k141_11	4160	4966	+	807	14	0.0226225
130_5	k141_11	5161	6279	-	1119	11	0.0128188
130_6	k141_11	6336	7433	-	1098	6	0.00712582
130_7	k141_11	7579	8253	-	675	7	0.0135232
130_8	k141_11	8256	8930	-	675	7	0.0135232
130_9	k141_11	8934	9812	-	879	5	0.00741766
130_10	k141_11	9815	12040	-	2226	17	0.00995886
130_11	k141_11	12034	12780	-	747	8	0.0139655
130_12	k141_11	12782	13822	-	1041	6	0.00751599
130_13	k141_11	13829	15184	-	1356	14	0.0134634
130_14	k141_11	15177	15884	-	708	6	0.0110511
130_15	k141_11	15891	16835	-	945	13	0.017939
130_16	k141_11	16848	17321	-	474	7	0.0192577
130_17	k141_11	17334	19553	-	2220	15	0.00881098
130_18	k141_11	19558	21024	-	1467	11	0.00977796
130_19	k141_11	21021	21224	-	204	1	0.00639228
