# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_7_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_7/E6_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_7/E6_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_7/E6_2.bam	RPKG
20_1	k141_38330	1	438	+	438	4	0.00795965
20_2	k141_38330	435	1181	+	747	14	0.0163349
20_3	k141_38330	1186	1401	+	216	4	0.0161404
21_1	k141_51102	1	261	+	261	2	0.00667879
21_2	k141_51102	645	1379	+	735	27	0.0320173
21_3	k141_51102	1664	2164	+	501	28	0.0487112
21_4	k141_51102	2263	2421	-	159	2	0.0109633
22_1	k141_191607	1	525	+	525	10	0.0166016
22_2	k141_191607	533	1693	+	1161	36	0.0270258
22_3	k141_191607	1718	3502	+	1785	106	0.0517578
23_1	k141_217153	1	810	-	810	12	0.0129123
23_2	k141_217153	870	1328	+	459	10	0.0189887
23_3	k141_217153	1366	1602	+	237	1	0.00367756
24_1	k141_204381	31	1059	-	1029	0	0
25_1	k141_242698	1	2055	-	2055	209	0.0886427
25_2	k141_242698	2055	2885	-	831	30	0.0314651
25_3	k141_242698	3038	3505	-	468	6	0.0111741
26_1	k141_102196	1	312	+	312	7	0.0195547
26_2	k141_102196	318	2438	+	2121	27	0.0110951
26_3	k141_102196	2447	3181	+	735	4	0.0047433
26_4	k141_102196	3169	3312	+	144	0	0
27_1	k141_127753	1	1014	-	1014	7	0.00601684
28_1	k141_89432	3	134	+	132	0	0
28_2	k141_89432	134	1504	+	1371	0	0
28_3	k141_89432	1524	1730	+	207	0	0
29_1	k141_51104	2	1021	+	1020	12	0.0102539
30_1	k141_191609	2	223	+	222	2	0.00785209
30_2	k141_191609	522	1082	+	561	7	0.0108754
31_1	k141_204382	2	1279	+	1278	6	0.00409194
32_1	k141_114976	1	360	+	360	16	0.038737
32_2	k141_114976	341	1114	+	774	46	0.0517995
32_3	k141_114976	1114	2040	+	927	70	0.0658153
32_4	k141_114976	2181	2774	+	594	32	0.0469539
32_5	k141_114976	2806	2949	+	144	0	0
33_1	k141_153284	3	785	-	783	56	0.0623354
33_2	k141_153284	1138	2097	+	960	42	0.0381317
33_3	k141_153284	2410	2583	-	174	7	0.0350637
33_4	k141_153284	2570	2932	-	363	22	0.0528232
33_5	k141_153284	3318	3947	+	630	33	0.0456543
33_6	k141_153284	4189	4914	-	726	23	0.0276121
33_7	k141_153284	4936	5688	-	753	15	0.0173622
33_8	k141_153284	5701	6540	-	840	19	0.0197144
34_1	k141_12782	1	138	+	138	6	0.0378949
34_2	k141_12782	280	2064	+	1785	144	0.0703125
34_3	k141_12782	2256	3221	+	966	86	0.0775943
34_4	k141_12782	3290	4084	+	795	58	0.0635871
34_5	k141_12782	4081	4209	+	129	3	0.0202694
35_1	k141_51106	2	988	+	987	38	0.0335564
36_1	k141_20	3	146	-	144	5	0.0302633
36_2	k141_20	160	837	-	678	81	0.104127
36_3	k141_20	852	1685	-	834	58	0.0606136
36_4	k141_20	1682	2257	-	576	30	0.0453949
37_1	k141_204383	3	200	-	198	0	0
37_2	k141_204383	319	1854	-	1536	4	0.00226975
38_1	k141_217156	3	395	+	393	4	0.00887107
38_2	k141_217156	462	839	+	378	4	0.00922309
38_3	k141_217156	839	1003	+	165	5	0.0264116
38_4	k141_217156	1191	1526	-	336	12	0.0311279
38_5	k141_217156	1523	1846	-	324	13	0.0349709
38_6	k141_217156	2040	2471	+	432	11	0.0221931
39_1	k141_114977	3	896	-	894	0	0
39_2	k141_114977	925	1902	-	978	0	0
39_3	k141_114977	1915	2145	-	231	0	0
40_1	k141_102204	2	814	+	813	0	0
40_2	k141_102204	1037	1180	+	144	0	0
41_1	k141_229928	205	378	-	174	9	0.0450818
41_2	k141_229928	378	2384	-	2007	123	0.0534154
41_3	k141_229928	2521	2733	-	213	4	0.0163677
41_4	k141_229928	2991	3392	+	402	31	0.0672116
41_5	k141_229928	3654	4052	+	399	31	0.0677169
41_6	k141_229928	4221	4763	+	543	10	0.0160512
42_1	k141_242701	1	2052	-	2052	183	0.0777288
42_2	k141_242701	2052	2882	-	831	68	0.0713208
42_3	k141_242701	2928	3047	+	120	2	0.0145264
42_4	k141_242701	3035	3586	-	552	22	0.034737
43_1	k141_140512	2	244	-	243	9	0.0322808
43_2	k141_140512	505	750	-	246	3	0.0106291
43_3	k141_140512	930	1913	-	984	7	0.00620028
43_4	k141_140512	1913	3205	-	1293	7	0.00471854
43_5	k141_140512	3218	4213	-	996	8	0.00700066
43_6	k141_140512	4248	4370	-	123	0	0
43_7	k141_140512	4370	4729	-	360	0	0
43_8	k141_140512	4945	5478	+	534	4	0.00652871
43_9	k141_140512	5680	6147	-	468	6	0.0111741
44_1	k141_166072	373	744	-	372	6	0.0140578
45_1	k141_204387	1	687	+	687	13	0.0164928
45_2	k141_204387	1020	1208	+	189	0	0
46_1	k141_127760	3	1376	+	1374	0	0
47_1	k141_63878	374	496	-	123	2	0.0141721
47_2	k141_63878	457	1800	-	1344	62	0.0402069
47_3	k141_63878	2121	3275	-	1155	66	0.0498047
47_4	k141_63878	3283	3603	-	321	21	0.0570194
47_5	k141_63878	3603	4637	-	1035	29	0.0244211
47_6	k141_63878	4680	4868	-	189	8	0.0368924
47_7	k141_63878	5058	5591	+	534	20	0.0326435
47_8	k141_63878	5802	5987	-	186	10	0.0468593
48_1	k141_191613	2	1033	-	1032	18	0.015202
48_2	k141_191613	1085	1573	-	489	1	0.00178238
48_3	k141_191613	1623	1988	-	366	5	0.0119069
48_4	k141_191613	2093	2542	-	450	5	0.00968425
48_5	k141_191613	2547	2990	-	444	1	0.00196302
49_1	k141_114979	221	1822	-	1602	9	0.00489653
49_2	k141_114979	1815	2321	-	507	10	0.017191
50_1	k141_153292	2	1474	-	1473	8	0.00473364
51_1	k141_242704	2	310	+	309	4	0.0112826
51_2	k141_242704	558	692	+	135	13	0.0839301
51_3	k141_242704	1016	1132	+	117	1	0.00744942
52_1	k141_127761	1	309	+	309	5	0.0141033
52_2	k141_127761	392	1447	+	1056	16	0.0132058
53_1	k141_102208	24	365	-	342	1	0.00254849
53_2	k141_102208	1060	1311	+	252	8	0.0276693
54_1	k141_140516	1	120	+	120	1	0.00726318
54_2	k141_140516	254	454	-	201	0	0
54_3	k141_140516	444	908	-	465	6	0.0112462
54_4	k141_140516	1265	1504	-	240	10	0.0363159
55_1	k141_204390	1468	1632	+	165	179	0.945535
55_2	k141_204390	1728	1895	+	168	289	1.49933
56_1	k141_153295	2	601	+	600	12	0.0174316
56_2	k141_153295	802	1299	+	498	8	0.0140013
57_1	k141_38338	3	326	-	324	12	0.0322808
57_2	k141_38338	618	1142	-	525	59	0.0979492
57_3	k141_38338	1860	3401	+	1542	121	0.0683926
57_4	k141_38338	3697	4038	+	342	15	0.0382273
57_5	k141_38338	4040	4753	+	714	26	0.0317383
57_6	k141_38338	4781	5287	+	507	16	0.0275056
57_7	k141_38338	5274	5510	+	237	5	0.0183878
58_1	k141_166080	1	1401	-	1401	18	0.0111981
59_1	k141_63887	3	896	+	894	58	0.0565456
59_2	k141_63887	1161	1385	-	225	2	0.0077474
60_1	k141_114985	1	999	+	999	6	0.00523473
60_2	k141_114985	1013	1336	+	324	4	0.0107603
61_1	k141_242709	1	1032	-	1032	0	0
62_1	k141_38340	2	1168	-	1167	22	0.0164309
63_1	k141_127769	83	1048	-	966	34	0.0306768
63_2	k141_127769	1058	1201	-	144	3	0.018158
64_1	k141_166081	2	883	+	882	7	0.00691732
64_2	k141_166081	889	1524	+	636	3	0.00411124
65_1	k141_114986	2	1300	-	1299	84	0.056361
66_1	k141_51115	35	388	-	354	24	0.0590903
66_2	k141_51115	413	3145	-	2733	176	0.0561282
66_3	k141_51115	3311	3631	+	321	50	0.13576
66_4	k141_51115	3628	3825	+	198	14	0.061627
67_1	k141_89441	2	271	+	270	4	0.0129123
67_2	k141_89441	348	1922	+	1575	49	0.0271159
67_3	k141_89441	1934	3148	+	1215	41	0.0294114
67_4	k141_89441	3378	3854	+	477	37	0.067607
67_5	k141_89441	3905	4405	+	501	20	0.0347937
67_6	k141_89441	4402	5157	+	756	18	0.020752
67_7	k141_89441	5154	5591	+	438	16	0.0318386
67_8	k141_89441	5679	5918	+	240	6	0.0217896
67_9	k141_89441	5861	6874	+	1014	27	0.0232078
67_10	k141_89441	6883	7488	+	606	18	0.0258886
67_11	k141_89441	7507	7668	+	162	9	0.0484212
68_1	k141_204395	50	295	-	246	15	0.0531453
68_2	k141_204395	295	519	-	225	21	0.0813477
68_3	k141_204395	828	1310	-	483	44	0.0793988
68_4	k141_204395	1310	1606	-	297	16	0.0469539
69_1	k141_89442	1	987	+	987	0	0
69_2	k141_89442	1016	1129	+	114	0	0
70_1	k141_63890	1	1182	+	1182	75	0.0553034
70_2	k141_63890	1308	1730	+	423	20	0.0412096
70_3	k141_63890	1764	2483	+	720	6	0.00726318
71_1	k141_191622	1	288	+	288	0	0
71_2	k141_191622	309	1310	+	1002	39	0.0339239
71_3	k141_191622	1396	1983	+	588	19	0.0281634
71_4	k141_191622	2050	2577	-	528	13	0.0214594
71_5	k141_191622	2611	2712	-	102	1	0.00854492
71_6	k141_191622	2740	3621	-	882	16	0.015811
72_1	k141_242713	1276	1497	+	222	15	0.0588907
73_1	k141_178838	978	1187	-	210	2	0.00830078
73_2	k141_178838	1184	1825	-	642	41	0.0556618
73_3	k141_178838	1825	2655	-	831	39	0.0409046
73_4	k141_178838	2749	3075	-	327	21	0.0559732
73_5	k141_178838	3075	3950	-	876	11	0.0109445
73_6	k141_178838	3934	5076	-	1143	21	0.0160133
73_7	k141_178838	5079	5465	-	387	14	0.0315301
73_8	k141_178838	5650	6054	-	405	50	0.107603
73_9	k141_178838	6063	7466	-	1404	176	0.109258
73_10	k141_178838	7499	8359	-	861	76	0.0769341
73_11	k141_178838	8371	9879	-	1509	164	0.0947246
73_12	k141_178838	9901	10446	-	546	101	0.161227
73_13	k141_178838	10431	10952	-	522	72	0.120218
73_14	k141_178838	10980	11243	-	264	46	0.151867
73_15	k141_178838	11286	12017	-	732	106	0.126213
73_16	k141_178838	12101	12505	-	405	34	0.0731699
73_17	k141_178838	12495	12833	-	339	20	0.0514208
73_18	k141_178838	12920	13447	-	528	51	0.0841869
74_1	k141_51116	1	882	-	882	30	0.0296457
74_2	k141_51116	875	1612	-	738	4	0.00472402
75_1	k141_140528	3	68	+	66	1	0.0132058
75_2	k141_140528	635	2053	-	1419	54	0.033168
76_1	k141_166086	79	1449	+	1371	0	0
77_1	k141_41	1	954	-	954	12	0.0109633
77_2	k141_41	1314	1646	+	333	0	0
77_3	k141_41	1710	1781	-	72	0	0
78_1	k141_204397	2	556	+	555	0	0
78_2	k141_204397	553	1413	+	861	14	0.0141721
78_3	k141_204397	1413	2117	+	705	9	0.0111266
78_4	k141_204397	2249	2806	-	558	0	0
79_1	k141_166087	2	562	-	561	5	0.00776811
79_2	k141_166087	609	1136	-	528	2	0.00330145
80_1	k141_229933	130	1002	-	873	10	0.00998376
80_2	k141_229933	1307	2668	+	1362	14	0.00895899
80_3	k141_229933	2755	3693	+	939	11	0.0102102
80_4	k141_229933	3813	4691	+	879	13	0.0128903
80_5	k141_229933	5108	5332	+	225	9	0.0348633
80_6	k141_229933	5349	5864	+	516	30	0.0506734
80_7	k141_229933	5953	6378	+	426	13	0.0265976
80_8	k141_229933	6472	7164	+	693	10	0.0125769
80_9	k141_229933	7374	8627	+	1254	20	0.0139008
81_1	k141_51117	3	1535	-	1533	324	0.184209
82_1	k141_153303	1	231	-	231	9	0.0339577
82_2	k141_153303	267	1358	-	1092	22	0.0175593
82_3	k141_153303	1351	2721	-	1371	40	0.0254291
82_4	k141_153303	2732	3547	-	816	5	0.00534058
83_1	k141_114992	3	113	-	111	0	0
83_2	k141_114992	302	550	-	249	7	0.0245023
83_3	k141_114992	543	1490	-	948	23	0.021146
83_4	k141_114992	1516	2181	+	666	10	0.0130868
84_1	k141_127770	1	4725	+	4725	72	0.0132813
85_1	k141_38345	2	2032	+	2031	0	0
85_2	k141_38345	2254	2823	+	570	0	0
86_1	k141_127771	2	1282	+	1281	4	0.00272157
87_1	k141_51119	328	939	-	612	4	0.00569662
87_2	k141_51119	1372	2115	-	744	3	0.00351444
88_1	k141_166091	1	207	-	207	0	0
88_2	k141_166091	307	537	-	231	0	0
88_3	k141_166091	554	799	-	246	1	0.00354302
88_4	k141_166091	832	1137	-	306	0	0
89_1	k141_140534	3	533	-	531	0	0
90_1	k141_127772	1	405	-	405	0	0
90_2	k141_127772	408	857	-	450	8	0.0154948
91_1	k141_204399	2	1921	+	1920	112	0.0508423
91_2	k141_204399	1918	2637	+	720	58	0.0702108
92_1	k141_89453	18	1559	-	1542	127	0.071784
93_1	k141_217158	1	171	-	171	10	0.0509697
93_2	k141_217158	234	776	-	543	85	0.136436
93_3	k141_217158	916	1158	+	243	7	0.0251073
93_4	k141_217158	1189	1431	+	243	2	0.00717352
93_5	k141_217158	1469	2008	-	540	28	0.0451932
93_6	k141_217158	2029	3198	-	1170	49	0.0365022
93_7	k141_217158	3195	3542	-	348	4	0.0100182
93_8	k141_217158	3625	4803	-	1179	103	0.0761433
93_9	k141_217158	4815	5084	-	270	8	0.0258247
93_10	k141_217158	5081	5497	-	417	12	0.0250815
93_11	k141_217158	5543	5860	-	318	23	0.063039
93_12	k141_217158	6141	6362	-	222	31	0.121707
93_13	k141_217158	6386	7627	-	1242	95	0.0666669
93_14	k141_217158	7884	8738	+	855	50	0.0509697
93_15	k141_217158	8823	9119	+	297	29	0.085104
93_16	k141_217158	9122	9538	+	417	34	0.0710643
93_17	k141_217158	9572	10153	+	582	37	0.0554099
93_18	k141_217158	10553	10891	-	339	3	0.00771312
93_19	k141_217158	10973	12226	-	1254	38	0.0264116
93_20	k141_217158	12314	12892	-	579	18	0.0270958
94_1	k141_153308	1	654	+	654	63	0.0839598
94_2	k141_153308	663	1250	+	588	9	0.0133405
95_1	k141_49	2	643	+	642	0	0
95_2	k141_49	685	1338	+	654	0	0
96_1	k141_102214	1	2691	+	2691	38	0.0123077
96_2	k141_102214	2694	3335	+	642	15	0.0203641
96_3	k141_102214	3448	4248	-	801	26	0.0282911
96_4	k141_102214	4513	6108	+	1596	33	0.0180214
96_5	k141_102214	6445	7164	+	720	34	0.041158
96_6	k141_102214	7409	8338	-	930	7	0.0065603
96_7	k141_102214	8347	8997	-	651	1	0.00133884
96_8	k141_102214	9248	9349	-	102	0	0
97_1	k141_51121	130	1308	+	1179	24	0.0177421
98_1	k141_115000	3	1028	+	1026	0	0
99_1	k141_191623	3	113	+	111	0	0
99_2	k141_191623	646	1545	+	900	8	0.0077474
99_3	k141_191623	1940	4201	+	2262	24	0.00924756
99_4	k141_191623	4203	4712	+	510	13	0.0222168
99_5	k141_191623	4778	5845	+	1068	14	0.0114252
99_6	k141_191623	5907	6338	+	432	12	0.0242106
100_1	k141_89456	1	1110	+	1110	0	0
101_1	k141_127776	2	817	+	816	11	0.0117493
101_2	k141_127776	831	1583	+	753	5	0.0057874
101_3	k141_127776	1576	1731	+	156	2	0.0111741
102_1	k141_217161	400	1086	-	687	0	0
103_1	k141_178849	3	758	+	756	0	0
103_2	k141_178849	764	1483	+	720	0	0
103_3	k141_178849	1514	1993	-	480	0	0
103_4	k141_178849	2073	2564	-	492	0	0
103_5	k141_178849	2564	2689	-	126	0	0
104_1	k141_63898	55	1860	+	1806	7	0.00337823
104_2	k141_63898	1857	2957	+	1101	10	0.00791628
104_3	k141_63898	2961	3758	+	798	1	0.00109221
104_4	k141_63898	3772	4788	+	1017	6	0.00514208
104_5	k141_63898	4761	5324	+	564	4	0.00618143
105_1	k141_102217	810	1481	-	672	14	0.018158
106_1	k141_54	3	254	+	252	0	0
106_2	k141_54	276	1016	+	741	0	0
107_1	k141_153313	3	731	-	729	7	0.0083691
107_2	k141_153313	965	1210	-	246	0	0
108_1	k141_51124	2	484	-	483	8	0.0144361
108_2	k141_51124	684	1457	+	774	2	0.00225215
108_3	k141_51124	1573	2019	+	447	13	0.025348
109_1	k141_76656	3	1583	-	1581	104	0.0573337
109_2	k141_76656	1570	1959	-	390	62	0.138559
109_3	k141_76656	2073	2576	-	504	40	0.0691732
109_4	k141_76656	2593	2988	-	396	44	0.0968425
109_5	k141_76656	3004	3495	-	492	41	0.0726318
109_6	k141_76656	3579	4106	-	528	35	0.0577753
109_7	k141_76656	4186	4392	-	207	5	0.0210527
109_8	k141_76656	4389	5240	-	852	36	0.0368274
109_9	k141_76656	5655	7904	-	2250	67	0.0259538
109_10	k141_76656	8023	9279	-	1257	49	0.0339758
109_11	k141_76656	9266	9970	-	705	24	0.0296709
109_12	k141_76656	10171	11217	-	1047	49	0.0407904
109_13	k141_76656	11214	11525	-	312	4	0.0111741
109_14	k141_76656	11841	12014	-	174	9	0.0450818
109_15	k141_76656	12183	12374	-	192	45	0.204277
109_16	k141_76656	12668	12868	+	201	17	0.0737159
109_17	k141_76656	13022	14404	-	1383	75	0.0472658
109_18	k141_76656	14410	15087	-	678	39	0.0501353
109_19	k141_76656	15087	15683	-	597	30	0.0437981
109_20	k141_76656	15699	17459	-	1761	28	0.0138582
109_21	k141_76656	17444	19258	-	1815	84	0.0403377
109_22	k141_76656	19245	20258	-	1014	28	0.0240674
109_23	k141_76656	20421	21074	-	654	20	0.0266539
109_24	k141_76656	21115	21702	-	588	21	0.0311279
110_1	k141_153314	3	767	+	765	1	0.00113932
110_2	k141_153314	843	1079	-	237	7	0.0257429
111_1	k141_63903	2	298	-	297	5	0.0146731
111_2	k141_63903	304	1404	-	1101	11	0.00870791
112_1	k141_191631	2	412	-	411	46	0.0975493
112_2	k141_191631	422	1723	-	1302	126	0.0843467
113_1	k141_178855	3	164	+	162	0	0
113_2	k141_178855	199	1179	+	981	9	0.00799617
113_3	k141_178855	1167	1466	-	300	0	0
114_1	k141_51131	2	592	-	591	0	0
114_2	k141_51131	624	1037	-	414	0	0
115_1	k141_140547	3	395	+	393	0	0
115_2	k141_140547	465	2318	+	1854	44	0.0206848
115_3	k141_140547	2453	2692	+	240	1	0.00363159
116_1	k141_12786	1	354	-	354	2	0.00492419
116_2	k141_12786	438	749	-	312	1	0.00279353
116_3	k141_12786	835	1467	-	633	2	0.00275381
116_4	k141_12786	1457	1735	-	279	2	0.0062479
116_5	k141_12786	1757	2503	-	747	3	0.00350033
116_6	k141_12786	2505	5039	-	2535	18	0.00618875
116_7	k141_12786	5055	5852	-	798	9	0.00982987
116_8	k141_12786	6048	7067	-	1020	1	0.000854492
116_9	k141_12786	7060	9498	-	2439	25	0.00893381
116_10	k141_12786	9879	10748	-	870	10	0.0100182
116_11	k141_12786	10748	10963	-	216	0	0
116_12	k141_12786	10984	12753	-	1770	27	0.0132953
116_13	k141_12786	12750	13223	-	474	9	0.016549
116_14	k141_12786	13269	13391	-	123	0	0
116_15	k141_12786	13419	13604	-	186	0	0
116_16	k141_12786	13685	18910	-	5226	105	0.0175117
116_17	k141_12786	19002	19883	-	882	24	0.0237165
117_1	k141_178857	1	993	+	993	47	0.0412531
117_2	k141_178857	1015	1140	+	126	0	0
118_1	k141_56	103	960	-	858	32	0.0325066
118_2	k141_56	960	1430	-	471	34	0.0629168
118_3	k141_56	1441	3633	-	2193	100	0.0397438
118_4	k141_56	3633	4817	-	1185	36	0.0264784
118_5	k141_56	4837	5067	-	231	11	0.0415039
119_1	k141_102233	2	1222	-	1221	13	0.00927974
120_1	k141_178858	3	950	+	948	2	0.00183878
120_2	k141_178858	1009	1458	-	450	12	0.0232422
121_1	k141_217175	2	115	+	114	2	0.0152909
121_2	k141_217175	537	1463	+	927	17	0.0159837
122_1	k141_242715	1	735	+	735	34	0.0403181
122_2	k141_242715	858	1229	-	372	8	0.0187437
122_3	k141_242715	1231	2493	-	1263	69	0.0476161
122_4	k141_242715	2496	3932	-	1437	93	0.0564072
122_5	k141_242715	4159	5352	+	1194	136	0.0992757
122_6	k141_242715	5411	6118	-	708	58	0.0714008
122_7	k141_242715	6132	6965	-	834	96	0.100326
122_8	k141_242715	7344	7589	+	246	44	0.155893
122_9	k141_242715	7686	8147	+	462	36	0.0679155
122_10	k141_242715	8208	8909	+	702	80	0.0993256
122_11	k141_242715	8906	10825	+	1920	130	0.0590134
122_12	k141_242715	10831	11949	+	1119	65	0.0506281
122_13	k141_242715	12002	12433	-	432	42	0.0847372
122_14	k141_242715	12508	13221	+	714	18	0.0219727
122_15	k141_242715	13218	13922	-	705	40	0.0494515
123_1	k141_140553	1	252	-	252	13	0.0449626
123_2	k141_140553	249	1286	-	1038	48	0.0403044
124_1	k141_63907	1	2589	+	2589	0	0
125_1	k141_191636	1	186	+	186	0	0
125_2	k141_191636	256	1605	+	1350	1	0.000645616
125_3	k141_191636	1658	2521	+	864	0	0
126_1	k141_153321	2	676	+	675	0	0
126_2	k141_153321	630	1862	+	1233	3	0.00212064
126_3	k141_153321	1885	2679	+	795	5	0.00548165
126_4	k141_153321	2683	3684	+	1002	4	0.00347937
126_5	k141_153321	3773	3976	-	204	0	0
126_6	k141_153321	4194	4328	+	135	0	0
127_1	k141_140554	1	462	-	462	9	0.0169789
127_2	k141_140554	545	1171	-	627	9	0.0125107
128_1	k141_63909	2	718	-	717	0	0
128_2	k141_63909	838	1176	-	339	0	0
129_1	k141_242716	347	793	-	447	6	0.0116991
129_2	k141_242716	790	1233	-	444	0	0
130_1	k141_60	264	1445	+	1182	21	0.015485
131_1	k141_153322	706	1428	-	723	69	0.08318
132_1	k141_51133	2	130	+	129	0	0
132_2	k141_51133	137	1171	+	1035	0	0
132_3	k141_51133	1209	1496	+	288	0	0
132_4	k141_51133	1493	2095	+	603	0	0
132_5	k141_51133	2360	2713	+	354	0	0
132_6	k141_51133	2838	3968	-	1131	0	0
132_7	k141_51133	4010	4378	-	369	0	0
132_8	k141_51133	4515	4712	-	198	0	0
132_9	k141_51133	4719	4787	-	69	0	0
133_1	k141_76658	290	943	-	654	16	0.0213231
133_2	k141_76658	1141	1659	+	519	3	0.00503805
133_3	k141_76658	2083	3261	+	1179	29	0.0214384
133_4	k141_76658	3812	4129	+	318	10	0.0274082
133_5	k141_76658	4030	4347	-	318	13	0.0356307
133_6	k141_76658	4373	4822	-	450	1	0.00193685
133_7	k141_76658	4898	6076	-	1179	28	0.0206992
133_8	k141_76658	6309	6440	-	132	3	0.0198087
133_9	k141_76658	6500	7018	-	519	3	0.00503805
133_10	k141_76658	7216	7869	+	654	16	0.0213231
134_1	k141_217182	1	810	+	810	35	0.037661
134_2	k141_217182	894	1265	+	372	8	0.0187437
135_1	k141_61	3	107	-	105	4	0.0332031
135_2	k141_61	622	1188	+	567	26	0.0399667
136_1	k141_229934	54	1301	-	1248	5	0.00349192
136_2	k141_229934	1391	1840	+	450	6	0.0116211
136_3	k141_229934	1922	2851	-	930	13	0.0121834
136_4	k141_229934	2873	4423	-	1551	18	0.0101151
136_5	k141_229934	4453	4953	-	501	1	0.00173969
136_6	k141_229934	4989	5273	-	285	1	0.00305818
136_7	k141_229934	5279	5701	-	423	1	0.00206048
136_8	k141_229934	5703	6806	-	1104	33	0.0260527
136_9	k141_229934	6836	7489	-	654	7	0.00932886
136_10	k141_229934	7521	8237	-	717	18	0.0218807
136_11	k141_229934	8260	9048	-	789	18	0.019884
136_12	k141_229934	9082	9897	-	816	11	0.0117493
136_13	k141_229934	9897	10586	-	690	16	0.0202106
136_14	k141_229934	10738	12108	-	1371	30	0.0190718
136_15	k141_229934	12271	12774	-	504	8	0.0138346
136_16	k141_229934	12901	13359	-	459	5	0.00949436
136_17	k141_229934	13433	13990	-	558	18	0.0281156
136_18	k141_229934	14123	14629	+	507	8	0.0137528
136_19	k141_229934	14622	15833	+	1212	44	0.0316416
136_20	k141_229934	16088	16315	-	228	10	0.0382273
137_1	k141_89466	1	1329	-	1329	25	0.0163955
137_2	k141_89466	1375	3477	-	2103	36	0.0149201
137_3	k141_89466	3857	5605	-	1749	53	0.0264116
137_4	k141_89466	5693	6217	-	525	24	0.0398438
137_5	k141_89466	6238	7731	-	1494	39	0.0227521
137_6	k141_89466	7787	8476	-	690	28	0.0353686
138_1	k141_102245	2	214	+	213	0	0
138_2	k141_102245	214	1119	+	906	0	0
139_1	k141_191638	1	750	-	750	18	0.020918
139_2	k141_191638	911	1207	-	297	7	0.0205423
139_3	k141_191638	1410	2954	+	1545	7	0.00394892
140_1	k141_63	2	151	+	150	0	0
140_2	k141_63	158	1039	+	882	2	0.00197638
140_3	k141_63	1098	1481	+	384	1	0.00226975
141_1	k141_51139	3	152	-	150	0	0
