# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_14_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_14/H3_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_14/H3_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_14/H3_2.bam	RPKG
12_3	k141_172837	1208	1837	+	630	29	0.0882608
13_1	k141_222215	263	1771	-	1509	0	0
14_1	k141_98765	73	1209	-	1137	62	0.104554
14_2	k141_98765	1202	1795	-	594	73	0.235639
14_3	k141_98765	1808	2098	-	291	15	0.0988345
14_4	k141_98765	2095	2661	-	567	38	0.128502
14_5	k141_98765	2679	3377	-	699	43	0.117951
15_1	k141_49387	367	1083	+	717	0	0
15_2	k141_49387	1354	1662	+	309	0	0
15_3	k141_49387	1619	2245	+	627	0	0
16_1	k141_61734	2	1393	-	1392	13	0.0179067
17_1	k141_37039	3	395	-	393	14	0.0683039
17_2	k141_37039	556	1302	-	747	11	0.0282346
17_3	k141_37039	1380	1751	-	372	2	0.0103085
17_4	k141_37039	1899	2753	-	855	35	0.0784896
17_5	k141_37039	2952	3137	-	186	5	0.0515427
18_1	k141_86418	1	342	+	342	2	0.0112128
18_2	k141_86418	363	1088	+	726	20	0.0528206
18_3	k141_86418	1089	1541	+	453	14	0.0592571
18_4	k141_86418	1538	1783	+	246	10	0.0779426
19_1	k141_160493	3	1424	+	1422	0	0
20_1	k141_12354	114	620	+	507	0	0
20_2	k141_12354	698	898	+	201	2	0.0190785
20_3	k141_12354	1058	1504	-	447	0	0
20_4	k141_12354	1569	2528	-	960	0	0
21_1	k141_222216	1	300	+	300	0	0
21_2	k141_222216	301	555	+	255	0	0
21_3	k141_222216	657	1403	+	747	0	0
22_1	k141_209864	2	478	-	477	9	0.0361772
22_2	k141_209864	490	1287	-	798	15	0.0360411
22_3	k141_209864	1569	1967	-	399	0	0
22_4	k141_209864	1967	2374	-	408	4	0.0187979
22_5	k141_209864	2384	2878	-	495	7	0.0271146
23_1	k141_74079	1	342	-	342	0	0
23_2	k141_74079	376	1002	-	627	0	0
24_1	k141_222217	63	1145	-	1083	9	0.015934
25_1	k141_12355	3	74	-	72	0	0
25_2	k141_12355	148	1323	-	1176	3	0.0048913
26_1	k141_37044	3	1010	-	1008	0	0
27_1	k141_74080	2	1504	+	1503	15	0.0191356
28_1	k141_49388	3	719	-	717	0	0
28_2	k141_49388	695	1516	-	822	0	0
28_3	k141_49388	1703	2668	-	966	0	0
29_1	k141_24698	1	936	-	936	14	0.0286789
29_2	k141_24698	1060	2082	-	1023	14	0.0262399
29_3	k141_24698	2085	3563	-	1479	29	0.0375959
29_4	k141_24698	3980	4285	+	306	0	0
29_5	k141_24698	4303	4554	+	252	1	0.00760869
30_1	k141_37045	2	1087	-	1086	0	0
31_1	k141_135808	2	1342	+	1341	8	0.0114386
32_1	k141_17	3	806	-	804	0	0
32_2	k141_17	803	1495	-	693	0	0
32_3	k141_17	1479	2642	-	1164	0	0
32_4	k141_17	2769	3749	+	981	0	0
33_1	k141_49389	1	156	-	156	1	0.012291
33_2	k141_49389	153	524	-	372	0	0
33_3	k141_49389	521	1186	-	666	3	0.00863689
33_4	k141_49389	1183	1476	-	294	0	0
34_1	k141_111119	3	824	-	822	5	0.011663
34_2	k141_111119	1377	2150	+	774	11	0.0272497
35_1	k141_24700	3	1319	-	1317	19	0.0276617
36_1	k141_37047	2	937	+	936	0	0
36_2	k141_37047	934	1041	+	108	0	0
37_1	k141_148141	1	483	-	483	30	0.119092
37_2	k141_148141	555	761	-	207	4	0.037051
37_3	k141_148141	777	2567	-	1791	55	0.0588813
37_4	k141_148141	2564	3010	-	447	12	0.0514735
37_5	k141_148141	3076	3480	-	405	12	0.0568115
37_6	k141_148141	3563	9625	-	6063	195	0.0616676
37_7	k141_148141	9752	10081	-	330	19	0.110395
38_1	k141_209868	1	669	+	669	0	0
38_2	k141_209868	778	1368	-	591	2	0.00648863
38_3	k141_209868	1723	2304	+	582	1	0.00329448
38_4	k141_209868	2459	2836	+	378	0	0
39_1	k141_222218	66	2135	+	2070	26	0.0240831
39_2	k141_222218	2128	3450	+	1323	20	0.0289855
40_1	k141_135811	2	442	+	441	13	0.0565217
40_2	k141_135811	439	627	+	189	0	0
40_3	k141_135811	638	1390	-	753	0	0
41_1	k141_49390	2	1786	+	1785	52	0.0558567
42_1	k141_12361	2	2089	+	2088	71	0.0651986
43_1	k141_86422	1	1050	+	1050	0	0
43_2	k141_86422	1156	2589	-	1434	0	0
43_3	k141_86422	2706	4865	-	2160	0	0
44_1	k141_148142	1	855	+	855	0	0
44_2	k141_148142	894	1634	+	741	0	0
45_1	k141_24705	3	101	-	99	0	0
45_2	k141_24705	98	1576	-	1479	102	0.132234
46_1	k141_135812	1	189	+	189	0	0
46_2	k141_135812	333	1724	+	1392	0	0
47_1	k141_98771	2	172	+	171	0	0
47_2	k141_98771	231	884	-	654	9	0.0263861
47_3	k141_98771	877	1686	-	810	16	0.0378744
47_4	k141_98771	1689	2393	-	705	1	0.0027197
47_5	k141_98771	2395	3432	-	1038	9	0.0166248
47_6	k141_98771	3569	3955	-	387	1	0.00495449
48_1	k141_37051	2	1330	+	1329	0	0
48_2	k141_37051	1341	1598	+	258	0	0
49_1	k141_86425	3	191	-	189	0	0
49_2	k141_86425	213	1058	-	846	0	0
50_1	k141_12366	1	585	-	585	0	0
50_2	k141_12366	602	1087	-	486	0	0
50_3	k141_12366	1208	1756	-	549	0	0
51_1	k141_98772	2	511	-	510	0	0
51_2	k141_98772	792	1379	+	588	0	0
52_1	k141_86428	1	375	+	375	0	0
52_2	k141_86428	540	1175	+	636	0	0
52_3	k141_86428	1183	1293	+	111	0	0
53_1	k141_24711	3	1046	+	1044	0	0
54_1	k141_135819	3	449	+	447	2	0.00857892
54_2	k141_135819	456	1091	+	636	6	0.0180886
55_1	k141_61742	3	710	-	708	0	0
55_2	k141_61742	873	1388	-	516	0	0
55_3	k141_61742	1461	2399	-	939	0	0
55_4	k141_61742	2389	3294	-	906	0	0
55_5	k141_61742	3402	4085	+	684	0	0
55_6	k141_61742	4179	6557	+	2379	0	0
55_7	k141_61742	7217	7906	-	690	0	0
56_1	k141_86429	1	1842	-	1842	17	0.0176958
57_1	k141_111134	1	2355	+	2355	202	0.164464
58_1	k141_209884	1	294	-	294	0	0
58_2	k141_209884	295	1236	-	942	13	0.0264608
58_3	k141_209884	1262	1348	-	87	0	0
59_1	k141_148154	76	735	+	660	0	0
59_2	k141_148154	802	1041	-	240	0	0
59_3	k141_148154	1214	1867	+	654	0	0
60_1	k141_222233	304	1791	+	1488	0	0
61_1	k141_49402	2	394	-	393	0	0
61_2	k141_49402	450	2822	-	2373	0	0
61_3	k141_49402	2815	2904	-	90	0	0
62_1	k141_98777	2	1393	-	1392	0	0
62_2	k141_98777	1507	1770	-	264	0	0
62_3	k141_98777	1772	1981	-	210	0	0
62_4	k141_98777	2043	3239	-	1197	0	0
63_1	k141_86430	2	1684	+	1683	8	0.00911415
63_2	k141_86430	1729	2019	-	291	0	0
64_1	k141_135823	2	574	-	573	10	0.0334623
64_2	k141_135823	633	2270	-	1638	12	0.0140468
65_1	k141_148157	3	299	+	297	0	0
65_2	k141_148157	265	1203	+	939	16	0.0326712
66_1	k141_12378	2	523	-	522	0	0
66_2	k141_12378	863	1192	+	330	0	0
67_1	k141_45	1	513	-	513	0	0
67_2	k141_45	523	1134	-	612	0	0
68_1	k141_49407	2	598	+	597	4	0.0128468
68_2	k141_49407	650	1057	-	408	0	0
69_1	k141_12379	3	380	+	378	0	0
69_2	k141_12379	461	886	+	426	0	0
69_3	k141_12379	914	1663	+	750	0	0
70_1	k141_111139	733	1452	+	720	17	0.0452717
71_1	k141_24721	3	587	-	585	0	0
71_2	k141_24721	606	1280	-	675	0	0
71_3	k141_24721	1285	2370	-	1086	0	0
71_4	k141_24721	3045	3161	-	117	0	0
72_1	k141_46	3	311	+	309	0	0
72_2	k141_46	374	883	+	510	0	0
72_3	k141_46	873	1007	+	135	0	0
73_1	k141_135826	2	166	+	165	0	0
74_1	k141_222239	153	1346	-	1194	0	0
75_1	k141_61743	1	477	+	477	0	0
75_2	k141_61743	599	1414	+	816	0	0
75_3	k141_61743	1469	3100	-	1632	0	0
75_4	k141_61743	3121	3378	-	258	0	0
75_5	k141_61743	3460	5319	-	1860	0	0
76_1	k141_148161	1	261	+	261	0	0
76_2	k141_148161	341	847	+	507	0	0
76_3	k141_148161	1022	1522	+	501	1	0.00382712
77_1	k141_12384	2	1129	+	1128	0	0
77_2	k141_12384	1510	1647	+	138	0	0
78_1	k141_209885	148	405	+	258	37	0.274974
78_2	k141_209885	506	1315	-	810	128	0.302995
78_3	k141_209885	1379	3715	-	2337	340	0.278953
78_4	k141_209885	3716	5089	-	1374	166	0.23165
78_5	k141_209885	5079	5804	-	726	102	0.269385
78_6	k141_209885	5809	6486	-	678	85	0.240381
78_7	k141_209885	6685	6852	-	168	61	0.696195
78_8	k141_209885	6873	7076	-	204	6	0.0563938
79_1	k141_111145	2	634	-	633	40	0.121162
79_2	k141_111145	916	1488	+	573	0	0
79_3	k141_111145	1545	1619	+	75	0	0
80_1	k141_98779	1	105	+	105	1	0.0182608
80_2	k141_98779	154	1665	-	1512	140	0.177536
80_3	k141_98779	1809	2021	-	213	16	0.144029
80_4	k141_98779	2150	2986	-	837	109	0.249696
80_5	k141_98779	3143	3730	+	588	83	0.270652
80_6	k141_98779	3779	6067	+	2289	220	0.184284
81_1	k141_37067	1	240	+	240	8	0.063913
81_2	k141_37067	551	742	-	192	0	0
81_3	k141_37067	774	1130	+	357	0	0
81_4	k141_37067	1120	2673	+	1554	0	0
81_5	k141_37067	3129	3548	-	420	0	0
81_6	k141_37067	3629	4066	-	438	0	0
81_7	k141_37067	4326	5891	+	1566	0	0
81_8	k141_37067	5888	6229	-	342	0	0
82_1	k141_148168	2	229	+	228	0	0
82_2	k141_148168	226	1101	+	876	0	0
83_1	k141_160494	1	210	-	210	0	0
83_2	k141_160494	512	1513	-	1002	0	0
83_3	k141_160494	1587	1919	-	333	0	0
83_4	k141_160494	2019	2720	-	702	0	0
83_5	k141_160494	2773	3447	-	675	0	0
83_6	k141_160494	3463	3930	-	468	0	0
83_7	k141_160494	3940	4998	-	1059	1	0.00181057
83_8	k141_160494	5016	6773	-	1758	2	0.00218133
83_9	k141_160494	6782	9097	-	2316	2	0.00165578
83_10	k141_160494	9161	10009	+	849	0	0
83_11	k141_160494	10006	11931	-	1926	0	0
83_12	k141_160494	11998	12477	-	480	0	0
83_13	k141_160494	12477	13391	-	915	0	0
83_14	k141_160494	13373	13867	-	495	4	0.0154941
83_15	k141_160494	13881	15476	-	1596	9	0.0108123
83_16	k141_160494	15473	15613	-	141	0	0
83_17	k141_160494	15669	16139	-	471	0	0
83_18	k141_160494	16132	17019	-	888	0	0
83_19	k141_160494	17021	17335	-	315	0	0
83_20	k141_160494	17319	17735	-	417	0	0
83_21	k141_160494	18195	19010	+	816	0	0
83_22	k141_160494	19284	19487	+	204	0	0
83_23	k141_160494	19907	20296	-	390	0	0
84_1	k141_49410	1	1236	-	1236	0	0
84_2	k141_49410	1342	2223	+	882	0	0
84_3	k141_49410	2223	2798	+	576	0	0
84_4	k141_49410	2894	4582	-	1689	0	0
85_1	k141_209890	2	778	+	777	0	0
85_2	k141_209890	771	1022	+	252	1	0.00760869
86_1	k141_111148	1	369	+	369	0	0
86_2	k141_111148	374	1465	+	1092	0	0
86_3	k141_111148	1489	1716	+	228	0	0
87_1	k141_12389	3	941	-	939	0	0
87_2	k141_12389	1127	2140	-	1014	0	0
88_1	k141_160496	2	1006	+	1005	0	0
88_2	k141_160496	1072	1143	+	72	0	0
89_1	k141_148174	2	1315	-	1314	0	0
90_1	k141_209895	1	300	+	300	0	0
90_2	k141_209895	279	659	+	381	11	0.0553577
90_3	k141_209895	752	1057	+	306	0	0
91_1	k141_86440	15	1700	-	1686	0	0
91_2	k141_86440	1701	2054	-	354	0	0
91_3	k141_86440	2093	2386	-	294	5	0.0326087
91_4	k141_86440	2453	3031	-	579	0	0
91_5	k141_86440	3054	3398	-	345	0	0
91_6	k141_86440	3402	3674	-	273	0	0
91_7	k141_86440	3667	4005	-	339	0	0
91_8	k141_86440	3998	4399	-	402	0	0
91_9	k141_86440	4396	4773	-	378	0	0
91_10	k141_86440	4785	5630	-	846	0	0
91_11	k141_86440	5649	6176	-	528	0	0
91_12	k141_86440	6322	6576	-	255	0	0
91_13	k141_86440	6828	6959	-	132	0	0
92_1	k141_61751	3	137	-	135	2	0.0284058
92_2	k141_61751	365	1387	+	1023	15	0.0281142
92_3	k141_61751	1620	2513	-	894	3	0.00643419
92_4	k141_61751	2631	2843	+	213	0	0
92_5	k141_61751	2852	4042	+	1191	3	0.0048297
92_6	k141_61751	4446	4679	-	234	1	0.00819397
92_7	k141_61751	4982	5206	+	225	2	0.0170435
93_1	k141_172841	1	531	-	531	0	0
93_2	k141_172841	543	938	-	396	0	0
93_3	k141_172841	1040	1321	-	282	0	0
93_4	k141_172841	1345	4779	-	3435	0	0
93_5	k141_172841	5142	5495	+	354	0	0
93_6	k141_172841	5732	7981	-	2250	3	0.00255652
93_7	k141_172841	8741	10111	-	1371	3	0.0041956
93_8	k141_172841	10132	11094	-	963	0	0
93_9	k141_172841	11081	11719	-	639	0	0
93_10	k141_172841	11709	12095	-	387	0	0
93_11	k141_172841	12082	12510	-	429	0	0
93_12	k141_172841	12515	12931	-	417	0	0
93_13	k141_172841	12945	14141	-	1197	0	0
93_14	k141_172841	14144	15724	-	1581	0	0
93_15	k141_172841	15709	18012	-	2304	0	0
93_16	k141_172841	18009	18521	-	513	0	0
93_17	k141_172841	18518	19078	-	561	0	0
93_18	k141_172841	19078	20004	-	927	0	0
93_19	k141_172841	20493	21158	+	666	0	0
93_20	k141_172841	21155	22270	-	1116	0	0
93_21	k141_172841	22267	23523	-	1257	0	0
93_22	k141_172841	23516	24208	-	693	0	0
93_23	k141_172841	24214	24576	-	363	0	0
94_1	k141_24722	267	593	+	327	31	0.181771
94_2	k141_24722	590	2299	+	1710	120	0.134554
94_3	k141_24722	2450	3313	+	864	98	0.217482
94_4	k141_24722	3328	4122	+	795	55	0.13265
94_5	k141_24722	4146	4916	-	771	0	0
94_6	k141_24722	4926	5909	-	984	8	0.0155885
94_7	k141_24722	5899	7170	-	1272	8	0.0120591
94_8	k141_24722	7167	8120	-	954	34	0.0683346
94_9	k141_24722	8302	8664	-	363	0	0
94_10	k141_24722	8840	9427	-	588	1	0.00326087
95_1	k141_12394	2	1183	+	1182	45	0.072997
95_2	k141_12394	1196	2425	+	1230	2	0.00311771
96_1	k141_86444	1	1263	-	1263	0	0
97_1	k141_172842	1	516	-	516	5	0.0185794
97_2	k141_172842	898	1533	+	636	43	0.129635
98_1	k141_111155	2	538	+	537	0	0
98_2	k141_111155	577	1725	+	1149	0	0
98_3	k141_111155	1759	1824	+	66	0	0
99_1	k141_209897	281	1288	-	1008	36	0.0684782
99_2	k141_209897	1593	2282	+	690	10	0.0277882
99_3	k141_209897	2389	3294	+	906	10	0.0211632
100_1	k141_148180	1	576	+	576	5	0.016644
100_2	k141_148180	685	2079	+	1395	8	0.0109958
101_1	k141_61756	3	950	+	948	0	0
101_2	k141_61756	985	1674	+	690	1	0.00277882
102_1	k141_86445	3	923	+	921	24	0.0499645
103_1	k141_37079	3	350	-	348	27	0.148763
103_2	k141_37079	546	1238	-	693	44	0.121739
103_3	k141_37079	1235	1795	-	561	40	0.136712
103_4	k141_37079	2106	2252	-	147	20	0.260869
103_5	k141_37079	2367	2510	-	144	18	0.239674
103_6	k141_37079	2652	2897	-	246	37	0.288388
103_7	k141_37079	2884	3237	-	354	12	0.0649962
103_8	k141_37079	3257	3346	-	90	0	0
103_9	k141_37079	3357	3503	-	147	0	0
104_1	k141_172845	3	368	-	366	0	0
104_2	k141_172845	473	1390	-	918	0	0
105_1	k141_12399	3	725	-	723	0	0
105_2	k141_12399	727	1005	-	279	0	0
106_1	k141_37080	123	737	-	615	9	0.0280594
106_2	k141_37080	889	1386	+	498	3	0.0115505
107_1	k141_86447	3	455	-	453	0	0
107_2	k141_86447	931	1431	+	501	0	0
108_1	k141_49428	2	1165	-	1164	24	0.0395338
109_1	k141_24729	3	938	+	936	16	0.0327759
110_1	k141_111163	97	723	-	627	0	0
111_1	k141_148182	3	710	+	708	46	0.124576
111_2	k141_148182	1189	2427	-	1239	61	0.0943993
111_3	k141_148182	2656	2784	-	129	9	0.133771
111_4	k141_148182	2832	3275	+	444	9	0.038866
112_1	k141_86448	2	1723	+	1722	0	0
112_2	k141_86448	1692	1880	+	189	0	0
113_1	k141_49429	3	1334	+	1332	0	0
113_2	k141_49429	1455	1901	+	447	0	0
113_3	k141_49429	1917	2060	+	144	0	0
114_1	k141_24730	2	1156	+	1155	8	0.0132806
114_2	k141_24730	1507	1749	+	243	0	0
115_1	k141_61767	1	93	+	93	0	0
115_2	k141_61767	90	1013	+	924	0	0
116_1	k141_148185	3	1595	-	1593	26	0.0312945
117_1	k141_24733	256	1011	+	756	0	0
118_1	k141_135828	384	1271	+	888	0	0
118_2	k141_135828	1640	2734	+	1095	0	0
118_3	k141_135828	2746	3303	+	558	0	0
118_4	k141_135828	3317	4096	+	780	0	0
118_5	k141_135828	4195	5322	+	1128	0	0
118_6	k141_135828	5378	6439	+	1062	0	0
118_7	k141_135828	6453	7460	+	1008	0	0
118_8	k141_135828	7508	8371	+	864	0	0
118_9	k141_135828	8463	10037	+	1575	0	0
118_10	k141_135828	10024	11529	+	1506	0	0
118_11	k141_135828	11599	13815	+	2217	0	0
118_12	k141_135828	13886	14854	+	969	0	0
118_13	k141_135828	14919	15512	-	594	0	0
118_14	k141_135828	16090	16374	-	285	0	0
119_1	k141_49433	3	1085	-	1083	0	0
120_1	k141_86453	1	1044	+	1044	0	0
121_1	k141_209914	36	380	+	345	4	0.0222306
121_2	k141_209914	380	1732	+	1353	44	0.0623541
122_1	k141_197533	486	1649	-	1164	0	0
122_2	k141_197533	1682	4072	-	2391	0	0
122_3	k141_197533	4181	4798	+	618	0	0
122_4	k141_197533	5184	5384	+	201	0	0
122_5	k141_197533	5374	6000	+	627	0	0
122_6	k141_197533	6018	6791	+	774	0	0
122_7	k141_197533	6800	8500	+	1701	0	0
122_8	k141_197533	8522	9037	+	516	0	0
122_9	k141_197533	9037	9609	+	573	0	0
122_10	k141_197533	9698	10828	+	1131	7	0.0118671
122_11	k141_197533	10908	11600	+	693	0	0
122_12	k141_197533	11713	12837	-	1125	0	0
122_13	k141_197533	12850	13203	-	354	0	0
122_14	k141_197533	13423	14031	+	609	0	0
122_15	k141_197533	14196	15134	+	939	0	0
122_16	k141_197533	15264	16574	-	1311	0	0
122_17	k141_197533	16602	17393	-	792	0	0
122_18	k141_197533	17387	18184	-	798	0	0
122_19	k141_197533	18197	19585	-	1389	0	0
122_20	k141_197533	20087	21205	+	1119	0	0
122_21	k141_197533	21241	21405	+	165	0	0
122_22	k141_197533	21432	23996	-	2565	0	0
122_23	k141_197533	24025	25695	-	1671	0	0
122_24	k141_197533	25949	26413	-	465	0	0
122_25	k141_197533	26627	28432	-	1806	0	0
122_26	k141_197533	28429	29034	-	606	0	0
122_27	k141_197533	29049	30371	-	1323	0	0
122_28	k141_197533	30407	32161	-	1755	0	0
122_29	k141_197533	32180	33016	-	837	0	0
122_30	k141_197533	33026	33616	-	591	0	0
123_1	k141_61770	3	686	-	684	0	0
123_2	k141_61770	778	1455	+	678	0	0
123_3	k141_61770	1452	1670	-	219	0	0
123_4	k141_61770	1667	1984	-	318	0	0
124_1	k141_111172	2	958	+	957	0	0
125_1	k141_24738	19	258	+	240	0	0
125_2	k141_24738	807	1289	+	483	0	0
126_1	k141_209915	3	1283	-	1281	0	0
127_1	k141_61771	1	129	+	129	0	0
127_2	k141_61771	126	1007	+	882	4	0.00869564
128_1	k141_49435	3	947	+	945	0	0
128_2	k141_49435	1088	2584	+	1497	5	0.00640411
129_1	k141_86459	1	720	+	720	0	0
129_2	k141_86459	747	1040	+	294	0	0
130_1	k141_37084	2	301	-	300	0	0
130_2	k141_37084	430	1404	-	975	0	0
130_3	k141_37084	1569	3056	-	1488	0	0
130_4	k141_37084	3315	4046	-	732	0	0
130_5	k141_37084	4471	5511	-	1041	0	0
130_6	k141_37084	5526	6836	-	1311	0	0
130_7	k141_37084	6851	7252	-	402	0	0
131_1	k141_135831	52	1065	-	1014	0	0
131_2	k141_135831	1213	2505	-	1293	0	0
131_3	k141_135831	2710	3165	-	456	0	0
132_1	k141_160498	3	386	+	384	0	0
132_2	k141_160498	399	1226	+	828	0	0
132_3	k141_160498	1307	2383	+	1077	2	0.00356061
132_4	k141_160498	2488	2724	+	237	0	0
132_5	k141_160498	3024	3293	-	270	0	0
132_6	k141_160498	3581	4879	-	1299	0	0
132_7	k141_160498	4963	5586	-	624	0	0
132_8	k141_160498	5824	6057	+	234	0	0
132_9	k141_160498	7112	8677	+	1566	0	0
132_10	k141_160498	8752	9318	-	567	0	0
132_11	k141_160498	9315	10049	-	735	0	0
132_12	k141_160498	10046	11398	-	1353	0	0
132_13	k141_160498	11736	12257	+	522	0	0
132_14	k141_160498	12273	12944	+	672	0	0
132_15	k141_160498	13173	13319	+	147	0	0
132_16	k141_160498	13338	13757	+	420	0	0
132_17	k141_160498	13812	14642	+	831	0	0
133_1	k141_197535	2	310	+	309	2	0.0124103
133_2	k141_197535	379	969	+	591	4	0.0129773
133_3	k141_197535	1156	1584	+	429	11	0.0491638
133_4	k141_197535	1711	2148	+	438	5	0.021888
134_1	k141_24745	3	1226	-	1224	22	0.0344629
135_1	k141_111176	1	855	-	855	5	0.0112128
136_1	k141_222244	1	1602	+	1602	1	0.00119687
136_2	k141_222244	1599	2012	-	414	0	0
136_3	k141_222244	2095	3744	-	1650	2	0.00232411
136_4	k141_222244	3741	5183	-	1443	3	0.00398626
136_5	k141_222244	5234	5911	-	678	5	0.01414
136_6	k141_222244	5926	6921	-	996	6	0.0115505
136_7	k141_222244	7491	8240	+	750	6	0.0153391
136_8	k141_222244	8317	9120	+	804	3	0.00715444
136_9	k141_222244	9194	10843	+	1650	6	0.00697232
136_10	k141_222244	10856	11560	-	705	14	0.0380758
136_11	k141_222244	11712	12425	+	714	0	0
136_12	k141_222244	12614	13174	-	561	6	0.0205068
136_13	k141_222244	13346	13939	+	594	3	0.00968378
136_14	k141_222244	13947	15860	+	1914	11	0.0110195
136_15	k141_222244	15890	16201	+	312	0	0
136_16	k141_222244	16303	17427	+	1125	5	0.00852173
136_17	k141_222244	17630	20179	-	2550	8	0.00601534
137_1	k141_172846	6	2552	-	2547	68	0.0511906
137_2	k141_172846	2745	3434	-	690	22	0.0611341
137_3	k141_172846	3418	7857	-	4440	108	0.0466392
137_4	k141_172846	8139	8687	-	549	11	0.0384176
137_5	k141_172846	9001	9789	-	789	25	0.0607538
138_1	k141_61776	1	219	-	219	0	0
138_2	k141_61776	230	1033	-	804	0	0
138_3	k141_61776	1030	1209	-	180	0	0
139_1	k141_86462	3	908	+	906	0	0
139_2	k141_86462	947	1105	+	159	1	0.0120591
139_3	k141_86462	1408	2340	-	933	0	0
140_1	k141_111180	270	1385	+	1116	0	0
141_1	k141_49	3	1682	+	1680	3	0.00342391
141_2	k141_49	1707	2885	+	1179	4	0.00650514
141_3	k141_49	2889	5120	-	2232	0	0
141_4	k141_49	5237	7399	-	2163	0	0
141_5	k141_49	7457	7591	-	135	0	0
141_6	k141_49	7592	8425	+	834	0	0
141_7	k141_49	8478	9047	-	570	0	0
141_8	k141_49	9257	11140	-	1884	0	0
141_9	k141_49	11137	11937	-	801	0	0
141_10	k141_49	11942	13015	-	1074	0	0
141_11	k141_49	13107	13340	-	234	0	0
141_12	k141_49	13294	14034	-	741	0	0
141_13	k141_49	14399	15268	+	870	0	0
141_14	k141_49	15434	16573	-	1140	0	0
141_15	k141_49	16582	18222	-	1641	0	0
141_16	k141_49	18243	19274	-	1032	9	0.0167214
141_17	k141_49	19404	20192	-	789	0	0
141_18	k141_49	20189	21013	-	825	0	0
141_19	k141_49	21040	22137	-	1098	3	0.00523877
141_20	k141_49	22200	23510	-	1311	0	0
142_1	k141_222246	3	1631	-	1629	0	0
143_1	k141_234552	2	868	-	867	0	0
143_2	k141_234552	893	2059	-	1167	0	0
143_3	k141_234552	2258	2602	+	345	0	0
143_4	k141_234552	2630	3244	+	615	0	0
143_5	k141_234552	3282	3641	+	360	0	0
143_6	k141_234552	3714	4865	+	1152	0	0
143_7	k141_234552	4879	5232	+	354	0	0
143_8	k141_234552	5229	6041	+	813	0	0
143_9	k141_234552	6051	6902	+	852	0	0
143_10	k141_234552	6905	7411	+	507	0	0
143_11	k141_234552	7419	8090	+	672	0	0
143_12	k141_234552	8495	10777	+	2283	0	0
143_13	k141_234552	10943	11770	+	828	0	0
143_14	k141_234552	11763	12671	+	909	0	0
143_15	k141_234552	12887	13264	-	378	0	0
143_16	k141_234552	13305	13577	-	273	0	0
143_17	k141_234552	13588	13890	-	303	0	0
143_18	k141_234552	13872	14069	-	198	0	0
143_19	k141_234552	14439	14753	+	315	0	0
143_20	k141_234552	14750	16048	+	1299	0	0
143_21	k141_234552	16113	16592	-	480	0	0
143_22	k141_234552	17053	17568	-	516	0	0
143_23	k141_234552	18206	18715	-	510	0	0
143_24	k141_234552	19718	20230	-	513	0	0
