# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_11_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_11/J21_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_11/J21_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_11/J21_2.bam	RPKG
81_1	k141_152666	3	209	+	207	0	0
81_2	k141_152666	225	1478	+	1254	6	0.00483808
81_3	k141_152666	1671	2330	+	660	0	0
82_1	k141_169625	2	910	+	909	2	0.00222477
82_2	k141_169625	923	1906	+	984	0	0
82_3	k141_169625	1903	3300	-	1398	0	0
82_4	k141_169625	3313	4014	-	702	0	0
83_1	k141_84811	3	1997	-	1995	17	0.00861638
84_1	k141_288321	283	708	+	426	6	0.0142417
84_2	k141_288321	741	2117	-	1377	18	0.0132177
84_3	k141_288321	2114	3079	-	966	6	0.00628048
84_4	k141_288321	3079	3936	-	858	14	0.0164991
84_5	k141_288321	3951	4709	-	759	11	0.0146545
84_6	k141_288321	4706	6376	-	1671	27	0.0163383
84_7	k141_288321	6453	7748	-	1296	14	0.010923
84_8	k141_288321	7909	8370	-	462	12	0.0262638
84_9	k141_288321	8425	9345	+	921	18	0.019762
84_10	k141_288321	9455	10675	-	1221	25	0.0207035
85_1	k141_101768	3	428	-	426	0	0
85_2	k141_101768	425	1153	-	729	0	0
86_1	k141_203553	1	621	-	621	0	0
86_2	k141_203553	716	1405	-	690	8	0.0117236
86_3	k141_203553	1377	2888	-	1512	6	0.00401253
87_1	k141_50901	3	767	-	765	0	0
87_2	k141_50901	767	1624	-	858	0	0
87_3	k141_50901	1621	2397	-	777	0	0
87_4	k141_50901	2394	4064	-	1671	0	0
87_5	k141_50901	4153	5448	-	1296	0	0
87_6	k141_50901	5535	5840	-	306	0	0
87_7	k141_50901	5894	6355	-	462	0	0
87_8	k141_50901	6427	7344	+	918	0	0
87_9	k141_50901	7409	8413	+	1005	0	0
87_10	k141_50901	8517	9974	-	1458	0	0
88_1	k141_17003	3	509	-	507	0	0
88_2	k141_17003	701	1537	+	837	0	0
89_1	k141_254412	1	1212	+	1212	0	0
90_1	k141_186591	1	180	+	180	1	0.00561754
90_2	k141_186591	199	492	+	294	0	0
90_3	k141_186591	437	628	+	192	0	0
90_4	k141_186591	666	1250	+	585	0	0
90_5	k141_186591	1375	1875	+	501	1	0.00201828
90_6	k141_186591	1942	3000	+	1059	4	0.00381929
90_7	k141_186591	3048	3623	+	576	6	0.0105329
91_1	k141_169628	91	732	+	642	0	0
91_2	k141_169628	839	1609	-	771	0	0
91_3	k141_169628	1633	2109	-	477	0	0
92_1	k141_118731	1	483	+	483	2	0.00418699
92_2	k141_118731	610	969	+	360	0	0
92_3	k141_118731	992	4072	+	3081	11	0.00361011
92_4	k141_118731	4677	4949	-	273	3	0.0111116
92_5	k141_118731	5029	5202	-	174	0	0
93_1	k141_101771	168	380	+	213	0	0
93_2	k141_101771	513	1196	+	684	0	0
93_3	k141_101771	1268	2080	+	813	0	0
94_1	k141_118733	1	522	+	522	0	0
94_2	k141_118733	541	1299	+	759	0	0
95_1	k141_84820	1	180	+	180	0	0
95_2	k141_84820	261	1454	+	1194	0	0
95_3	k141_84820	1448	2146	+	699	0	0
96_1	k141_135704	3	995	-	993	1	0.00101829
96_2	k141_135704	1056	1511	-	456	2	0.0044349
96_3	k141_135704	1770	2129	-	360	4	0.0112351
96_4	k141_135704	2548	3444	+	897	2	0.00225453
96_5	k141_135704	3456	4643	+	1188	6	0.00510686
96_6	k141_135704	4675	4887	+	213	0	0
96_7	k141_135704	4853	5788	-	936	5	0.00540148
96_8	k141_135704	5981	7351	+	1371	19	0.0140131
97_1	k141_254421	2	973	+	972	0	0
97_2	k141_254421	1038	1217	-	180	0	0
98_1	k141_271346	436	2157	-	1722	4	0.0023488
98_2	k141_271346	2178	4115	-	1938	13	0.00678279
98_3	k141_271346	4128	6362	-	2235	4	0.00180968
98_4	k141_271346	6680	10813	+	4134	9	0.00220136
98_5	k141_271346	10951	12798	+	1848	0	0
98_6	k141_271346	12809	15139	+	2331	10	0.00433787
98_7	k141_271346	15174	17462	+	2289	2	0.000883493
98_8	k141_271346	17509	19071	+	1563	0	0
98_9	k141_271346	19104	20213	+	1110	1	0.000910953
98_10	k141_271346	20263	22278	+	2016	6	0.0030094
98_11	k141_271346	22286	24277	+	1992	6	0.00304566
98_12	k141_271346	24286	25122	+	837	2	0.00241615
98_13	k141_271346	25182	26114	-	933	0	0
98_14	k141_271346	26792	27655	-	864	29	0.0339393
99_1	k141_17016	3	584	+	582	18	0.0312729
99_2	k141_17016	651	1637	+	987	19	0.019465
100_1	k141_288324	2	949	+	948	11	0.0117328
100_2	k141_288324	1434	1919	+	486	1	0.00208057
100_3	k141_288324	1986	3431	+	1446	3	0.00209784
100_4	k141_288324	3421	3855	+	435	2	0.004649
100_5	k141_288324	3947	4270	-	324	1	0.00312086
100_6	k141_288324	4278	4463	-	186	0	0
100_7	k141_288324	4460	5206	-	747	3	0.00406087
101_1	k141_135706	2	1573	+	1572	2	0.00128646
102_1	k141_118736	1	1287	+	1287	2	0.00157134
102_2	k141_118736	1398	1931	+	534	0	0
103_1	k141_203554	1	723	-	723	0	0
103_2	k141_203554	723	1502	-	780	0	0
103_3	k141_203554	1506	2552	-	1047	0	0
103_4	k141_203554	2549	3250	-	702	2	0.00288079
103_5	k141_203554	3509	3877	+	369	5	0.0137013
103_6	k141_203554	3870	5327	-	1458	3	0.00208057
103_7	k141_203554	5447	5851	-	405	0	0
103_8	k141_203554	5879	6820	-	942	3	0.00322025
104_1	k141_254422	2	1282	+	1281	5	0.00394675
104_2	k141_254422	1461	1520	+	60	0	0
105_1	k141_50907	91	1149	-	1059	40	0.0381929
105_2	k141_50907	1151	2092	-	942	43	0.0461569
105_3	k141_50907	2356	2913	+	558	35	0.0634239
105_4	k141_50907	2952	4055	+	1104	54	0.0494588
106_1	k141_152668	2	154	-	153	0	0
106_2	k141_152668	350	607	-	258	0	0
106_3	k141_152668	649	885	-	237	0	0
106_4	k141_152668	1052	1474	-	423	0	0
106_5	k141_152668	1621	1791	-	171	0	0
106_6	k141_152668	1791	2063	-	273	0	0
106_7	k141_152668	2063	2854	-	792	0	0
106_8	k141_152668	2844	3179	-	336	0	0
106_9	k141_152668	3176	3625	-	450	0	0
106_10	k141_152668	3748	4047	-	300	0	0
106_11	k141_152668	4050	4877	-	828	0	0
106_12	k141_152668	4877	5683	-	807	0	0
106_13	k141_152668	6012	6332	-	321	1	0.00315002
106_14	k141_152668	6353	6565	-	213	0	0
106_15	k141_152668	6674	7270	+	597	0	0
106_16	k141_152668	7593	8054	+	462	4	0.00875461
106_17	k141_152668	8051	8158	+	108	0	0
107_1	k141_17017	55	756	+	702	3	0.00432119
107_2	k141_17017	784	1560	+	777	3	0.00390408
108_1	k141_84823	252	986	-	735	2	0.00275145
108_2	k141_84823	999	1928	-	930	0	0
108_3	k141_84823	1944	2897	-	954	1	0.00105991
108_4	k141_84823	2951	3019	-	69	0	0
109_1	k141_118740	2	1075	+	1074	0	0
110_1	k141_186600	1	2598	+	2598	4	0.00155682
110_2	k141_186600	2729	3727	+	999	3	0.00303651
110_3	k141_186600	3732	3863	+	132	0	0
111_1	k141_288327	47	469	-	423	0	0
111_2	k141_288327	466	912	-	447	0	0
111_3	k141_288327	912	1121	-	210	0	0
111_4	k141_288327	1250	1492	+	243	0	0
112_1	k141_17018	2	784	-	783	0	0
112_2	k141_17018	815	1024	-	210	0	0
113_1	k141_84825	1	435	+	435	0	0
113_2	k141_84825	480	1076	-	597	4	0.00677493
114_1	k141_17019	3	665	+	663	6	0.00915075
114_2	k141_17019	851	1426	+	576	5	0.00877741
115_1	k141_17020	116	793	+	678	0	0
116_1	k141_101773	3	308	+	306	0	0
116_2	k141_101773	305	1903	+	1599	0	0
116_3	k141_101773	2016	3347	+	1332	0	0
116_4	k141_101773	3547	4803	+	1257	0	0
116_5	k141_101773	4816	5631	+	816	0	0
116_6	k141_101773	5823	7040	+	1218	0	0
116_7	k141_101773	7299	7652	+	354	0	0
116_8	k141_101773	7708	7869	+	162	0	0
116_9	k141_101773	7797	8363	-	567	1	0.00178335
117_1	k141_152671	57	992	+	936	39	0.0421316
117_2	k141_152671	1005	1295	+	291	4	0.0138991
117_3	k141_152671	1363	2223	+	861	42	0.0493248
117_4	k141_152671	2274	2585	+	312	11	0.0356498
118_1	k141_84828	4	444	-	441	0	0
118_2	k141_84828	755	985	+	231	0	0
118_3	k141_84828	1035	1253	-	219	0	0
118_4	k141_84828	1228	1509	-	282	0	0
119_1	k141_254425	1	498	+	498	12	0.0243652
119_2	k141_254425	511	741	+	231	0	0
119_3	k141_254425	732	1058	+	327	1	0.00309223
119_4	k141_254425	1074	1457	+	384	14	0.0368651
119_5	k141_254425	1567	1899	+	333	2	0.00607302
119_6	k141_254425	1904	2470	+	567	6	0.0107001
119_7	k141_254425	2543	3046	+	504	2	0.00401253
120_1	k141_186602	2	607	-	606	0	0
120_2	k141_186602	1053	2858	-	1806	2	0.00111978
121_1	k141_288331	3	191	-	189	0	0
121_2	k141_288331	184	1386	-	1203	3	0.00252159
122_1	k141_237428	2	217	-	216	1	0.00468129
122_2	k141_237428	283	999	+	717	10	0.0141026
122_3	k141_237428	1036	1806	-	771	10	0.0131149
122_4	k141_237428	1827	3248	-	1422	19	0.0135105
122_5	k141_237428	3252	4658	-	1407	15	0.0107799
122_6	k141_237428	4720	5466	-	747	22	0.0297797
122_7	k141_237428	5562	5960	+	399	19	0.0481504
122_8	k141_237428	5984	6247	+	264	5	0.0191507
122_9	k141_237428	6277	6747	+	471	2	0.00429366
122_10	k141_237428	6784	7803	+	1020	22	0.0218093
122_11	k141_237428	7831	10590	-	2760	33	0.0120899
122_12	k141_237428	10703	14782	+	4080	71	0.0175961
122_13	k141_237428	14843	15640	+	798	21	0.0266094
122_14	k141_237428	15828	17288	+	1461	33	0.0228393
122_15	k141_237428	17529	18590	+	1062	36	0.0342765
122_16	k141_237428	18633	19118	-	486	10	0.0208057
122_17	k141_237428	19258	20277	+	1020	17	0.0168526
122_18	k141_237428	20278	21336	-	1059	14	0.0133675
122_19	k141_237428	21342	21869	-	528	6	0.0114904
122_20	k141_237428	21893	22573	-	681	21	0.0311811
122_21	k141_237428	22573	23445	-	873	25	0.0289564
122_22	k141_237428	23616	24839	-	1224	30	0.0247833
122_23	k141_237428	25014	25931	-	918	21	0.0231311
122_24	k141_237428	26097	26993	-	897	24	0.0270544
122_25	k141_237428	26990	28249	-	1260	14	0.0112351
122_26	k141_237428	28298	28897	+	600	15	0.0252789
122_27	k141_237428	28935	29612	+	678	22	0.0328104
122_28	k141_237428	29619	30854	-	1236	39	0.0319055
122_29	k141_237428	31120	31914	+	795	19	0.024166
122_30	k141_237428	31917	33083	+	1167	28	0.0242609
122_31	k141_237428	33841	34269	+	429	9	0.0212131
122_32	k141_237428	34288	35247	+	960	18	0.0189592
122_33	k141_237428	35237	35302	+	66	0	0
123_1	k141_203555	262	1146	-	885	0	0
123_2	k141_203555	1283	2638	+	1356	0	0
123_3	k141_203555	2641	2940	+	300	0	0
123_4	k141_203555	3005	4177	+	1173	0	0
123_5	k141_203555	4200	5672	+	1473	0	0
124_1	k141_118746	59	1672	+	1614	12	0.0075179
124_2	k141_118746	1676	2422	+	747	0	0
124_3	k141_118746	2415	2855	+	441	5	0.0114644
125_1	k141_101776	3	173	-	171	0	0
125_2	k141_101776	189	1013	-	825	22	0.0269642
126_1	k141_152672	2	919	-	918	0	0
126_2	k141_152672	1025	1678	-	654	0	0
126_3	k141_152672	1793	2011	+	219	2	0.00923432
127_1	k141_237430	2	1081	+	1080	0	0
128_1	k141_101778	3	548	-	546	9	0.0166674
128_2	k141_101778	704	853	-	150	0	0
128_3	k141_101778	869	997	-	129	0	0
128_4	k141_101778	1011	1472	-	462	0	0
129_1	k141_237431	1	741	+	741	2	0.00272917
129_2	k141_237431	707	1054	-	348	0	0
130_1	k141_17029	3	1052	+	1050	0	0
131_1	k141_288337	1	1212	-	1212	0	0
131_2	k141_288337	1616	1795	+	180	0	0
132_1	k141_305277	410	715	+	306	2	0.00660887
132_2	k141_305277	828	2939	+	2112	5	0.00239384
132_3	k141_305277	3180	3806	+	627	7	0.0112888
132_4	k141_305277	3923	5851	+	1929	5	0.00262094
132_5	k141_305277	5948	7075	+	1128	1	0.000896416
132_6	k141_305277	7096	8211	+	1116	0	0
132_7	k141_305277	8229	9212	+	984	1	0.0010276
132_8	k141_305277	9269	10129	+	861	3	0.0035232
132_9	k141_305277	10208	11686	+	1479	8	0.00546941
132_10	k141_305277	11716	12540	+	825	5	0.00612823
132_11	k141_305277	12546	13577	-	1032	7	0.00685863
132_12	k141_305277	13810	14817	+	1008	5	0.00501566
132_13	k141_305277	14865	15608	+	744	0	0
132_14	k141_305277	15608	16393	+	786	4	0.00514584
132_15	k141_305277	16544	18706	+	2163	13	0.00607723
132_16	k141_305277	18754	20247	+	1494	2	0.00135362
132_17	k141_305277	20344	22053	+	1710	5	0.0029566
132_18	k141_305277	22153	23256	+	1104	15	0.0137386
132_19	k141_305277	23502	23840	+	339	0	0
132_20	k141_305277	24184	25164	+	981	4	0.00412297
132_21	k141_305277	25189	26700	+	1512	13	0.00869382
132_22	k141_305277	26940	28439	+	1500	6	0.00404463
132_23	k141_305277	28420	29694	+	1275	3	0.00237919
132_24	k141_305277	29697	30062	+	366	4	0.0110509
132_25	k141_305277	30053	30859	+	807	0	0
132_26	k141_305277	30982	32325	+	1344	1	0.000752349
133_1	k141_33936	125	994	-	870	48	0.055788
133_2	k141_33936	985	1833	-	849	61	0.0726509
133_3	k141_33936	1830	2333	-	504	50	0.100313
133_4	k141_33936	2457	2729	-	273	32	0.118524
133_5	k141_33936	2802	3662	-	861	61	0.0716384
133_6	k141_33936	3758	6337	-	2580	159	0.0623155
133_7	k141_33936	6300	7046	-	747	68	0.0920465
133_8	k141_33936	7252	8586	+	1335	125	0.0946777
133_9	k141_33936	8696	10027	-	1332	104	0.0789493
133_10	k141_33936	10024	10251	-	228	6	0.0266094
133_11	k141_33936	10410	11036	-	627	56	0.0903107
133_12	k141_33936	11050	11682	-	633	73	0.116611
133_13	k141_33936	11697	12548	-	852	84	0.0996916
133_14	k141_33936	12548	12922	-	375	30	0.0808926
133_15	k141_33936	13069	13710	-	642	35	0.0551254
133_16	k141_33936	13806	14339	-	534	54	0.102252
133_17	k141_33936	14336	14782	-	447	42	0.0950081
133_18	k141_33936	14874	15482	-	609	46	0.0763764
133_19	k141_33936	15535	16920	-	1386	101	0.0736847
133_20	k141_33936	16946	17491	-	546	28	0.0518542
133_21	k141_33936	17529	18242	-	714	25	0.0354047
133_22	k141_33936	18288	19781	-	1494	93	0.0629436
133_23	k141_33936	19963	21006	-	1044	92	0.0891059
133_24	k141_33936	21051	21401	-	351	13	0.0374503
133_25	k141_33936	21404	22669	-	1266	134	0.107026
133_26	k141_33936	22669	24108	-	1440	128	0.0898807
133_27	k141_33936	24433	25545	+	1113	126	0.114471
133_28	k141_33936	25640	26101	+	462	23	0.050339
133_29	k141_33936	26104	27540	+	1437	127	0.0893647
133_30	k141_33936	27640	28836	+	1197	81	0.0684242
133_31	k141_33936	28853	30304	+	1452	100	0.069639
134_1	k141_118751	3	971	-	969	11	0.0114786
135_1	k141_203563	3	95	-	93	0	0
135_2	k141_203563	390	866	-	477	0	0
136_1	k141_135715	81	440	-	360	6	0.0168526
136_2	k141_135715	565	825	+	261	0	0
136_3	k141_135715	1278	1541	-	264	0	0
