# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C23_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C23_1.bam	RPKM
49_1	k141_21253	2	439	+	438	12	7.16722
49_2	k141_21253	451	1041	+	591	16	7.08233
50_1	k141_3559	1	330	-	330	1	0.792738
50_2	k141_3559	613	1431	+	819	10	3.19418
51_1	k141_38943	3	1079	+	1077	18	4.3722
52_1	k141_56637	2	544	+	543	8	3.8542
52_2	k141_56637	541	1197	+	657	8	3.18543
52_3	k141_56637	1220	1345	+	126	2	4.15244
52_4	k141_56637	1514	1822	+	309	5	4.23307
52_5	k141_56637	1903	2265	+	363	11	7.92738
53_1	k141_31867	2	586	+	585	12	5.36623
53_2	k141_31867	782	1390	-	609	7	3.00694
54_1	k141_7083	3	584	+	582	38	17.0806
54_2	k141_7083	908	1216	+	309	35	29.6315
54_3	k141_7083	1213	1551	+	339	33	25.4658
54_4	k141_7083	2114	5374	+	3261	334	26.7941
54_5	k141_7083	5937	6392	+	456	30	17.2108
54_6	k141_7083	6467	6985	+	519	38	19.154
54_7	k141_7083	7136	9640	+	2505	222	23.184
55_1	k141_49557	3	971	+	969	16	4.31956
55_2	k141_49557	978	2735	+	1758	74	11.0118
55_3	k141_49557	2760	4394	+	1635	87	13.9202
56_1	k141_35393	3	158	-	156	7	11.7386
56_2	k141_35393	189	1379	-	1191	172	37.7798
56_3	k141_35393	1407	2414	-	1008	185	48.0125
56_4	k141_35393	2688	3899	+	1212	204	44.0323
56_5	k141_35393	3948	4859	+	912	111	31.8399
56_6	k141_35393	4845	5453	-	609	105	45.104
56_7	k141_35393	5454	5945	-	492	59	31.3711
56_8	k141_35393	5949	6506	-	558	108	50.6329
56_9	k141_35393	6694	6915	-	222	37	43.6006
56_10	k141_35393	7040	7312	-	273	27	25.8729
56_11	k141_35393	7325	9355	-	2031	425	54.7422
56_12	k141_35393	9428	11107	-	1680	402	62.598
56_13	k141_35393	11114	11470	-	357	64	46.8981
57_1	k141_3563	2	742	+	741	17	6.0017
57_2	k141_3563	782	1036	+	255	4	4.10358
58_1	k141_56638	3	1715	-	1713	98	14.9662
58_2	k141_56638	1732	1872	-	141	0	0
59_1	k141_31868	27	1055	+	1029	58	14.7454
59_2	k141_31868	1099	2307	+	1209	122	26.3984
59_3	k141_31868	2427	2552	+	126	2	4.15244
60_1	k141_30	200	1015	+	816	13	4.1677
61_1	k141_24780	2	913	+	912	42	12.0475
61_2	k141_24780	1452	2258	+	807	75	24.3126
61_3	k141_24780	2270	3265	+	996	96	25.2148
61_4	k141_24780	3279	4655	+	1377	101	19.1881
61_5	k141_24780	4648	6252	+	1605	116	18.9072
61_6	k141_24780	6249	7313	+	1065	52	12.7731
61_7	k141_24780	7318	8364	+	1047	52	12.9927
61_8	k141_24780	8367	9467	+	1101	87	20.6717
61_9	k141_24780	9532	10689	+	1158	55	12.425
61_10	k141_24780	10818	10958	-	141	11	20.4088
62_1	k141_7085	1	195	-	195	28	37.5636
62_2	k141_7085	176	1045	-	870	83	24.9576
62_3	k141_7085	1075	1383	-	309	34	28.7848
62_4	k141_7085	1531	1848	-	318	23	18.921
62_5	k141_7085	1845	2069	-	225	45	52.3207
63_1	k141_60178	1	369	-	369	11	7.79848
63_2	k141_60178	541	1443	+	903	20	5.7941
63_3	k141_60178	1491	1679	+	189	16	22.1463
63_4	k141_60178	1910	2929	+	1020	26	6.66832
63_5	k141_60178	3044	3211	+	168	3	4.67149
64_1	k141_35396	2	169	+	168	14	21.8003
64_2	k141_35396	559	1035	-	477	15	8.22652
65_1	k141_38949	54	779	-	726	22	7.92738
65_2	k141_38949	779	1546	-	768	38	12.9439
66_1	k141_63718	3	80	+	78	0	0
66_2	k141_63718	150	1037	-	888	49	14.4353
66_3	k141_63718	1442	1912	+	471	49	27.2156
66_4	k141_63718	2007	2513	+	507	43	22.1873
66_5	k141_63718	2605	2724	-	120	6	13.0802
67_1	k141_3564	1	540	+	540	7	3.39116
67_2	k141_3564	583	1299	+	717	11	4.01344
67_3	k141_3564	1416	1664	+	249	6	6.3037
67_4	k141_3564	1691	2236	-	546	19	9.10342
68_1	k141_53108	2	1054	+	1053	7	1.73905
69_1	k141_17723	3	968	+	966	21	5.68703
69_2	k141_17723	984	1286	+	303	9	7.7704
70_1	k141_31	2	304	-	303	9	7.7704
70_2	k141_31	474	932	+	459	23	13.1087
70_3	k141_31	1209	1751	-	543	18	8.67194
71_1	k141_35399	2	403	-	402	8	5.20604
71_2	k141_35399	419	928	-	510	5	2.56474
71_3	k141_35399	915	1943	-	1029	7	1.77962
72_1	k141_67255	3	254	-	252	2	2.07622
72_2	k141_67255	229	1128	-	900	14	4.06939
72_3	k141_67255	1125	1499	-	375	32	22.3235
72_4	k141_67255	1654	2193	-	540	6	2.90671
73_1	k141_32	1	423	+	423	14	8.65827
73_2	k141_32	731	1147	+	417	30	18.8204
73_3	k141_32	1205	1387	+	183	3	4.28858
74_1	k141_63719	213	785	+	573	87	39.7199
74_2	k141_63719	797	1585	+	789	104	34.4826
74_3	k141_63719	1582	1977	+	396	67	44.2612
74_4	k141_63719	2036	2191	-	156	18	30.185
74_5	k141_63719	2552	2695	+	144	24	43.6006
75_1	k141_60184	97	327	+	231	88	99.6585
75_2	k141_60184	486	905	+	420	162	100.904
75_3	k141_60184	905	1030	+	126	2	4.15244
76_1	k141_31873	1	528	-	528	12	5.94553
76_2	k141_31873	471	575	-	105	0	0
76_3	k141_31873	572	1777	-	1206	18	3.90453
76_4	k141_31873	1802	1945	-	144	6	10.9001
77_1	k141_3568	44	511	+	468	22	12.2976
77_2	k141_3568	1622	1822	-	201	3	3.90453
78_1	k141_46032	2	289	-	288	0	0
78_2	k141_46032	430	1677	-	1248	22	4.6116
78_3	k141_46032	1689	2213	-	525	7	3.48805
78_4	k141_46032	2238	3044	-	807	19	6.15919
79_1	k141_53111	1	186	+	186	5	7.03235
79_2	k141_53111	347	1729	+	1383	50	9.45783
80_1	k141_38950	1	600	+	600	203	88.5092
80_2	k141_38950	588	881	+	294	71	63.1764
80_3	k141_38950	1100	1672	+	573	168	76.7005
80_4	k141_38950	1706	3049	+	1344	408	79.4153
80_5	k141_38950	3046	3504	+	459	148	84.3515
81_1	k141_33	2	964	+	963	21	5.70475
82_1	k141_60185	2	1558	+	1557	54	9.07295
82_2	k141_60185	1548	1973	+	426	5	3.07046
83_1	k141_3569	1	909	+	909	27	7.7704
83_2	k141_3569	974	2041	+	1068	26	6.36862
84_1	k141_56655	1	339	-	339	14	10.8037
84_2	k141_56655	326	1210	-	885	27	7.98112
84_3	k141_56655	1429	1557	+	129	1	2.02793
85_1	k141_49558	3	392	-	390	82	55.0038
85_2	k141_49558	407	1117	-	711	182	66.9646
85_3	k141_49558	1130	1888	-	759	217	74.7931
85_4	k141_49558	1892	2947	-	1056	326	80.7602
85_5	k141_49558	2958	3845	-	888	300	88.3796
85_6	k141_49558	4094	5248	-	1155	403	91.2781
85_7	k141_49558	5678	6034	-	357	133	97.4601
85_8	k141_49558	6082	6279	-	198	37	48.8855
85_9	k141_49558	6315	6809	-	495	171	90.3721
86_1	k141_24795	75	401	-	327	17	13.6002
87_1	k141_17724	2	511	+	510	5	2.56474
87_2	k141_17724	871	2220	-	1350	31	6.00719
87_3	k141_17724	2392	3261	+	870	13	3.90902
87_4	k141_17724	3292	4653	+	1362	26	4.9939
87_5	k141_17724	4672	5454	+	783	14	4.67746
88_1	k141_42483	126	629	-	504	95	49.3102
88_2	k141_42483	993	1577	+	585	86	38.4579
88_3	k141_42483	1583	1789	+	207	25	31.5946
88_4	k141_42483	1895	2710	+	816	145	46.4859
88_5	k141_42483	2818	3462	-	645	118	47.8592
88_6	k141_42483	3515	3682	+	168	6	9.34298
88_7	k141_42483	3637	3741	-	105	0	0
88_8	k141_42483	3743	4447	-	705	125	46.3836
88_9	k141_42483	4571	5047	-	477	79	43.3264
88_10	k141_42483	5386	5736	-	351	67	49.9357
88_11	k141_42483	5940	6410	-	471	50	27.7711
88_12	k141_42483	6556	7170	-	615	37	15.7387
88_13	k141_42483	7167	7511	-	345	35	26.5395
88_14	k141_42483	7688	10204	-	2517	306	31.804
88_15	k141_42483	10197	11447	-	1251	145	30.3217
89_1	k141_56656	2	790	+	789	22	7.29439
89_2	k141_56656	920	1654	+	735	45	16.0165
90_1	k141_53116	3	173	-	171	4	6.11938
90_2	k141_53116	271	1233	-	963	188	51.0711
90_3	k141_53116	1509	2012	-	504	87	45.1577
91_1	k141_31881	2	1498	+	1497	47	8.21334
92_1	k141_67265	2	475	-	474	11	6.07097
92_2	k141_67265	456	1115	-	660	12	4.75643
92_3	k141_67265	1454	2113	-	660	8	3.17095
93_1	k141_3574	276	701	+	426	2	1.22819
93_2	k141_3574	680	1054	+	375	7	4.88327
94_1	k141_35402	2	151	+	150	5	8.72012
94_2	k141_35402	270	626	+	357	25	18.3196
94_3	k141_35402	813	950	+	138	3	5.68703
94_4	k141_35402	1118	4534	+	3417	121	9.26369
94_5	k141_35402	4605	4712	-	108	2	4.84451
95_1	k141_24799	628	849	+	222	19	22.3895
95_2	k141_24799	849	1664	+	816	40	12.8237
95_3	k141_24799	1661	1870	+	210	28	34.8805
95_4	k141_24799	2006	2143	+	138	15	28.4352
96_1	k141_56657	162	1838	+	1677	21	3.27589
97_1	k141_44	1	747	-	747	6	2.10123
97_2	k141_44	928	1122	+	195	0	0
97_3	k141_44	1287	1694	+	408	0	0
98_1	k141_3575	2	262	+	261	1	1.00231
98_2	k141_3575	286	1521	+	1236	42	8.88944
99_1	k141_10623	256	1128	+	873	63	18.8786
99_2	k141_10623	1252	1965	-	714	33	12.0909
99_3	k141_10623	2135	4045	-	1911	82	11.2253
99_4	k141_10623	4011	5393	-	1383	71	13.4301
99_5	k141_10623	5455	6249	-	795	46	15.1368
99_6	k141_10623	6262	7338	-	1077	37	8.98731
99_7	k141_10623	7371	7583	-	213	3	3.68456
99_8	k141_10623	7590	7931	-	342	18	13.7686
99_9	k141_10623	8490	9878	+	1389	73	13.7488
99_10	k141_10623	10183	11292	+	1110	61	14.3764
99_11	k141_10623	11468	11677	+	210	0	0
99_12	k141_10623	11625	12758	+	1134	59	13.6108
99_13	k141_10623	12770	13798	+	1029	39	9.915
100_1	k141_31887	1	489	+	489	7	3.74484
100_2	k141_31887	486	1682	+	1197	45	9.83472
100_3	k141_31887	1693	2253	+	561	25	11.6579
101_1	k141_7091	3	515	-	513	11	5.60943
101_2	k141_7091	570	947	-	378	16	11.0732
101_3	k141_7091	1147	1926	-	780	22	7.37856
101_4	k141_7091	1996	4188	-	2193	120	14.3148
101_5	k141_7091	4195	5313	-	1119	53	12.3905
101_6	k141_7091	5313	5717	-	405	38	24.5455
101_7	k141_7091	5727	6911	-	1185	86	18.9856
101_8	k141_7091	6941	8383	-	1443	106	19.2169
101_9	k141_7091	8370	8702	-	333	18	14.1407
101_10	k141_7091	8707	9228	-	522	46	23.0532
101_11	k141_7091	9416	9625	-	210	10	12.4573
101_12	k141_7091	9622	10236	-	615	42	17.8656
102_1	k141_63721	110	580	+	471	52	28.8819
102_2	k141_63721	887	1819	+	933	86	24.1135
102_3	k141_63721	1982	2776	-	795	50	16.453
102_4	k141_63721	2779	3693	-	915	52	14.8671
102_5	k141_63721	3783	4760	-	978	86	23.004
102_6	k141_63721	4987	5751	+	765	89	30.4349
102_7	k141_63721	5896	6489	+	594	43	18.9376
102_8	k141_63721	6698	7135	+	438	18	10.7508
103_1	k141_60187	235	2385	-	2151	82	9.9728
103_2	k141_60187	2483	3517	-	1035	30	7.58271
103_3	k141_60187	3492	3785	-	294	12	10.6777
103_4	k141_60187	4046	4600	-	555	8	3.77086
103_5	k141_60187	4602	5738	-	1137	47	10.8139
103_6	k141_60187	5797	6021	-	225	4	4.65073
103_7	k141_60187	6032	6277	-	246	7	7.444
103_8	k141_60187	6515	6766	+	252	3	3.11433
104_1	k141_49	2	1012	+	1011	19	4.91639
104_2	k141_49	1059	1184	+	126	0	0
105_1	k141_3581	2	772	+	771	8	2.71443
105_2	k141_3581	783	971	+	189	0	0
105_3	k141_3581	981	1232	+	252	4	4.15244
106_1	k141_10627	2	1060	-	1059	25	6.17572
107_1	k141_53123	377	2428	+	2052	102	13.0037
107_2	k141_53123	2498	2770	-	273	3	2.87476
108_1	k141_10631	68	919	+	852	16	4.91274
108_2	k141_10631	916	1242	+	327	11	8.80012
109_1	k141_42484	3	1223	-	1221	31	6.64186
109_2	k141_42484	1318	3054	-	1737	88	13.2534
109_3	k141_42484	3084	4103	-	1020	11	2.82121
109_4	k141_42484	4118	5182	-	1065	22	5.40402
109_5	k141_42484	5182	5577	-	396	10	6.60615
109_6	k141_42484	5577	7337	-	1761	46	6.83348
109_7	k141_42484	7353	7706	-	354	9	6.65094
110_1	k141_7097	1	291	-	291	8	7.19185
110_2	k141_7097	293	1198	-	906	19	5.48617
111_1	k141_31889	3	158	+	156	4	6.70778
111_2	k141_31889	424	3459	+	3036	134	11.5464
112_1	k141_21254	3	305	-	303	10	8.63378
112_2	k141_21254	331	636	-	306	27	23.0827
112_3	k141_21254	763	1620	+	858	31	9.45187
112_4	k141_21254	1744	3516	+	1773	91	13.4269
112_5	k141_21254	3516	4322	+	807	29	9.40087
112_6	k141_21254	4338	5210	-	873	44	13.1851
112_7	k141_21254	5222	6445	-	1224	89	19.0218
112_8	k141_21254	6459	7496	-	1038	68	17.1378
112_9	k141_21254	7932	9143	+	1212	119	25.6855
112_10	k141_21254	9183	10559	+	1377	109	20.7079
112_11	k141_21254	10581	11393	-	813	46	14.8017
112_12	k141_21254	11386	12144	-	759	24	8.27205
112_13	k141_21254	12218	13234	-	1017	41	10.5465
112_14	k141_21254	13340	14824	+	1485	96	16.9117
112_15	k141_21254	14845	16050	-	1206	59	12.7982
112_16	k141_21254	16091	16999	+	909	22	6.33144
112_17	k141_21254	17055	17453	+	399	21	13.7686
112_18	k141_21254	17464	18066	-	603	14	6.07371
112_19	k141_21254	18106	18777	+	672	18	7.00724
112_20	k141_21254	18746	19270	-	525	9	4.48463
113_1	k141_53127	2	70	-	69	0	0
113_2	k141_53127	92	388	-	297	2	1.76164
113_3	k141_53127	402	986	-	585	15	6.70778
113_4	k141_53127	1092	1562	-	471	2	1.11084
114_1	k141_46033	3	1319	-	1317	89	17.6786
114_2	k141_46033	1282	2709	-	1428	103	18.8692
114_3	k141_46033	2766	3824	-	1059	114	28.1613
114_4	k141_46033	3850	4095	-	246	26	27.6491
114_5	k141_46033	4758	5279	+	522	59	29.5682
114_6	k141_46033	5344	5535	+	192	24	32.7004
114_7	k141_46033	5715	7295	-	1581	138	22.8345
114_8	k141_46033	7598	7816	-	219	51	60.9214
114_9	k141_46033	8232	8489	+	258	31	31.433
114_10	k141_46033	8540	9328	+	789	51	16.9097
114_11	k141_46033	9365	10630	+	1266	96	19.8372
114_12	k141_46033	10712	11434	+	723	71	25.69
114_13	k141_46033	11779	11916	-	138	5	9.47839
115_1	k141_54	1	876	+	876	22	6.56995
115_2	k141_54	876	1040	+	165	2	3.17095
116_1	k141_42488	2	490	+	489	9	4.81479
116_2	k141_42488	491	1786	+	1296	32	6.45935
117_1	k141_10635	2	1588	+	1587	35	5.76945
117_2	k141_10635	1637	1762	+	126	23	47.753
117_3	k141_10635	2385	2969	+	585	22	9.83808
117_4	k141_10635	3047	3367	+	321	9	7.33468
118_1	k141_49567	3	446	+	444	9	5.30277
118_2	k141_49567	1182	1448	-	267	42	41.1511
118_3	k141_49567	1754	2692	-	939	92	25.631
118_4	k141_49567	2729	3472	-	744	48	16.8776
118_5	k141_49567	3652	4419	-	768	83	28.2723
118_6	k141_49567	4419	6602	-	2184	187	22.3992
118_7	k141_49567	6577	7479	-	903	50	14.4852
118_8	k141_49567	7472	7846	-	375	31	21.6259
118_9	k141_49567	8126	8857	-	732	46	16.4396
118_10	k141_49567	8953	9261	-	309	12	10.1594
119_1	k141_63725	1	225	+	225	0	0
119_2	k141_63725	225	632	+	408	6	3.84711
119_3	k141_63725	696	968	+	273	6	5.74953
119_4	k141_63725	1042	1659	+	618	15	6.3496
119_5	k141_63725	1674	2876	+	1203	41	8.91583
119_6	k141_63725	2976	3224	+	249	12	12.6074
119_7	k141_63725	3409	4767	+	1359	115	22.1372
119_8	k141_63725	4846	5454	+	609	34	14.6051
119_9	k141_63725	5499	5897	+	399	27	17.7025
119_10	k141_63725	5890	6381	+	492	25	13.2929
119_11	k141_63725	6512	7327	+	816	25	8.01481
119_12	k141_63725	7356	7418	+	63	1	4.15244
120_1	k141_10636	2	1858	-	1857	31	4.3671
121_1	k141_7103	236	679	+	444	11	6.48117
121_2	k141_7103	707	1576	+	870	38	11.4264
121_3	k141_7103	1580	2413	+	834	40	12.5469
121_4	k141_7103	2432	3109	+	678	11	4.2443
121_5	k141_7103	3129	3650	+	522	8	4.00925
122_1	k141_57	1	570	+	570	90	41.3058
122_2	k141_57	575	1738	+	1164	237	53.2646
122_3	k141_57	1748	2803	-	1056	293	72.5851
122_4	k141_57	2908	3270	-	363	95	68.4637
122_5	k141_57	3483	4325	-	843	306	94.9593
123_1	k141_49570	3	581	+	579	8	3.61456
123_2	k141_49570	666	1124	+	459	6	3.41965
124_1	k141_60190	3	332	-	330	6	4.75643
124_2	k141_60190	757	1245	+	489	23	12.3045
124_3	k141_60190	1278	1832	+	555	9	4.24222
124_4	k141_60190	1908	2663	-	756	26	8.99695
124_5	k141_60190	3302	3625	+	324	9	7.26676
124_6	k141_60190	3592	4665	+	1074	57	13.884
124_7	k141_60190	4649	5122	+	474	31	17.1091
124_8	k141_60190	5170	5496	-	327	8	6.40009
124_9	k141_60190	5709	6563	+	855	33	10.097
124_10	k141_60190	6583	7467	+	885	20	5.91194
124_11	k141_60190	7485	7715	+	231	11	12.4573
125_1	k141_67267	1	447	+	447	81	47.4047
125_2	k141_67267	524	1354	-	831	208	65.4796
125_3	k141_67267	1582	1929	-	348	121	90.9598
125_4	k141_67267	2060	2287	-	228	63	72.2852
125_5	k141_67267	2640	3212	+	573	115	52.5033
125_6	k141_67267	3260	4792	-	1533	280	47.7815
125_7	k141_67267	4818	5459	-	642	76	30.9686
125_8	k141_67267	5462	6184	-	723	74	26.7755
125_9	k141_67267	6184	7518	-	1335	316	61.9226
125_10	k141_67267	7849	8736	-	888	224	65.9901
125_11	k141_67267	9020	9556	-	537	137	66.7406
125_12	k141_67267	9695	10654	-	960	188	51.2307
125_13	k141_67267	10801	11394	-	594	118	51.9684
125_14	k141_67267	11426	11821	-	396	88	58.1341
125_15	k141_67267	11984	12352	-	369	119	84.3654
126_1	k141_42492	179	1651	+	1473	93	16.5167
126_2	k141_42492	1742	2014	+	273	6	5.74953
126_3	k141_42492	2074	2787	+	714	53	19.4187
126_4	k141_42492	2850	3092	+	243	3	3.22967
127_1	k141_59	3	185	+	183	7	10.0067
127_2	k141_59	187	936	+	750	24	8.37131
127_3	k141_59	941	1126	+	186	6	8.43882
128_1	k141_60191	2	853	-	852	24	7.36911
128_2	k141_60191	1184	1915	+	732	20	7.14764
129_1	k141_38952	576	2279	-	1704	187	28.7088
129_2	k141_38952	2688	4046	-	1359	145	27.9121
129_3	k141_38952	4208	7663	+	3456	444	33.6088
129_4	k141_38952	7751	8740	+	990	111	29.3313
129_5	k141_38952	8812	10164	+	1353	180	34.8031
129_6	k141_38952	10218	10865	+	648	80	32.2967
129_7	k141_38952	10888	11661	+	774	55	18.5894
129_8	k141_38952	11662	12093	+	432	49	29.6726
129_9	k141_38952	12095	13081	+	987	118	31.2758
129_10	k141_38952	13186	13836	+	651	57	22.9054
129_11	k141_38952	13949	14902	+	954	135	37.0194
129_12	k141_38952	14918	15898	+	981	96	25.6003
