# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam
13_3	k141_17698	2037	2132	+	96	0
14_1	k141_3544	1	279	-	279	2
14_2	k141_3544	801	1223	-	423	6
15_1	k141_56626	3	212	+	210	10
15_2	k141_56626	349	1569	-	1221	22
15_3	k141_56626	1873	2130	+	258	2
16_1	k141_63704	77	700	+	624	9
16_2	k141_63704	718	1431	+	714	14
16_3	k141_63704	1462	1797	+	336	2
17_1	k141_24779	3	845	-	843	1
17_2	k141_24779	934	1014	-	81	0
18_1	k141_21240	3	107	-	105	9
18_2	k141_21240	291	1517	-	1227	145
19_1	k141_60164	167	1132	-	966	21
20_1	k141_17699	91	246	+	156	2
20_2	k141_17699	337	1758	+	1422	12
21_1	k141_53090	2	298	+	297	8
21_2	k141_53090	307	822	+	516	5
21_3	k141_53090	812	1015	+	204	1
21_4	k141_53090	1167	1559	+	393	6
21_5	k141_53090	1641	1799	+	159	0
22_1	k141_67239	34	2130	-	2097	159
22_2	k141_67239	2127	2828	-	702	45
22_3	k141_67239	2818	3075	-	258	20
22_4	k141_67239	3109	4821	-	1713	106
23_1	k141_46015	2	199	-	198	3
23_2	k141_46015	205	1326	-	1122	11
24_1	k141_21243	3	83	-	81	0
24_2	k141_21243	107	1573	-	1467	24
25_1	k141_49551	3	137	-	135	0
25_2	k141_49551	179	970	-	792	39
25_3	k141_49551	1319	1627	-	309	17
26_1	k141_63709	3	221	+	219	2
26_2	k141_63709	218	904	+	687	7
27_1	k141_3551	198	506	+	309	4
27_2	k141_3551	826	1011	-	186	0
27_3	k141_3551	1049	1237	-	189	1
28_1	k141_60168	3	1601	+	1599	11
29_1	k141_14	172	1554	+	1383	255
29_2	k141_14	1551	2336	+	786	115
30_1	k141_31858	3	98	+	96	1
30_2	k141_31858	95	385	+	291	26
30_3	k141_31858	493	1938	-	1446	121
30_4	k141_31858	2125	2415	-	291	34
30_5	k141_31858	2444	2905	-	462	39
30_6	k141_31858	2916	3368	-	453	43
30_7	k141_31858	3472	3627	-	156	10
31_1	k141_21244	22	1344	-	1323	26
32_1	k141_53094	3	71	+	69	0
32_2	k141_53094	68	922	+	855	106
32_3	k141_53094	919	1023	+	105	0
33_1	k141_60169	84	941	-	858	26
33_2	k141_60169	1035	1241	+	207	1
34_1	k141_56634	864	1598	+	735	90
34_2	k141_56634	1625	2080	+	456	48
35_1	k141_49555	1	150	-	150	0
35_2	k141_49555	177	1019	-	843	6
36_1	k141_42476	2	877	+	876	43
36_2	k141_42476	879	2618	+	1740	86
36_3	k141_42476	2822	3397	-	576	47
36_4	k141_42476	4042	4287	+	246	31
36_5	k141_42476	4401	4562	+	162	16
37_1	k141_38937	1	141	+	141	21
37_2	k141_38937	368	1069	+	702	102
37_3	k141_38937	1062	3560	+	2499	310
37_4	k141_38937	3572	3811	+	240	3
37_5	k141_38937	3795	3908	+	114	3
38_1	k141_17706	1	309	+	309	7
38_2	k141_17706	378	1454	+	1077	15
38_3	k141_17706	1571	2158	+	588	11
39_1	k141_63711	2	289	+	288	38
39_2	k141_63711	537	734	+	198	34
39_3	k141_63711	800	1465	+	666	49
39_4	k141_63711	1517	2131	-	615	37
39_5	k141_63711	2289	2423	+	135	2
40_1	k141_56635	1	585	+	585	2
40_2	k141_56635	598	939	+	342	0
40_3	k141_56635	943	1197	+	255	0
41_1	k141_19	2	190	+	189	24
41_2	k141_19	407	856	+	450	69
42_1	k141_60171	3	140	+	138	0
42_2	k141_60171	145	1656	+	1512	17
43_1	k141_17708	3	503	-	501	13
43_2	k141_17708	571	984	-	414	4
44_1	k141_3558	1	762	+	762	3
44_2	k141_3558	1108	1437	+	330	2
45_1	k141_46017	12	1193	+	1182	29
45_2	k141_46017	1207	3654	+	2448	84
45_3	k141_46017	3743	4231	-	489	20
46_1	k141_53099	125	1351	+	1227	15
46_2	k141_53099	1475	2002	-	528	6
47_1	k141_10622	1	1101	-	1101	15
47_2	k141_10622	1293	2264	+	972	21
47_3	k141_10622	2458	3387	-	930	34
47_4	k141_10622	3592	4110	-	519	19
47_5	k141_10622	4153	4785	-	633	10
47_6	k141_10622	4877	6091	-	1215	44
48_1	k141_67243	2	169	-	168	1
48_2	k141_67243	258	1202	-	945	38
48_3	k141_67243	1516	1647	+	132	5
48_4	k141_67243	1775	3472	-	1698	60
48_5	k141_67243	3818	4411	-	594	21
49_1	k141_21253	2	439	+	438	2
49_2	k141_21253	451	1041	+	591	7
50_1	k141_3559	1	330	-	330	3
50_2	k141_3559	613	1431	+	819	8
51_1	k141_38943	3	1079	+	1077	10
52_1	k141_56637	2	544	+	543	3
52_2	k141_56637	541	1197	+	657	16
52_3	k141_56637	1220	1345	+	126	1
52_4	k141_56637	1514	1822	+	309	11
52_5	k141_56637	1903	2265	+	363	2
53_1	k141_31867	2	586	+	585	7
53_2	k141_31867	782	1390	-	609	9
54_1	k141_7083	3	584	+	582	19
54_2	k141_7083	908	1216	+	309	14
54_3	k141_7083	1213	1551	+	339	19
54_4	k141_7083	2114	5374	+	3261	123
54_5	k141_7083	5937	6392	+	456	24
54_6	k141_7083	6467	6985	+	519	30
54_7	k141_7083	7136	9640	+	2505	162
55_1	k141_49557	3	971	+	969	7
55_2	k141_49557	978	2735	+	1758	10
55_3	k141_49557	2760	4394	+	1635	11
56_1	k141_35393	3	158	-	156	2
56_2	k141_35393	189	1379	-	1191	57
56_3	k141_35393	1407	2414	-	1008	83
56_4	k141_35393	2688	3899	+	1212	95
56_5	k141_35393	3948	4859	+	912	60
56_6	k141_35393	4845	5453	-	609	33
56_7	k141_35393	5454	5945	-	492	34
56_8	k141_35393	5949	6506	-	558	44
56_9	k141_35393	6694	6915	-	222	43
56_10	k141_35393	7040	7312	-	273	14
56_11	k141_35393	7325	9355	-	2031	134
56_12	k141_35393	9428	11107	-	1680	156
56_13	k141_35393	11114	11470	-	357	23
57_1	k141_3563	2	742	+	741	0
57_2	k141_3563	782	1036	+	255	1
58_1	k141_56638	3	1715	-	1713	52
58_2	k141_56638	1732	1872	-	141	0
59_1	k141_31868	27	1055	+	1029	34
59_2	k141_31868	1099	2307	+	1209	25
59_3	k141_31868	2427	2552	+	126	2
60_1	k141_30	200	1015	+	816	9
61_1	k141_24780	2	913	+	912	37
61_2	k141_24780	1452	2258	+	807	42
61_3	k141_24780	2270	3265	+	996	20
61_4	k141_24780	3279	4655	+	1377	63
61_5	k141_24780	4648	6252	+	1605	52
61_6	k141_24780	6249	7313	+	1065	28
61_7	k141_24780	7318	8364	+	1047	26
61_8	k141_24780	8367	9467	+	1101	60
61_9	k141_24780	9532	10689	+	1158	66
61_10	k141_24780	10818	10958	-	141	0
62_1	k141_7085	1	195	-	195	7
62_2	k141_7085	176	1045	-	870	78
62_3	k141_7085	1075	1383	-	309	24
62_4	k141_7085	1531	1848	-	318	7
62_5	k141_7085	1845	2069	-	225	22
63_1	k141_60178	1	369	-	369	1
63_2	k141_60178	541	1443	+	903	9
63_3	k141_60178	1491	1679	+	189	1
63_4	k141_60178	1910	2929	+	1020	13
63_5	k141_60178	3044	3211	+	168	0
64_1	k141_35396	2	169	+	168	0
64_2	k141_35396	559	1035	-	477	4
65_1	k141_38949	54	779	-	726	2
65_2	k141_38949	779	1546	-	768	7
66_1	k141_63718	3	80	+	78	1
66_2	k141_63718	150	1037	-	888	30
66_3	k141_63718	1442	1912	+	471	24
66_4	k141_63718	2007	2513	+	507	25
66_5	k141_63718	2605	2724	-	120	11
67_1	k141_3564	1	540	+	540	8
67_2	k141_3564	583	1299	+	717	7
67_3	k141_3564	1416	1664	+	249	3
67_4	k141_3564	1691	2236	-	546	25
68_1	k141_53108	2	1054	+	1053	11
69_1	k141_17723	3	968	+	966	18
69_2	k141_17723	984	1286	+	303	0
70_1	k141_31	2	304	-	303	2
70_2	k141_31	474	932	+	459	12
70_3	k141_31	1209	1751	-	543	5
71_1	k141_35399	2	403	-	402	5
71_2	k141_35399	419	928	-	510	3
71_3	k141_35399	915	1943	-	1029	16
72_1	k141_67255	3	254	-	252	0
72_2	k141_67255	229	1128	-	900	15
72_3	k141_67255	1125	1499	-	375	1
72_4	k141_67255	1654	2193	-	540	14
73_1	k141_32	1	423	+	423	5
73_2	k141_32	731	1147	+	417	10
73_3	k141_32	1205	1387	+	183	1
74_1	k141_63719	213	785	+	573	49
74_2	k141_63719	797	1585	+	789	62
74_3	k141_63719	1582	1977	+	396	26
74_4	k141_63719	2036	2191	-	156	37
74_5	k141_63719	2552	2695	+	144	12
75_1	k141_60184	97	327	+	231	58
75_2	k141_60184	486	905	+	420	87
75_3	k141_60184	905	1030	+	126	6
76_1	k141_31873	1	528	-	528	6
76_2	k141_31873	471	575	-	105	1
76_3	k141_31873	572	1777	-	1206	22
76_4	k141_31873	1802	1945	-	144	0
77_1	k141_3568	44	511	+	468	12
77_2	k141_3568	1622	1822	-	201	6
78_1	k141_46032	2	289	-	288	4
78_2	k141_46032	430	1677	-	1248	27
78_3	k141_46032	1689	2213	-	525	12
78_4	k141_46032	2238	3044	-	807	11
79_1	k141_53111	1	186	+	186	3
79_2	k141_53111	347	1729	+	1383	20
80_1	k141_38950	1	600	+	600	99
80_2	k141_38950	588	881	+	294	53
80_3	k141_38950	1100	1672	+	573	98
80_4	k141_38950	1706	3049	+	1344	190
80_5	k141_38950	3046	3504	+	459	58
81_1	k141_33	2	964	+	963	8
82_1	k141_60185	2	1558	+	1557	25
82_2	k141_60185	1548	1973	+	426	7
83_1	k141_3569	1	909	+	909	6
83_2	k141_3569	974	2041	+	1068	22
84_1	k141_56655	1	339	-	339	0
84_2	k141_56655	326	1210	-	885	7
84_3	k141_56655	1429	1557	+	129	0
85_1	k141_49558	3	392	-	390	26
85_2	k141_49558	407	1117	-	711	82
85_3	k141_49558	1130	1888	-	759	120
85_4	k141_49558	1892	2947	-	1056	129
85_5	k141_49558	2958	3845	-	888	133
85_6	k141_49558	4094	5248	-	1155	198
85_7	k141_49558	5678	6034	-	357	82
85_8	k141_49558	6082	6279	-	198	9
85_9	k141_49558	6315	6809	-	495	102
86_1	k141_24795	75	401	-	327	1
87_1	k141_17724	2	511	+	510	12
87_2	k141_17724	871	2220	-	1350	33
87_3	k141_17724	2392	3261	+	870	13
87_4	k141_17724	3292	4653	+	1362	33
87_5	k141_17724	4672	5454	+	783	25
88_1	k141_42483	126	629	-	504	28
88_2	k141_42483	993	1577	+	585	30
88_3	k141_42483	1583	1789	+	207	25
88_4	k141_42483	1895	2710	+	816	58
88_5	k141_42483	2818	3462	-	645	49
88_6	k141_42483	3515	3682	+	168	8
88_7	k141_42483	3637	3741	-	105	0
88_8	k141_42483	3743	4447	-	705	45
88_9	k141_42483	4571	5047	-	477	49
88_10	k141_42483	5386	5736	-	351	30
88_11	k141_42483	5940	6410	-	471	41
88_12	k141_42483	6556	7170	-	615	41
88_13	k141_42483	7167	7511	-	345	21
88_14	k141_42483	7688	10204	-	2517	141
88_15	k141_42483	10197	11447	-	1251	82
89_1	k141_56656	2	790	+	789	11
89_2	k141_56656	920	1654	+	735	4
90_1	k141_53116	3	173	-	171	6
90_2	k141_53116	271	1233	-	963	88
90_3	k141_53116	1509	2012	-	504	36
91_1	k141_31881	2	1498	+	1497	17
92_1	k141_67265	2	475	-	474	5
92_2	k141_67265	456	1115	-	660	11
92_3	k141_67265	1454	2113	-	660	9
93_1	k141_3574	276	701	+	426	9
93_2	k141_3574	680	1054	+	375	11
94_1	k141_35402	2	151	+	150	0
94_2	k141_35402	270	626	+	357	8
94_3	k141_35402	813	950	+	138	2
94_4	k141_35402	1118	4534	+	3417	71
94_5	k141_35402	4605	4712	-	108	0
95_1	k141_24799	628	849	+	222	4
95_2	k141_24799	849	1664	+	816	59
95_3	k141_24799	1661	1870	+	210	22
95_4	k141_24799	2006	2143	+	138	2
96_1	k141_56657	162	1838	+	1677	28
97_1	k141_44	1	747	-	747	20
97_2	k141_44	928	1122	+	195	1
97_3	k141_44	1287	1694	+	408	24
98_1	k141_3575	2	262	+	261	0
98_2	k141_3575	286	1521	+	1236	3
99_1	k141_10623	256	1128	+	873	34
99_2	k141_10623	1252	1965	-	714	20
99_3	k141_10623	2135	4045	-	1911	43
99_4	k141_10623	4011	5393	-	1383	28
99_5	k141_10623	5455	6249	-	795	16
99_6	k141_10623	6262	7338	-	1077	19
99_7	k141_10623	7371	7583	-	213	3
99_8	k141_10623	7590	7931	-	342	12
99_9	k141_10623	8490	9878	+	1389	42
99_10	k141_10623	10183	11292	+	1110	43
99_11	k141_10623	11468	11677	+	210	6
99_12	k141_10623	11625	12758	+	1134	24
99_13	k141_10623	12770	13798	+	1029	34
100_1	k141_31887	1	489	+	489	1
100_2	k141_31887	486	1682	+	1197	5
100_3	k141_31887	1693	2253	+	561	8
101_1	k141_7091	3	515	-	513	7
101_2	k141_7091	570	947	-	378	8
101_3	k141_7091	1147	1926	-	780	9
101_4	k141_7091	1996	4188	-	2193	82
101_5	k141_7091	4195	5313	-	1119	39
101_6	k141_7091	5313	5717	-	405	22
101_7	k141_7091	5727	6911	-	1185	50
101_8	k141_7091	6941	8383	-	1443	65
101_9	k141_7091	8370	8702	-	333	5
101_10	k141_7091	8707	9228	-	522	16
101_11	k141_7091	9416	9625	-	210	14
101_12	k141_7091	9622	10236	-	615	13
102_1	k141_63721	110	580	+	471	24
102_2	k141_63721	887	1819	+	933	28
102_3	k141_63721	1982	2776	-	795	24
102_4	k141_63721	2779	3693	-	915	43
102_5	k141_63721	3783	4760	-	978	48
102_6	k141_63721	4987	5751	+	765	30
102_7	k141_63721	5896	6489	+	594	24
102_8	k141_63721	6698	7135	+	438	7
103_1	k141_60187	235	2385	-	2151	50
103_2	k141_60187	2483	3517	-	1035	47
103_3	k141_60187	3492	3785	-	294	14
103_4	k141_60187	4046	4600	-	555	22
103_5	k141_60187	4602	5738	-	1137	15
103_6	k141_60187	5797	6021	-	225	16
103_7	k141_60187	6032	6277	-	246	9
103_8	k141_60187	6515	6766	+	252	8
104_1	k141_49	2	1012	+	1011	6
104_2	k141_49	1059	1184	+	126	3
105_1	k141_3581	2	772	+	771	3
105_2	k141_3581	783	971	+	189	8
105_3	k141_3581	981	1232	+	252	0
106_1	k141_10627	2	1060	-	1059	9
107_1	k141_53123	377	2428	+	2052	18
107_2	k141_53123	2498	2770	-	273	0
108_1	k141_10631	68	919	+	852	0
108_2	k141_10631	916	1242	+	327	0
109_1	k141_42484	3	1223	-	1221	38
109_2	k141_42484	1318	3054	-	1737	71
109_3	k141_42484	3084	4103	-	1020	15
109_4	k141_42484	4118	5182	-	1065	29
109_5	k141_42484	5182	5577	-	396	14
109_6	k141_42484	5577	7337	-	1761	43
109_7	k141_42484	7353	7706	-	354	5
110_1	k141_7097	1	291	-	291	0
110_2	k141_7097	293	1198	-	906	0
111_1	k141_31889	3	158	+	156	2
111_2	k141_31889	424	3459	+	3036	69
112_1	k141_21254	3	305	-	303	8
112_2	k141_21254	331	636	-	306	6
112_3	k141_21254	763	1620	+	858	31
112_4	k141_21254	1744	3516	+	1773	64
112_5	k141_21254	3516	4322	+	807	12
112_6	k141_21254	4338	5210	-	873	37
112_7	k141_21254	5222	6445	-	1224	49
112_8	k141_21254	6459	7496	-	1038	43
112_9	k141_21254	7932	9143	+	1212	45
112_10	k141_21254	9183	10559	+	1377	55
112_11	k141_21254	10581	11393	-	813	25
112_12	k141_21254	11386	12144	-	759	13
112_13	k141_21254	12218	13234	-	1017	43
112_14	k141_21254	13340	14824	+	1485	55
112_15	k141_21254	14845	16050	-	1206	37
112_16	k141_21254	16091	16999	+	909	28
112_17	k141_21254	17055	17453	+	399	5
112_18	k141_21254	17464	18066	-	603	17
112_19	k141_21254	18106	18777	+	672	20
112_20	k141_21254	18746	19270	-	525	14
113_1	k141_53127	2	70	-	69	1
113_2	k141_53127	92	388	-	297	3
113_3	k141_53127	402	986	-	585	7
113_4	k141_53127	1092	1562	-	471	7
114_1	k141_46033	3	1319	-	1317	48
114_2	k141_46033	1282	2709	-	1428	36
114_3	k141_46033	2766	3824	-	1059	38
114_4	k141_46033	3850	4095	-	246	22
114_5	k141_46033	4758	5279	+	522	35
114_6	k141_46033	5344	5535	+	192	4
114_7	k141_46033	5715	7295	-	1581	112
114_8	k141_46033	7598	7816	-	219	28
114_9	k141_46033	8232	8489	+	258	20
114_10	k141_46033	8540	9328	+	789	26
114_11	k141_46033	9365	10630	+	1266	60
114_12	k141_46033	10712	11434	+	723	18
114_13	k141_46033	11779	11916	-	138	3
115_1	k141_54	1	876	+	876	16
115_2	k141_54	876	1040	+	165	0
116_1	k141_42488	2	490	+	489	4
116_2	k141_42488	491	1786	+	1296	21
117_1	k141_10635	2	1588	+	1587	60
117_2	k141_10635	1637	1762	+	126	2
117_3	k141_10635	2385	2969	+	585	11
117_4	k141_10635	3047	3367	+	321	0
118_1	k141_49567	3	446	+	444	5
118_2	k141_49567	1182	1448	-	267	16
118_3	k141_49567	1754	2692	-	939	34
118_4	k141_49567	2729	3472	-	744	21
118_5	k141_49567	3652	4419	-	768	7
118_6	k141_49567	4419	6602	-	2184	54
118_7	k141_49567	6577	7479	-	903	5
118_8	k141_49567	7472	7846	-	375	9
118_9	k141_49567	8126	8857	-	732	17
118_10	k141_49567	8953	9261	-	309	10
119_1	k141_63725	1	225	+	225	2
119_2	k141_63725	225	632	+	408	7
119_3	k141_63725	696	968	+	273	2
119_4	k141_63725	1042	1659	+	618	13
119_5	k141_63725	1674	2876	+	1203	32
119_6	k141_63725	2976	3224	+	249	7
119_7	k141_63725	3409	4767	+	1359	27
119_8	k141_63725	4846	5454	+	609	22
119_9	k141_63725	5499	5897	+	399	16
119_10	k141_63725	5890	6381	+	492	15
119_11	k141_63725	6512	7327	+	816	32
119_12	k141_63725	7356	7418	+	63	0
120_1	k141_10636	2	1858	-	1857	25
121_1	k141_7103	236	679	+	444	9
121_2	k141_7103	707	1576	+	870	35
121_3	k141_7103	1580	2413	+	834	23
121_4	k141_7103	2432	3109	+	678	6
121_5	k141_7103	3129	3650	+	522	5
122_1	k141_57	1	570	+	570	95
122_2	k141_57	575	1738	+	1164	135
122_3	k141_57	1748	2803	-	1056	199
122_4	k141_57	2908	3270	-	363	105
122_5	k141_57	3483	4325	-	843	181
123_1	k141_49570	3	581	+	579	17
123_2	k141_49570	666	1124	+	459	17
124_1	k141_60190	3	332	-	330	5
124_2	k141_60190	757	1245	+	489	16
124_3	k141_60190	1278	1832	+	555	17
124_4	k141_60190	1908	2663	-	756	28
124_5	k141_60190	3302	3625	+	324	14
124_6	k141_60190	3592	4665	+	1074	64
124_7	k141_60190	4649	5122	+	474	22
124_8	k141_60190	5170	5496	-	327	19
124_9	k141_60190	5709	6563	+	855	28
124_10	k141_60190	6583	7467	+	885	32
124_11	k141_60190	7485	7715	+	231	13
125_1	k141_67267	1	447	+	447	69
125_2	k141_67267	524	1354	-	831	117
125_3	k141_67267	1582	1929	-	348	79
125_4	k141_67267	2060	2287	-	228	59
125_5	k141_67267	2640	3212	+	573	66
125_6	k141_67267	3260	4792	-	1533	164
125_7	k141_67267	4818	5459	-	642	72
125_8	k141_67267	5462	6184	-	723	75
125_9	k141_67267	6184	7518	-	1335	174
125_10	k141_67267	7849	8736	-	888	154
125_11	k141_67267	9020	9556	-	537	104
125_12	k141_67267	9695	10654	-	960	181
125_13	k141_67267	10801	11394	-	594	89
125_14	k141_67267	11426	11821	-	396	69
125_15	k141_67267	11984	12352	-	369	56
126_1	k141_42492	179	1651	+	1473	38
126_2	k141_42492	1742	2014	+	273	5
126_3	k141_42492	2074	2787	+	714	29
126_4	k141_42492	2850	3092	+	243	0
127_1	k141_59	3	185	+	183	0
127_2	k141_59	187	936	+	750	3
127_3	k141_59	941	1126	+	186	0
128_1	k141_60191	2	853	-	852	15
128_2	k141_60191	1184	1915	+	732	20
129_1	k141_38952	576	2279	-	1704	98
129_2	k141_38952	2688	4046	-	1359	83
129_3	k141_38952	4208	7663	+	3456	202
129_4	k141_38952	7751	8740	+	990	70
129_5	k141_38952	8812	10164	+	1353	105
129_6	k141_38952	10218	10865	+	648	30
129_7	k141_38952	10888	11661	+	774	24
129_8	k141_38952	11662	12093	+	432	21
129_9	k141_38952	12095	13081	+	987	25
129_10	k141_38952	13186	13836	+	651	41
129_11	k141_38952	13949	14902	+	954	47
129_12	k141_38952	14918	15898	+	981	45
129_13	k141_38952	15944	16276	+	333	5
129_14	k141_38952	16280	17044	+	765	30
129_15	k141_38952	17031	18029	+	999	47
129_16	k141_38952	18099	18578	+	480	38
129_17	k141_38952	18594	18863	+	270	4
130_1	k141_31903	2	205	-	204	9
130_2	k141_31903	452	1009	+	558	9
130_3	k141_31903	1222	1956	+	735	11
130_4	k141_31903	1958	2800	+	843	7
131_1	k141_53143	2	184	+	183	7
131_2	k141_53143	197	442	+	246	5
131_3	k141_53143	460	912	+	453	1
131_4	k141_53143	1134	2378	+	1245	36
132_1	k141_62	3	650	+	648	3
133_1	k141_21273	3	263	-	261	3
133_2	k141_21273	450	1397	-	948	14
134_1	k141_10637	1	1185	+	1185	126
134_2	k141_10637	1201	1443	+	243	11
134_3	k141_10637	1515	2480	-	966	118
134_4	k141_10637	2587	3222	-	636	74
134_5	k141_10637	3597	4094	-	498	20
134_6	k141_10637	4209	4541	-	333	6
135_1	k141_64	517	765	+	249	4
135_2	k141_64	769	1068	+	300	10
136_1	k141_60196	1	966	+	966	1
136_2	k141_60196	1071	1520	-	450	3
137_1	k141_67273	1	1056	+	1056	28
137_2	k141_67273	1349	2179	+	831	15
137_3	k141_67273	2145	2885	+	741	16
137_4	k141_67273	2923	3681	+	759	21
138_1	k141_24802	2	202	+	201	0
138_2	k141_24802	212	1534	-	1323	76
138_3	k141_24802	1541	2257	-	717	33
138_4	k141_24802	2311	3279	+	969	22
138_5	k141_24802	3291	4574	+	1284	84
138_6	k141_24802	4697	4849	-	153	7
138_7	k141_24802	5008	5370	+	363	13
138_8	k141_24802	5730	6680	+	951	39
138_9	k141_24802	6677	7351	+	675	17
138_10	k141_24802	7333	7818	-	486	17
138_11	k141_24802	7981	8781	+	801	27
138_12	k141_24802	8781	9503	+	723	36
138_13	k141_24802	9525	9626	+	102	0
138_14	k141_24802	9637	10653	+	1017	31
138_15	k141_24802	10806	13706	+	2901	125
138_16	k141_24802	13730	14635	+	906	26
138_17	k141_24802	14638	15360	+	723	23
138_18	k141_24802	15438	15800	-	363	5
138_19	k141_24802	15970	16335	+	366	3
139_1	k141_38958	2	1168	+	1167	8
140_1	k141_21276	1	396	+	396	9
140_2	k141_21276	495	1577	-	1083	42
141_1	k141_66	296	514	-	219	12
141_2	k141_66	645	1016	-	372	15
142_1	k141_49576	2	2155	-	2154	45
142_2	k141_49576	2178	2483	-	306	11
142_3	k141_49576	2665	3435	-	771	25
142_4	k141_49576	3402	4940	-	1539	25
143_1	k141_53144	14	280	+	267	11
143_2	k141_53144	267	914	+	648	64
143_3	k141_53144	917	1108	+	192	20
143_4	k141_53144	1109	1510	+	402	53
143_5	k141_53144	1643	2233	+	591	70
143_6	k141_53144	2246	2428	+	183	6
143_7	k141_53144	2428	2769	+	342	16
143_8	k141_53144	2817	3644	-	828	28
143_9	k141_53144	3826	3978	+	153	7
144_1	k141_24803	1	120	-	120	5
144_2	k141_24803	375	644	+	270	12
144_3	k141_24803	774	1439	+	666	4
145_1	k141_31912	3	263	+	261	1
145_2	k141_31912	277	909	+	633	9
145_3	k141_31912	966	1529	+	564	9
146_1	k141_10644	3	1193	+	1191	14
147_1	k141_3584	308	535	-	228	48
147_2	k141_3584	1112	1822	-	711	98
147_3	k141_3584	1886	6196	-	4311	450
147_4	k141_3584	6177	6287	-	111	5
147_5	k141_3584	6506	6805	-	300	42
147_6	k141_3584	6899	7162	+	264	36
147_7	k141_3584	7218	7625	-	408	20
147_8	k141_3584	7622	8803	-	1182	99
147_9	k141_3584	8811	9869	-	1059	85
147_10	k141_3584	9866	10213	-	348	31
147_11	k141_3584	10228	10872	+	645	63
147_12	k141_3584	10893	12140	+	1248	115
147_13	k141_3584	12127	12783	+	657	36
147_14	k141_3584	12869	14467	-	1599	265
147_15	k141_3584	15211	15600	-	390	72
148_1	k141_7112	2	448	-	447	4
148_2	k141_7112	467	1336	-	870	9
148_3	k141_7112	1338	2420	-	1083	6
148_4	k141_7112	2386	3081	-	696	15
148_5	k141_7112	3174	4766	-	1593	29
148_6	k141_7112	4753	5625	-	873	13
149_1	k141_56661	75	1616	+	1542	355
149_2	k141_56661	1685	2698	+	1014	140
149_3	k141_56661	2691	3605	+	915	162
149_4	k141_56661	3602	4606	+	1005	180
149_5	k141_56661	4603	5490	+	888	149
149_6	k141_56661	5598	7289	+	1692	303
149_7	k141_56661	7505	7768	+	264	59
149_8	k141_56661	7856	8980	+	1125	204
149_9	k141_56661	9041	10000	+	960	131
149_10	k141_56661	9971	11179	-	1209	179
149_11	k141_56661	11649	11795	+	147	34
149_12	k141_56661	12020	15175	+	3156	563
149_13	k141_56661	15512	17830	+	2319	464
150_1	k141_38960	2	667	+	666	4
150_2	k141_38960	700	1668	+	969	1
151_1	k141_42500	3	719	+	717	12
151_2	k141_42500	736	939	+	204	9
151_3	k141_42500	1278	1553	+	276	6
151_4	k141_42500	1541	1795	+	255	6
