# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_5_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_5/C21_1_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_5/C21_1.bam	RPKM
16_3	k141_63704	1462	1797	+	336	2	2.81022
17_1	k141_24779	3	845	-	843	1	0.560044
17_2	k141_24779	934	1014	-	81	0	0
18_1	k141_21240	3	107	-	105	9	40.4672
18_2	k141_21240	291	1517	-	1227	145	55.7922
19_1	k141_60164	167	1132	-	966	21	10.2634
20_1	k141_17699	91	246	+	156	2	6.05278
20_2	k141_17699	337	1758	+	1422	12	3.98411
21_1	k141_53090	2	298	+	297	8	12.717
21_2	k141_53090	307	822	+	516	5	4.57478
21_3	k141_53090	812	1015	+	204	1	2.3143
21_4	k141_53090	1167	1559	+	393	6	7.2079
21_5	k141_53090	1641	1799	+	159	0	0
22_1	k141_67239	34	2130	-	2097	159	35.7972
22_2	k141_67239	2127	2828	-	702	45	30.2639
22_3	k141_67239	2818	3075	-	258	20	36.5982
22_4	k141_67239	3109	4821	-	1713	106	29.2145
23_1	k141_46015	2	199	-	198	3	7.15329
23_2	k141_46015	205	1326	-	1122	11	4.6286
24_1	k141_21243	3	83	-	81	0	0
24_2	k141_21243	107	1573	-	1467	24	7.7238
25_1	k141_49551	3	137	-	135	0	0
25_2	k141_49551	179	970	-	792	39	23.2482
25_3	k141_49551	1319	1627	-	309	17	25.9741
26_1	k141_63709	3	221	+	219	2	4.31157
26_2	k141_63709	218	904	+	687	7	4.81051
27_1	k141_3551	198	506	+	309	4	6.11155
27_2	k141_3551	826	1011	-	186	0	0
27_3	k141_3551	1049	1237	-	189	1	2.49797
28_1	k141_60168	3	1601	+	1599	11	3.24784
29_1	k141_14	172	1554	+	1383	255	87.0498
29_2	k141_14	1551	2336	+	786	115	69.0757
30_1	k141_31858	3	98	+	96	1	4.91789
30_2	k141_31858	95	385	+	291	26	42.1823
30_3	k141_31858	493	1938	-	1446	121	39.5064
30_4	k141_31858	2125	2415	-	291	34	55.1615
30_5	k141_31858	2444	2905	-	462	39	39.8541
30_6	k141_31858	2916	3368	-	453	43	44.8147
30_7	k141_31858	3472	3627	-	156	10	30.2639
31_1	k141_21244	22	1344	-	1323	26	9.27819
32_1	k141_53094	3	71	+	69	0	0
32_2	k141_53094	68	922	+	855	106	58.5315
32_3	k141_53094	919	1023	+	105	0	0
33_1	k141_60169	84	941	-	858	26	14.3066
33_2	k141_60169	1035	1241	+	207	1	2.28076
34_1	k141_56634	864	1598	+	735	90	57.8103
34_2	k141_56634	1625	2080	+	456	48	49.6966
35_1	k141_49555	1	150	-	150	0	0
35_2	k141_49555	177	1019	-	843	6	3.36026
36_1	k141_42476	2	877	+	876	43	23.1747
36_2	k141_42476	879	2618	+	1740	86	23.3345
36_3	k141_42476	2822	3397	-	576	47	38.5235
36_4	k141_42476	4042	4287	+	246	31	59.4944
36_5	k141_42476	4401	4562	+	162	16	46.6289
37_1	k141_38937	1	141	+	141	21	70.3153
37_2	k141_38937	368	1069	+	702	102	68.5982
37_3	k141_38937	1062	3560	+	2499	310	58.566
37_4	k141_38937	3572	3811	+	240	3	5.90147
37_5	k141_38937	3795	3908	+	114	3	12.4241
38_1	k141_17706	1	309	+	309	7	10.6952
38_2	k141_17706	378	1454	+	1077	15	6.57545
38_3	k141_17706	1571	2158	+	588	11	8.83213
39_1	k141_63711	2	289	+	288	38	62.2932
39_2	k141_63711	537	734	+	198	34	81.0706
39_3	k141_63711	800	1465	+	666	49	34.7354
39_4	k141_63711	1517	2131	-	615	37	28.4038
39_5	k141_63711	2289	2423	+	135	2	6.99433
40_1	k141_56635	1	585	+	585	2	1.61408
40_2	k141_56635	598	939	+	342	0	0
40_3	k141_56635	943	1197	+	255	0	0
41_1	k141_19	2	190	+	189	24	59.9514
41_2	k141_19	407	856	+	450	69	72.3913
42_1	k141_60171	3	140	+	138	0	0
42_2	k141_60171	145	1656	+	1512	17	5.3082
43_1	k141_17708	3	503	-	501	13	12.2505
43_2	k141_17708	571	984	-	414	4	4.56152
44_1	k141_3558	1	762	+	762	3	1.85873
44_2	k141_3558	1108	1437	+	330	2	2.86132
45_1	k141_46017	12	1193	+	1182	29	11.5832
45_2	k141_46017	1207	3654	+	2448	84	16.2001
45_3	k141_46017	3743	4231	-	489	20	19.3095
46_1	k141_53099	125	1351	+	1227	15	5.7716
46_2	k141_53099	1475	2002	-	528	6	5.36497
47_1	k141_10622	1	1101	-	1101	15	6.43211
47_2	k141_10622	1293	2264	+	972	21	10.2001
47_3	k141_10622	2458	3387	-	930	34	17.2602
47_4	k141_10622	3592	4110	-	519	19	17.2837
47_5	k141_10622	4153	4785	-	633	10	7.45841
47_6	k141_10622	4877	6091	-	1215	44	17.0972
48_1	k141_67243	2	169	-	168	1	2.81022
48_2	k141_67243	258	1202	-	945	38	18.9846
48_3	k141_67243	1516	1647	+	132	5	17.8832
48_4	k141_67243	1775	3472	-	1698	60	16.6826
48_5	k141_67243	3818	4411	-	594	21	16.691
49_1	k141_21253	2	439	+	438	2	2.15579
49_2	k141_21253	451	1041	+	591	7	5.59191
50_1	k141_3559	1	330	-	330	3	4.29197
50_2	k141_3559	613	1431	+	819	8	4.61165
51_1	k141_38943	3	1079	+	1077	10	4.38363
52_1	k141_56637	2	544	+	543	3	2.60838
52_2	k141_56637	541	1197	+	657	16	11.4975
52_3	k141_56637	1220	1345	+	126	1	3.74696
52_4	k141_56637	1514	1822	+	309	11	16.8068
52_5	k141_56637	1903	2265	+	363	2	2.6012
53_1	k141_31867	2	586	+	585	7	5.64927
53_2	k141_31867	782	1390	-	609	9	6.9771
54_1	k141_7083	3	584	+	582	19	15.4128
54_2	k141_7083	908	1216	+	309	14	21.3904
54_3	k141_7083	1213	1551	+	339	19	26.4608
54_4	k141_7083	2114	5374	+	3261	123	17.8075
54_5	k141_7083	5937	6392	+	456	24	24.8483
54_6	k141_7083	6467	6985	+	519	30	27.29
54_7	k141_7083	7136	9640	+	2505	162	30.5321
55_1	k141_49557	3	971	+	969	7	3.41055
55_2	k141_49557	978	2735	+	1758	10	2.68554
55_3	k141_49557	2760	4394	+	1635	11	3.17632
56_1	k141_35393	3	158	-	156	2	6.05278
56_2	k141_35393	189	1379	-	1191	57	22.595
56_3	k141_35393	1407	2414	-	1008	83	38.8747
56_4	k141_35393	2688	3899	+	1212	95	37.0059
56_5	k141_35393	3948	4859	+	912	60	31.0603
56_6	k141_35393	4845	5453	-	609	33	25.5827
56_7	k141_35393	5454	5945	-	492	34	32.626
56_8	k141_35393	5949	6506	-	558	44	37.2279
56_9	k141_35393	6694	6915	-	222	43	91.4461
56_10	k141_35393	7040	7312	-	273	14	24.2111
56_11	k141_35393	7325	9355	-	2031	134	31.149
56_12	k141_35393	9428	11107	-	1680	156	43.8395
56_13	k141_35393	11114	11470	-	357	23	30.4165
57_1	k141_3563	2	742	+	741	0	0
57_2	k141_3563	782	1036	+	255	1	1.85144
58_1	k141_56638	3	1715	-	1713	52	14.3316
58_2	k141_56638	1732	1872	-	141	0	0
59_1	k141_31868	27	1055	+	1029	34	15.5996
59_2	k141_31868	1099	2307	+	1209	25	9.76256
59_3	k141_31868	2427	2552	+	126	2	7.49392
60_1	k141_30	200	1015	+	816	9	5.20718
61_1	k141_24780	2	913	+	912	37	19.1539
61_2	k141_24780	1452	2258	+	807	42	24.5712
61_3	k141_24780	2270	3265	+	996	20	9.48027
61_4	k141_24780	3279	4655	+	1377	63	21.6001
61_5	k141_24780	4648	6252	+	1605	52	15.296
61_6	k141_24780	6249	7313	+	1065	28	12.4125
61_7	k141_24780	7318	8364	+	1047	26	11.724
61_8	k141_24780	8367	9467	+	1101	60	25.7285
61_9	k141_24780	9532	10689	+	1158	66	26.9082
61_10	k141_24780	10818	10958	-	141	0	0
62_1	k141_7085	1	195	-	195	7	16.9478
62_2	k141_7085	176	1045	-	870	78	42.3278
62_3	k141_7085	1075	1383	-	309	24	36.6693
62_4	k141_7085	1531	1848	-	318	7	10.3925
62_5	k141_7085	1845	2069	-	225	22	46.1626
63_1	k141_60178	1	369	-	369	1	1.27945
63_2	k141_60178	541	1443	+	903	9	4.70549
63_3	k141_60178	1491	1679	+	189	1	2.49797
63_4	k141_60178	1910	2929	+	1020	13	6.01718
63_5	k141_60178	3044	3211	+	168	0	0
64_1	k141_35396	2	169	+	168	0	0
64_2	k141_35396	559	1035	-	477	4	3.95905
65_1	k141_38949	54	779	-	726	2	1.3006
65_2	k141_38949	779	1546	-	768	7	4.30315
66_1	k141_63718	3	80	+	78	1	6.05278
66_2	k141_63718	150	1037	-	888	30	15.9499
66_3	k141_63718	1442	1912	+	471	24	24.0569
66_4	k141_63718	2007	2513	+	507	25	23.2799
66_5	k141_63718	2605	2724	-	120	11	43.2774
67_1	k141_3564	1	540	+	540	8	6.99433
67_2	k141_3564	583	1299	+	717	7	4.60923
67_3	k141_3564	1416	1664	+	249	3	5.68816
67_4	k141_3564	1691	2236	-	546	25	21.6171
68_1	k141_53108	2	1054	+	1053	11	4.9319
69_1	k141_17723	3	968	+	966	18	8.79722
69_2	k141_17723	984	1286	+	303	0	0
70_1	k141_31	2	304	-	303	2	3.11629
70_2	k141_31	474	932	+	459	12	12.3429
70_3	k141_31	1209	1751	-	543	5	4.3473
71_1	k141_35399	2	403	-	402	5	5.8721
71_2	k141_35399	419	928	-	510	3	2.77716
71_3	k141_35399	915	1943	-	1029	16	7.34099
72_1	k141_67255	3	254	-	252	0	0
72_2	k141_67255	229	1128	-	900	15	7.86862
72_3	k141_67255	1125	1499	-	375	1	1.25898
72_4	k141_67255	1654	2193	-	540	14	12.2401
73_1	k141_32	1	423	+	423	5	5.58058
73_2	k141_32	731	1147	+	417	10	11.3218
73_3	k141_32	1205	1387	+	183	1	2.57988
74_1	k141_63719	213	785	+	573	49	40.373
74_2	k141_63719	797	1585	+	789	62	37.0992
74_3	k141_63719	1582	1977	+	396	26	30.9976
74_4	k141_63719	2036	2191	-	156	37	111.977
74_5	k141_63719	2552	2695	+	144	12	39.3431
75_1	k141_60184	97	327	+	231	58	118.54
75_2	k141_60184	486	905	+	420	87	97.7957
75_3	k141_60184	905	1030	+	126	6	22.4818
76_1	k141_31873	1	528	-	528	6	5.36497
76_2	k141_31873	471	575	-	105	1	4.49635
76_3	k141_31873	572	1777	-	1206	22	8.61242
76_4	k141_31873	1802	1945	-	144	0	0
77_1	k141_3568	44	511	+	468	12	12.1056
77_2	k141_3568	1622	1822	-	201	6	14.0931
78_1	k141_46032	2	289	-	288	4	6.55718
78_2	k141_46032	430	1677	-	1248	27	10.2141
78_3	k141_46032	1689	2213	-	525	12	10.7913
78_4	k141_46032	2238	3044	-	807	11	6.4353
79_1	k141_53111	1	186	+	186	3	7.61479
79_2	k141_53111	347	1729	+	1383	20	6.82744
80_1	k141_38950	1	600	+	600	99	77.8993
80_2	k141_38950	588	881	+	294	53	85.1096
80_3	k141_38950	1100	1672	+	573	98	80.7461
80_4	k141_38950	1706	3049	+	1344	190	66.7428
80_5	k141_38950	3046	3504	+	459	58	59.6575
81_1	k141_33	2	964	+	963	8	3.92205
82_1	k141_60185	2	1558	+	1557	25	7.58056
82_2	k141_60185	1548	1973	+	426	7	7.75779
83_1	k141_3569	1	909	+	909	6	3.11629
83_2	k141_3569	974	2041	+	1068	22	9.72526
84_1	k141_56655	1	339	-	339	0	0
84_2	k141_56655	326	1210	-	885	7	3.73426
84_3	k141_56655	1429	1557	+	129	0	0
85_1	k141_49558	3	392	-	390	26	31.4745
85_2	k141_49558	407	1117	-	711	82	54.4495
85_3	k141_49558	1130	1888	-	759	120	74.643
85_4	k141_49558	1892	2947	-	1056	129	57.6734
85_5	k141_49558	2958	3845	-	888	133	70.7113
85_6	k141_49558	4094	5248	-	1155	198	80.9344
85_7	k141_49558	5678	6034	-	357	82	108.441
85_8	k141_49558	6082	6279	-	198	9	21.4599
85_9	k141_49558	6315	6809	-	495	102	97.2848
86_1	k141_24795	75	401	-	327	1	1.44378
87_1	k141_17724	2	511	+	510	12	11.1086
87_2	k141_17724	871	2220	-	1350	33	11.5406
87_3	k141_17724	2392	3261	+	870	13	7.05463
87_4	k141_17724	3292	4653	+	1362	33	11.439
87_5	k141_17724	4672	5454	+	783	25	15.074
88_1	k141_42483	126	629	-	504	28	26.2287
88_2	k141_42483	993	1577	+	585	30	24.2111
88_3	k141_42483	1583	1789	+	207	25	57.019
88_4	k141_42483	1895	2710	+	816	58	33.5574
88_5	k141_42483	2818	3462	-	645	49	35.8663
88_6	k141_42483	3515	3682	+	168	8	22.4818
88_7	k141_42483	3637	3741	-	105	0	0
88_8	k141_42483	3743	4447	-	705	45	30.1351
88_9	k141_42483	4571	5047	-	477	49	48.4984
88_10	k141_42483	5386	5736	-	351	30	40.3519
88_11	k141_42483	5940	6410	-	471	41	41.0973
88_12	k141_42483	6556	7170	-	615	41	31.4745
88_13	k141_42483	7167	7511	-	345	21	28.7376
88_14	k141_42483	7688	10204	-	2517	141	26.4476
88_15	k141_42483	10197	11447	-	1251	82	30.9461
89_1	k141_56656	2	790	+	789	11	6.58212
89_2	k141_56656	920	1654	+	735	4	2.56935
90_1	k141_53116	3	173	-	171	6	16.5655
90_2	k141_53116	271	1233	-	963	88	43.1426
90_3	k141_53116	1509	2012	-	504	36	33.7227
91_1	k141_31881	2	1498	+	1497	17	5.36138
92_1	k141_67265	2	475	-	474	5	4.98014
92_2	k141_67265	456	1115	-	660	11	7.86862
92_3	k141_67265	1454	2113	-	660	9	6.43796
93_1	k141_3574	276	701	+	426	9	9.97431
93_2	k141_3574	680	1054	+	375	11	13.8488
94_1	k141_35402	2	151	+	150	0	0
94_2	k141_35402	270	626	+	357	8	10.5797
94_3	k141_35402	813	950	+	138	2	6.84228
94_4	k141_35402	1118	4534	+	3417	71	9.80987
94_5	k141_35402	4605	4712	-	108	0	0
95_1	k141_24799	628	849	+	222	4	8.50662
95_2	k141_24799	849	1664	+	816	59	34.1359
95_3	k141_24799	1661	1870	+	210	22	49.4599
95_4	k141_24799	2006	2143	+	138	2	6.84228
96_1	k141_56657	162	1838	+	1677	28	7.8827
97_1	k141_44	1	747	-	747	20	12.6404
97_2	k141_44	928	1122	+	195	1	2.42111
97_3	k141_44	1287	1694	+	408	24	27.7716
98_1	k141_3575	2	262	+	261	0	0
98_2	k141_3575	286	1521	+	1236	3	1.14592
99_1	k141_10623	256	1128	+	873	34	18.3872
99_2	k141_10623	1252	1965	-	714	20	13.2246
99_3	k141_10623	2135	4045	-	1911	43	10.6233
99_4	k141_10623	4011	5393	-	1383	28	9.55841
99_5	k141_10623	5455	6249	-	795	16	9.50173
99_6	k141_10623	6262	7338	-	1077	19	8.3289
99_7	k141_10623	7371	7583	-	213	3	6.64954
99_8	k141_10623	7590	7931	-	342	12	16.5655
99_9	k141_10623	8490	9878	+	1389	42	14.2757
99_10	k141_10623	10183	11292	+	1110	43	18.2892
99_11	k141_10623	11468	11677	+	210	6	13.4891
99_12	k141_10623	11625	12758	+	1134	24	9.9919
99_13	k141_10623	12770	13798	+	1029	34	15.5996
100_1	k141_31887	1	489	+	489	1	0.965475
100_2	k141_31887	486	1682	+	1197	5	1.97209
100_3	k141_31887	1693	2253	+	561	8	6.73251
101_1	k141_7091	3	515	-	513	7	6.44215
101_2	k141_7091	570	947	-	378	8	9.9919
101_3	k141_7091	1147	1926	-	780	9	5.44751
101_4	k141_7091	1996	4188	-	2193	82	17.6533
101_5	k141_7091	4195	5313	-	1119	39	16.4545
101_6	k141_7091	5313	5717	-	405	22	25.6459
101_7	k141_7091	5727	6911	-	1185	50	19.9206
101_8	k141_7091	6941	8383	-	1443	65	21.2665
101_9	k141_7091	8370	8702	-	333	5	7.08885
101_10	k141_7091	8707	9228	-	522	16	14.471
101_11	k141_7091	9416	9625	-	210	14	31.4745
101_12	k141_7091	9622	10236	-	615	13	9.97971
102_1	k141_63721	110	580	+	471	24	24.0569
102_2	k141_63721	887	1819	+	933	28	14.1686
102_3	k141_63721	1982	2776	-	795	24	14.2526
102_4	k141_63721	2779	3693	-	915	43	22.1869
102_5	k141_63721	3783	4760	-	978	48	23.1714
102_6	k141_63721	4987	5751	+	765	30	18.5144
102_7	k141_63721	5896	6489	+	594	24	19.0754
102_8	k141_63721	6698	7135	+	438	7	7.54525
103_1	k141_60187	235	2385	-	2151	50	10.9744
103_2	k141_60187	2483	3517	-	1035	47	21.4391
103_3	k141_60187	3492	3785	-	294	14	22.4818
103_4	k141_60187	4046	4600	-	555	22	18.7146
103_5	k141_60187	4602	5738	-	1137	15	6.22846
103_6	k141_60187	5797	6021	-	225	16	33.5728
103_7	k141_60187	6032	6277	-	246	9	17.2726
103_8	k141_60187	6515	6766	+	252	8	14.9878
104_1	k141_49	2	1012	+	1011	6	2.80188
104_2	k141_49	1059	1184	+	126	3	11.2409
105_1	k141_3581	2	772	+	771	3	1.83703
105_2	k141_3581	783	971	+	189	8	19.9838
105_3	k141_3581	981	1232	+	252	0	0
106_1	k141_10627	2	1060	-	1059	9	4.01233
107_1	k141_53123	377	2428	+	2052	18	4.14138
107_2	k141_53123	2498	2770	-	273	0	0
108_1	k141_10631	68	919	+	852	0	0
108_2	k141_10631	916	1242	+	327	0	0
109_1	k141_42484	3	1223	-	1221	38	14.6932
109_2	k141_42484	1318	3054	-	1737	71	19.2978
109_3	k141_42484	3084	4103	-	1020	15	6.9429
109_4	k141_42484	4118	5182	-	1065	29	12.8558
109_5	k141_42484	5182	5577	-	396	14	16.691
109_6	k141_42484	5577	7337	-	1761	43	11.5281
109_7	k141_42484	7353	7706	-	354	5	6.66832
110_1	k141_7097	1	291	-	291	0	0
110_2	k141_7097	293	1198	-	906	0	0
111_1	k141_31889	3	158	+	156	2	6.05278
111_2	k141_31889	424	3459	+	3036	69	10.7299
112_1	k141_21254	3	305	-	303	8	12.4651
112_2	k141_21254	331	636	-	306	6	9.2572
112_3	k141_21254	763	1620	+	858	31	17.0578
112_4	k141_21254	1744	3516	+	1773	64	17.042
112_5	k141_21254	3516	4322	+	807	12	7.02033
112_6	k141_21254	4338	5210	-	873	37	20.0096
112_7	k141_21254	5222	6445	-	1224	49	18.9001
112_8	k141_21254	6459	7496	-	1038	43	19.5578
112_9	k141_21254	7932	9143	+	1212	45	17.5291
112_10	k141_21254	9183	10559	+	1377	55	18.8573
112_11	k141_21254	10581	11393	-	813	25	14.5177
112_12	k141_21254	11386	12144	-	759	13	8.08633
112_13	k141_21254	12218	13234	-	1017	43	19.9617
112_14	k141_21254	13340	14824	+	1485	55	17.4858
112_15	k141_21254	14845	16050	-	1206	37	14.4845
112_16	k141_21254	16091	16999	+	909	28	14.5427
112_17	k141_21254	17055	17453	+	399	5	5.91626
112_18	k141_21254	17464	18066	-	603	17	13.3101
112_19	k141_21254	18106	18777	+	672	20	14.0511
112_20	k141_21254	18746	19270	-	525	14	12.5898
113_1	k141_53127	2	70	-	69	1	6.84228
113_2	k141_53127	92	388	-	297	3	4.76886
113_3	k141_53127	402	986	-	585	7	5.64927
113_4	k141_53127	1092	1562	-	471	7	7.0166
114_1	k141_46033	3	1319	-	1317	48	17.207
114_2	k141_46033	1282	2709	-	1428	36	11.9021
114_3	k141_46033	2766	3824	-	1059	38	16.9409
114_4	k141_46033	3850	4095	-	246	22	42.2219
114_5	k141_46033	4758	5279	+	522	35	31.6554
114_6	k141_46033	5344	5535	+	192	4	9.83578
114_7	k141_46033	5715	7295	-	1581	112	33.4454
114_8	k141_46033	7598	7816	-	219	28	60.362
114_9	k141_46033	8232	8489	+	258	20	36.5982
114_10	k141_46033	8540	9328	+	789	26	15.5577
114_11	k141_46033	9365	10630	+	1266	60	22.3752
114_12	k141_46033	10712	11434	+	723	18	11.754
114_13	k141_46033	11779	11916	-	138	3	10.2634
115_1	k141_54	1	876	+	876	16	8.62315
115_2	k141_54	876	1040	+	165	0	0
116_1	k141_42488	2	490	+	489	4	3.8619
116_2	k141_42488	491	1786	+	1296	21	7.65005
117_1	k141_10635	2	1588	+	1587	60	17.8494
117_2	k141_10635	1637	1762	+	126	2	7.49392
117_3	k141_10635	2385	2969	+	585	11	8.87742
117_4	k141_10635	3047	3367	+	321	0	0
118_1	k141_49567	3	446	+	444	5	5.31664
118_2	k141_49567	1182	1448	-	267	16	28.2917
118_3	k141_49567	1754	2692	-	939	34	17.0948
118_4	k141_49567	2729	3472	-	744	21	13.3259
118_5	k141_49567	3652	4419	-	768	7	4.30315
118_6	k141_49567	4419	6602	-	2184	54	11.6732
118_7	k141_49567	6577	7479	-	903	5	2.61416
118_8	k141_49567	7472	7846	-	375	9	11.3308
118_9	k141_49567	8126	8857	-	732	17	10.9645
118_10	k141_49567	8953	9261	-	309	10	15.2789
119_1	k141_63725	1	225	+	225	2	4.1966
119_2	k141_63725	225	632	+	408	7	8.10005
119_3	k141_63725	696	968	+	273	2	3.45873
119_4	k141_63725	1042	1659	+	618	13	9.93127
119_5	k141_63725	1674	2876	+	1203	32	12.5584
119_6	k141_63725	2976	3224	+	249	7	13.2724
119_7	k141_63725	3409	4767	+	1359	27	9.37981
119_8	k141_63725	4846	5454	+	609	22	17.0551
119_9	k141_63725	5499	5897	+	399	16	18.932
119_10	k141_63725	5890	6381	+	492	15	14.3938
119_11	k141_63725	6512	7327	+	816	32	18.5144
119_12	k141_63725	7356	7418	+	63	0	0
120_1	k141_10636	2	1858	-	1857	25	6.35591
121_1	k141_7103	236	679	+	444	9	9.56994
121_2	k141_7103	707	1576	+	870	35	18.9932
121_3	k141_7103	1580	2413	+	834	23	13.02
121_4	k141_7103	2432	3109	+	678	6	4.17803
121_5	k141_7103	3129	3650	+	522	5	4.5222
122_1	k141_57	1	570	+	570	95	78.6862
122_2	k141_57	575	1738	+	1164	135	54.7559
122_3	k141_57	1748	2803	-	1056	199	88.9691
122_4	k141_57	2908	3270	-	363	105	136.563
122_5	k141_57	3483	4325	-	843	181	101.368
123_1	k141_49570	3	581	+	579	17	13.8618
123_2	k141_49570	666	1124	+	459	17	17.4858
124_1	k141_60190	3	332	-	330	5	7.15329
124_2	k141_60190	757	1245	+	489	16	15.4476
124_3	k141_60190	1278	1832	+	555	17	14.4612
124_4	k141_60190	1908	2663	-	756	28	17.4858
124_5	k141_60190	3302	3625	+	324	14	20.4001
124_6	k141_60190	3592	4665	+	1074	64	28.1336
124_7	k141_60190	4649	5122	+	474	22	21.9126
124_8	k141_60190	5170	5496	-	327	19	27.4319
124_9	k141_60190	5709	6563	+	855	28	15.4611
124_10	k141_60190	6583	7467	+	885	32	17.0709
124_11	k141_60190	7485	7715	+	231	13	26.5694
125_1	k141_67267	1	447	+	447	69	72.8772
125_2	k141_67267	524	1354	-	831	117	66.4714
125_3	k141_67267	1582	1929	-	348	79	107.176
125_4	k141_67267	2060	2287	-	228	59	122.171
125_5	k141_67267	2640	3212	+	573	66	54.38
125_6	k141_67267	3260	4792	-	1533	164	50.507
125_7	k141_67267	4818	5459	-	642	72	52.9477
125_8	k141_67267	5462	6184	-	723	75	48.9748
125_9	k141_67267	6184	7518	-	1335	174	61.5344
125_10	k141_67267	7849	8736	-	888	154	81.8762
125_11	k141_67267	9020	9556	-	537	104	91.4342
125_12	k141_67267	9695	10654	-	960	181	89.0138
125_13	k141_67267	10801	11394	-	594	89	70.7381
125_14	k141_67267	11426	11821	-	396	69	82.2629
125_15	k141_67267	11984	12352	-	369	56	71.6492
126_1	k141_42492	179	1651	+	1473	38	12.1795
126_2	k141_42492	1742	2014	+	273	5	8.64684
126_3	k141_42492	2074	2787	+	714	29	19.1756
126_4	k141_42492	2850	3092	+	243	0	0
127_1	k141_59	3	185	+	183	0	0
127_2	k141_59	187	936	+	750	3	1.88847
127_3	k141_59	941	1126	+	186	0	0
128_1	k141_60191	2	853	-	852	15	8.31192
128_2	k141_60191	1184	1915	+	732	20	12.8994
129_1	k141_38952	576	2279	-	1704	98	27.1523
129_2	k141_38952	2688	4046	-	1359	83	28.8342
129_3	k141_38952	4208	7663	+	3456	202	27.5948
129_4	k141_38952	7751	8740	+	990	70	33.382
129_5	k141_38952	8812	10164	+	1353	105	36.6388
129_6	k141_38952	10218	10865	+	648	30	21.8573
129_7	k141_38952	10888	11661	+	774	24	14.6393
129_8	k141_38952	11662	12093	+	432	21	22.9501
129_9	k141_38952	12095	13081	+	987	25	11.9584
129_10	k141_38952	13186	13836	+	651	41	29.734
129_11	k141_38952	13949	14902	+	954	47	23.2594
129_12	k141_38952	14918	15898	+	981	45	21.6568
129_13	k141_38952	15944	16276	+	333	5	7.08885
129_14	k141_38952	16280	17044	+	765	30	18.5144
