# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Stool_10_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Stool_10/A17_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Stool_10/A17_2.bam	RPKG
74_5	k141_76495	5376	6728	+	1353	27	0.00819321
74_6	k141_76495	6811	7881	+	1071	7	0.00268347
74_7	k141_76495	7938	8684	+	747	6	0.00329776
74_8	k141_76495	8678	10822	+	2145	18	0.00344535
74_9	k141_76495	10832	11716	+	885	7	0.00324745
74_10	k141_76495	11720	12376	+	657	3	0.00187475
74_11	k141_76495	12380	13030	+	651	1	0.000630677
74_12	k141_76495	13052	14110	+	1059	5	0.00193848
75_1	k141_114750	1	318	+	318	0	0
75_2	k141_114750	430	1512	-	1083	1	0.000379105
75_3	k141_114750	1613	1732	-	120	0	0
76_1	k141_47834	3	284	-	282	11	0.0160152
76_2	k141_47834	648	1181	-	534	9	0.00691974
76_3	k141_47834	1383	1859	-	477	0	0
77_1	k141_143429	3	398	-	396	7	0.00725757
77_2	k141_143429	573	1613	-	1041	0	0
78_1	k141_9582	33	1307	-	1275	54	0.0173889
79_1	k141_57395	1	462	-	462	0	0
79_2	k141_57395	610	1428	-	819	0	0
79_3	k141_57395	1479	1622	-	144	0	0
79_4	k141_57395	1896	2039	-	144	12	0.0342142
80_1	k141_181671	111	1178	-	1068	10	0.0038443
80_2	k141_181671	1247	1987	+	741	4	0.00221631
80_3	k141_181671	2049	2915	+	867	16	0.00757686
80_4	k141_181671	2916	4826	+	1911	24	0.00515631
80_5	k141_181671	4912	5922	-	1011	1	0.000406104
80_6	k141_181671	6102	6536	+	435	0	0
80_7	k141_181671	6562	7698	+	1137	19	0.0068609
80_8	k141_181671	7722	8810	+	1089	7	0.00263912
80_9	k141_181671	8835	9677	+	843	2	0.000974071
80_10	k141_181671	9782	10543	+	762	4	0.00215523
80_11	k141_181671	10571	11401	+	831	7	0.00345848
80_12	k141_181671	11446	12933	+	1488	12	0.00331106
80_13	k141_181671	12952	14169	+	1218	5	0.00168543
81_1	k141_38269	2	1546	-	1545	34	0.00903522
82_1	k141_114752	2	220	-	219	16	0.0299961
82_2	k141_114752	217	801	-	585	96	0.0673758
82_3	k141_114752	972	1250	-	279	49	0.0721074
83_1	k141_19137	15	590	-	576	39	0.0277991
83_2	k141_19137	592	1215	-	624	67	0.0440837
83_3	k141_19137	1181	1408	-	228	12	0.021609
83_4	k141_19137	1528	1677	-	150	4	0.0109486
84_1	k141_9584	3	1271	+	1269	0	0
84_2	k141_9584	1291	1434	+	144	0	0
85_1	k141_18	62	511	-	450	15	0.0136857
85_2	k141_18	547	1122	-	576	16	0.0114047
85_3	k141_18	1156	2124	-	969	36	0.0152534
85_4	k141_18	2146	2460	-	315	13	0.0169442
85_5	k141_18	2570	3577	-	1008	67	0.0272899
85_6	k141_18	3887	4495	+	609	31	0.0208993
85_7	k141_18	4545	5117	+	573	68	0.048724
85_8	k141_18	5120	5542	+	423	24	0.0232948
85_9	k141_18	5843	6391	+	549	11	0.00822638
85_10	k141_18	6392	6487	-	96	5	0.0213839
85_11	k141_18	6536	9478	-	2943	519	0.0724045
85_12	k141_18	9755	10801	+	1047	35	0.0137249
85_13	k141_18	10788	11876	-	1089	48	0.0180968
85_14	k141_18	11985	13061	-	1077	33	0.0125802
85_15	k141_18	13156	14685	-	1530	365	0.0979467
85_16	k141_18	14830	15135	-	306	17	0.0228095
86_1	k141_57396	428	973	+	546	4	0.00300785
86_2	k141_57396	988	1422	+	435	1	0.000943841
87_1	k141_124314	2	2137	-	2136	2	0.00038443
87_2	k141_124314	2137	2268	-	132	0	0
88_1	k141_28683	1	777	+	777	58	0.0306475
88_2	k141_28683	1268	1597	-	330	31	0.0385688
88_3	k141_28683	2151	6428	-	4278	146	0.014012
88_4	k141_28683	6636	11177	-	4542	140	0.0126552
88_5	k141_28683	11380	12669	-	1290	51	0.0162319
88_6	k141_28683	12726	14390	-	1665	80	0.0197271
88_7	k141_28683	14615	16876	-	2262	119	0.0215994
88_8	k141_28683	17027	18208	+	1182	50	0.0173676
88_9	k141_28683	18237	19208	+	972	33	0.0139391
88_10	k141_28683	19326	19817	+	492	17	0.0141864
88_11	k141_28683	20145	21905	+	1761	65	0.0151545
88_12	k141_28683	21977	22972	+	996	44	0.0181377
88_13	k141_28683	23003	24361	+	1359	54	0.0163141
88_14	k141_28683	24533	25264	+	732	38	0.0213138
89_1	k141_47835	2	346	-	345	0	0
89_2	k141_47835	371	1120	-	750	1	0.000547428
89_3	k141_47835	1212	2216	-	1005	5	0.00204264
89_4	k141_47835	2217	2834	-	618	0	0
89_5	k141_47835	2835	3350	-	516	2	0.00159136
90_1	k141_38271	1	1341	-	1341	2149	0.657955
91_1	k141_114754	1	855	+	855	1	0.0004802
91_2	k141_114754	842	1765	+	924	8	0.00355473
91_3	k141_114754	1767	2000	+	234	0	0
92_1	k141_124315	1	1092	+	1092	12	0.00451177
93_1	k141_76501	94	798	-	705	11	0.00640607
93_2	k141_76501	1074	2267	+	1194	17	0.00584565
94_1	k141_9588	1	1038	+	1038	1	0.00039554
95_1	k141_172104	296	1096	+	801	21	0.010764
95_2	k141_172104	1206	1598	-	393	19	0.0198495
95_3	k141_172104	1606	2241	-	636	16	0.0103288
95_4	k141_172104	2439	2537	+	99	4	0.0165887
95_5	k141_172104	3379	3981	+	603	35	0.0238308
95_6	k141_172104	3996	4559	+	564	25	0.0181991
95_7	k141_172104	4750	8034	-	3285	194	0.0242468
95_8	k141_172104	8086	9405	-	1320	83	0.0258162
95_9	k141_172104	10002	10982	+	981	43	0.0179965
95_10	k141_172104	10987	12138	+	1152	79	0.0281555
95_11	k141_172104	12358	13893	+	1536	84	0.0224531
95_12	k141_172104	14078	14938	+	861	64	0.0305186
95_13	k141_172104	15073	15696	+	624	35	0.0230288
95_14	k141_172104	15774	16175	+	402	16	0.0163411
95_15	k141_172104	16267	17445	+	1179	51	0.0177601
95_16	k141_172104	18663	18770	-	108	10	0.0380158
96_1	k141_105189	3	137	+	135	3	0.0091238
96_2	k141_105189	174	824	-	651	46	0.0290112
96_3	k141_105189	834	1853	-	1020	95	0.0382395
96_4	k141_105189	2099	2239	-	141	28	0.0815318
96_5	k141_105189	2458	2571	-	114	19	0.0684285
96_6	k141_105189	2651	3061	-	411	53	0.0529447
96_7	k141_105189	3124	4569	-	1446	141	0.0400349
96_8	k141_105189	4591	5943	-	1353	110	0.0333798
96_9	k141_105189	6031	8073	-	2043	150	0.0301447
96_10	k141_105189	8214	8342	-	129	10	0.0318272
97_1	k141_124316	1	1272	+	1272	1	0.000322776
98_1	k141_19142	1	249	+	249	18	0.0296798
98_2	k141_19142	475	1503	-	1029	88	0.035112
98_3	k141_19142	1496	1879	-	384	25	0.0267299
99_1	k141_28685	2	2380	+	2379	462	0.0797326
100_1	k141_76503	2	103	-	102	1	0.00402521
100_2	k141_76503	215	577	-	363	10	0.0113105
100_3	k141_76503	543	1556	-	1014	342	0.138477
101_1	k141_9591	2	94	+	93	0	0
101_2	k141_9591	264	1085	+	822	24	0.0119875
101_3	k141_9591	1128	1517	+	390	6	0.00631648
102_1	k141_66945	2	463	+	462	7	0.00622077
102_2	k141_66945	588	1931	+	1344	18	0.00549872
102_3	k141_66945	2087	3349	-	1263	13	0.00422599
102_4	k141_66945	3538	4212	+	675	5	0.00304127
102_5	k141_66945	4366	5175	-	810	7	0.00354814
102_6	k141_66945	5281	6639	-	1359	16	0.0048338
102_7	k141_66945	7038	7445	+	408	8	0.00805041
103_1	k141_143435	46	222	-	177	2	0.00463922
103_2	k141_143435	237	752	-	516	24	0.0190963
103_3	k141_143435	890	1492	-	603	10	0.00680881
103_4	k141_143435	1489	2310	-	822	19	0.00949008
103_5	k141_143435	2510	3886	+	1377	24	0.00715592
104_1	k141_19144	1	960	+	960	8	0.00342142
104_2	k141_19144	962	1963	+	1002	2	0.000819503
105_1	k141_124318	3	281	-	279	5	0.0073579
105_2	k141_124318	295	1527	-	1233	13	0.00432881
106_1	k141_28686	1	348	+	348	10	0.011798
106_2	k141_28686	504	1322	-	819	524	0.262685
107_1	k141_105192	2	295	+	294	2	0.002793
107_2	k141_105192	281	1561	-	1281	25	0.0080127
108_1	k141_38277	3	140	+	138	90	0.267764
108_2	k141_38277	238	870	+	633	477	0.309388
108_3	k141_38277	885	1508	+	624	226	0.1487
108_4	k141_38277	1508	1804	+	297	247	0.341451
108_5	k141_38277	1882	2391	+	510	302	0.243122
109_1	k141_181674	307	1188	+	882	16	0.007448
109_2	k141_181674	1181	2914	+	1734	19	0.00449876
109_3	k141_181674	2943	5045	+	2103	22	0.00429508
109_4	k141_181674	5144	5446	-	303	6	0.00813012
110_1	k141_19145	3	683	+	681	5	0.00301447
110_2	k141_19145	699	1241	+	543	4	0.00302446
111_1	k141_76505	35	238	-	204	3	0.00603781
111_2	k141_76505	253	468	-	216	12	0.0228095
111_3	k141_76505	1126	1590	+	465	7	0.00618064
111_4	k141_76505	1587	2018	+	432	9	0.00855356
111_5	k141_76505	2069	2287	+	219	0	0
112_1	k141_28687	2	1243	+	1242	104	0.0343795
113_1	k141_31	84	1697	+	1614	37	0.0094121
113_2	k141_31	1713	2597	+	885	11	0.00510314
113_3	k141_31	2726	2866	+	141	0	0
114_1	k141_9599	1	564	+	564	423	0.307928
114_2	k141_9599	719	1339	-	621	545	0.360324
114_3	k141_9599	1377	1577	-	201	21	0.0428955
115_1	k141_66947	2	838	+	837	0	0
115_2	k141_66947	957	2420	-	1464	14	0.00392623
115_3	k141_66947	2417	3181	-	765	5	0.00268347
116_1	k141_28688	2	277	+	276	2	0.00297515
116_2	k141_28688	368	1429	+	1062	6	0.00231961
117_1	k141_105199	2	217	+	216	2	0.00380158
117_2	k141_105199	581	1000	-	420	0	0
118_1	k141_47838	2	1603	+	1602	602	0.154284
118_2	k141_47838	1833	3992	+	2160	1885	0.358299
118_3	k141_47838	4132	5442	-	1311	1000	0.313174
118_4	k141_47838	5452	5934	-	483	420	0.357018
118_5	k141_47838	5972	6109	-	138	88	0.261813
119_1	k141_105200	2	100	-	99	0	0
119_2	k141_105200	100	294	-	195	1	0.00210549
119_3	k141_105200	334	1140	-	807	11	0.00559638
120_1	k141_28689	2	886	-	885	59	0.0273714
120_2	k141_28689	1272	1424	-	153	5	0.0134174
121_1	k141_19152	1	966	+	966	8	0.00340017
122_1	k141_9601	2	286	+	285	1	0.0014406
122_2	k141_9601	298	1371	+	1074	8	0.00305826
122_3	k141_9601	1593	1718	+	126	2	0.006517
123_1	k141_143443	2	790	+	789	3	0.00156111
123_2	k141_143443	910	2304	+	1395	9	0.00264885
123_3	k141_143443	2537	2806	+	270	2	0.00304127
124_1	k141_34	3	503	+	501	9	0.00737553
124_2	k141_34	516	1037	+	522	10	0.00786534
125_1	k141_86061	201	665	+	465	7	0.00618064
125_2	k141_86061	680	1036	+	357	11	0.0126506
125_3	k141_86061	1509	2348	-	840	26	0.0127081
125_4	k141_86061	2577	4535	-	1959	37	0.00775453
125_5	k141_86061	4944	5684	+	741	14	0.00775708
125_6	k141_86061	5924	6820	+	897	26	0.0119006
125_7	k141_86061	6831	7676	+	846	21	0.0101915
125_8	k141_86061	7880	9871	-	1992	51	0.0105116
125_9	k141_86061	9981	10859	-	879	16	0.00747342
125_10	k141_86061	10990	11706	-	717	0	0
126_1	k141_28690	2	487	+	486	6	0.00506878
126_2	k141_28690	501	1502	+	1002	19	0.00778528
127_1	k141_172105	111	566	+	456	12	0.0108045
127_2	k141_172105	841	1089	+	249	7	0.0115422
127_3	k141_172105	1170	2024	-	855	66	0.0316932
127_4	k141_172105	2331	3731	+	1401	80	0.0234445
127_5	k141_172105	3882	5093	+	1212	55	0.0186315
127_6	k141_172105	5228	7468	+	2241	108	0.0197866
128_1	k141_181678	2	1894	+	1893	12	0.00260267
128_2	k141_181678	1952	2725	+	774	19	0.0100786
128_3	k141_181678	2782	3597	-	816	6	0.0030189
129_1	k141_19156	3	539	+	537	5	0.00382282
129_2	k141_19156	508	1053	+	546	4	0.00300785
130_1	k141_66955	837	1310	-	474	17	0.0147251
131_1	k141_28691	3	650	+	648	5	0.00316799
131_2	k141_28691	934	1674	-	741	13	0.007203
132_1	k141_9605	614	1324	-	711	70	0.0404219
133_1	k141_172110	34	318	-	285	0	0
133_2	k141_172110	393	956	+	564	0	0
133_3	k141_172110	943	1014	+	72	0	0
134_1	k141_124331	1	807	-	807	66	0.0335783
134_2	k141_124331	800	1699	-	900	60	0.0273714
134_3	k141_124331	1719	3284	-	1566	147	0.0385402
134_4	k141_124331	3462	4049	-	588	32	0.022344
135_1	k141_38278	213	1301	+	1089	40	0.0150807
135_2	k141_38278	1317	5219	+	3903	149	0.0156739
135_3	k141_38278	5363	5797	+	435	19	0.017933
135_4	k141_38278	5889	6449	+	561	19	0.0139053
135_5	k141_38278	6666	7868	+	1203	559	0.190781
136_1	k141_114759	1	1950	-	1950	22	0.00463208
136_2	k141_114759	2067	2915	+	849	4	0.00193437
136_3	k141_114759	2971	4302	+	1332	14	0.00431531
136_4	k141_114759	4371	4928	-	558	0	0
136_5	k141_114759	5014	5457	-	444	1	0.000924709
136_6	k141_114759	5488	6006	-	519	2	0.00158216
136_7	k141_114759	6018	6419	-	402	4	0.00408528
136_8	k141_114759	6437	6886	-	450	3	0.00273714
136_9	k141_114759	7042	7296	-	255	0	0
136_10	k141_114759	7391	8491	-	1101	8	0.00298326
136_11	k141_114759	9129	10073	-	945	4	0.00173787
136_12	k141_114759	10088	10948	-	861	5	0.00238427
137_1	k141_105212	3	1052	+	1050	13	0.00508326
138_1	k141_152992	434	3724	+	3291	771	0.0961866
138_2	k141_152992	3754	4458	+	705	175	0.101915
138_3	k141_152992	4486	4608	-	123	32	0.106815
138_4	k141_152992	4621	4785	-	165	24	0.0597194
138_5	k141_152992	4778	5215	-	438	109	0.102174
138_6	k141_152992	5194	5466	-	273	130	0.19551
138_7	k141_152992	6018	8099	+	2082	531	0.104713
