"Seq_run"	"R1"	"R2"	"SequenceNum"	"WellName"	"plate"	"sampleType"	"S"	"samplename"	"R1_filename"	"R2_filename"	"SequencingName"	"Subject"	"Main"	"Set"	"Type"	"Pellet"	"Super"	"co_assembly"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A7-BC1-BiomeHealth_468_S82_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A7-BC1-BiomeHealth_468_S82_R2_001.fastq.gz"	"468"	"A7"	"BC1"	"BiomeHealth"	"S82"	"A7_1"	"A7-BC1-BiomeHealth_468_S82_R1_001.fastq.gz"	"A7-BC1-BiomeHealth_468_S82_R2_001.fastq.gz"	"A7-BC1-BiomeHealth_468_S82"	"2"	2468	"Saliva"	"Saliva"	"2468"	"2468"	"Saliva_2"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A9-BC1-BiomeHealth_469_S83_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/A9-BC1-BiomeHealth_469_S83_R2_001.fastq.gz"	"469"	"A9"	"BC1"	"BiomeHealth"	"S83"	"A9_1"	"A9-BC1-BiomeHealth_469_S83_R1_001.fastq.gz"	"A9-BC1-BiomeHealth_469_S83_R2_001.fastq.gz"	"A9-BC1-BiomeHealth_469_S83"	"3"	2469	"Saliva"	"Saliva"	"2469"	"2469"	"Saliva_3"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B15-BC2-BiomeHealth_162_S189_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B15-BC2-BiomeHealth_162_S189_R2_001.fastq.gz"	"162"	"B15"	"BC2"	"BiomeHealth"	"S189"	"B15_1"	"B15-BC2-BiomeHealth_162_S189_R1_001.fastq.gz"	"B15-BC2-BiomeHealth_162_S189_R2_001.fastq.gz"	"B15-BC2-BiomeHealth_162_S189"	"4"	1162	"4"	"Capsule 3"	"1322"	"1484"	"Capsule_4"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B17-BC2-BiomeHealth_170_S190_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B17-BC2-BiomeHealth_170_S190_R2_001.fastq.gz"	"170"	"B17"	"BC2"	"BiomeHealth"	"S190"	"B17_1"	"B17-BC2-BiomeHealth_170_S190_R1_001.fastq.gz"	"B17-BC2-BiomeHealth_170_S190_R2_001.fastq.gz"	"B17-BC2-BiomeHealth_170_S190"	"5"	1170	"2"	"Capsule 2"	"1330"	"1492"	"Capsule_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B19-BC2-BiomeHealth_178_S191_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B19-BC2-BiomeHealth_178_S191_R2_001.fastq.gz"	"178"	"B19"	"BC2"	"BiomeHealth"	"S191"	"B19_1"	"B19-BC2-BiomeHealth_178_S191_R1_001.fastq.gz"	"B19-BC2-BiomeHealth_178_S191_R2_001.fastq.gz"	"B19-BC2-BiomeHealth_178_S191"	"5"	1178	"4"	"Capsule 3"	"1338"	"1500"	"Capsule_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B23-BC2-BiomeHealth_144_S193_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/B23-BC2-BiomeHealth_144_S193_R2_001.fastq.gz"	"144"	"B23"	"BC2"	"BiomeHealth"	"S193"	"B23_1"	"B23-BC2-BiomeHealth_144_S193_R1_001.fastq.gz"	"B23-BC2-BiomeHealth_144_S193_R2_001.fastq.gz"	"B23-BC2-BiomeHealth_144_S193"	"3"	1144	"4"	"Capsule 1"	"1304"	"1466"	"Capsule_3"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C11-BC1-BiomeHealth_478_S96_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C11-BC1-BiomeHealth_478_S96_R2_001.fastq.gz"	"478"	"C11"	"BC1"	"BiomeHealth"	"S96"	"C11_1"	"C11-BC1-BiomeHealth_478_S96_R1_001.fastq.gz"	"C11-BC1-BiomeHealth_478_S96_R2_001.fastq.gz"	"C11-BC1-BiomeHealth_478_S96"	"1"	2478	"Stool"	"Stool"	"2478"	"2478"	"Stool_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C13-BC1-BiomeHealth_479_S97_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C13-BC1-BiomeHealth_479_S97_R2_001.fastq.gz"	"479"	"C13"	"BC1"	"BiomeHealth"	"S97"	"C13_1"	"C13-BC1-BiomeHealth_479_S97_R1_001.fastq.gz"	"C13-BC1-BiomeHealth_479_S97_R2_001.fastq.gz"	"C13-BC1-BiomeHealth_479_S97"	"3"	2479	"Stool"	"Stool"	"2479"	"2479"	"Stool_3"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C15-BC1-BiomeHealth_480_S98_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C15-BC1-BiomeHealth_480_S98_R2_001.fastq.gz"	"480"	"C15"	"BC1"	"BiomeHealth"	"S98"	"C15_1"	"C15-BC1-BiomeHealth_480_S98_R1_001.fastq.gz"	"C15-BC1-BiomeHealth_480_S98_R2_001.fastq.gz"	"C15-BC1-BiomeHealth_480_S98"	"3"	2480	"Stool"	"Stool"	"2480"	"2480"	"Stool_3"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C17-BC1-BiomeHealth_481_S99_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C17-BC1-BiomeHealth_481_S99_R2_001.fastq.gz"	"481"	"C17"	"BC1"	"BiomeHealth"	"S99"	"C17_1"	"C17-BC1-BiomeHealth_481_S99_R1_001.fastq.gz"	"C17-BC1-BiomeHealth_481_S99_R2_001.fastq.gz"	"C17-BC1-BiomeHealth_481_S99"	"4"	2481	"Stool"	"Stool"	"2481"	"2481"	"Stool_4"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C19-BC1-BiomeHealth_482_S100_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C19-BC1-BiomeHealth_482_S100_R2_001.fastq.gz"	"482"	"C19"	"BC1"	"BiomeHealth"	"S100"	"C19_1"	"C19-BC1-BiomeHealth_482_S100_R1_001.fastq.gz"	"C19-BC1-BiomeHealth_482_S100_R2_001.fastq.gz"	"C19-BC1-BiomeHealth_482_S100"	"4"	2482	"Stool"	"Stool"	"2482"	"2482"	"Stool_4"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C1-BC1-control_3_S91_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C1-BC1-control_3_S91_R2_001.fastq.gz"	"3"	"C1"	"BC1"	"control"	"S91"	"C1_1"	"C1-BC1-control_3_S91_R1_001.fastq.gz"	"C1-BC1-control_3_S91_R2_001.fastq.gz"	"C1-BC1-control_3_S91"	"Control_1"	NA	NA	NA	NA	NA	NA
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C21-BC1-BiomeHealth_483_S101_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C21-BC1-BiomeHealth_483_S101_R2_001.fastq.gz"	"483"	"C21"	"BC1"	"BiomeHealth"	"S101"	"C21_1"	"C21-BC1-BiomeHealth_483_S101_R1_001.fastq.gz"	"C21-BC1-BiomeHealth_483_S101_R2_001.fastq.gz"	"C21-BC1-BiomeHealth_483_S101"	"5"	2483	"Stool"	"Stool"	"2483"	"2483"	"Stool_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C23-BC1-BiomeHealth_484_S102_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C23-BC1-BiomeHealth_484_S102_R2_001.fastq.gz"	"484"	"C23"	"BC1"	"BiomeHealth"	"S102"	"C23_1"	"C23-BC1-BiomeHealth_484_S102_R1_001.fastq.gz"	"C23-BC1-BiomeHealth_484_S102_R2_001.fastq.gz"	"C23-BC1-BiomeHealth_484_S102"	"5"	2484	"Stool"	"Stool"	"2484"	"2484"	"Stool_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C3-BC1-control_4_S92_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C3-BC1-control_4_S92_R2_001.fastq.gz"	"4"	"C3"	"BC1"	"control"	"S92"	"C3_1"	"C3-BC1-control_4_S92_R1_001.fastq.gz"	"C3-BC1-control_4_S92_R2_001.fastq.gz"	"C3-BC1-control_4_S92"	"Control_1"	NA	NA	NA	NA	NA	NA
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C5-BC1-BiomeHealth_475_S93_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C5-BC1-BiomeHealth_475_S93_R2_001.fastq.gz"	"475"	"C5"	"BC1"	"BiomeHealth"	"S93"	"C5_1"	"C5-BC1-BiomeHealth_475_S93_R1_001.fastq.gz"	"C5-BC1-BiomeHealth_475_S93_R2_001.fastq.gz"	"C5-BC1-BiomeHealth_475_S93"	"1"	2475	"Stool"	"Stool"	"2475"	"2475"	"Stool_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C7-BC1-BiomeHealth_476_S94_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C7-BC1-BiomeHealth_476_S94_R2_001.fastq.gz"	"476"	"C7"	"BC1"	"BiomeHealth"	"S94"	"C7_1"	"C7-BC1-BiomeHealth_476_S94_R1_001.fastq.gz"	"C7-BC1-BiomeHealth_476_S94_R2_001.fastq.gz"	"C7-BC1-BiomeHealth_476_S94"	"2"	2476	"Stool"	"Stool"	"2476"	"2476"	"Stool_2"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C9-BC1-BiomeHealth_477_S95_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/C9-BC1-BiomeHealth_477_S95_R2_001.fastq.gz"	"477"	"C9"	"BC1"	"BiomeHealth"	"S95"	"C9_1"	"C9-BC1-BiomeHealth_477_S95_R1_001.fastq.gz"	"C9-BC1-BiomeHealth_477_S95_R2_001.fastq.gz"	"C9-BC1-BiomeHealth_477_S95"	"2"	2477	"Stool"	"Stool"	"2477"	"2477"	"Stool_2"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D15-BC2-BiomeHealth_163_S201_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D15-BC2-BiomeHealth_163_S201_R2_001.fastq.gz"	"163"	"D15"	"BC2"	"BiomeHealth"	"S201"	"D15_1"	"D15-BC2-BiomeHealth_163_S201_R1_001.fastq.gz"	"D15-BC2-BiomeHealth_163_S201_R2_001.fastq.gz"	"D15-BC2-BiomeHealth_163_S201"	"4"	1163	"4"	"Capsule 4"	"1323"	"1485"	"Capsule_4"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D17-BC2-BiomeHealth_171_S202_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D17-BC2-BiomeHealth_171_S202_R2_001.fastq.gz"	"171"	"D17"	"BC2"	"BiomeHealth"	"S202"	"D17_1"	"D17-BC2-BiomeHealth_171_S202_R1_001.fastq.gz"	"D17-BC2-BiomeHealth_171_S202_R2_001.fastq.gz"	"D17-BC2-BiomeHealth_171_S202"	"5"	1171	"2"	"Capsule 3"	"1331"	"1493"	"Capsule_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D19-BC2-BiomeHealth_179_S203_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D19-BC2-BiomeHealth_179_S203_R2_001.fastq.gz"	"179"	"D19"	"BC2"	"BiomeHealth"	"S203"	"D19_1"	"D19-BC2-BiomeHealth_179_S203_R1_001.fastq.gz"	"D19-BC2-BiomeHealth_179_S203_R2_001.fastq.gz"	"D19-BC2-BiomeHealth_179_S203"	"5"	1179	"4"	"Capsule 4"	"1339"	"1501"	"Capsule_5"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D23-BC2-BiomeHealth_148_S205_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/D23-BC2-BiomeHealth_148_S205_R2_001.fastq.gz"	"148"	"D23"	"BC2"	"BiomeHealth"	"S205"	"D23_1"	"D23-BC2-BiomeHealth_148_S205_R1_001.fastq.gz"	"D23-BC2-BiomeHealth_148_S205_R2_001.fastq.gz"	"D23-BC2-BiomeHealth_148_S205"	"3"	1148	"5"	"Capsule 1"	"1308"	"1470"	"Capsule_3"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E11-BC1-BiomeHealth_94_S108_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E11-BC1-BiomeHealth_94_S108_R2_001.fastq.gz"	"94"	"E11"	"BC1"	"BiomeHealth"	"S108"	"E11_1"	"E11-BC1-BiomeHealth_94_S108_R1_001.fastq.gz"	"E11-BC1-BiomeHealth_94_S108_R2_001.fastq.gz"	"E11-BC1-BiomeHealth_94_S108"	"2"	1094	"2"	"Capsule 4"	"1254"	"1416"	"Capsule_2"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E13-BC1-BiomeHealth_95_S109_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E13-BC1-BiomeHealth_95_S109_R2_001.fastq.gz"	"95"	"E13"	"BC1"	"BiomeHealth"	"S109"	"E13_1"	"E13-BC1-BiomeHealth_95_S109_R1_001.fastq.gz"	"E13-BC1-BiomeHealth_95_S109_R2_001.fastq.gz"	"E13-BC1-BiomeHealth_95_S109"	"1"	1095	"2"	"Capsule 1"	"1255"	"1417"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E15-BC1-BiomeHealth_96_S110_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E15-BC1-BiomeHealth_96_S110_R2_001.fastq.gz"	"96"	"E15"	"BC1"	"BiomeHealth"	"S110"	"E15_1"	"E15-BC1-BiomeHealth_96_S110_R1_001.fastq.gz"	"E15-BC1-BiomeHealth_96_S110_R2_001.fastq.gz"	"E15-BC1-BiomeHealth_96_S110"	"1"	1096	"3"	"Capsule 1"	"1256"	"1418"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E17-BC1-BiomeHealth_97_S111_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E17-BC1-BiomeHealth_97_S111_R2_001.fastq.gz"	"97"	"E17"	"BC1"	"BiomeHealth"	"S111"	"E17_1"	"E17-BC1-BiomeHealth_97_S111_R1_001.fastq.gz"	"E17-BC1-BiomeHealth_97_S111_R2_001.fastq.gz"	"E17-BC1-BiomeHealth_97_S111"	"1"	1097	"3"	"Capsule 2"	"1257"	"1419"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E19-BC1-BiomeHealth_98_S112_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E19-BC1-BiomeHealth_98_S112_R2_001.fastq.gz"	"98"	"E19"	"BC1"	"BiomeHealth"	"S112"	"E19_1"	"E19-BC1-BiomeHealth_98_S112_R1_001.fastq.gz"	"E19-BC1-BiomeHealth_98_S112_R2_001.fastq.gz"	"E19-BC1-BiomeHealth_98_S112"	"1"	1098	"3"	"Capsule 3"	"1258"	"1420"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E1-BC1-BiomeHealth_89_S103_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E1-BC1-BiomeHealth_89_S103_R2_001.fastq.gz"	"89"	"E1"	"BC1"	"BiomeHealth"	"S103"	"E1_1"	"E1-BC1-BiomeHealth_89_S103_R1_001.fastq.gz"	"E1-BC1-BiomeHealth_89_S103_R2_001.fastq.gz"	"E1-BC1-BiomeHealth_89_S103"	"2"	1089	"2"	"Capsule 3"	"1249"	"1411"	"Capsule_2"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E21-BC1-BiomeHealth_99_S113_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E21-BC1-BiomeHealth_99_S113_R2_001.fastq.gz"	"99"	"E21"	"BC1"	"BiomeHealth"	"S113"	"E21_1"	"E21-BC1-BiomeHealth_99_S113_R1_001.fastq.gz"	"E21-BC1-BiomeHealth_99_S113_R2_001.fastq.gz"	"E21-BC1-BiomeHealth_99_S113"	"1"	1099	"4"	"Capsule 3"	"1259"	"1421"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E23-BC1-BiomeHealth_100_S114_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E23-BC1-BiomeHealth_100_S114_R2_001.fastq.gz"	"100"	"E23"	"BC1"	"BiomeHealth"	"S114"	"E23_1"	"E23-BC1-BiomeHealth_100_S114_R1_001.fastq.gz"	"E23-BC1-BiomeHealth_100_S114_R2_001.fastq.gz"	"E23-BC1-BiomeHealth_100_S114"	"1"	1100	"4"	"Capsule 2"	"1260"	"1422"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E3-BC1-BiomeHealth_90_S104_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E3-BC1-BiomeHealth_90_S104_R2_001.fastq.gz"	"90"	"E3"	"BC1"	"BiomeHealth"	"S104"	"E3_1"	"E3-BC1-BiomeHealth_90_S104_R1_001.fastq.gz"	"E3-BC1-BiomeHealth_90_S104_R2_001.fastq.gz"	"E3-BC1-BiomeHealth_90_S104"	"1"	1090	"2"	"Capsule 2"	"1250"	"1412"	"Capsule_1"
1	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E5-BC1-BiomeHealth_91_S105_R1_001.fastq.gz"	"/oak/stanford/groups/relman/raw_data/jgrembi/capsule/batch1/BiomeHealthParticipants_200728/E5-BC1-BiomeHealth_91_S105_R2_001.fastq.gz"	"91"	"E5"	"BC1"	"BiomeHealth"	"S105"	"E5_1"	"E5-BC1-BiomeHealth_91_S105_R1_001.fastq.gz"	"E5-BC1-BiomeHealth_91_S105_R2_001.fastq.gz"	"E5-BC1-BiomeHealth_91_S105"	"2"	1091	"1"	"Capsule 1"	"1251"	"1413"	"Capsule_2"
