# Program:featureCounts v2.1.1; Command:"featureCounts" "-f" "-p" "--countReadPairs" "-t" "CDS" "-B" "-a" "workflow/out/prodigal/coassemblies/Capsule_13_contigs_prodigal_GTF.gtf" "-o" "workflow/out/mapping/bam/CoAssembly_gene_reads/Capsule_13/F3_2_reads_per_gene.txt" "workflow/out/mapping/bam/CoAssembly/Capsule_13/F3_2.bam" "--largestOverlap" "-T" "8" 
Geneid	Chr	Start	End	Strand	Length	workflow/out/mapping/bam/CoAssembly/Capsule_13/F3_2.bam	RPKG
38_3	k141_145329	819	1607	-	789	0	0
39_1	k141_188913	2	289	+	288	0	0
39_2	k141_188913	417	1580	-	1164	0	0
39_3	k141_188913	2089	3768	+	1680	0	0
39_4	k141_188913	3755	5659	+	1905	0	0
39_5	k141_188913	5690	5869	-	180	0	0
39_6	k141_188913	5947	6243	+	297	0	0
40_1	k141_14536	3	497	-	495	4	0.00852716
40_2	k141_14536	1076	3556	+	2481	2	0.000850653
40_3	k141_14536	3568	5502	+	1935	0	0
40_4	k141_14536	5495	6388	+	894	3	0.00354106
40_5	k141_14536	6449	6823	+	375	1	0.00281396
40_6	k141_14536	6823	7254	+	432	6	0.014656
40_7	k141_14536	7307	9001	-	1695	0	0
41_1	k141_87210	218	1207	-	990	0	0
42_1	k141_116273	49	639	-	591	0	0
42_2	k141_116273	651	1268	-	618	0	0
42_3	k141_116273	1333	2835	+	1503	0	0
43_1	k141_174387	72	1376	+	1305	0	0
43_2	k141_174387	1745	2026	+	282	0	0
44_1	k141_72658	3	206	-	204	1	0.00517272
44_2	k141_72658	463	657	+	195	0	0
44_3	k141_72658	893	2218	+	1326	8	0.00636643
44_4	k141_72658	2221	2943	+	723	0	0
44_5	k141_72658	2950	5163	+	2214	0	0
44_6	k141_72658	5147	5809	+	663	2	0.00318321
44_7	k141_72658	5826	6842	+	1017	1	0.0010376
44_8	k141_72658	6826	7014	-	189	0	0
44_9	k141_72658	7051	7620	-	570	1	0.00185129
44_10	k141_72658	7795	10965	-	3171	2	0.000665554
45_1	k141_261564	3	191	-	189	0	0
45_2	k141_261564	220	1032	-	813	0	0
45_3	k141_261564	1223	2119	+	897	0	0
45_4	k141_261564	2171	2956	+	786	0	0
45_5	k141_261564	3025	4149	-	1125	0	0
45_6	k141_261564	4443	5879	-	1437	0	0
46_1	k141_145330	2	1816	+	1815	51	0.0296512
46_2	k141_145330	1841	2503	+	663	13	0.0206909
46_3	k141_145330	2532	2705	+	174	1	0.00606457
46_4	k141_145330	2754	2843	-	90	1	0.0117248
47_1	k141_130782	120	1082	-	963	1	0.00109578
47_2	k141_130782	1086	2003	-	918	1	0.00114949
47_3	k141_130782	2380	3759	+	1380	1	0.000764663
47_4	k141_130782	3770	5230	+	1461	1	0.000722269
47_5	k141_130782	5235	6701	+	1467	2	0.00143863
47_6	k141_130782	6730	7407	+	678	0	0
47_7	k141_130782	7657	8181	+	525	8	0.0160798
47_8	k141_130782	8270	9145	+	876	3	0.00361382
47_9	k141_130782	9171	10247	+	1077	6	0.00587875
47_10	k141_130782	10273	11424	+	1152	0	0
47_11	k141_130782	11532	12677	+	1146	14	0.0128912
47_12	k141_130782	12729	13043	+	315	0	0
48_1	k141_101751	44	754	+	711	0	0
48_2	k141_101751	751	1224	+	474	3	0.00667871
48_3	k141_101751	1330	1467	+	138	0	0
49_1	k141_217993	1	1014	+	1014	13	0.0135287
50_1	k141_261565	2	274	-	273	0	0
50_2	k141_261565	577	1026	+	450	0	0
51_1	k141_29098	2	85	-	84	0	0
51_2	k141_29098	82	456	-	375	0	0
51_3	k141_29098	545	913	-	369	4	0.0114389
51_4	k141_29098	993	1214	-	222	0	0
52_1	k141_159874	1	186	+	186	0	0
52_2	k141_159874	406	1026	+	621	0	0
52_3	k141_159874	1059	1574	+	516	0	0
53_1	k141_130784	1	198	-	198	0	0
53_2	k141_130784	292	831	-	540	3	0.00586242
53_3	k141_130784	853	1230	-	378	1	0.00279163
54_1	k141_72659	3	299	-	297	2	0.00710596
54_2	k141_72659	535	861	+	327	0	0
54_3	k141_72659	858	992	+	135	0	0
54_4	k141_72659	1080	1658	+	579	4	0.00729006
54_5	k141_72659	1655	2485	+	831	0	0
54_6	k141_72659	2586	2819	+	234	0	0
55_1	k141_247037	2	1690	+	1689	0	0
55_2	k141_247037	1853	3526	+	1674	0	0
56_1	k141_29099	2	235	+	234	0	0
56_2	k141_29099	359	544	+	186	0	0
56_3	k141_29099	665	1255	+	591	2	0.00357102
56_4	k141_29099	1537	1911	-	375	6	0.0168838
57_1	k141_87222	2	1129	+	1128	0	0
58_1	k141_174397	14	313	+	300	2	0.0070349
58_2	k141_174397	498	2690	+	2193	16	0.00769894
59_1	k141_188922	2	3082	+	3081	13	0.00445247
59_2	k141_188922	3277	4233	+	957	3	0.00330795
60_1	k141_247040	3	1037	+	1035	6	0.00611731
61_1	k141_101760	2	901	-	900	4	0.00468994
61_2	k141_101760	894	1613	-	720	0	0
62_1	k141_43608	108	728	+	621	10	0.0169925
62_2	k141_43608	773	1705	-	933	57	0.0644678
62_3	k141_43608	1868	2488	-	621	6	0.0101955
62_4	k141_43608	2598	3590	+	993	16	0.0170028
62_5	k141_43608	3635	4435	+	801	11	0.0144914
62_6	k141_43608	4524	5423	+	900	0	0
62_7	k141_43608	5311	6264	-	954	2	0.00221223
62_8	k141_43608	6496	8757	+	2262	987	0.460441
62_9	k141_43608	8805	9611	-	807	375	0.490351
62_10	k141_43608	9871	9981	+	111	83	0.78905
62_11	k141_43608	9981	10631	+	651	30	0.0486284
62_12	k141_43608	10767	11162	+	396	0	0
63_1	k141_29101	3	446	-	444	0	0
63_2	k141_29101	494	820	-	327	0	0
63_3	k141_29101	838	1029	-	192	0	0
64_1	k141_116287	3	95	+	93	0	0
64_2	k141_116287	216	1061	+	846	2	0.00249465
65_1	k141_116288	3	161	+	159	0	0
65_2	k141_116288	154	1074	+	921	0	0
66_1	k141_43609	1	606	+	606	0	0
66_2	k141_43609	603	1004	+	402	0	0
66_3	k141_43609	989	1297	+	309	0	0
67_1	k141_29104	2	265	+	264	0	0
67_2	k141_29104	372	1328	-	957	2	0.0022053
68_1	k141_130793	2	223	+	222	1	0.00475331
68_2	k141_130793	257	1123	+	867	8	0.00973689
69_1	k141_232516	3	242	+	240	0	0
69_2	k141_232516	235	1206	+	972	0	0
69_3	k141_232516	1236	2156	+	921	0	0
69_4	k141_232516	2310	3623	+	1314	0	0
69_5	k141_232516	3935	4573	-	639	0	0
69_6	k141_232516	4696	5022	+	327	0	0
69_7	k141_232516	5156	5602	+	447	0	0
69_8	k141_232516	5608	6054	+	447	0	0
69_9	k141_232516	6064	6654	+	591	0	0
69_10	k141_232516	7038	7496	-	459	0	0
69_11	k141_232516	7633	8214	+	582	0	0
69_12	k141_232516	8474	8905	-	432	0	0
69_13	k141_232516	8947	10125	+	1179	0	0
69_14	k141_232516	10132	11079	+	948	1	0.00111312
69_15	k141_232516	11126	11419	+	294	0	0
70_1	k141_247042	244	513	+	270	10	0.0390828
70_2	k141_247042	521	1075	+	555	7	0.0133093
70_3	k141_247042	1107	1730	+	624	17	0.0287484
71_1	k141_218010	3	1001	-	999	0	0
72_1	k141_101767	1	792	+	792	2	0.00266474
72_2	k141_101767	817	1701	-	885	1	0.00119236
73_1	k141_159881	3	1607	-	1605	0	0
73_2	k141_159881	1679	2272	-	594	0	0
73_3	k141_159881	2967	3389	+	423	0	0
73_4	k141_159881	3386	4636	+	1251	0	0
74_1	k141_72670	142	816	+	675	0	0
74_2	k141_72670	838	1005	+	168	0	0
74_3	k141_72670	1314	1952	-	639	0	0
75_1	k141_14551	167	694	-	528	0	0
75_2	k141_14551	937	1605	-	669	0	0
75_3	k141_14551	1728	2108	+	381	0	0
75_4	k141_14551	2267	3343	-	1077	1	0.000979792
75_5	k141_14551	3684	4730	+	1047	0	0
75_6	k141_14551	4759	5226	+	468	0	0
75_7	k141_14551	5270	6145	+	876	0	0
75_8	k141_14551	6391	6498	-	108	0	0
76_1	k141_159884	2	160	-	159	0	0
76_2	k141_159884	157	330	-	174	0	0
76_3	k141_159884	744	1076	-	333	0	0
77_1	k141_232518	827	2146	+	1320	0	0
78_1	k141_101771	170	613	-	444	0	0
78_2	k141_101771	1471	1542	-	72	5	0.0732802
79_1	k141_174398	13	780	-	768	0	0
79_2	k141_174398	1521	2549	+	1029	0	0
79_3	k141_174398	2546	3052	+	507	1	0.00208133
79_4	k141_174398	3066	4376	+	1311	5	0.00402454
79_5	k141_174398	4828	6120	+	1293	1	0.000816114
80_1	k141_218012	1	648	-	648	0	0
80_2	k141_218012	778	2061	-	1284	0	0
80_3	k141_218012	2181	2345	-	165	0	0
81_1	k141_232520	2	151	+	150	0	0
81_2	k141_232520	126	545	+	420	1	0.00251247
81_3	k141_232520	548	880	+	333	0	0
81_4	k141_232520	877	1266	+	390	0	0
82_1	k141_276082	1	420	+	420	1	0.00251247
82_2	k141_276082	423	1148	+	726	0	0
83_1	k141_159887	2	259	-	258	0	0
83_2	k141_159887	308	613	-	306	2	0.00689696
83_3	k141_159887	652	1128	-	477	0	0
84_1	k141_174400	3	785	+	783	19	0.025606
85_1	k141_87224	146	589	-	444	0	0
85_2	k141_87224	770	3526	-	2757	0	0
85_3	k141_87224	3519	3869	-	351	0	0
85_4	k141_87224	3879	4508	-	630	0	0
85_5	k141_87224	4505	4726	-	222	0	0
85_6	k141_87224	4723	4986	-	264	0	0
85_7	k141_87224	4983	5300	-	318	0	0
85_8	k141_87224	5287	5478	-	192	0	0
85_9	k141_87224	5471	5680	-	210	0	0
85_10	k141_87224	5673	6551	-	879	0	0
85_11	k141_87224	6551	7153	-	603	0	0
85_12	k141_87224	7167	7598	-	432	0	0
85_13	k141_87224	7598	7717	-	120	0	0
86_1	k141_232522	3	503	+	501	0	0
86_2	k141_232522	668	1030	+	363	0	0
87_1	k141_218015	2	1090	+	1089	0	0
88_1	k141_29116	2	349	-	348	0	0
88_2	k141_29116	395	1957	-	1563	6	0.00405081
89_1	k141_72675	3	527	+	525	4	0.00803989
89_2	k141_72675	499	1155	+	657	18	0.0289106
89_3	k141_72675	1471	2094	+	624	9	0.0152197
89_4	k141_72675	2227	3273	+	1047	10	0.0100787
90_1	k141_130799	2	799	+	798	0	0
90_2	k141_130799	948	1700	-	753	0	0
90_3	k141_130799	2110	3891	+	1782	0	0
91_1	k141_145336	55	396	+	342	2	0.00617097
91_2	k141_145336	472	852	+	381	0	0
91_3	k141_145336	1069	1485	+	417	1	0.00253054
91_4	k141_145336	1541	1744	+	204	0	0
91_5	k141_145336	1741	2229	+	489	8	0.0172636
91_6	k141_145336	2964	3575	+	612	0	0
91_7	k141_145336	3663	4247	+	585	0	0
91_8	k141_145336	4247	4993	+	747	0	0
91_9	k141_145336	5005	6459	+	1455	0	0
91_10	k141_145336	6503	8269	+	1767	1	0.00059719
91_11	k141_145336	8263	9999	+	1737	0	0
91_12	k141_145336	10104	10637	+	534	0	0
91_13	k141_145336	11018	11101	+	84	0	0
92_1	k141_87226	2	574	-	573	0	0
92_2	k141_87226	663	1439	-	777	0	0
93_1	k141_159895	2	268	+	267	2	0.00790439
93_2	k141_159895	136	1053	-	918	50	0.0574747
94_1	k141_58140	1017	2615	+	1599	90	0.0593941
94_2	k141_58140	2702	2932	+	231	12	0.0548174
94_3	k141_58140	2941	4533	+	1593	65	0.0430573
94_4	k141_58140	4552	5523	+	972	72	0.0781656
94_5	k141_58140	5770	6309	+	540	14	0.027358
94_6	k141_58140	6466	7962	-	1497	132	0.0930468
94_7	k141_58140	8795	9568	-	774	69	0.0940714
94_8	k141_58140	9699	10226	-	528	29	0.057958
94_9	k141_58140	10334	11563	-	1230	89	0.0763544
94_10	k141_58140	11544	12446	-	903	93	0.108679
94_11	k141_58140	12466	13479	-	1014	52	0.0541146
94_12	k141_58140	13484	13888	-	405	47	0.122459
94_13	k141_58140	14148	14630	-	483	39	0.0852053
94_14	k141_58140	14693	15643	-	951	58	0.0643572
94_15	k141_58140	15647	16420	-	774	42	0.0572608
94_16	k141_58140	16404	16748	-	345	17	0.0519971
94_17	k141_58140	16761	17741	-	981	95	0.102189
94_18	k141_58140	17766	18752	-	987	57	0.0609407
95_1	k141_116302	2	2083	-	2082	13	0.00658889
95_2	k141_116302	2141	3088	-	948	8	0.00890494
95_3	k141_116302	3075	3203	-	129	0	0
95_4	k141_116302	3263	5524	-	2262	0	0
96_1	k141_232529	2	1165	-	1164	0	0
96_2	k141_232529	1212	1439	-	228	0	0
97_1	k141_174406	1	633	-	633	0	0
97_2	k141_174406	669	1421	-	753	0	0
98_1	k141_87231	3	1145	+	1143	0	0
99_1	k141_188956	1	177	-	177	0	0
99_2	k141_188956	407	1180	+	774	0	0
99_3	k141_188956	1182	1613	+	432	0	0
100_1	k141_276090	3	1007	-	1005	43	0.0451494
100_2	k141_276090	1099	2088	-	990	711	0.757851
100_3	k141_276090	2118	3212	-	1095	0	0
100_4	k141_276090	3215	3826	-	612	3	0.00517272
101_1	k141_232534	1	1032	+	1032	19	0.0194278
102_1	k141_116303	3	1016	+	1014	2	0.00208133
102_2	k141_116303	1165	1599	+	435	0	0
102_3	k141_116303	1603	2229	+	627	2	0.00336598
103_1	k141_58147	1	654	-	654	13	0.0209756
103_2	k141_58147	791	1225	+	435	8	0.0194066
104_1	k141_159902	3	350	+	348	0	0
104_2	k141_159902	376	969	-	594	0	0
104_3	k141_159902	1139	1234	-	96	0	0
105_1	k141_72686	56	1240	-	1185	105	0.0935019
105_2	k141_72686	1416	2249	-	834	2	0.00253054
105_3	k141_72686	2312	2758	-	447	2	0.00472141
106_1	k141_247044	3	566	+	564	0	0
106_2	k141_247044	569	1645	+	1077	0	0
106_3	k141_247044	1645	1887	+	243	7	0.0303977
106_4	k141_247044	2032	2337	+	306	1	0.00344848
106_5	k141_247044	2356	3108	+	753	1	0.00140138
106_6	k141_247044	3282	3476	+	195	0	0
106_7	k141_247044	3507	3905	+	399	3	0.0079341
106_8	k141_247044	4206	5300	-	1095	3	0.00289106
106_9	k141_247044	5490	5762	+	273	5	0.0193267
106_10	k141_247044	5987	7564	+	1578	15	0.0100308
106_11	k141_247044	7766	9697	+	1932	30	0.0163856
106_12	k141_247044	9905	10444	+	540	0	0
107_1	k141_232539	1	564	+	564	5	0.00935492
107_2	k141_232539	536	1066	+	531	0	0
107_3	k141_232539	1122	1292	+	171	0	0
108_1	k141_116306	338	1693	-	1356	0	0
109_1	k141_247046	2	112	-	111	0	0
109_2	k141_247046	126	1058	-	933	11	0.0124411
110_1	k141_159904	359	610	+	252	0	0
110_2	k141_159904	627	1463	+	837	0	0
110_3	k141_159904	1542	2054	+	513	0	0
111_1	k141_174416	1	336	-	336	0	0
111_2	k141_174416	346	1617	-	1272	0	0
112_1	k141_116307	3	560	-	558	0	0
112_2	k141_116307	682	1077	-	396	0	0
113_1	k141_72693	1	474	+	474	2	0.00445247
113_2	k141_72693	507	734	+	228	3	0.0138847
113_3	k141_72693	731	1285	+	555	3	0.00570398
113_4	k141_72693	1488	1556	+	69	0	0
114_1	k141_247049	2	124	-	123	0	0
114_2	k141_247049	246	1265	-	1020	0	0
115_1	k141_130818	3	416	-	414	0	0
115_2	k141_130818	555	923	+	369	0	0
115_3	k141_130818	1049	1399	+	351	3	0.00901911
116_1	k141_232541	3	1679	-	1677	8	0.00503392
116_2	k141_232541	1732	2289	-	558	18	0.0340399
116_3	k141_232541	2323	2679	-	357	2	0.00591168
117_1	k141_174417	93	1496	-	1404	0	0
117_2	k141_174417	1493	2068	-	576	0	0
118_1	k141_247050	2	868	-	867	0	0
118_2	k141_247050	893	1156	-	264	0	0
119_1	k141_261581	3	737	-	735	0	0
119_2	k141_261581	860	3019	-	2160	2	0.00097707
119_3	k141_261581	3100	3318	-	219	0	0
119_4	k141_261581	3669	3932	+	264	0	0
119_5	k141_261581	3947	4702	+	756	0	0
120_1	k141_116311	366	2114	-	1749	1	0.000603336
121_1	k141_116313	1	837	-	837	0	0
121_2	k141_116313	825	1361	-	537	0	0
122_1	k141_203436	2	1711	+	1710	6	0.00370258
122_2	k141_203436	1813	2394	+	582	4	0.00725248
122_3	k141_203436	2467	2664	+	198	0	0
122_4	k141_203436	2774	3124	+	351	11	0.0330701
122_5	k141_203436	3516	4670	+	1155	0	0
122_6	k141_203436	4688	5962	-	1275	0	0
122_7	k141_203436	5959	7329	-	1371	0	0
122_8	k141_203436	7508	8977	+	1470	0	0
122_9	k141_203436	8990	10240	+	1251	0	0
122_10	k141_203436	10537	12915	+	2379	0	0
122_11	k141_203436	12954	15335	+	2382	0	0
122_12	k141_203436	15352	17700	+	2349	0	0
122_13	k141_203436	17721	20129	+	2409	0	0
122_14	k141_203436	20168	21715	+	1548	0	0
122_15	k141_203436	21741	22235	+	495	0	0
122_16	k141_203436	22244	24109	+	1866	0	0
122_17	k141_203436	24135	24809	+	675	0	0
122_18	k141_203436	24817	25713	-	897	0	0
122_19	k141_203436	25936	27054	+	1119	0	0
122_20	k141_203436	27066	29687	+	2622	0	0
122_21	k141_203436	29759	30202	+	444	0	0
122_22	k141_203436	30246	31622	+	1377	0	0
122_23	k141_203436	31636	32145	+	510	0	0
122_24	k141_203436	32166	33089	-	924	0	0
122_25	k141_203436	33102	33563	-	462	0	0
122_26	k141_203436	33762	34385	-	624	0	0
123_1	k141_174419	1	525	+	525	0	0
123_2	k141_174419	512	1408	+	897	1	0.00117641
123_3	k141_174419	1433	2617	+	1185	0	0
124_1	k141_4	80	2371	-	2292	310	0.142724
124_2	k141_4	2492	3337	+	846	122	0.152173
124_3	k141_4	3510	4256	+	747	51	0.0720442
124_4	k141_4	4253	5173	+	921	139	0.159259
124_5	k141_4	5272	5886	+	615	84	0.14413
124_6	k141_4	5970	6407	-	438	42	0.101187
124_7	k141_4	6468	8792	-	2325	306	0.138883
124_8	k141_4	9009	10100	+	1092	117	0.113061
124_9	k141_4	10156	10656	-	501	84	0.176926
124_10	k141_4	10912	13371	-	2460	339	0.145417
124_11	k141_4	13483	14076	-	594	49	0.087048
124_12	k141_4	14093	14992	-	900	95	0.111386
124_13	k141_4	15112	15420	+	309	34	0.11611
124_14	k141_4	15424	15972	+	549	77	0.148002
124_15	k141_4	15998	18397	+	2400	286	0.125749
124_16	k141_4	18486	19406	-	921	124	0.142073
124_17	k141_4	19643	21046	+	1404	144	0.108229
124_18	k141_4	21075	21932	+	858	82	0.10085
124_19	k141_4	22018	22515	-	498	39	0.0826389
124_20	k141_4	22709	23068	+	360	38	0.111386
124_21	k141_4	23178	23627	+	450	25	0.0586242
124_22	k141_4	23631	24266	+	636	58	0.0962322
124_23	k141_4	24339	24719	+	381	52	0.144022
124_24	k141_4	24866	25294	+	429	53	0.130367
124_25	k141_4	25605	28019	-	2415	380	0.166041
124_26	k141_4	28030	28629	-	600	60	0.105524
124_27	k141_4	28872	30020	-	1149	151	0.138678
124_28	k141_4	31189	31458	+	270	27	0.105524
124_29	k141_4	31445	32029	+	585	40	0.0721529
124_30	k141_4	32088	32981	+	894	100	0.118035
124_31	k141_4	32987	33307	+	321	40	0.131494
124_32	k141_4	33480	33644	+	165	15	0.0959305
124_33	k141_4	33850	34140	+	291	30	0.108787
124_34	k141_4	34152	34658	+	507	48	0.099904
124_35	k141_4	34719	34958	+	240	17	0.0747458
124_36	k141_4	35106	35630	+	525	32	0.0643191
124_37	k141_4	35632	35856	+	225	21	0.0984886
124_38	k141_4	35840	35986	+	147	25	0.179462
124_39	k141_4	36008	36289	+	282	23	0.0860653
124_40	k141_4	36330	36986	-	657	80	0.128491
124_41	k141_4	37221	38165	-	945	72	0.0803989
124_42	k141_4	38462	39739	+	1278	152	0.125505
125_1	k141_261588	3	464	-	462	0	0
125_2	k141_261588	595	1308	-	714	0	0
126_1	k141_87254	2	538	-	537	0	0
126_2	k141_87254	545	1246	-	702	0	0
126_3	k141_87254	1834	2442	+	609	0	0
126_4	k141_87254	2716	3516	+	801	0	0
126_5	k141_87254	3578	3853	+	276	0	0
127_1	k141_174420	3	1406	-	1404	4	0.00300637
127_2	k141_174420	1782	2183	-	402	0	0
127_3	k141_174420	2244	2426	-	183	1	0.00576631
128_1	k141_58148	216	1130	-	915	38	0.043824
128_2	k141_58148	1153	2127	-	975	11	0.0119052
128_3	k141_58148	2129	3520	-	1392	40	0.0303229
128_4	k141_58148	3561	4391	-	831	26	0.0330158
128_5	k141_58148	4434	5315	-	882	28	0.0334995
128_6	k141_58148	5740	6597	+	858	13	0.0159884
128_7	k141_58148	6743	7444	-	702	39	0.0586242
128_8	k141_58148	7533	8636	-	1104	64	0.0611731
128_9	k141_58148	8748	9491	-	744	28	0.0397132
128_10	k141_58148	9766	10329	+	564	11	0.0205808
129_1	k141_14556	1	741	+	741	0	0
129_2	k141_14556	916	2172	+	1257	0	0
129_3	k141_14556	2331	2819	-	489	0	0
129_4	k141_14556	2938	3741	-	804	0	0
129_5	k141_14556	3971	4366	+	396	0	0
129_6	k141_14556	4400	4969	+	570	0	0
129_7	k141_14556	4981	5445	+	465	0	0
129_8	k141_14556	5469	6410	+	942	0	0
129_9	k141_14556	6542	7015	+	474	0	0
129_10	k141_14556	7018	8295	+	1278	0	0
129_11	k141_14556	8307	9293	+	987	0	0
129_12	k141_14556	9297	10793	+	1497	3	0.0021147
129_13	k141_14556	10790	11452	+	663	0	0
129_14	k141_14556	11445	12305	+	861	0	0
129_15	k141_14556	12299	12997	+	699	1	0.00150964
129_16	k141_14556	13186	14007	-	822	0	0
129_17	k141_14556	14254	15654	+	1401	2	0.0015064
129_18	k141_14556	15665	16639	+	975	5	0.00541146
130_1	k141_203437	88	1410	-	1323	0	0
130_2	k141_203437	1432	1926	-	495	0	0
130_3	k141_203437	1936	2526	-	591	1	0.00178551
130_4	k141_203437	2523	3104	-	582	3	0.00543936
131_1	k141_232559	3	494	+	492	0	0
131_2	k141_232559	677	1129	+	453	3	0.00698831
132_1	k141_29127	2	670	+	669	0	0
132_2	k141_29127	667	1407	+	741	0	0
132_3	k141_29127	1421	2596	+	1176	0	0
132_4	k141_29127	2593	3693	+	1101	0	0
132_5	k141_29127	3680	4849	+	1170	0	0
132_6	k141_29127	4860	5783	+	924	0	0
132_7	k141_29127	5767	6864	-	1098	0	0
132_8	k141_29127	6933	8141	+	1209	0	0
132_9	k141_29127	8528	9115	+	588	0	0
132_10	k141_29127	9142	9753	-	612	0	0
132_11	k141_29127	10414	10833	+	420	0	0
132_12	k141_29127	10836	12098	+	1263	0	0
132_13	k141_29127	12361	12426	+	66	0	0
133_1	k141_87256	1	183	+	183	0	0
133_2	k141_87256	147	1241	+	1095	0	0
134_1	k141_11	1	783	-	783	395	0.532335
134_2	k141_11	1140	1706	-	567	18	0.0334995
135_1	k141_116324	471	1019	+	549	1	0.0019221
136_1	k141_247066	276	1154	+	879	26	0.0312129
137_1	k141_159920	1	756	+	756	0	0
